Title,Authors,Platform,Cited_url,Cited_count,Year
"Genetic effects of radio-frequency, atmospheric-pressure glow discharges with helium","G Li, HP Li, LY Wang, S Wang, HX Zhao, WT Sun, XH Xing, CY Bao","Applied physics letters 92 (22), 221504",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4517597708019595808,159,2008
Novel mutation breeding method for ,"LY Wang, ZL Huang, G Li, HX Zhao, XH Xing, WT Sun, HP Li, ZX Gou, ...","Journal of applied microbiology 108 (3), 851-858",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6845755466804711841,153,2010
Atmospheric and room temperature plasma (ARTP) as a new powerful mutagenesis tool,"X Zhang, XF Zhang, HP Li, LY Wang, C Zhang, XH Xing, CY Bao","Applied microbiology and biotechnology 98 (12), 5387-5396",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3684934411977833768,139,2014
Application of Steenbeck's minimum principle for three-dimensional modelling of DC arc plasma torches,"HP Li, E Pfender, X Chen","Journal of Physics D: Applied Physics 36 (9), 1084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4025951633529759575,128,2003
Characteristics of hydrogen production of an Enterobacter aerogenes mutant generated by a new atmospheric and room temperature plasma (ARTP),"Y Lu, L Wang, K Ma, G Li, C Zhang, H Zhao, Q Lai, HP Li, XH Xing","Biochemical Engineering Journal 55 (1), 17-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2091461268160360148,90,2011
A salt tolerant Enterobacter cloacae mutant for bioaugmentation of petroleum-and salt-contaminated soil,"X Hua, J Wang, Z Wu, H Zhang, H Li, X Xing, Z Liu","Biochemical Engineering Journal 49 (2), 201-206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17718655786374935541,80,2010
Effect of a near-cathode sheath on heat transfer in high-pressure arc plasmas,"HP Li, MS Benilov","Journal of Physics D: Applied Physics 40 (7), 2010",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2516864806209654612,71,2007
Three dimensional modeling of the plasma spray process,"HP Li, E Pfender","Journal of Thermal Spray Technology 16 (2), 245-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9811444008815349946,68,2007
Three-dimensional modelling of a dc non-transferred arc plasma torch,"HP Li, X Chen","Journal of Physics D: Applied Physics 34 (17), L99",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3576174889128445831,68,2001
Three-dimensional modeling of the turbulent plasma jet impinging upon a flat plate and with transverse particle and carrier-gas injection,"HP Li, X Chen","Plasma Chemistry and Plasma Processing 22 (1), 27-58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10679049235164980334,66,2002
Rapid mutation of Spirulina platensis by a new mutagenesis system of atmospheric and room temperature plasmas (ARTP) and generation of a mutant library with diverse phenotypes,"M Fang, L Jin, C Zhang, Y Tan, P Jiang, N Ge, H Li, X Xing","PloS one 8 (10), e77046",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3111405444877410538,62,2013
Three-dimensional simulation of a plasma jet with transverse particle and carrier gas injection,"HP Li, X Chen","Thin Solid Films 390 (1-2), 175-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12384481709075139550,52,2001
"Electrical features of radio-frequency, atmospheric-pressure, bare-metallic-electrode glow discharges","HP Li, WT Sun, HB Wang, G Li, CY Bao","Plasma Chemistry and Plasma Processing 27 (5), 529-545",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15153918645208834296,48,2007
Strain improvement for enhanced production of cellulase in ,"F Xu, J Wang, S Chen, W Qin, Z Yu, H Zhao, X Xing, H Li","Applied Biochemistry and Microbiology 47 (1), 53-58",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5158972926815010737,46,2011
"Manipulation of lipase activity by the helium radio‐frequency, atmospheric‐pressure glow discharge plasma jet","HP Li, LY Wang, G Li, LH Jin, PS Le, HX Zhao, XH Xing, CY Bao","Plasma Processes and Polymers 8 (3), 224-229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16453455561272299782,44,2011
Quantitative evaluation of DNA damage and mutation rate by atmospheric and room-temperature plasma (ARTP) and conventional mutagenesis,"X Zhang, C Zhang, QQ Zhou, XF Zhang, LY Wang, HB Chang, HP Li, ...","Applied microbiology and biotechnology 99 (13), 5639-5646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4971279668480501989,41,2015
常压室温等离子体快速诱变产油酵母的条件及其突变株的特性,金丽华， 方明月， 张翀， 蒋培霞， 葛楠， 李和平， 邢新会， 包成玉,"生物工程学报 27 (3), 461-467",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16633749854865358469,41,2011
Heat transfer and fluid flow in a high-intensity free-burning arc: an improved modeling approach,"X Chen, HP Li","International journal of heat and mass transfer 44 (13), 2541-2553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4133055206585176521,38,2001
A numerical model of non-equilibrium thermal plasmas. I. Transport properties,"XN Zhang, HP Li, AB Murphy, WD Xia","Physics of Plasmas 20 (3), 033508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9183174345796154731,37,2013
Discharge characteristics of atmospheric-pressure radio-frequency glow discharges with argon/nitrogen,"HB Wang, WT Sun, HP Li, CY Bao, X Gao, HY Luo","Applied physics letters 89 (16), 161504",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=926324014214630395,37,2006
The reactive thermal conductivity for a two-temperature plasma,"X Chen, HP Li","International journal of heat and mass transfer 46 (8), 1443-1454",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=697137007382314020,36,2003
大气压放电等离子体研究进展综述,李和平， 于达仁， 孙文廷， 刘定新， 李杰， 韩先伟， 李增耀， 孙冰， 吴云,"高电压技术 42 (12), 3697-3727",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5682902215195486276,32,2016
Sheath and arc-column voltages in high-pressure arc discharges,"MS Benilov, LG Benilova, HP Li, GQ Wu","Journal of Physics D: Applied Physics 45 (35), 355201",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3397217071199241774,31,2012
常压室温等离子体生物诱变育种及其应用研究进展,张雪， 张晓菲， 王立言， 张翀， 陈韵亿， 常海波， 李和平， 邢新会,"化工学报 65 (7), 2676-2684",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16746824701538358869,26,2014
