Title,Authors,Platform,Cited_url,Cited_count,Year
SAP-controlled T–B cell interactions underlie germinal centre formation,"H Qi, JL Cannons, F Klauschen, PL Schwartzberg, RN Germain","Nature 455 (7214), 764",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6112580565011475425,541,2008
Extrafollicular activation of lymph node B cells by antigen-bearing dendritic cells,"H Qi, JG Egen, AYC Huang, RN Germain","Science 312 (5780), 1672-1676",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8586736987169517840,508,2006
"Optimal germinal center responses require a multistage T cell: B cell adhesion process involving integrins, SLAM-associated protein, and CD84","JL Cannons, H Qi, KT Lu, M Dutta, J Gomez-Rodriguez, J Cheng, ...","Immunity 32 (2), 253-265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10397318742524813052,338,2010
Natural killer cell behavior in lymph nodes revealed by static and real-time imaging,"M Bajénoff, B Breart, AYC Huang, H Qi, J Cazareth, VM Braud, ...","Journal of Experimental Medicine 203 (3), 619-631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15243208369954420819,298,2006
Follicular T-helper cell recruitment governed by bystander B cells and ICOS-driven motility,"H Xu, X Li, D Liu, J Li, X Zhang, X Chen, S Hou, L Peng, C Xu, W Liu, ...","Nature 496 (7446), 523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4061046828793548884,292,2013
"SLAM receptors and SAP influence lymphocyte interactions, development and function","PL Schwartzberg, KL Mueller, H Qi, JL Cannons","Nature Reviews Immunology 9 (1), 39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=793368838668560801,219,2009
Follicular CXCR5-expressing CD8,"R He, S Hou, C Liu, A Zhang, Q Bai, M Han, Y Yang, G Wei, T Shen, ...","Nature 537 (7620), 412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3440776349277372255,207,2016
Transcription factor achaete-scute homologue 2 initiates follicular T-helper-cell development,"X Liu, X Chen, B Zhong, A Wang, X Wang, F Chu, RI Nurieva, X Yan, ...","Nature 507 (7493), 513",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6992641503530487261,207,2014
T-B-cell entanglement and ICOSL-driven feed-forward regulation of germinal centre reaction,"D Liu, H Xu, C Shih, Z Wan, X Ma, W Ma, D Luo, H Qi","Nature 517, 214–218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2379769547455436121,187,2014
STAT5 protein negatively regulates T follicular helper (Tfh) cell generation and function,"RI Nurieva, A Podd, Y Chen, AM Alekseev, M Yu, X Qi, H Huang, R Wen, ...","Journal of Biological Chemistry 287 (14), 11234-11239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7103964475853819329,184,2012
MicroRNAs of the miR-17∼92 family are critical regulators of T,"SG Kang, WH Liu, P Lu, HY Jin, HW Lim, J Shepherd, D Fremgen, ...","Nature immunology 14 (8), 849",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17590609366776892875,154,2013
Differential induction of interleukin-10 and interleukin-12 in dendritic cells by microbial toll-like receptor activators and skewing of T-cell cytokine profiles,"H Qi, TL Denning, L Soong","Infection and immunity 71 (6), 3337-3342",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4265359665038685084,154,2003
"Highways, byways and breadcrumbs: directing lymphocyte traffic in the lymph node","M Bajénoff, JG Egen, H Qi, AYC Huang, F Castellino, RN Germain","Trends in immunology 28 (8), 346-352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3008572905800206500,136,2007
Leishmania amazonensis-dendritic cell interactions in vitro and the priming of parasite-specific CD4+ T cells in vivo,"H Qi, V Popov, L Soong","The Journal of Immunology 167 (8), 4534-4542",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8683693214744477489,119,2001
T follicular helper cells in space-time,H Qi,"Nature Reviews Immunology 16 (10), 612",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14155835189470244043,110,2016
Enhanced replication of Leishmania amazonensis amastigotes in gamma interferon-stimulated murine macrophages: implications for the pathogenesis of cutaneous leishmaniasis,"H Qi, J Ji, N Wanasen, L Soong","Infection and immunity 72 (2), 988-995",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10806591932024221588,104,2004
Making friends in out-of-the-way places: how cells of the immune system get together and how they conduct their business as revealed by intravital imaging,"RN Germain, M Bajénoff, F Castellino, M Chieppa, JG Egen, AYC Huang, ...","National Institute of Allergy and Infectious Diseases, NIH, 185-202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15985639333179626092,86,2010
Illuminating the landscape of in vivo immunity: insights from dynamic in situ imaging of secondary lymphoid tissues,"AYC Huang, H Qi, RN Germain","Immunity 21 (3), 331-339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4409727442699949533,83,2004
Analysis of T helper cell responses during infection with Leishmania amazonensis.,"J Ji, J Sun, H Qi, L Soong","The American journal of tropical medicine and hygiene 66 (4), 338-345",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7449887333153280726,76,2002
Spatiotemporal basis of innate and adaptive immunity in secondary lymphoid tissue,"H Qi, W Kastenmüller, RN Germain","Annual review of cell and developmental biology 30, 141-167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10644613098762550214,73,2014
An extended vision for dynamic high-resolution intravital immune imaging,"RN Germain, F Castellino, M Chieppa, JG Egen, AYC Huang, LY Koo, ...","Seminars in immunology 17 (6), 431-441",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5059078117330241696,64,2005
PD-1 controls follicular T helper cell positioning and function,"J Shi, S Hou, Q Fang, X Liu, X Liu, H Qi","Immunity 49 (2), 264-274. e4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10223970854873087363,63,2018
Complete decoding of TAL effectors for DNA recognition,"J Yang, Y Zhang, P Yuan, Y Zhou, C Cai, Q Ren, D Wen, C Chu, H Qi, ...","Cell research 24 (5), 628",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11037263128032255824,60,2014
Germinal-center development of memory B cells driven by IL-9 from follicular helper T cells,"Y Wang, J Shi, J Yan, Z Xiao, X Hou, P Lu, S Hou, T Mao, W Liu, Y Ma, ...","Nature immunology 18 (8), 921",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17496838027065253583,49,2017
Antigenic variation of Ehrlichia chaffeensis resulting from differential expression of the 28-kilodalton protein gene family,"SW Long, XF Zhang, H Qi, S Standaert, DH Walker, XJ Yu","Infection and immunity 70 (4), 1824-1831",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11384692811300123460,43,2002
Quantifying cellular interaction dynamics in 3D fluorescence microscopy data,"F Klauschen, M Ishii, H Qi, M Bajénoff, JG Egen, RN Germain, ...","Nature protocols 4 (9), 1305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9437947330672943072,38,2009
From SAP‐less T cells to helpless B cells and back: dynamic T–B cell interactions underlie germinal center development and function,H Qi,"Immunological reviews 247 (1), 24-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17096344472673288038,35,2012
Strong adhesion by regulatory T cells induces dendritic cell cytoskeletal polarization and contact-dependent lethargy,"J Chen, A Ganguly, AD Mucsi, J Meng, J Yan, P Detampel, F Munro, ...","Journal of Experimental Medicine 214 (2), 327-338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3950102351306530732,32,2017
Ephrin B1–mediated repulsion and signaling control germinal center T cell territoriality and function,"P Lu, C Shih, H Qi","Science 356 (6339), eaai9264",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16781459799104747249,28,2017
Chemical synthesis of a two-photon-activatable chemokine and photon-guided lymphocyte migration ,"X Chen, S Tang, JS Zheng, R Zhao, ZP Wang, W Shao, HN Chang, ...","Nature communications 6, 7220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15262466994588354121,27,2015
Acidic phospholipids govern the enhanced activation of IgG-B cell receptor,"X Chen, W Pan, Y Sui, H Li, X Shi, X Guo, H Qi, C Xu, W Liu","Nature communications 6, 8552",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3811696648415513132,26,2015
Follicular T‐helper cells: controlled localization and cellular interactions,"H Qi, X Chen, C Chu, P Lu, H Xu, J Yan","Immunology and cell biology 92 (1), 28-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1874293862700622235,25,2014
Bcl-6 controlled TFH polarization and memory: the known unknowns,"H Qi, D Liu, W Ma, Y Wang, H Yan","Current opinion in immunology 28, 34-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5366194055805052366,24,2014
Phenotypic Tfh development promoted by CXCR5-controlled re-localization and IL-6 from radiation-resistant cells,"X Chen, W Ma, T Zhang, L Wu, H Qi","Protein & cell 6 (11), 825-832",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4860300375107665761,23,2015
CD4+ Th cells resembling regulatory T cells that inhibit chronic colitis differentiate in the absence of interactions between CD4 and class II MHC,"TL Denning, H Qi, R König, KG Scott, M Naganuma, PB Ernst","The Journal of Immunology 171 (5), 2279-2286",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14389555718865640974,23,2003
SAP-regulated T cell–APC adhesion and ligation-dependent and-independent Ly108–CD3ζ interactions,"C Chu, Y Wang, X Zhang, X Ni, J Cao, W Xu, Z Dong, P Yuan, W Wei, ...","The Journal of Immunology 193 (8), 3860-3871",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14921934123718475934,21,2014
Class II MHC–independent suppressive adhesion of dendritic cells by regulatory T cells in vivo,"J Yan, B Liu, Y Shi, H Qi","Journal of Experimental Medicine 214 (2), 319-326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12405720999416128040,19,2017
Total chemical synthesis of photoactivatable proteins for light-controlled manipulation of antigen–antibody interactions,"S Tang, Z Wan, Y Gao, JS Zheng, J Wang, YY Si, X Chen, H Qi, L Liu, ...","Chemical science 7 (3), 1891-1895",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6328270312364246867,17,2016
Plexin B2 and semaphorin 4C guide T cell recruitment and function in the germinal center,"H Yan, L Wu, C Shih, S Hou, J Shi, T Mao, W Chen, B Melvin, RJ Rigby, ...","Cell reports 19 (5), 995-1007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7370230275659926752,15,2017
Computational reconstruction of cell and tissue surfaces for modeling and data analysis,"F Klauschen, H Qi, JG Egen, RN Germain, M Meier-Schellersheim","Nature protocols 4 (7), 1006",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6243439955549212884,13,2009
Tfh cell differentiation and their function in promoting B-cell responses,"H Qi, X Chen, C Chu, D Liu, W Ma, Y Wang, L Wu, H Yan, J Yan","T Helper Cell Differentiation and Their Function, 153-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11501096191533739591,10,2014
"A stochastic model of the germinal center integrating local antigen competition, individualistic t–b interactions, and b cell receptor signaling","P Wang, C Shih, H Qi, Y Lan","The Journal of Immunology 197 (4), 1169-1182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16532452580373973380,9,2016
A PIP2-derived amplification loop fuels the sustained initiation of B cell activation,"C Xu, H Xie, X Guo, H Gong, L Liu, H Qi, C Xu, W Liu","Science immunology 2 (17), eaan0787",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15517790221156017073,8,2017
Transmembrane domain-mediated Lck association underlies bystander and costimulatory ICOS signaling,"Z Wan, X Shao, X Ji, L Dong, J Wei, Z Xiong, W Liu, H Qi","Cellular & molecular immunology, 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16779618361794209661,5,2018
PTEN-regulated AID transcription in germinal center B cells is essential for the class-switch recombination and IgG antibody responses,"J Wang, S Liu, B Hou, M Yang, Z Dong, H Qi, W Liu","Frontiers in immunology 9, 371",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10967605779190754254,5,2018
Identification of a new isoform of the murine ,"LY Wu, PW Lu, WW Ma, CC Chu, HP Xu, H Qi","Science China Life Sciences 57 (1), 81-87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3913892177934995092,3,2014
T,"Z Wan, Y Lin, Y Zhao, H Qi","Immunological reviews 288 (1), 28-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16278642757056067582,2,2019
Intravital Microscopy of T–B Cell Interactions in Germinal Centers,"C Shih, H Qi","Germinal Centers, 73-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6618837872299929336,2,2017
Nuclear receptors of the NR4a family are not required for the development and function of follicular T helper cells,"W Ma, R Zhao, R Yang, B Liu, X Chen, L Wu, H Qi","International immunopharmacology 28 (2), 841-845",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13509703638215860798,2,2015
External signals regulate germinal center fate-determining transcription factors in the A20 lymphoma cell line,"J Feng, X Liu, X Ni, H Qi","Molecular immunology 93, 79-86",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6662213321932903431,1,2018
Immunology: Nervous crosstalk to make antibodies,H Qi,"Nature 547 (7663), 288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17209788146902265181,1,2017
Erratum: Follicular CXCR5-expressing CD8,"R He, S Hou, C Liu, A Zhang, Q Bai, M Han, Y Yang, G Wei, T Shen, ...","Nature 540 (7633), 470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2799894650534138832,1,2016
A GPR174–CCL21 module imparts sexual dimorphism to humoral immunity,"R Zhao, X Chen, W Ma, J Zhang, J Guo, X Zhong, J Yao, J Sun, ...","Nature, 1-5",,0,2019
Accelerated Article Preview,"R He, S Hou, C Liu, A Zhang, Q Bai, M Han, Y Yang, G Wei, T Shen, ...",,,0,2016
Regulation of the germinal center response by ICOS and ICOSL,"D Liu, H Xu, C Shih, Z Wan, X Ma, W Ma, D Luo, H Qi","中国免疫学会第九届全国免疫学学术大会, 116-117",,0,2014
SAP-Regulated T Cell,"Y Ma, L Zhang, L Wu, H Qi, W Xu, Z Dong, P Yuan, W Wei, C Chu, ...",,,0,2014
is online at: The Journal of ImmunologyInformation about subscribing to Permissions,"DC Amazonensis, H Qi, V Popov, L Soong",,,0,2014
TB entanglement and ICOSL-controlled feed-forward regulation of germinal center reaction,"D Liu, H Xu, C Shih, Z Wan, X Ma, W Ma, D Luo, H Qi",第九届全国免疫学学术大会论文集,,0,2014
Force-based regulation of Immune activation,"AD Mucsi, J Yan, A Ganguly, Z Zhang, MW Amrein, H Qi, Y Shi",第九届全国免疫学学术大会论文集,,0,2014
MicroRNAs of the miR-17∼ 92 family are critical regulators of T FH differentiation,"E Verdin, SG Kang, WH Liu, P Lu, HY Jin, HW Lim, J Shepherd, ...",,,0,2013
"Lymphocyte Migration, Territoriality, Interaction, and Function Assessed by Intravital 2-photon Microscopy","R Germain, A Huang, H Qi, J Egen, F Castellino, M Chieppa, A Rothfuchs, ...","Immunology 125, 43-44",,0,2008
High resolution dynamic visualization of immune cell function in vivo in health and disease.,"RN Germain, AY Huang, H Qi, M Chieppa, J Egen, F Castellino, I Ifrim, ...","CLINICAL IMMUNOLOGY 115, S41-S41",,0,2005
Parasite interactions with dendritic cells and macrophages: Implications for cutaneous Leishmaniasis caused by Leishmania amazonensis,H Qi,,,0,2003
Ronald N. Germain,"RN Germain, AYC Huang, H Qi, JG Egen, F Castellino, M Bajénoff, ...",,,0,0
Pamela L. Schwartzberg,"JL Cannons, J Gomez-Rodriguez, H Qi, K Lu, KL Mueller, R Horai, ...",,,0,0
Ehrlichia chaffeensis Antigenic Variation of,"DH Walker, XJ Yu, SW Long, XF Zhang, H Qi, S Standaert",,,0,0
