Title,Authors,Platform,Cited_url,Cited_count,Year
Streaming video over the Internet: approaches and directions,"D Wu, YT Hou, W Zhu, YQ Zhang, JM Peha","IEEE Transactions on circuits and systems for video technology 11 (3), 282-300",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11332449210593760834,1127,2001
Structural deep network embedding,"D Wang, P Cui, W Zhu",Proceedings of the 22nd ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8610745914304154694,810,2016
Multimedia cloud computing,"W Zhu, C Luo, J Wang, S Li","IEEE Signal Processing Magazine 28 (3), 59-69",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8795397819450288664,512,2011
Peer-to-peer method of quality of service (QoS) probing and analysis and infrastructure employing same,"Q Zhang, W Zhu, XY Zhang, YQ Xiong","US Patent 7,133,368","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14406404632591108577,11642376113157020556",443,2006
Channel and quality of service adaptation for multimedia over wireless networks,"Q Zhang, W Zhu, YQ Zhang, G Wang","US Patent 6,999,432",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16912123760100709875,415,2006
Efficient mobility management for vertical handoff between WWAN and WLAN,"Q Zhang, C Guo, Z Guo, W Zhu","IEEE Communications Magazine 41 (11), 102-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12199910926900421143,414,2003
Asymmetric transitivity preserving graph embedding,"M Ou, P Cui, J Pei, Z Zhang, W Zhu",Proceedings of the 22nd ACM SIGKDD international conference on Knowledge …,,347,2016
Asymmetric transitivity preserving graph embedding,"M Ou, P Cui, J Pei, Z Zhang, W Zhu",Proceedings of the 22nd ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1152961268069489466,347,2016
Network planning in wireless ad hoc networks: a cross-layer approach,"Y Wu, PA Chou, Q Zhang, K Jain, W Zhu, SY Kung","IEEE Journal on selected areas in communications 23 (1), 136-150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11857082258929926117,309,2005
Social contextual recommendation,"M Jiang, P Cui, R Liu, Q Yang, F Wang, W Zhu, S Yang",Proceedings of the 21st ACM international conference on Information and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1401616986105995897,302,2012
On end-to-end architecture for transporting MPEG-4 video over the Internet,"D Wu, YT Hou, W Zhu, HJ Lee, T Chiang, YQ Zhang, HJ Chao","IEEE Transactions on Circuits and Systems for Video Technology 10 (6), 923-941",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15413076660858532835,301,2000
Community preserving network embedding,"X Wang, P Cui, J Wang, J Pei, W Zhu, S Yang",Thirty-First AAAI Conference on Artificial Intelligence,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4332952790202426210,293,2017
Multiresolution watermarking for images and video,"W Zhu, Z Xiong, YQ Zhang","IEEE transactions on circuits and systems for video technology 9 (4), 545-550",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9415822284511520293,282,1999
