Title,Authors,Platform,Cited_url,Cited_count,Year
ABAQUS非线性有限元分析与实例,庄茁，张帆，岑松,科学出版社,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5435796196728739247,6646985091844945644,474781998644243674",514,2005
基于 ABAQUS 的有限元分析和应用,庄茁， 由小川， 廖剑晖， 岑松， 沈新普， 梁明刚,清华大学出版社,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1937180279823175663,15118015963364866635",377,2009
Membrane elements insensitive to distortion using the quadrilateral area coordinate method,"XM Chen, S Cen, YQ Long, ZH Yao","Computers & Structures 82 (1), 35-54",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13567789388998988706,120,2004
Advanced finite element method in structural engineering,"YQ Long, S Cen, ZF Long",Springer & Tsinghua University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18434828646927709505,110,2009
A new twelve DOF quadrilateral element for analysis of thick and thin plates,"AK Soh, S Cen, YQ Long, ZF Long","European Journal of Mechanics-A/Solids 20 (2), 299-326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14917221999633879820,88,2001
Application of the quadrilateral area co‐ordinate method: a new element for Mindlin–Reissner plate,"S Cen, YQ Long, ZH Yao, SP Chiew","International Journal for Numerical Methods in Engineering 66 (1), 1-45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14625332082876762967,83,2006
Area co‐ordinates used in quadrilateral elements,"Y Long, J Li, Z Long, S Cen","Communications in Numerical Methods in Engineering 15 (8), 533-545",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6117074970421582746,79,1999
A 4-node hybrid stress-function (HS-F) plane element with drilling degrees of freedom less sensitive to severe mesh distortions,"S Cen, MJ Zhou, XR Fu","Computers & Structures 89 (5), 517-528",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8727132546626800342,71,2011
A new 4-node quadrilateral FE model with variable electrical degrees of freedom for the analysis of piezoelectric laminated composite plates,"S Cen, AK Soh, YQ Long, ZH Yao","Composite structures 58 (4), 583-599",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17847268389321157388,68,2002
8-and 12-node plane hybrid stress-function elements immune to severely distorted mesh containing elements with concave shapes,"S Cen, XR Fu, MJ Zhou","Computer Methods in Applied Mechanics and Engineering 200 (29), 2321-2336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8862519922564624839,67,2011
Some basic formulae for area co‐ordinates in quadrilateral elements,"Z Long, J Li, S Cen, Y Long","Communications in Numerical Methods in Engineering 15 (12), 841-852",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6413267195739519994,62,1999
Quadrilateral membrane element family formulated by the quadrilateral area coordinate method,"S Cen, XM Chen, XR Fu","Computer Methods in Applied Mechanics and Engineering 196 (41), 4337-4353",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17415548616703505866,61,2007
Analytical trial function method for development of new 8-node plane element based on the variational principle containing Airy stress function,"XR Fu, S Cen, CF Li, XM Chen","Engineering Computations 27 (4), 442-463",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17472916304415827664,59,2010
A new hybrid-enhanced displacement-based element for the analysis of laminated composite plates,"S Cen, Y Long, Z Yao","Computers & structures 80 (9), 819-833",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2361983993817108723,52,2002
A new nine DOF triangular element for analysis of thick and thin plates,"AK Soh, ZF Long, S Cen","Computational Mechanics 24 (5), 408-417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6980718609567169919,52,1999
有限元法新论: 原理・程序・进展,龙志飞， 岑松,中国水利水电出版社,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6682060779289603219,49,2001
四边形单元面积坐标理论,龙驭球， 李聚轩， 龙志飞， 岑松,"工程力学 14 (3), 1-11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5683960796158960126,4030357943909653853",49,1997
Development of eight-node quadrilateral membrane elements using the area coordinates method,"AK Soh, Y Long, S Cen","Computational Mechanics 25 (4), 376-384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13068361798526560034,47,2000
Development of a new quadrilateral thin plate element using area coordinates,"AK Soh, L Zhifei, C Song","Computer Methods in Applied Mechanics and Engineering 190 (8), 979-987",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7406131104711990914,46,2000
A new quadrilateral area coordinate method (QACM‐II) for developing quadrilateral finite element models,"XM Chen, S Cen, XR Fu, YQ Long","International Journal for Numerical Methods in Engineering 73 (13), 1911-1941",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14214233615972573640,41,2008
新型有限元论,龙驭球， 龙志飞， 岑松,清华大学出版社,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8433818388173492584,41,2004
Statistical reconstruction of two-phase random media,"JW Feng, CF Li, S Cen, DRJ Owen","Computers & Structures 137, 78-92",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6726301763207338882,39,2014
对转角场和剪应变场进行合理插值的厚薄板通用四边形单元,岑松， 龙志飞， 龙驭球,"工程力学 16 (4), 1-15","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18116496113661117296,4486273447850298030",39,1999
A shape‐free 8‐node plane element unsymmetric analytical trial function method,"S Cen, GH Zhou, XR Fu","International journal for numerical methods in engineering 91 (2), 158-185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=452019860391639289,34,2012
Shape-free finite element method: the plane hybrid stress-function (HS-F) element method for anisotropic materials,"S Cen, XR Fu, GH Zhou, MJ Zhou, CF Li","Science China Physics, Mechanics and Astronomy 54 (4), 653-665",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=448619826659755546,33,2011
Quadrilateral membrane elements with analytical element stiffness matrices formulated by the new quadrilateral area coordinate method (QACM‐II),"S Cen, XM Chen, CF Li, XR Fu","International journal for numerical methods in engineering 77 (8), 1172-1200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9164143444704671475,32,2009
Hexahedral volume coordinate method (HVCM) and improvements on 3D Wilson hexahedral element,"HG Li, S Cen, ZZ Cen","Computer Methods in Applied Mechanics and Engineering 197 (51), 4531-4548",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=425377469092584626,31,2008
顶板灾害防治,传鸿， 岑,中国矿业大学出版社,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16236252312778871699,29,1994
顶板灾害防治,传鸿， 岑,中国矿业大学出版社,,29,1989
Generalized Neumann Expansion and Its Application in Stochastic Finite Element Methods,"X Wang, S Cen, C Li",Mathematical Problems in Engineering 2013,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4732216543060149759,15660816452470548877",28,2013
四边形单元面积坐标的微分和积分公式,龙志飞， 李聚轩， 岑松， 龙驭球,"工程力学 14 (3), 12-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15508102168172920063,27,1997
Hybrid displacement function element method: a simple hybrid‐Trefftz stress element method for analysis of Mindlin–Reissner plate,"S Cen, Y Shang, CF Li, HG Li","International Journal for Numerical Methods in Engineering 98 (3), 203-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2548569303865063326,26,2014
Developments of Mindlin-Reissner Plate Elements,"S Cen, Y Shang",Mathematical Problems in Engineering 2015,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15500818322383712044,25,2015
"An unsymmetric 4‐node, 8‐DOF plane membrane element perfectly breaking through MacNeal's theorem","S Cen, PL Zhou, CF Li, CJ Wu","International Journal for Numerical Methods in Engineering 103 (7), 469-500",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11239653923083950841,24,2015
"The third form of the quadrilateral area coordinate method (QACM-III): theory, application, and scheme of composite coordinate interpolation","ZF Long, S Cen, L Wang, XR Fu, YQ Long","Finite Elements in Analysis and Design 46 (10), 805-818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16432638862196037874,24,2010
The analytical element stiffness matrix of a recent 4‐node membrane element formulated by the quadrilateral area co‐ordinate method,"S Cen, Y Du, XM Chen, XR Fu","Communications in Numerical Methods in Engineering 23 (12), 1095-1110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9777038593903436021,23,2007
Predictions of elastic property on 2.5 DC/SiC composites based on numerical modeling and semi-analytical method,"L Chen, X Yao, S Cen","Composites Part B: Engineering 74, 53-65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10209608604327641203,22,2015
有限元方法: 固体力学. 第 2 卷,辛克维奇， 泰勒， 庄茁， 岑松,清华大学出版社,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17560182616416771328,1069514482768137279",22,2006
对转角场和剪应变场进行合理插值的厚板元,岑松， 龙志飞,"工程力学 15 (3), 1-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18201313982136844920,21,1998
Multiphysics Modeling: Numerical Methods and Engineering Applications: Tsinghua University Press Computational Mechanics Series,"Q Zhang, S Cen",Elsevier,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=256176518895588786,19,2015
Application of the quadrilateral area coordinate method: a new element for laminated composite plate bending problems,"S Cen, X Fu, Y Long, H Li, Z Yao","Acta Mechanica Sinica 23 (5), 561-575",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7972371511559500681,19,2007
Numerical determination of effective properties of voided piezoelectric materials using BNM,"H Wang, G Tan, S Cen, Z Yao","Engineering analysis with boundary elements 29 (6), 636-646",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9191672707141406628,19,2005
采用面积坐标的四边形厚薄板通用单元,岑松， 龙驭球,"工程力学 16 (2), 1-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2559133990410215075,19,1999
基于一阶剪切变形理论的新型复合材料层合板单元,岑松， 龙驭球,"工程力学 19 (1), 1-8","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6433963219766124193,5658471843732991732",18,2002
Geometrically nonlinear analysis with a 4-node membrane element formulated by the quadrilateral area coordinate method,"Y Du, S Cen","Finite Elements in Analysis and Design 44 (8), 427-438",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2905489400689014877,17,2008
一种新型厚薄板通用三角形广义协调元,岑松， 龙志飞,"工程力学 15 (1), 10-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=549862559192134363,17,1998
An unsymmetric 8‐node hexahedral element with high distortion tolerance,"PL Zhou, S Cen, JB Huang, CF Li, Q Zhang",International Journal for Numerical Methods in Engineering,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2897372799511465718,16,2016
Development of triangular flat-shell element using a new thin-thick plate bending element based on SemiLoof constrains,"YL Chen, S Cen, ZH Yao, YQ Long, ZF Long","Structural Engineering and Mechanics 15 (1), 83-114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7419295710547753742,16,2003
Comparing different fidelity models for the impact analysis of large commercial aircrafts on a containment building,"X Lu, K Lin, S Cen, Z Xu, L Lin","Engineering Failure Analysis 57, 254-269",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1916445094710785221,15,2015
