Title,Authors,Platform,Cited_url,Cited_count,Year
Structural basis for flg22-induced activation of the Arabidopsis FLS2-BAK1 immune complex,"Y Sun, L Li, AP Macho, Z Han, Z Hu, C Zipfel, JM Zhou, J Chai","Science 342 (6158), 624-628",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2930961615543377493,400,2013
Chitin-induced dimerization activates a plant immune receptor,"T Liu, Z Liu, C Song, Y Hu, Z Han, J She, F Fan, J Wang, C Jin, J Chang, ...","Science 336 (6085), 1160-1164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4773527437326003553,384,2012
Structural insight into brassinosteroid perception by BRI1,"J She, Z Han, TW Kim, J Wang, W Cheng, J Chang, S Shi, J Wang, ...","Nature 474 (7352), 472",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6204991940665175308,287,2011
Crystal structure of the FTO protein reveals basis for its substrate specificity,"Z Han, T Niu, J Chang, X Lei, M Zhao, Q Wang, W Cheng, J Wang, Y Feng, ...","Nature 464 (7292), 1205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4376463462846199287,257,2010
Dense chromatin activates Polycomb repressive complex 2 to regulate H3 lysine 27 methylation,"W Yuan, T Wu, H Fu, C Dai, H Wu, N Liu, X Li, M Xu, Z Zhang, T Niu, ...","science 337 (6097), 971-975",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9123112469790880082,211,2012
Structure reveals that BAK1 as a co-receptor recognizes the BRI1-bound brassinolide,"Y Sun, Z Han, J Tang, Z Hu, C Chai, B Zhou, J Chai","Cell research 23 (11), 1326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5229280299753013139,156,2013
Structural basis for the specific recognition of methylated histone H3 lysine 4 by the WD-40 protein WDR5,"Z Han, L Guo, H Wang, Y Shen, XW Deng, J Chai","Molecular cell 22 (1), 137-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8789069677106253453,148,2006
Structural basis of EZH2 recognition by EED,"Z Han, X Xing, M Hu, Y Zhang, P Liu, J Chai","Structure 15 (10), 1306-1315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2269931684779802065,111,2007
Crystal structure of a TALE protein reveals an extended N-terminal DNA binding region,"H Gao, X Wu, J Chai, Z Han","Cell research 22 (12), 1716",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17655005974792790177,104,2012
Allosteric receptor activation by the plant peptide hormone phytosulfokine,"J Wang, H Li, Z Han, H Zhang, T Wang, G Lin, J Chang, W Yang, J Chai","Nature 525 (7568), 265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11542337036921009073,98,2015
Structural basis for recognition of an endogenous peptide by the plant receptor kinase PEPR1,"CJ Tang J, Han Z, Sun Y, Zhang H, Gong X",Cell Res.,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1695953123820451481,86,2014
Signature motif-guided identification of receptors for peptide hormones essential for root meristem growth,"W Song, L Liu, J Wang, Z Wu, H Zhang, J Tang, G Lin, Y Wang, X Wen, ...","Cell research 26 (6), 674",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14327577323113844515,64,2016
Crystal structure of PXY-TDIF complex reveals a conserved recognition mechanism among CLE peptide-receptor pairs,"H Zhang, X Lin, Z Han, LJ Qu, J Chai","Cell research 26 (5), 543",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7888120523283270273,60,2016
A companion cell–dominant and developmentally regulated H3K4 demethylase controls flowering time in Arabidopsis via the repression of FLC expression,"H Yang, Z Han, Y Cao, D Fan, H Li, H Mo, Y Feng, L Liu, Z Wang, Y Yue, ...","PLoS genetics 8 (4), e1002664",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4593076535764470025,56,2012
Structural insight into the activation of plant receptor kinases,"Z Han, Y Sun, J Chai","Current opinion in plant biology 20, 55-63",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2503482780862713176,53,2014
SERK family receptor-like kinases function as co-receptors with PXY for plant vascular development,"H Zhang, X Lin, Z Han, J Wang, LJ Qu, J Chai","Molecular plant 9 (10), 1406-1414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5042633269789829475,42,2016
Reconstitution and structure of a plant NLR resistosome conferring immunity,"J Wang, M Hu, J Wang, J Qi, Z Han, G Wang, Y Qi, HW Wang, JM Zhou, ...","Science 364 (6435), eaav5870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7867287485920480309,41,2019
Structural basis for specific recognition of single-stranded RNA by Toll-like receptor 13,"W Song, J Wang, Z Han, Y Zhang, H Zhang, W Wang, J Chang, B Xia, ...","Nature structural & molecular biology 22 (10), 782",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10081647793481411326,38,2015
Ligand-triggered allosteric ADP release primes a plant NLR complex,"J Wang, J Wang, M Hu, S Wu, J Qi, G Wang, Z Han, Y Qi, N Gao, ...","Science 364 (6435), eaav5868",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7393875140612605777,35,2019
