Title,Authors,Platform,Cited_url,Cited_count,Year
On-road vehicle emissions and their control in China: A review and outlook,"Y Wu, S Zhang, J Hao, H Liu, X Wu, J Hu, MP Walsh, TJ Wallington, ...","Science of the Total Environment 574, 332-349",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6122643041523299282,138,2017
Real-world fuel consumption and CO2 emissions of urban public buses in Beijing,"S Zhang, Y Wu, H Liu, R Huang, L Yang, Z Li, L Fu, J Hao","Applied Energy 113, 1645-1655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9188987243263004230,137,2014
"Historic and future trends of vehicle emissions in Beijing, 1998-2020: A policy assessment for the most stringent vehicle emission control program in China","S Zhang, Y Wu, X Wu, M Li, Y Ge, B Liang, Y Xu, Y Zhou, H Liu, L Fu, ...","Atmospheric Environment 89, 216-229",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5112340816943681183,120,2014
Real-world fuel consumption and CO2 (carbon dioxide) emissions by driving conditions for light-duty passenger vehicles in China,"S Zhang, Y Wu, H Liu, R Huang, P Un, Y Zhou, L Fu, J Hao","Energy 69, 247-257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2000824752481001438,99,2014
The challenge to NOx emission control for heavy-duty diesel vehicles in China,"Y Wu, S Zhang, M Li, Y Ge, J Shu, Y Zhou, Y Xu, J Hu, H Liu, L Fu, K He, ...","Atmospheric Chemistry and Physics 12, 9365-9379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16271997568209432163,97,2012
"Characterization of personal exposure concentration of fine particles for adults and children exposed to high ambient concentrations in Beijing, China","X Du, Q Kong, W Ge, S Zhang, L Fu","Journal of Environmental Sciences 22 (11), 1757-1764",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14710712232829696744,85,2010
"Assessment of vehicle emission programs in China during 1998-2013: achievement, challenges and implications","X Wu, Y Wu, S Zhang, H Liu, L Fu, J Hao","Environmental Pollution 214, 556-567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8204306715859066285,81,2016
Well-to-wheels energy consumption and emissions of electric vehicles: mid-term implications from real-world features and air pollution control progress,"W Ke, S Zhang, X He, Y Wu, J Hao","Applied Energy 188, 367-377",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11274542508552326142,79,2017
Characterization and source apportionment of particulate PAHs in the roadside environment in Beijing,"Y Wu, L Yang, X Zheng, S Zhang, S Song, J Li, J Hao","Science of the Total Environment, 76-83",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2946118971550893684,76,2014
Real-world performance of battery electric buses and their life-cycle benefits with respect to energy consumption and carbon dioxide emissions,"B Zhou, Y Wu, B Zhou, R Wang, W Ke, S Zhang, J Hao","Energy 96 (1), 603-613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6466043023663245623,75,2016
