Title,Authors,Platform,Cited_url,Cited_count,Year
GRACE satellite monitoring of large depletion in water storage in response to the 2011 drought in Texas,"D Long, BR Scanlon, L Longuevergne, AY Sun, DN Fernando, H Save","Geophysical Research Letters 40 (13), 3395-3401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5940585369130112524,209,2013
"Uncertainty in evapotranspiration from land surface modeling, remote sensing, and GRACE satellites","D Long, L Longuevergne, BR Scanlon","Water Resources Research 50 (2), 1131-1151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7635903624747498635,205,2014
Evaluation of GPM Day-1 IMERG and TMPA Version-7 legacy products over Mainland China at multiple spatiotemporal scales,"G Tang, Y Ma, D Long, L Zhong, Y Hong","Journal of Hydrology 533, 152-167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5970495058650869225,189,2016
"Ground referencing GRACE satellite estimates of groundwater storage changes in the California Central Valley, USA","BR Scanlon, L Longuevergne, D Long",Water Resources Research 48 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16206175975880409564,183,2012
A two-source trapezoid model for evapotranspiration (TTME) from satellite imagery,"D Long, VP Singh","Remote Sensing of Environment 121, 370-388",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16589582975712398118,151,2012
Quantifying the impacts of climate change and ecological restoration on streamflow changes based on a B udyko hydrological model in C hina's L oess P lateau,"W Liang, D Bai, F Wang, B Fu, J Yan, S Wang, Y Yang, D Long, M Feng","Water Resources Research 51 (8), 6500-6519",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16768300474800328242,136,2015
Statistical and hydrological comparisons between TRMM and GPM level-3 products over a midlatitude basin: Is day-1 IMERG a good successor for TMPA 3B42V7?,"G Tang, Z Zeng, D Long, X Guo, B Yong, W Zhang, Y Hong","Journal of Hydrometeorology 17 (1), 121-137",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14537737328833098313,114,2016
Drought and flood monitoring for a large karst plateau in Southwest China using extended GRACE data,"D Long, Y Shen, A Sun, Y Hong, L Longuevergne, Y Yang, B Li, L Chen","Remote Sensing of Environment 155, 145-160",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=254531383505554423,112,2014
Global analysis of approaches for deriving total water storage changes from GRACE satellites,"D Long, L Longuevergne, BR Scanlon","Water Resources Research 51 (4), 2574-2594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14878703988778946352,111,2015
Analysis of spatial and temporal patterns of net primary production and their climate controls in China from 1982 to 2010,"W Liang, Y Yang, D Fan, H Guan, T Zhang, D Long, Y Zhou, D Bai","Agricultural and Forest Meteorology 204, 22-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13473742957693935578,95,2015
"How sensitive is SEBAL to changes in input variables, domain size and satellite sensor?","D Long, VP Singh, ZL Li",Journal of Geophysical Research: Atmospheres 116 (D21),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12126631881909212941,94,2011
Contrasting responses of water use efficiency to drought across global terrestrial ecosystems,"Y Yang, H Guan, O Batelaan, TR McVicar, D Long, S Piao, W Liang, B Liu, ...","Scientific reports 6, 23284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10578000506156104850,92,2016
Global evaluation of new GRACE mascon products for hydrologic applications,"BR Scanlon, Z Zhang, H Save, DN Wiese, FW Landerer, D Long, ...","Water Resources Research 52 (12), 9412-9429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13371685893695869461,89,2016
Have GRACE satellites overestimated groundwater depletion in the Northwest India Aquifer?,"D Long, X Chen, BR Scanlon, Y Wada, Y Hong, VP Singh, Y Chen, ...","Scientific reports 6, 24398",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1007424748608006480,89,2016
Deriving scaling factors using a global hydrological model to restore GRACE total water storage changes for China's Yangtze River Basin,"D Long, Y Yang, Y Wada, Y Hong, W Liang, Y Chen, B Yong, A Hou, ...","Remote Sensing of Environment 168, 177-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10583708647766908907,86,2015
Global models underestimate large decadal declining and rising water storage trends relative to GRACE satellite data,"BR Scanlon, Z Zhang, H Save, AY Sun, HM Schmied, LPH van Beek, ...","Proceedings of the National Academy of Sciences 115 (6), E1080-E1089",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8406746587053099349,84,2018
Estimation of daily average net radiation from MODIS data and DEM over the Baiyangdian watershed in North China for clear sky days,"D Long, Y Gao, VP Singh","Journal of Hydrology 388 (3-4), 217-233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8357479848420711015,80,2010
Assessing the impact of end‐member selection on the accuracy of satellite‐based spatial variability models for actual evapotranspiration estimation,"D Long, VP Singh","Water Resources Research 49 (5), 2601-2618",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12321070986266993552,75,2013
A modified surface energy balance algorithm for land (M‐SEBAL) based on a trapezoidal framework,"D Long, VP Singh",Water Resources Research 48 (2),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11586149766806539633,6514850017565700791",74,2012
Comparison of three dual‐source remote sensing evapotranspiration models during the MUSOEXE‐12 campaign: Revisit of model physics,"Y Yang, D Long, H Guan, W Liang, C Simmons, O Batelaan","Water resources research 51 (5), 3145-3165",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6201233737890608538,73,2015
GRACE satellite observed hydrological controls on interannual and seasonal variability in surface greenness over mainland Australia,"Y Yang, D Long, H Guan, BR Scanlon, CT Simmons, L Jiang, X Xu","Journal of Geophysical Research: Biogeosciences 119 (12), 2245-2260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7751810651342701004,70,2014
Estimation of daily actual evapotranspiration from remotely sensed data under complex terrain over the upper Chao river basin in North China,"Y Gao, D Long, ZL Li","International Journal of Remote Sensing 29 (11), 3295-3315",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12084097021221673593,69,2008
Deriving theoretical boundaries to address scale dependencies of triangle models for evapotranspiration estimation,"D Long, VP Singh, BR Scanlon",Journal of Geophysical Research: Atmospheres 117 (D5),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3226575955727637987,67,2012
Remote estimation of terrestrial evapotranspiration without using meteorological data,"Y Yang, D Long, S Shang","Geophysical Research Letters 40 (12), 3026-3030",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=924609249142671160,66,2013
Global analysis of spatiotemporal variability in merged total water storage changes using multiple GRACE products and global hydrological models,"D Long, Y Pan, J Zhou, Y Chen, X Hou, Y Hong, BR Scanlon, ...","Remote sensing of environment 192, 198-216",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8499602642038341135,64,2017
Similarity and error intercomparison of the GPM and its predecessor-TRMM multisatellite precipitation analysis using the best available hourly gauge network over the Tibetan …,"Y Ma, G Tang, D Long, B Yong, L Zhong, W Wan, Y Hong","Remote sensing 8 (7), 569",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5148006141848062840,63,2016
Intercomparison of remote sensing‐based models for estimation of evapotranspiration and accuracy assessment based on SWAT,"Y Gao, D Long","Hydrological Processes: An International Journal 22 (25), 4850-4869",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1108978628998181840,60,2008
Integration of the GG model with SEBAL to produce time series of evapotranspiration of high spatial resolution at watershed scales,"D Long, VP Singh",Journal of Geophysical Research: Atmospheres 115 (D21),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1591025299464941598,51,2010
Hydrologic implications of GRACE satellite data in the C olorado R iver B asin,"BR Scanlon, Z Zhang, RC Reedy, DR Pool, H Save, D Long, J Chen, ...","Water Resources Research 51 (12), 9891-9903",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=419336238990543291,48,2015
Improved modeling of snow and glacier melting by a progressive two‐stage calibration strategy with GRACE and multisource data: How snow and glacier meltwater contributes to the …,"X Chen, D Long, Y Hong, C Zeng, D Yan","Water Resources Research 53 (3), 2431-2466",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16285400127854250715,47,2017
Characterizing interactions between surface water and groundwater in the Jialu River basin using major ion chemistry and stable isotopes,"L Yang, X Song, Y Zhang, D Han, B Zhang, D Long","Hydrology and Earth System Sciences 16 (11), 4265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4164994068708086314,44,2012
"A lake data set for the Tibetan Plateau from the 1960s, 2005, and 2014","W Wan, D Long, Y Hong, Y Ma, Y Yuan, P Xiao, H Duan, Z Han, X Gu","Scientific data 3, 160039",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1037195089072777104,41,2016
Statistical analysis of the relationship between spring soil moisture and summer precipitation in East China,"L Meng, D Long, SM Quiring, Y Shen","International Journal of Climatology 34 (5), 1511-1523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10880690564876622861,36,2014
Impacts of varying agricultural intensification on crop yield and groundwater resources: Comparison of the North China Plain and US High Plains,"H Pei, BR Scanlon, Y Shen, RC Reedy, D Long, C Liu","Environmental Research Letters 10 (4), 044013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9829984528667686174,35,2015
Observed changes in flow regimes in the Mekong River basin,"D Li, D Long, J Zhao, H Lu, Y Hong","Journal of Hydrology 551, 217-232",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8136602677238830509,34,2017
Assessing the potential of satellite-based precipitation estimates for flood frequency analysis in ungauged or poorly gauged tributaries of China’s Yangtze River basin,"Z Gao, D Long, G Tang, C Zeng, J Huang, Y Hong","Journal of hydrology 550, 478-496",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10780323550996415496,32,2017
Accounting for spatiotemporal errors of gauges: A critical step to evaluate gridded precipitation products,"G Tang, A Behrangi, D Long, C Li, Y Hong","Journal of hydrology 559, 294-306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17619667656589342265,30,2018
Performance of optimally merged multisatellite precipitation products using the dynamic Bayesian model averaging scheme over the Tibetan Plateau,"Y Ma, Y Hong, Y Chen, Y Yang, G Tang, Y Yao, D Long, C Li, Z Han, ...","Journal of Geophysical Research: Atmospheres 123 (2), 814-834",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=62826791797689897,22,2018
A comprehensive data set of lake surface water temperature over the Tibetan Plateau derived from MODIS LST products 2001–2015,"W Wan, H Li, H Xie, Y Hong, D Long, L Zhao, Z Han, Y Cui, B Liu, C Wang, ...","Scientific data 4, 170095",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14713429341155375668,22,2017
Validation and reconstruction of FY-3B/MWRI soil moisture using an artificial neural network based on reconstructed MODIS optical products over the Tibetan Plateau,"Y Cui, D Long, Y Hong, C Zeng, J Zhou, Z Han, R Liu, W Wan","Journal of Hydrology 543, 242-254",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12024559217520675629,22,2016
Estimation of surface soil moisture from thermal infrared remote sensing using an improved trapezoid method,"Y Yang, H Guan, D Long, B Liu, G Qin, J Qin, O Batelaan","Remote Sensing 7 (7), 8250-8270",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7910209426411478174,22,2015
Documentation of multifactorial relationships between precipitation and topography of the Tibetan Plateau using spaceborne precipitation radars,"G Tang, D Long, Y Hong, J Gao, W Wan","Remote sensing of environment 208, 82-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12934292262501739678,21,2018
Multi-scale validation of GLEAM evapotranspiration products over China via ChinaFLUX ET measurements,"X Yang, B Yong, L Ren, Y Zhang, D Long","International Journal of Remote Sensing 38 (20), 5688-5709",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9847665099964709854,20,2017
Systematic anomalies over inland water bodies of High Mountain Asia in TRMM precipitation estimates: no longer a problem for the GPM era?,"G Tang, D Long, Y Hong","IEEE Geoscience and remote sensing letters 13 (12), 1762-1766",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13634022818884250492,20,2016
Similarities and differences between three coexisting spaceborne radars in global rainfall and snowfall estimation,"G Tang, Y Wen, J Gao, D Long, Y Ma, W Wan, Y Hong","Water resources research 53 (5), 3835-3853",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2424781013957215532,19,2017
Monitoring surface water quality using social media in the context of citizen science,"H Zheng, Y Hong, D Long, H Jing","Hydrology and Earth System Sciences 21 (2), 949-961",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1742486103231858240,16,2017
An Entropy-Based Multispectral Image Classification Algorithm,"D Long, VP Singh","IEEE Transactions on Geoscience and Remote Sensing 51 (12), 5225-5238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13955496793175585684,16,2013
Impacts of future land cover and climate changes on runoff in the mostly afforested river basin in North China,"W Yang, D Long, P Bai","Journal of hydrology 570, 201-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16538465880956144704,15,2019
Discharge estimation in high-mountain regions with improved methods using multisource remote sensing: A case study of the Upper Brahmaputra River,"Q Huang, D Long, M Du, C Zeng, G Qiao, X Li, A Hou, Y Hong","Remote sensing of environment 219, 115-134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1654748026948179035,15,2018
Observed radiative cooling over the Tibetan Plateau for the past three decades driven by snow cover‐induced surface albedo anomaly,"X Chen, D Long, Y Hong, S Liang, A Hou","Journal of Geophysical Research: Atmospheres 122 (12), 6170-6185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12491492341539590095,15,2017
Improved understanding of snowmelt runoff from the headwaters of China's Yangtze River using remotely sensed snow products and hydrological modeling,"P Han, D Long, Z Han, M Du, L Dai, X Hao","Remote Sensing of Environment 224, 44-59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12618071544835201563,14,2019
An improved approach to monitoring Brahmaputra River water levels using retracked altimetry data,"Q Huang, D Long, M Du, C Zeng, X Li, A Hou, Y Hong","Remote sensing of environment 211, 112-128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16497078921562155837,14,2018
Toward the use of the MODIS ET product to estimate terrestrial GPP for nonforest ecosystems,"Y Yang, H Guan, S Shang, D Long, CT Simmons","IEEE Geoscience and Remote Sensing Letters 11 (9), 1624-1628",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5117034145100834437,14,2014
Spatio-temporal variations of δ,"X Liu, X Song, Y Zhang, J Xia, X Zhang, J Yu, D Long, F Li, B Zhang","Environmental Earth Sciences 63 (5), 1105-1118","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12266770594451652320,8406718508419976281,2113279684916893762",14,2011
A two-step framework for reconstructing remotely sensed land surface temperatures contaminated by cloud,"C Zeng, D Long, H Shen, P Wu, Y Cui, Y Hong","ISPRS journal of photogrammetry and remote sensing 141, 30-45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17575850782113479767,13,2018
Developing a composite daily snow cover extent record over the Tibetan Plateau from 1981 to 2016 using multisource data,"X Chen, D Long, S Liang, L He, C Zeng, X Hao, Y Hong","Remote sensing of environment 215, 284-299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10866454549276442504,12,2018
"A cascading flash flood guidance system: development and application in Yunnan Province, China","Z Zeng, G Tang, D Long, C Zeng, M Ma, Y Hong, H Xu, J Xu","Natural Hazards 84 (3), 2071-2093",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16911840419069917674,10,2016
Initial results of China’s GNSS-R airborne campaign: soil moisture retrievals,"W Wan, W Bai, L Zhao, D Long, Y Sun, X Meng, H Chen, X Cui, Y Hong","Science Bulletin 60 (10), 964-971",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11237320081126691363,9,2015
Are temperature and precipitation extremes increasing over the US high plains?,"D Long, BR Scanlon, DN Fernando, L Meng, SM Quiring","Earth Interactions 16 (16), 1-20",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=195316052737027081,9,2012
Exploring deep neural networks to retrieve rain and snow in high latitudes using multisensor and reanalysis data,"G Tang, D Long, A Behrangi, C Wang, Y Hong","Water Resources Research 54 (10), 8253-8278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10119908565169993724,7,2018
Impacts of climate change and human activities on the flow regime of the dammed Lancang River in Southwest China,"Z Han, D Long, Y Fang, A Hou, Y Hong","Journal of hydrology 570, 96-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3505049374532320166,6,2019
Reconstructing annual groundwater storage changes in a large-scale irrigation region using GRACE data and Budyko model,"Y Tang, M Hooshyar, T Zhu, C Ringler, AY Sun, D Long, D Wang","Journal of hydrology 551, 397-406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17133229980043154241,6,2017
Estimation of surface soil moisture with downscaled land surface temperatures using a data fusion approach for heterogeneous agricultural land,"L Bai, D Long, L Yan","Water Resources Research 55 (2), 1105-1128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18436325547562849890,4,2019
An overview and outlook of global water remote sensing technology and applications,"GQ TANG, D LONG, W WAN, ZY ZENG, XL GUO, Y HONG","SCIENTIA SINICA Technologica 45 (10), 1013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7309162717266872109,4,2015
Climatology of snow phenology over the Tibetan plateau for the period 2001–2014 using multisource data,"X Chen, D Long, Y Hong, X Hao, A Hou","International Journal of Climatology 38 (6), 2718-2729",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7603009627482142112,3,2018
Development of GIS-based FFPI for China's flash flood forecasting,"Z Zeng, G Tang, D Long, H Xu, Y Chen, Y Hong","2015 23rd International Conference on Geoinformatics, 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4120367726172384403,3,2015
