Title,Authors,Platform,Cited_url,Cited_count,Year
Clean coal technology development in China,"W Chen, R Xu","Energy policy 38 (5), 2123-2130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5955386036301979697,303,2010
Numerical investigation of fluid flow and heat transfer in a doublet enhanced geothermal system with CO2 as the working fluid (CO2–EGS),"F Luo, RN Xu, PX Jiang","Energy 64, 307-322",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5222693863870585251,74,2014
Numerical simulation of fluid flow in microporous media,"RN Xu, PX Jiang","International Journal of Heat and Fluid Flow 29 (5), 1447-1455",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3019243034596116177,57,2008
Numerical investigation of the influence of vertical permeability heterogeneity in stratified formation and of injection/production well perforation placement on CO2 geological …,"F Luo, RN Xu, PX Jiang","Applied energy 102, 1314-1323",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=896270545629631668,49,2013
Flow and thermal modeling of CO2 in injection well during geological sequestration,"B Ruan, R Xu, L Wei, X Ouyang, F Luo, P Jiang","International Journal of Greenhouse Gas Control 19, 271-280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8998982121708936302,45,2013
Thermal boundary conditions of local thermal non-equilibrium model for convection heat transfer in porous media,"XL Ouyang, PX Jiang, RN Xu","International Journal of Heat and Mass Transfer 60, 31-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=108605908042834112,44,2013
Particle-to-fluid heat transfer coefficients in miniporous media,"PX Jiang, RN Xu, W Gong","Chemical engineering science 61 (22), 7213-7222",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11099577978651075048,42,2006
System thermodynamic performance comparison of CO2-EGS and water-EGS systems,"FZ Zhang, PX Jiang, RN Xu","Applied Thermal Engineering 61 (2), 236-244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9778878768642535797,39,2013
"Thermal modeling of CO2 in the injection well and reservoir at the Ordos CCS demonstration project, China","P Jiang, X Li, R Xu, Y Wang, M Chen, H Wang, B Ruan","International journal of greenhouse gas control 23, 135-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11911817951943167365,38,2014
Two‐phase flow properties of a sandstone rock for the CO,"JC Manceau, J Ma, R Li, P Audigane, PX Jiang, RN Xu, J Tremosa, ...","Water Resources Research 51 (4), 2885-2900",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14266527203078898924,34,2015
Experimental investigation of silica-based nanofluid enhanced oil recovery: the effect of wettability alteration,"R Li, P Jiang, C Gao, F Huang, R Xu, X Chen","Energy & Fuels 31 (1), 188-197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17167510660886581287,33,2016
Novel molecular simulation process design of adsorption in realistic shale kerogen spherical pores,"B Zhou, R Xu, P Jiang","Fuel 180, 718-726",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9817257903838624065,33,2016
Study on water droplet flash evaporation in vacuum spray cooling,"C Wang, R Xu, Y Song, P Jiang","International Journal of Heat and Mass Transfer 112, 279-288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3490537799753971806,31,2017
CCS scenarios optimization by spatial multi-criteria analysis: Application to multiple source sink matching in Hebei province,"W Chen, YM Le Nindre, R Xu, D Allier, F Teng, K Domptail, X Xiang, ...","International Journal of Greenhouse Gas Control 4 (2), 341-350",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13429230455187453142,29,2010
Buoyancy effects on turbulent heat transfer of supercritical CO2 in a vertical mini-tube based on continuous wall temperature measurements,"RN Xu, F Luo, PX Jiang","International Journal of Heat and Mass Transfer 110, 576-586",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14337771520711681969,26,2017
Experimental research on the turbulent convection heat transfer of supercritical pressure CO2 in a serpentine vertical mini tube,"RN Xu, F Luo, PX Jiang","International Journal of Heat and Mass Transfer 91, 552-561",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8762571294190388453,25,2015
Experimental investigation of convection heat transfer in mini-fin structures and sintered porous media,"PX Jiang, RN Xu, M Li",Journal of Enhanced Heat Transfer 11 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9529406970257974314,25,2004
A review on heat transfer and energy conversion in the enhanced geothermal systems with water/CO2 as working fluid,"R Xu, L Zhang, F Zhang, P Jiang","International Journal of Energy Research 39 (13), 1722-1741",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8257953296246972953,21,2015
Pore scale numerical simulation of supercritical CO2 injecting into porous media containing water,"R Xu, S Luo, P Jiang","Energy Procedia 4, 4418-4424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8575928421413428809,20,2011
Review on active thermal protection and its heat transfer for airbreathing hypersonic vehicles,"ZHU Yinhai, P Wei, XU Ruina, P Jiang","Chinese Journal of Aeronautics 31 (10), 1929-1953",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11516682022564428367,19,2018
Assessing the feasibility and CO2 storage capacity of CO2 enhanced shale gas recovery using Triple-Porosity reservoir model,"R Xu, K Zeng, C Zhang, P Jiang","Applied Thermal Engineering 115, 1306-1314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17013934237879736467,18,2017
Heat extraction of novel underground well pattern systems for geothermal energy exploitation,"P Jiang, X Li, R Xu, F Zhang","Renewable energy 90, 83-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=648971780268805010,18,2016
Water droplet spreading and wicking on nanostructured surfaces,"X Chen, J Chen, X Ouyang, Y Song, R Xu, P Jiang","Langmuir 33 (27), 6701-6707",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8469927289529282613,17,2017
Convective heat transfer of supercritical CO2 in a rock fracture for enhanced geothermal systems,"L Zhang, P Jiang, Z Wang, R Xu","Applied Thermal Engineering 115, 923-936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12138020469554505266,17,2017
Thermodynamic analysis of enhanced geothermal systems using impure CO2 as the geofluid,"FZ Zhang, RN Xu, PX Jiang","Applied Thermal Engineering 99, 1277-1285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18278266639776352934,17,2016
Heat transfer and pressure drop characteristics of mini-fin structures,"PX Jiang, RN Xu","International Journal of Heat and Fluid Flow 28 (5), 1167-1177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4381110071419718956,17,2007
Pore-scale numerical investigations of fluid flow in porous media using lattice Boltzmann method,"C Gao, RN Xu, PX Jiang",International Journal of Numerical Methods for Heat & Fluid Flow 25 (8 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3426947290419415069,16,2015
Effect of reactive surface area of minerals on mineralization trapping of CO,"S Luo, R Xu, P Jiang","Petroleum Science 9 (3), 400-407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=410056664038975720,16,2012
Biomimetic self-pumping transpiration cooling for additive manufactured porous module with tree-like micro-channel,"G Huang, Y Zhu, Z Liao, R Xu, PX Jiang","International Journal of Heat and Mass Transfer 131, 403-410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14111386642275045267,15,2019
Subcooled flow boiling of water in a large aspect ratio microchannel,"L Yin, R Xu, P Jiang, H Cai, L Jia","International Journal of Heat and Mass Transfer 112, 1081-1089",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9782841200612286869,15,2017
Experimental study of convective heat transfer of carbon dioxide at supercritical pressures in a horizontal rock fracture and its application to enhanced geothermal systems,"P Jiang, L Zhang, R Xu","Applied Thermal Engineering 117, 39-49",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11316196175767013120,15,2017
Thermodynamic analysis of a solar–enhanced geothermal hybrid power plant using CO2 as working fluid,"PX Jiang, FZ Zhang, RN Xu","Applied Thermal Engineering 116, 463-472",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5987906835758610663,15,2017
"Characterization of the reservoir in Lower Silurian and Lower Cambrian shale of south Sichuan Basin, China","H Xue, P Jiang, R Xu, B Zhao, Z Shangwen","Journal of Natural Gas Science and Engineering 29, 150-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3001996642020129242,15,2016
Modeling of wellbore dynamics of a CO2 injector during transient well shut-in and start-up operations,"X Li, R Xu, L Wei, P Jiang","International Journal of Greenhouse Gas Control 42, 602-614",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15166592764063919129,15,2015
Heat transfer and fluid transport of supercritical CO2 in enhanced geothermal system with local thermal non-equilibrium model,"L Zhang, F Luo, R Xu, P Jiang, H Liu",Energy Procedia 63 (C),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6869487975486346036,15,2014
"Mitigation actions in China: Measurement, reporting and verification","F Teng, Y Wang, A Gu, R Xu, H McMahon, D Seligsohn","World Resources Institute Working Paper on behalf of E3G, World Resources …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13630740169215230349,15,2009
CCS scenarios optimisation by spatial multi-criteria analysis: application to multiple source-sink matching in the Bohai Basin (North China),"W Chen, F Teng, R Xu, X Xiang, R Zeng, K Domptail, D Allier, ...","Energy Procedia 1 (1), 4167-4174",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3060182253184090173,15,2009
Internal heat transfer coefficients in microporous media with rarefaction effects,"RN Xu, YL Huang, PX Jiang, BX Wang","Science China Technological Sciences 55 (10), 2869-2876",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8758620845268302108,14,2012
Pore-scale visualization on a depressurization-induced CO2 exsolution,"R Xu, R Li, F Huang, P Jiang","Science Bulletin 62 (11), 795-803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10163205576707322197,13,2017
Visualization experimental investigations of supercritical CO2 inject into porous media with the fissure defect,"S Luo, R Xu, P Jiang, X Huang","Energy Procedia 4, 4411-4417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1548986487244972357,13,2011
"Carbon dioxide storage options for the COACH project in the Bohai Basin, China","C Vincent, S Dai, C Wenying, Z Rongshu, D Guosheng, R Xu, ...","Energy Procedia 1 (1), 2785-2792",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15096550784640112206,13,2009
Effect of Mineral Dissolution/Precipitation and CO,"R Xu, R Li, J Ma, D He, P Jiang","Accounts of chemical research 50 (9), 2056-2066",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11341237678939504190,11,2017
Visualization of flow patterns and bubble behavior during flow boiling in open microchannels,"L Yin, P Jiang, R Xu, WT Wang, L Jia","International Communications in Heat and Mass Transfer 85, 131-138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15564196977363767236,11,2017
Numerical investigation of the flow dynamics and evaporative cooling of water droplets impinging onto heated surfaces: an effective approach to identify spray cooling mechanisms,"J Chen, Z Zhang, R Xu, X Ouyang, P Jiang","Langmuir 32 (36), 9135-9155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2875197789554454522,11,2016
Experimental investigation of biomimetic self-pumping and self-adaptive transpiration cooling,"PX Jiang, G Huang, Y Zhu, R Xu, Z Liao, T Lu","Bioinspiration & biomimetics 12 (5), 056002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9724414981030439628,10,2017
General slip regime permeability model for gas flow through porous media,"B Zhou, P Jiang, R Xu, X Ouyang","Physics of Fluids 28 (7), 072003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17530006914934983391,9,2016
Numerical study of the influence of injection/production well perforation location on CO2-EGS system,"F Luo, RN Xu, PX Jiang","Energy Procedia 37, 6636-6643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12836048845882226894,9,2013
CO_2 地质封存中突破压力梯度的孔隙尺度数值模拟,罗庶， 胥蕊娜， 姜培学,"工程热物理学报 32 (5), 819-823",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16531425652068648526,9,2011
Cost and performance of power plants with CO_2 capture [J],"R XU, W CHEN, Z WU",Journal of Tsinghua University (Science and Technology) 9,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2291519107288655401,9,2009
Numerical simulation of convective heat transfer for supercritical CO2 in vertical pipes using V2F turbulence model,"P Forooghi, R Xu, PX Jiang, K Hooman","Momentum 2, 2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15238909067981095125,8,2012
Theoretical and experimental study of the thermal conductivity of nanoporous media,"PX Jiang, H Xiang, RN Xu","Science China Technological Sciences 55 (8), 2140-2147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13120147608652992256,8,2012
Numerical investigation of jet impingement cooling of a flat plate with carbon dioxide at supercritical pressures,"K Chen, PX Jiang, JN Chen, RN Xu","Heat Transfer Engineering 39 (2), 85-97",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16726612926292960350,7,2018
