Title,Authors,Platform,Cited_url,Cited_count,Year
On the optimal robot routing problem in wireless sensor networks,"B Yuan, M Orlowska, S Sadiq","IEEE Transactions on Knowledge and Data Engineering 19 (9), 1252-1261",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16916661042326815179,177,2007
User Oriented Trajectory Search for Trip Recommendation,"S Shang, R Ding, B Yuan, K Xie, K Zheng, P Kalnis","15th International Conference on Extending Database Technology (EDBT), 156-167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5647146921162215317,134,2012
"Experimental results for the special session on real-parameter optimization at CEC 2005: a simple, continuous EDA","B Yuan, M Gallagher","Congress on Evolutionary Computation 2005, 1792-1799",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1067249638714590396,106,2005
A general-purpose tunable landscape generator,"M Gallagher, B Yuan","IEEE transactions on evolutionary computation 10 (5), 590-603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7799187323519617804,94,2006
On the importance of diversity maintenance in estimation of distribution algorithms,"B Yuan, M Gallagher",Proceedings of the 2005 conference on Genetic and evolutionary computation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=527326608977972781,83,2005
Statistical racing techniques for improved empirical evaluation of evolutionary algorithms,"B Yuan, M Gallagher","Parallel Problem Solving from Nature-PPSN VIII, 172-181",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9315175519841604612,70,2004
Playing in continuous spaces: Some analysis and extension of population-based incremental learning,"B Yuan, M Gallagher","The 2003 Congress on Evolutionary Computation, 2003. CEC'03. 1, 443-450",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1275516210229393095,56,2003
Combining Meta-EAs and racing for difficult EA parameter tuning tasks,"B Yuan, M Gallagher","Parameter Setting in Evolutionary Algorithms, 121-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6004203403092036919,45,2007
Finding the Most Accessible Locations-Reverse Path Nearest Neighbor Query in Road Networks,"S Shang, B Yuan, K Deng, K Xie, X Zhou",Proceedings of the 19th ACM SIGSPATIAL International Conference on Advances …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1004112336758339714,41,2011
Density-based hierarchical clustering for streaming data,"Q Tu, JF Lu, B Yuan, JB Tang, JY Yang","Pattern Recognition Letters 33, 641-645",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7581123931531382294,32,2012
Rare class mining: progress and prospect,"S Han, B Yuan, W Liu","Pattern Recognition, 2009. CCPR 2009. Chinese Conference on, 137-141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1148417916340168860,32,2009
A hybrid approach to parameter tuning in genetic algorithms,"B Yuan, M Gallagher","2005 IEEE Congress on Evolutionary Computation 2, 1096-1103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13226582157613181139,32,2005
Vision Based Hand Gesture Recognition,"Y Zhu, Z Yang, B Yuan","2013 International Conference on Service Science, 260-265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6496123687620527068,31,2013
PNN query processing on compressed trajectories,"S Shang, B Yuan, K Deng, K Xie, K Zheng, X Zhou","GeoInformatica 16 (3), 467-496",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13929668008684115206,31,2012
Scene recognition with objectness,"X Cheng, J Lu, J Feng, B Yuan, J Zhou","Pattern Recognition 74, 474-487",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6095229300896906296,28,2018
Extending a class of continuous estimation of distribution algorithms to dynamic problems,"B Yuan, M Orlowska, S Sadiq","Optimization Letters 2 (3), 433-443",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10632256074555149214,27,2008
On building a principled framework for evaluating and testing evolutionary algorithms: a continuous landscape generator,"B Yuan, M Gallagher","The 2003 Congress on Evolutionary Computation, 2003. CEC'03. 1, 451-458",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3554854447003068841,24,2003
Real-Time Hand Gesture Recognition with Kinect for Playing Racing Video Games,"Y Zhu, B Yuan","2014 International Joint Conference on Neural Networks, 3240-3246",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15234263920762100644,22,2014
Accelerating BIRCH for Clustering Large Scale Streaming Data Using CUDA Dynamic Parallelism,"J Dong, F Wang, B Yuan",14th International Conference on Intelligent Data Engineering and Automated …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4895260731042046733,22,2013
Finding the optimal path in 3D spaces using EDAs–the wireless sensor networks scenario,"B Yuan, M Orlowska, S Sadiq","International Conference on Adaptive and Natural Computing Algorithms, 536-545",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8400048160195258981,20,2007
Graph-Based Substructure Pattern Mining Using CUDA Dynamic Parallelism,"F Wang, J Dong, B Yuan",14th International Conference on Intelligent Data Engineering and Automated …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6528794693679354730,19,2013
Sampling+ Reweighting: Boosting the Performance of AdaBoost on Imbalanced Datasets,"B Yuan, X Ma","2012 International Joint Conference on Neural Networks, 2680-2685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18244279750838184831,19,2012
Dense registration of fingerprints,"X Si, J Feng, B Yuan, J Zhou","Pattern Recognition 63, 87-101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1971284291218274718,18,2017
Active Learning via Query Synthesis and Nearest Neighbour Search,"L Wang, X Hu, B Yuan, J Lu","Neurocomputing 147, 426-434",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5104300657855677099,18,2015
Local Correlation Detection with Linearity Enhancement in Streaming Data,"Q Xie, S Shang, B Yuan, C Pang, X Zhang","ACM International Conference on Information and Knowledge Management, 309-318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1085090100793555855,18,2013
Generalized set‐theoretic unknown input observer for LPV systems with application to state estimation and robust fault detection,"F Xu, J Tan, X Wang, V Puig, B Liang, B Yuan, H Liu","International Journal of Robust and Nonlinear Control 27, 3812-3832",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12014856258584052534,17,2017
A mathematical modelling technique for the analysis of the dynamics of a simple continuous EDA,"B Yuan, M Gallagher","Evolutionary Computation, 2006. CEC 2006. IEEE Congress on, 1585-1591","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17792153434999493634,7321808831237808159",17,2006
Mixed Active/Passive Robust Fault Detection and Isolation Using Set-Theoretic Unknown Input Observers,"F Xu, J Tan, X Wang, V Puig, B Liang, B Yuan","IEEE Transactions on Automation Science and Engineering 15 (2), 863 - 871",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3333271511855153610,13,2018
A Novel Design of Unknown Input Observers Using Set-Theoretic Methods for Robust Fault Detection,"F Xu, J Tan, X Wang, V Puig, B Liang, B Yuan","2016 American Control Conference, 5957-5961",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8213149066320377552,13,2016
A Measure Oriented Training Scheme for Imbalanced Classification Problems,"B Yuan, W Liu","PAKDD 2011 Workshop, 293-303",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1045974551033599878,12,2011
Dynamic Weighting Ensembles for incremental learning,"X Yang, B Yuan, W Liu","2009 Chinese Conference on Pattern Recognition, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1620378005787197733,12,2009
Efficient distributed clustering using boundary information,"Q Tong, X Li, B Yuan","Neurocomputing 275, 2355-2366",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12043676934120740205,11,2018
Mining Google Scholar Citations: An Exploratory Study,"Z Huang, B Yuan","2012 International Conference on Intelligent Computing, 182-189",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15299810614544430513,11,2012
A highly scalable clustering scheme using boundary information,"Q Tong, X Li, B Yuan","Pattern Recognition Letters 89, 1-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11089191326879969500,10,2017
Recommending People to Follow Using Asymmetric Factor Models with Social Graphs,"T Ma, Y Yang, L Wang, B Yuan",17th Online World Conference on Soft Computing in Industrial Applications,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11841415434298691236,10,2012
Parallel Frequent Pattern Mining without Candidate Generation on GPUs,"F Wang, B Yuan","2014 IEEE International Conference on Data Mining Workshops, 1046 - 1052",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15884232238409244166,8,2014
Composition and Implementation of RFID Lightweight Middleware,"FQ Lin, BC Chen, B Yuan, WH Liu, XY Li, A Mak, HY Wang",Jisuanji Gongcheng/ Computer Engineering 36 (17),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5351571383612411900,7374336019697392729",8,2010
Convergence analysis of UMDAc with finite populations: a case study on flat landscapes,"B Yuan, M Gallagher",Proceedings of the 11th Annual conference on Genetic and evolutionary …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13032732972034880653,7,2009
"Deterministic crowding, recombination and self-similarity",B Yuan,Proceedings of the 2002 Congress on Evolutionary Computation. CEC'02 (Cat …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17184702799952294146,7,2002
Vibration suppression control of free-floating space robots with flexible appendages for autonomous target capturing,"D Meng, W Lu, W Xu, Y She, X Wang, B Liang, B Yuan","Acta Astronautica 151, 904-918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14063650398458909535,6,2018
Visualizing MOOC User Behaviors: A Case Study on XuetangX,"T Zhang, B Yuan",17th International Conference on Intelligent Data Engineering and Automated …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8655415292394885120,6,2016
