Title,Authors,Platform,Cited_url,Cited_count,Year
Information security in big data: privacy and data mining,"L Xu, C Jiang, J Wang, J Yuan, Y Ren","Ieee Access 2, 1149-1176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1365198495887620265,342,2014
Coalitional games for resource allocation in the device-to-device uplink underlaying cellular networks,"Y Li, D Jin, J Yuan, Z Han","IEEE Transactions on wireless communications 13 (7), 3965-3977",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11254124984837802474,165,2014
Monitoring the macroscopic effect of DDoS flooding attacks,"J Yuan, K Mills","IEEE Transactions on Dependable and secure computing 2 (4), 324-335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1816108953640293603,132,2005
Analyzing Amplify-and-Forward and Decode-and-Forward Cooperative Strategies in Wyner's Channel Model,"JY Pengyu Zhang, Jian Yuan, Jianshu Chen, Jian Wang","IEEE Wireless Communications and Networking Conference, 2009. WCNC 2009., 1-5","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8781172774286340970,8827511012314540732",68,2009
Preparations of TiO2 film coated on foam nickel substrate by sol-gel processes and its photocatalytic activity for degradation of acetaldehyde,"H Hai, W XIAO, Y Jian, J SHI, M CHEN, WS GUAN","Journal of Environmental Sciences 19 (1), 80-85","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11285791763793325928,16385790184294639967",63,2007
Mobility prediction in cellular network using hidden markov model,"H Si, Y Wang, J Yuan, X Shan","2010 7th IEEE Consumer Communications and Networking Conference, 1-5",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7206985590067360654,52,2010
Exploring space–time structure of human mobility in urban space,"JB Sun, J Yuan, Y Wang, HB Si, XM Shan","Physica A: Statistical Mechanics and its Applications 390 (5), 929-942",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13047078545169740884,51,2011
Opportunistic spectrum sharing based resource allocation for wireless virtualization,"M Yang, Y Li, D Jin, J Yuan, L Su, L Zeng",2013 Seventh International Conference on Innovative Mobile and Internet …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7605909276888008087,45,2013
Preparation and photocatalytic properties of magnetically separable TiO2 supported on nickel ferrite,"XU Shihong, W Shangguan, Y Jian, C Mingxia, SHI Jianwei","Chinese Journal of Chemical Engineering 15 (2), 190-195","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8289964270567451710,8998900376111926587",43,2007
Self-organized criticality in a computer network model,"J Yuan, Y Ren, X Shan","Physical Review E 61 (2), 1067",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7868432551554259007,43,2000
Colocated MIMO radar waveform design for transmit beampattern formation,"H Xu, RS Blum, J Wang, J Yuan","IEEE Transactions on Aerospace and Electronic Systems 51 (2), 1558-1568",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17637654679189750368,37,2015
A cross-correlation-based method for spatial–temporal traffic analysis,"J Yuan, K Mills","Performance evaluation 61 (2-3), 163-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4201380890302207312,31,2005
A distributed gateway selection algorithm for UAV networks,"F Luo, C Jiang, J Du, J Yuan, Y Ren, S Yu, M Guizani","IEEE Transactions on Emerging Topics in Computing 3 (1), 22-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2858537055480438678,30,2014
Exploring collective dynamics in communication networks,"J Yuan, K Mills",JOURNAL OF RESEARCH-NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY 107 (2 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10054171441946112585,30,2002
Energy-aware weighted graph based dynamic topology control algorithm,"R Sun, J Yuan, I You, X Shan, Y Ren","Simulation Modelling Practice and Theory 19 (8), 1773-1781",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15982697972352848928,27,2011
Phase transition and collective correlation behavior in the complex computer network,"J YUAN, Y REN, F LIU, XIUM SHAN",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4830111567565772432,25,2001
Designing key-dependent chaotic S-box with larger key space,"R Yin, J Yuan, J Wang, X Shan, X Wang","Chaos, Solitons & Fractals 42 (4), 2582-2589",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12546725524644836992,24,2009
Optimal scheduling for multi-flow update in Software-Defined Networks,"Y Liu, Y Li, Y Wang, J Yuan","Journal of Network and Computer Applications 54, 11-19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16404747135419343016,18,2015
Tradeoff between Security and Performance in Block Ciphered Systems with Erroneous Ciphertexts,"S Wei, J Wang, R Yin, J Yuan",IEEE,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6040264553638986389,18,2013
Aggregate Human Mobility Modeling Using Principal Component Analysis.,"J Sun, Y Wang, H Si, J Yuan, X Shan","JoWUA 1 (2/3), 83-95",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=892622841135828851,18,2010
Enhancement of Secrecy of Block Ciphered Systems by Deliberate Noise,"Y SOWTI KHIABANI, S Wei, J Yuan, J Wang",IEEE,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15213212561479048907,17,2012
Investigation of a cellular automaton model for computer network,"J Yuan, Y Ren, XM Shan","Acta Physica Sinica 49 (3), 398-402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11633970811906795255,16,2000
Understanding urban dynamics based on pervasive sensing: An experimental study on traffic density and air pollution,"X Yu, W Zhang, L Zhang, VOK Li, J Yuan, I You","Mathematical and Computer Modelling 58 (5-6), 1328-1339",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15218251123302492952,15,2013
Higher-order singular-spectrum analysis of nonlinear time series,"J YUAN, XCI XIAO",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7866995559724384806,15,1998
A DHT and MDP-based mobility management scheme for large-scale mobile internet,"Y Zhai, Y Wang, I You, J Yuan, Y Ren, X Shan",2011 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13910295867730778172,14,2011
Linear cryptanalysis for a chaos-based stream cipher,"R Yin, J Yuan, Q Yang, X Shan, X Wang","World Academy of Science, Engineering and Technology 60, 799-804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18182562293770693220,14,2009
Influence of virtual networks to internet collective behavior,"L Wang, SH Zhou, J Yuan, Y Ren, XM Shan",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16863180805107064576,13,2007
Colocated MIMO radar transmit beamspace design for randomly present target detection,"H Xu, J Wang, J Yuan, X Shan","IEEE Signal Processing Letters 22 (7), 828-832",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9134080618688074677,11,2014
Dynamic load balance scheme based on mobility and service awareness in integrated 3G/WLAN networks,"Q Liu, J Yuan, X Shan, Y Wang, W Su","2010 Global Mobile Congress, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12180954610894130180,11,2010
Partition information and its transmission over boolean multi-access channels,"S Wu, S Wei, Y Wang, R Vaidyanathan, J Yuan","IEEE Transactions on Information Theory 61 (2), 1010-1027",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13093227537080313647,10,2014
Opportunistic sharing scheme for spectrum allocation in wireless virtualization,"M Yang, Y Li, D Jin, J Yuan, I You, L Zeng","Soft Computing 18 (9), 1685-1696",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1588475008386898441,10,2014
Weak key analysis for chaotic cipher based on randomness properties,"RM Yin, J Wang, J Yuan, XM Shan, XQ Wang","Science China Information Sciences 55 (5), 1162-1171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15186087210013237065,10,2012
How to model a TCP/IP network using only 20 parameters,"KL Mills, EJ Schwartz, J Yuan","Proceedings of the 2010 Winter Simulation Conference, 849-860",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14851204215074529976,10,2010
Achievable partition information rate over noisy multi-access Boolean channel,"S Wu, S Wei, Y Wang, R Vaidyanathan, J Yuan","2014 IEEE International Symposium on Information Theory, 1206-1210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6238428759524844681,9,2014
Study of the global behavior of wireless sensor networks based on cellular automata [J],"Z Wen-Zhu, YJYZX Zan, XS Xiu-Ming",Acta Physica Sinica 11,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14380721438085173549,9,2008
Simulating timescale dynamics of network traffic using homogeneous modeling,"J Yuan, KL Mills",Journal of Research of the National Institute of Standards and Technology …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9541269279103758609,9,2006
The principle of the Internet evolving and a conjecture on the optimal structure of the Internet,"L Ying, C Hong-Duo, S Xiu-Ming, R Yong, Y Jian","Chinese Physics B 18 (5), 1721",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11049892805696873508,8,2009
Time-dependent collective behavior in a computer network model,"J Yuan, J Wang, Z Xu, B Li","Physica A: Statistical Mechanics and its Applications 368 (1), 294-304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14923036460003527810,8,2006
Achieving efficient and fast update for multiple flows in software-defined networks,"Y Liu, Y Li, Y Wang, AV Vasilakos, J Yuan",Proceedings of the 2014 ACM SIGCOMM workshop on Distributed cloud computing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16187174379888062537,7,2014
Self-determined mechanisms in complex networks,"Y Liu, J Yuan, X Shan, Y Ren, Z Ma","Physica A: Statistical Mechanics and its Applications 387 (8-9), 2145-2154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9843083171101325837,7,2008
Macroscopic dynamics in large-scale data networks,"J Yuan, K Mills","Complex Dynamics in Communication Networks, 191-211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12115713550902365516,6,2005
Differentiated services TCP algorithm for the Internet,"W Jie, F Zhenming, Y Jian","Electronics Letters 35 (18), 1513-1515",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15276496437917702463,6,1999
低信噪比下的状态空间重构,袁坚， 肖先赐,"物理学报 46 (7), 1290-1299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17358151377718497736,6,1997
A DHT-based fast handover management scheme for mobile identifier/locator separation networks,"YJ Zhai, XY Mao, Y Wang, J Yuan, Y Ren","Science China Information Sciences 56 (12), 1-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5795266046492160511,5,2013
An effective method of monitoring the large-scale traffic pattern based on rmt and pca,"J Liu, P Gao, J Yuan, X Du",Journal of Probability and Statistics 2010,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4281981799512713464,5,2010
Monitoring the spatial-temporal effect of internet traffic based on random matrix theory,"J Liu, W Zhang, J Yuan, D Jin, L Zeng","2008 33rd IEEE Conference on Local Computer Networks (LCN), 258-265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5274922400173445774,5,2008
Extracting the Laraest Lyapunov Exponents from the Chaotic Signals Overwhelmed in the Noise,"Y Jian, X Xianci","Acta Electronica Sinica 25, 102-106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14189900134523317066,5,1997
Multi-AS cooperative incoming traffic engineering in a transit-edge separate internet,"Y Zhang, Y Wang, D Pei, J Yuan","Computer Networks 73, 112-127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6233184399481609259,4,2014
Spaceborne/airborne bistatic synthetic aperture radar focusing on an analytical bistatic point target reference spectrum,"H Xu, H Song, Y Deng, R Wang, X Shan, J Yuan, C Wang","IET Radar, Sonar & Navigation 7 (6), 591-599",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14490630637653166383,4,2013
Field architecture for traffic and mobility modelling in mobility management,"J Sun, H Si, Y Wang, J Yuan, X Shan, I You","International Journal of Ad Hoc and Ubiquitous Computing 10 (4), 241-251",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15866120655898296337,4,2012
Langevin model of the flow control in the internet and its phase transition analysis,"H Fan, L Li, J Yuan, XM Shan",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14597569873169878104,4,2009
Synthesis and characterization of visible-light-responding Bi0. 5La0. 5VO4 solid solution for photocatalytic water splitting,"W Qizhao, L Hui, Y Jian, S Wenfeng","CHINESE JOURNAL OF CATALYSIS 30 (6), 565-569",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12989738234888548663,4,2009
Complex network model of user-share behaviors in P2P applications,"S Xiu-ming, L Yang, Z Lin, W Lei, R Yong, Y Jian, W Yao-xi","Application Research of Computers 25 (6), 1853-1855",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5998558619261987805,4,2008
Photocatalytic activities of TiO2 and TiO2/Al2O3 films coated on foam nickel substrates,"H Hai, X Wen-Jun, Y Jian, S Jian-Wei, S Wen-Feng","Journal of Inorganic Materials 22 (2), 363-368",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8234541109165287218,4,2007
Preparation and photocatalytic water cleavage preoperties of CdS/ZnS intercalated layered compound K~ 4Nb~ 6O~ 1~ 7,"Y Jian, C Kai, C Mingxia, S Guanwenfeng","Acta Energiae Solaris Sinica 26 (6), 811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18376949092717267670,4,2005
Driving Synchronization of Spatiotemporal Chaos and its Applications in CDMA Communications,"R Yong, Y Xia, X Shan, Y Jian","International Journal of Bifurcation and Chaos 11 (12), 3117-3124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12826359606910468544,4,2001
The Research of Chaotic FH-SS Communication Countermeasures [J],"Y Jian, X Xianci",SIGNAL PROCESSING 4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16351843060688267911,4,1998
Analysis of the Time Series on the Value Subfield of Chaotic Signals,"J YUAN, XCI XIAO",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3474587695880430639,4,1997
STATE SPACE RECONSTRUCTION AT POOR SIGNAL TO NOISE RATIO [J],"Y JIAN, XX CI",ACTA PHYSICA SINICA 7,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9996283996850508886,4,1997
Transmission of partitioning information over non-adaptive multi-access boolean channel,"S Wu, S Wei, Y Wang, R Vaidyanathan, J Yuan","2014 48th Annual Conference on Information Sciences and Systems (CISS), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3202531778361603465,3,2014
A topographic-awareness and situational-perception based mobility model with artificial bee colony algorithm for tactical MANET.,"J Huo, B Deng, S Wu, J Yuan, I You","Comput. Sci. Inf. Syst. 10 (2), 725-746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12706137773378490406,3,2013
Network statistical analysis in peer-to-peer application,"L Yi-Peng, R Yong, Y Jian, W Yue, H Xiao-Hong, S Xiu-Ming",Acta Physica Sinica 60 (5),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15721483931764732670,13859239333372065837",3,2011
Popularity based network statistical analysis in peer-to-peer application [J],"WJXWY Li, YPYJS Xiu, MFZMR Yong",Acta Physica Sinica 11,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=185695713406474173,3,2011
A stream cipher based on discretized spatiotemporal chaotic system,"R Yin, J Yuan, Q Yang, X Shan, X Wang",2009 First International Conference on Information Science and Engineering …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18245169645685707124,3,2009
Gemstone: A new stream cipher using coupled map lattice,"R Yin, J Yuan, Q Yang, X Shan, X Wang","International Conference on Information Security and Cryptology, 198-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8751391037650964730,3,2009
An orthogonal projection approach for blind beamforming in multipath CDMA channels,"J Chen, J Wang, P Zhang, J Yuan, X Shan",6th Annual Communication Networks and Services Research Conference (cnsr …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17874200906087720312,3,2008
Self-organized criticality in one-dimensional packet flow model,"Y Jian, R Yong, S Xiu-Ming","Chinese Physics 9 (9), 641",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=401828554638605272,3,2000
Exploring collective behaviors with short-range correlation between routers,"W Wu, J Yuan, X Shan, Y Ren",WCC 2000-ICCT 2000. 2000 International Conference on Communication …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5017495516688935183,3,2000
Asymptotic error free partitioning over noisy Boolean multiaccess channels,"S Wu, S Wei, Y Wang, R Vaidyanathan, J Yuan","IEEE Transactions on Information Theory 61 (11), 6168-6181",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4907219365739774580,2,2015
Inter-cluster topology control: An evolutionary game perspective,"X Zhao, C Jiang, Y Wang, J Yuan, I You",2013 Seventh International Conference on Innovative Mobile and Internet …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10239213926374830018,2,2013
Hierarchical DHT and proportional replication based mobility management for large-scale mobile Internet,"Y Zhai, Y Wang, J Yuan, Y Ren, I You","Mathematical and Computer Modelling 57 (11-12), 2846-2862",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18131601372523427774,2,2013
"Analysis of Optimal Query, Fairness and Replication for DHT-based Mobility Management","Y Zhai, Y Wang, J Yuan, Y Ren, X Shan, I You",2011 Fifth International Conference on Innovative Mobile and Internet …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16989915630869949973,2,2011
File-Sharing Preference in a Peer-to-Peer Network,"Y Li, Y Ren, J Yuan, X Shan","Circuits and Systems Magazine, IEEE 11 (1), 43-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1363872540145518821,2,2011
Effect of Heat Treatment Temperature on Energy Storage Ability of TiO2-WO3 Composite Photocatalyst,"C Ling-Lin, Y Jian, C Ming-Xia, S Wen-Feng","JOURNAL OF INORGANIC MATERIALS 24 (3), 448-452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7818036515033466087,2,2009
Demonstration of non-cluster based topology control method for wireless sensor networks,"W Zhang, L Zhang, J Yuan, X Yu, X Shan","2009 6th IEEE Consumer Communications and Networking Conference, 1-2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=592373934235716675,2,2009
Photocatalytic Activities of TiO_2 and TiO_2/3Al_2O_3· 2SiO_2 Films Coated on Foam Nickel Substrates,"H Hai, X Wenjun, S Jianwei, Y Jian, S Wenfeng","Rare Metal Materials and Engineering, S2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12147336589258127333,2,2008
ANALYSIS OF THE MULTIVARIATE TIME SERIES-IN AN OBSERVATION WINDOW,"J YUAN, XCI XIAO",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1010271067166156609,2,1997
A topology control algorithm based on ,"RZ Sun, Y Wang, J Yuan, XM Shan, Y Ren","Science China Information Sciences 56 (7), 1-9",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6261864218890907850,1,2013
Energy savings in cellular networks based on space-time structure of traffic loads,"J Sun, Y Wang, J Yuan, X Shan","IEICE transactions on communications 95 (2), 591-594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15036244389478500142,1,2012
An orthogonal projection based blind beamformer for DS-CDMA systems,"J Chen, J Wang, P Zhang, J Yuan, X Shan","2008 5th IEEE Sensor Array and Multichannel Signal Processing Workshop, 37-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12232543871249157422,1,2008
观测窗中多元非线性时间序列的分析,袁坚， 肖先赐,"物理学报 46 (11), 2095-2103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7482582574669166794,1,1997
混沌信号在子值域中的特性分析,袁坚， 肖先赐,"物理学报 46 (7), 1300-1306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2058650086702456909,1,1997
Measurement of Information Superiority Based on OSPA Distance,"F Jian, W Yue, Y Jian, LI Bing",DEStech Transactions on Computer Science and Engineering,,0,2016
Synthesis of Morphology-Controlled CdS Photocatalysts for Hydrogen Evolution under Visible Light,"L Cao-Long, Z Yu-Ting, C Fei, W Fei, W Yue, Y Jian, S Wen-Feng","CHINESE JOURNAL OF INORGANIC CHEMISTRY 29 (12), 2535-2542",,0,2013
Secrecy enhancement of block ciphered systems with deliberate noise in Non-coherent scenario,"YS Khiabani, S Wei, J Wang, J Yuan","2013 47th Annual Conference on Information Sciences and Systems (CISS), 1-6",,0,2013
Polymerizable Complex Synthesis of Protonated Form of Layered Perovskite K0. 5La0. 5Bi2Ta2O9 for Water Splitting into Hydrogen,"C Wei, G Han-Yang, Y Yu, L Pei-Bin, Y Jian, S Wen-Feng, S Jia-Chun, ...","ACTA PHYSICO-CHIMICA SINICA 28 (12), 2911-2916",,0,2012
A clustering method based on time heat map in mobile social network,"W Ye, W Jian, Y Jian","International Conference on Information Computing and Applications, 762-769",,0,2012
