Title,Authors,Platform,Cited_url,Cited_count,Year
Structural deep network embedding,"D Wang, P Cui, W Zhu",Proceedings of the 22nd ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8610745914304154694,810,2016
Asymmetric transitivity preserving graph embedding,"M Ou, P Cui, J Pei, Z Zhang, W Zhu",Proceedings of the 22nd ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1152961268069489466,347,2016
Social Contextual Recommendation,"M Jiang, P Cui, R Liu, Q Yang, F Wang, W Zhu, S Yang",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1401616986105995897,302,2012
Community preserving network embedding,"X Wang, P Cui, J Wang, J Pei, W Zhu, S Yang",Thirty-First AAAI Conference on Artificial Intelligence,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4332952790202426210,293,2017
A survey on network embedding,"P Cui, X Wang, J Pei, W Zhu","IEEE Transactions on Knowledge and Data Engineering 31 (5), 833-852",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4829060464129680581,218,2018
Who Should Share What? Item-level Social Influence Prediction for Users and Posts Ranking,"P Cui, F Wang, S Liu, M Ou, S Yang, L Sun",Proceedings of the 34th international ACM SIGIR conference on Research and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7745809099431529600,161,2011
Scalable recommendation with social contextual information,"M Jiang, P Cui, F Wang, W Zhu, S Yang","IEEE Transactions on Knowledge and Data Engineering 26 (11), 2789-2802",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5900917881396238164,133,2014
Catchsync: catching synchronized behavior in large directed graphs,"M Jiang, P Cui, A Beutel, C Faloutsos, S Yang",Proceedings of the 20th ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13998287698780614113,121,2014
Cascading outbreak prediction in networks: a data-driven approach,"P Cui, S Jin, L Yu, F Wang, W Zhu, S Yang",Proceedings of the 19th ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12551420875067753553,91,2013
Social Recommendation Across Multiple Relational Domains,"M Jiang, P Cui, F Wang, Q Yang, W Zhu, S Yang",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17012331758526735576,87,2012
Social recommendation with cross-domain transferable knowledge,"M Jiang, P Cui, X Chen, F Wang, W Zhu, S Yang","IEEE transactions on knowledge and data engineering 27 (11), 3084-3097",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7321903871567888126,80,2015
Suspicious behavior detection: Current trends and future directions,"M Jiang, P Cui, C Faloutsos","IEEE Intelligent Systems 31 (1), 31-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9948433902535914826,76,2016
Deep multimodal hashing with orthogonal regularization,"D Wang, P Cui, M Ou, W Zhu",Twenty-Fourth International Joint Conference on Artificial Intelligence,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12450598724346334417,73,2015
Hyperspectral image classification through bilayer graph-based learning,"Y Gao, R Ji, P Cui, Q Dai, G Hua","IEEE Transactions on Image Processing 23 (7), 2769-2778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17776810919122848397,71,2014
Comparing apples to oranges: a scalable solution with heterogeneous hashing,"M Ou, P Cui, F Wang, J Wang, W Zhu, S Yang",Proceedings of the 19th ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3458674470755492631,65,2013
Inferring strange behavior from connectivity pattern in social networks,"M Jiang, P Cui, A Beutel, C Faloutsos, S Yang","Pacific-Asia Conference on Knowledge Discovery and Data Mining, 126-138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9275787433699971463,63,2014
A general suspiciousness metric for dense blocks in multimodal data,"M Jiang, A Beutel, P Cui, B Hooi, S Yang, C Faloutsos","2015 IEEE International Conference on Data Mining, 781-786",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3514202369848115468,62,2015
From micro to macro: Uncovering and predicting information cascading process with behavioral dynamics,"L Yu, P Cui, F Wang, C Song, S Yang","2015 IEEE International Conference on Data Mining, 559-568",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8392731334586574187,62,2015
Deep learning on graphs: A survey,"Z Zhang, P Cui, W Zhu",arXiv preprint arXiv:1812.04202,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3551028504621784235,59,2018
What videos are similar with you?: Learning a common attributed representation for video recommendation,"P Cui, Z Wang, Z Su","Proceedings of the 22nd ACM international conference on Multimedia, 597-606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10698696983044524402,55,2014
Fema: flexible evolutionary multi-faceted analysis for dynamic behavioral pattern discovery,"M Jiang, P Cui, F Wang, X Xu, W Zhu, S Yang",Proceedings of the 20th ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2513612995909114550,50,2014
Understanding and classifying image tweets,"T Chen, D Lu, MY Kan, P Cui","Proceedings of the 21st ACM international conference on Multimedia, 781-784",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16309463023459523828,50,2013
Multimedia big data computing,"W Zhu, P Cui, Z Wang, G Hua","IEEE multimedia 22 (3), 96-c3",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9242758244011603320,48,2015
User interest and social influence based emotion prediction for individuals,"Y Yang, P Cui, W Zhu, S Yang","Proceedings of the 21st ACM international conference on Multimedia, 785-788",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5746629602667711579,46,2013
Structural deep embedding for hyper-networks,"K Tu, P Cui, X Wang, F Wang, W Zhu",Thirty-Second AAAI Conference on Artificial Intelligence,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17603946432192913252,45,2018
Catching synchronized behaviors in large networks: A graph mining approach,"M Jiang, P Cui, A Beutel, C Faloutsos, S Yang","ACM Transactions on Knowledge Discovery from Data (TKDD) 10 (4), 35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15066377515259951689,44,2016
Learning compact hash codes for multimodal representations using orthogonal deep structure,"D Wang, P Cui, M Ou, W Zhu","IEEE Transactions on Multimedia 17 (9), 1404-1416",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5739781831120193652,44,2015
Arbitrary-order proximity preserved network embedding,"Z Zhang, P Cui, X Wang, J Pei, X Yao, W Zhu",Proceedings of the 24th ACM SIGKDD International Conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7202166276663802703,39,2018
Social-sensed image search,"P Cui, SW Liu, WW Zhu, HB Luan, TS Chua, SQ Yang","ACM Transactions on Information Systems (TOIS) 32 (2), 8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12480413285371305846,37,2014
Depthlgp: Learning embeddings of out-of-sample nodes in dynamic networks,"J Ma, P Cui, W Zhu",Thirty-Second AAAI Conference on Artificial Intelligence,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3838704171716167057,36,2018
"Beyond sigmoids: The nettide model for social network growth, and its applications","C Zang, P Cui, C Faloutsos",Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8430466143670148019,32,2016
Detecting suspicious following behavior in multimillion-node social networks,"M Jiang, P Cui, A Beutel, C Faloutsos, S Yang","Proceedings of the 23rd International Conference on World Wide Web, 305-306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16277000892924469092,32,2014
Social visual image ranking for web image search,"S Liu, P Cui, H Luan, W Zhu, S Yang, Q Tian","International Conference on Multimedia Modeling, 239-249",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6943348677489141088,32,2013
Social embedding image distance learning,"S Liu, P Cui, W Zhu, S Yang, Q Tian","Proceedings of the 22nd ACM international conference on Multimedia, 617-626",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15795332834793735811,31,2014
