Title,Authors,Platform,Cited_url,Cited_count,Year
A selective and efficient electrocatalyst for carbon dioxide reduction,"Q Lu, J Rosen, Y Zhou, GS Hutchings, YC Kimmel, JG Chen, F Jiao","Nature communications 5, 3242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16808603709350497243,692,2014
Nanostructured Electrodes for High‐Performance Pseudocapacitors,"Q Lu, JG Chen, JQ Xiao","Angewandte Chemie International Edition 52 (7), 1882-1889","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15028581007768958650,6381990481894590957",371,2013
Supercapacitor Electrodes with High‐Energy and Power Densities Prepared from Monolithic NiO/Ni Nanocomposites,"Q Lu, MW Lattanzi, Y Chen, X Kou, W Li, X Fan, KM Unruh, JG Chen, ...","Angewandte Chemie International Edition 50 (30), 6847–6850",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2320376661296739193,343,2011
Highly porous non-precious bimetallic electrocatalysts for efficient hydrogen evolution,"Q Lu, GS Hutchings, W Yu, Y Zhou, RV Forest, R Tao, J Rosen, ...","Nature Communications 6, 6567",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2969357057124506445,261,2015
Mechanistic Insights into the Electrochemical Reduction of CO2 to CO on Nanostructured Ag Surfaces,"J Rosen, GS Hutchings, Q Lu, S Rivera, Y Zhou, DG Vlachos, F Jiao","ACS Catalysis 5 (7), 4293–4299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10569614130498092377,219,2015
"Electrochemical CO2 reduction: Electrocatalyst, reaction mechanism, and process engineering","Q Lu, F Jiao","Nano Energy 29, 439–456",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4851525100402201655,191,2016
The Central Role of Bicarbonate in the Electrochemical Reduction of Carbon Dioxide on Gold,"M Dunwell, Q Lu, JM Heyes, J Rosen, JG Chen, Y Yan, F Jiao, B Xu","Journal of the American Chemical Society 139 (10), 3774–3783",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12290162107577416508,155,2017
Nanostructured Metallic Electrocatalysts for Carbon Dioxide Reduction,"Q Lu, J Rosen, F Jiao","ChemCatChem 7 (1), 38-47","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=335549983845987434,17430344465511904810",153,2014
Electrodeposited Zn dendrites with enhanced CO selectivity for electrocatalytic CO2 reduction,"J Rosen, GS Hutchings, Q Lu, RV Forest, A Moore, F Jiao","ACS Catalysis 5 (8), 4586–4591",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3192906672206966955,151,2015
Design of Single-Atom Co–N,"Y Pan, R Lin, Y Chen, S Liu, W Zhu, X Cao, W Chen, K Wu, WC Cheong, ...","Journal of the American Chemical Society 140 (12), 4218-4221",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2064430682970040873,146,2018
Memory effect in magnetic nanowire arrays,"X Kou, X Fan, RK Dumas, Q Lu, Y Zhang, H Zhu, X Zhang, K Liu, JQ Xiao","Advanced Materials 23 (11), 1393-1397",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17847238894505978739,111,2011
Ordered mesoporous nickel cobaltite spinel with ultra-high supercapacitance,"Q Lu, Y Chen, W Li, JG Chen, JQ Xiao, F Jiao","Journal of Materials Chemistry A 1 (6), 2331-2336",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=724059966148299885,88,2013
"Fabrication, formation mechanism, and magnetic properties of metal oxide nanotubes via electrospinning and thermal treatment","X Chen, KM Unruh, C Ni, B Ali, Z Sun, Q Lu, J Deitzel, JQ Xiao","The Journal of Physical Chemistry C 115 (2), 373-378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4435115369345930174,69,2010
Ordered mesoporous metal carbides with enhanced anisole hydrodeoxygenation selectivity,"Q Lu, CJ Chen, WW Luc, JG Chen, A Bhan, F Jiao","ACS Catalysis 6 (6), 3506-3514",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9795505966733758766,49,2016
Nanostructured Flexible Mg-modified LiMnPO4 Matrix as High-rate Cathode Materials for Li-ion Batteries,"Q Lu, GS Hutchings, Y Zhou, H Xin, H Zheng, F Jiao","Journal of Materials Chemistry A 2 (18), 6368-6373",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1699570031094531459,41,2014
Differentiation of bulk and surface contribution to supercapacitance in amorphous and crystalline NiO,"Q Lu, ZJ Mellinger, W Wang, W Li, Y Chen, JG Chen, JQ Xiao","ChemSusChem 3 (12), 1367-1370",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5265134571655289318,41,2010
Oxygen Reduction at Very Low Overpotential on Nanoporous Ag Catalysts,"Y Zhou, Q Lu, Z Zhuang, GS Hutchings, S Kattel, Y Yan, JG Chen, JQ Xiao, ...","Advanced Energy Materials 5 (13), 1500149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8079683092508725881,40,2015
Copper atom-pair catalyst anchored on alloy nanowires for selective and efficient electrochemical reduction of CO2,"J Jiao, R Lin, S Liu, WC Cheong, C Zhang, Z Chen, Y Pan, J Tang, K Wu, ...","Nature chemistry 11, 222-228",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12550993300119323567,28,2019
"Synthesis, structural characterization, and electrochemical performance of nanocast mesoporous Cu-/Fe-based oxides","F Jiao, H Yen, GS Hutchings, B Yonemoto, Q Lu, F Kleitz","Journal of Materials Chemistry A 2 (9), 3065-3071",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6798815192481012078,22,2014
Nanoporous Cu-Al-Co alloys for selective furfural hydrodeoxygenation to 2-methylfuran,"GS Hutchings, WW Luc, Q Lu, Y Zhou, DG Vlachos, F Jiao","Industrial & Engineering Chemistry Research 56 (14), 3866–3872",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14025121945377045316,16,2017
Damping dependence in microwave assisted magnetization reversal,"YP Chen, X Fan, Q Lu, JQ Xiao","Journal of Applied Physics 110, 053905",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4605348808701782210,16,2011
