Title,Authors,Platform,Cited_url,Cited_count,Year
Comparison of different implementations of MFCC,"F Zheng, G Zhang, Z Song","Journal of Computer Science and Technology 16 (6), 582-589",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10969342127964019126,547,2001
Comparison of Different Implementations of MFCC,郑方， 张国亮， 宋战江,Journal of Computer Science and Technology 6,,547,2001
Transfer learning for speech and language processing,"D Wang, TF Zheng",2015 Asia-Pacific Signal and Information Processing Association Annual …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3039736809502280859,79,2015
Study on speaker verification on emotional speech.,"W Wu, TF Zheng, MX Xu, H Bao",INTERSPEECH-ICSLP,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6158259405795078496,67,2006
Transition-based knowledge graph embedding with relational mapping properties,"M Fan, Q Zhou, E Chang, TF Zheng","Proceedings of the 28th Pacific Asia Conference on Language, Information …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12742797866404495947,60,2014
Noisy training for deep neural networks in speech recognition,"S Yin, C Liu, Z Zhang, Y Lin, D Wang, J Tejedor, TF Zheng, Y Li","EURASIP Journal on Audio, Speech, and Music Processing 2015 (1), 1-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10981880099618443045,57,2015
信号处理原理 (Principle of Signal Processing),郑方， F Zheng， M Xu),清华大学出版社有限公司 (Tsinghua University Press),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8215615215439264287,53,2000
Distant supervision for relation extraction with matrix completion,"M Fan, D Zhao, Q Zhou, Z Liu, TF Zheng, EY Chang",Proceedings of the 52nd Annual Meeting of the Association for Computational …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9346519276219103687,50,2014
CASS: a phonetically transcribed corpus of mandarin spontaneous speech.,"A Li, F Zheng, W Byrne, P Fung, T Kamm, Y Liu, Z Song, U Ruhi, ...","International Conference on Spoken Language Processing (ICSLP), 485-488",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1060134127066375447,49,2000
A phonetically transcribed corpus of Mandarin spontaneous speech,"A Li, F Zheng, W Bryne, PN Fung","nternational Conference on Spoken Language Processing, Beijing, China",,49,2000
Unseen noise estimation using separable deep auto encoder for speech enhancement,"M Sun, X Zhang, TF Zheng","IEEE/ACM Transactions on Audio, Speech and Language Processing (TASLP) 24 (1 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3422326399477749957,48,2016
Emotion attribute projection for speaker recognition on emotional speech.,"H Bao, MX Xu, TF Zheng","Interspeech-EuroSpeech, 758-761",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1086762873923106891,47,2007
The unified collocation framework for opinion mining,"YQ Xia, RF Xu, KF Wong, F Zheng","2007 International Conference on Machine Learning and Cybernetics 2, 844-850",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14382157782854191580,43,2007
Improved context-dependent acoustic modeling for continuous Chinese speech recognition.,"J Zhang, TF Zheng, J Li, C Luo, G Zhang","EuroSpeech, 1617-1620",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2515099911990227708,35,2001
A tree-based kernel selection approach to efficient Gaussian mixture model–universal background model based speaker identification,"Z Xiong, TF Zheng, Z Song, F Soong, W Wu","Speech communication 48 (10), 1273-1282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5310531174078193877,32,2006
Topic forest: A plan-based dialog management structure,"X Wu, F Zheng, M Xu","Acoustics, Speech, and Signal Processing, 2001. Proceedings.(ICASSP'01 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7030153809611107218,32,2001
The distance measure for line spectrum pairs applied to speech recognition,"F Zheng, Z Song, L Li, W Yu, F Zheng, W Wu",Fifth International Conference on Spoken Language Processing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11254797771744421118,31,1998
A Study on Replay Attack and Anti-Spoofing for Automatic Speaker Verification,"L Li, Y Chen, D Wang, TF Zheng",arXiv preprint arXiv:1706.02101,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=41345090106508776,30,2017
Pronunciation modeling of Mandarin casual speech,"P Fung, W Byrne, F Zheng, T Kamm, Y Liu, Z Song, V Venkataramani, ...",Final report at the ws00 of Johns Hopkins summer workshop,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11877357819386046923,29,2000
Improving short utterance speaker recognition by modeling speech unit classes,"L Li, D Wang, C Zhang, TF Zheng","IEEE/ACM Transactions on Audio, Speech, and Language Processing 24 (6), 1129 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11708310638066641681,27,2016
Using word confidence measure for OOV words detection in a spontaneous spoken dialog system.,"H Sun, G Zhang, F Zheng, M Xu",EuroSpeech,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6762718480803266261,26,2003
Online non-negative convolutive pattern learning for speech signals,"D Wang, R Vipperla, N Evans, TF Zheng","IEEE Transactions on Signal Processing 61 (1), 44-56",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6413952429340706112,25,2013
EASYTALK: A large-vocabulary speaker-independent Chinese dictation machine,"F Zheng, Z Song, M Xu, J Wu, Y Huang, W Wu, C Bi",Sixth European Conference on Speech Communication and Technology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8908839046229726807,25,1999
基于幅度差平方和函数的基音周期提取算法 (Real-time pitch tracking based on sum of magnitude difference square function),刘建， 郑方， LIUJZFWU Wenhu),"清华大学学报: 自然科学版 (J. Tsinghua Univ (Sci & Tech)) 46 (1), 74-77",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7783440214681400266,24,2006
Automatic generation of pronunciation lexicons for Mandarin spontaneous speech,"W Byrne, V Venkataramani, T Kamm, TF Zheng, Z Song, P Fung, Y Liu, ...","IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING 1, I-569",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2411049921280941230,24,2001
A noise cancellation method based on wavelet transform,"D YANG, M XU, W WU, F ZHENG",The Second International Sym-posium on Chinese Spoken Language Processing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7955301416796707880,23,2006
Language understanding component for Chinese dialogue system.,"Y Huang, F Zheng, M Xu, P Yan, W Wu","ICSLP, 1053-1056",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13506038360088416775,23,2000
A dialectal Chinese speech recognition framework,"J Li, TF Zheng, W Byrne, D Jurafsky","Journal of Computer Science and Technology 21 (1), 106-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5775062734302438774,22,2006
汉语连续语音识别中上下文相关的声韵母建模 (Context Dependent Initial/Final Acoustic Modeling for Chinese Continuous Speech Recognition),李净， 郑方， 张继勇， LIJZFZJWU Wenhu),"清华大学学报 (自然科学版) (Journal of Tsinghua Univ (Sci & Tech)) 44 (1), 61-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=60933990906505165,22,2004
校园导航系统 Easy Nav 的设计与实现 (The design and implementation of Campus Navigation System: EasyNav),黄寅飞， 郑方， 燕鹏举， 徐明星， ...,"中文信息学报 (J. of Chinese Information Processing) 15 (4), 36-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8428216452222246164,22,2001
The phonetic labeling on read and spontaneous discourse corpora,"A Li, X Chen, G Sun, W Hua, Z Yin, Y Zu, F Zheng, Z Song",Sixth International Conference on Spoken Language Processing,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17135452434715846083,20,2000
A syllable-synchronous network search algorithm for word decoding in Chinese speech recognition,F Zheng,"Acoustics, Speech, and Signal Processing, 1999. Proceedings., 1999 IEEE …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16022516809320381912,20,1999
Multi-layered features with SVM for Chinese accent identification,"J Hou, Y Liu, TF Zheng, J Olsen, J Tian","Audio Language and Image Processing (ICALIP), 2010 International Conference …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14853315640635564573,19,2010
A real-world speech recognition system based on CDCPMs,"F Zheng, HX Chai, ZJ Shi, WH Wu, DT Fang",97 Int'l Conf. on Computer Processing of Oriental Languages (ICCPOL'97) 1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=432882168325275578,19,1997
基于混合幅度差函数的基音提取算法 (Combined Magnitude Difference Function Based Pitch Tracking Algorithm),刘建， 郑方， 邓菁， ...,"电子学报 (ACTA Electronica Sinica) 34 (10), 1925-1928",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15937926840865376581,18,2006
基于多尺度分形维数的汉语语音声韵切分 (Multiscale fractal dimension based I/F segmentation for Mandarin speech),"王帆， 郑方， 吴文虎 (WANG Fan, ZHENG FangWU Wenhu)","清华大学学报 (J. Tsinghua University) 42 (1), 68-71",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8808665519497914376,17,2002
Robust parsing in spoken dialogue systems.,"P Yan, TF Zheng, M Xu","EuroSpeech, 2149-2152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15233760263102792941,17,2001
中文信息检索系统的模糊匹配算法研究和实现 (An approximate string matching algorithm for Chinese information retrieval systems),王静帆， 邬晓钧， 夏云庆， ...,"中文信息学报 (J. Chinese Information Processing) 21 (6), 59-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1554042100140856234,16,2007
Session variability subspace projection based model compensation for speaker verification,"J Deng, TF Zheng, W Wu","2007 IEEE International Conference on Acoustics, Speech and Signal …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11034506863249370989,16,2007
Real-time pitch tracking based on sum of magnitude difference square function,"J Liu, F Zheng, W Wu","JOURNAL-TSINGHUA UNIVERSITY 46 (1), 74",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1411198655274924980,16,2006
Pitch mean based frequency warping,"J Liu, TF Zheng, W Wu","Chinese Spoken Language Processing, 87-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2739356391513058072,16,2006
Mandarin pronunciation modeling based on CASS corpus,"F Zheng, Z Song, P Fung, B William","Journal of Computer Science and Technology 17 (3), 249-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4369931571646853396,16,2002
A K-phoneme-class based multi-model method for short utterance speaker recognition,"C Zhang, X Wu, TF Zheng, L Wang, C Yin",Signal & Information Processing Association Annual Summit and Conference …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4936147492092585586,15,2012
Short utterance speaker recognition a research agenda,"N Fatima, TF Zheng","Systems and Informatics (ICSAI), 2012 International Conference on, 1746-1750",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5411773811581089552,15,2012
Overview of front-end features for robust speaker recognition,"Q Jin, TF Zheng",Proc. APSIPA,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14693265051100541388,15,2011
基于拼音索引的中文模糊匹配算法 (A pinyin-indexed method for approximate matching in Chinese),曹犟， 邬晓钧， 夏云庆， ...,"清华大学学报: 自然科学版 (J Tsinghua Univ (Sci & Tech)) 49 (S1), 1328-1332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8527648803807430158,15,2009
The design and implementation of campus navigation system: EasyNav,"Y Huang, F Zheng, P Yan, M Xu, W Wu","Journal of Chinese Information Processing 15 (4), 35-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14379822598178309092,15,2001
连续汉语语音识别中基于归并的音节切分自动机 (Merging-based syllable detection automaton in continuous speech recognition),张继勇， 郑方， 杜术， 宋战江， ...,"软件学报 (J. Software) 10 (11), 1212-1215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=321598367456318673,15,1999
Real-time pitch tracking based on combined SMDSF.,"J Liu, TF Zheng, J Deng, W Wu","EuroSpeech, 301-304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18401406530830991199,14,2005
Context dependent initial/final acoustic modeling for continuous Chinese speech recognition,"J Li, F Zheng, J Zhang","JOURNAL-TSINGHUA UNIVERSITY 44 (1), 61-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14216021084207447310,14,2004
Center-distance continuous probability models and the distance measure,"F Zheng, W Wu, D Fang","Journal of Computer Science and Technology 13 (5), 426-437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17364304779611334038,14,1998
Combined Magnitude Difference Function Based Pitch Tracking Algorithm,"J Liu, F Zheng, J Deng, WH Wu","Dianzi Xuebao(Acta Electronica Sinica) 34 (10), 1925-1928",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5332485039757520869,13,2006
An open/free database and Benchmark for Uyghur speaker recognition,"A Rozi, D Wang, Z Zhang, TF Zheng",Oriental COCOSDA held jointly with 2015 Conference on Asian Spoken Language …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18116030111714752344,12,2015
Detection and reconstruction of clipped speech for speaker recognition,"F Bie, D Wang, J Wang, TF Zheng","Speech Communication 72, 218-231",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9964155915014319284,12,2015
A cohort-based speaker model synthesis for mismatched channels in speaker verification,"W Wu, TF Zheng, MX Xu, FK Soong","IEEE Transactions on Audio, Speech, and Language Processing 15 (6), 1893-1903",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15095934225776289569,12,2007
CDCPM 及其在语音识别中的应用 (CDCPM with its applications to speech recognition),郑方， 吴文虎， 方棣棠 (Fang ZhengWenhu Wu and Ditang Fang),"软件学报 (J. of Software) 7 (10), 69-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4945583546475874279,12,1996
Understanding the Query: THCIB and THUIS at NTCIR-10 Intent Task.,"J Wang, G Tang, Y Xia, Q Zhou, TF Zheng, Q Hu, S Na, Y Huang",NTCIR,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7125366669349414854,11,2013
Vowel-category based Short Utterance Speaker Recognition,"N Fatima, TF Zheng","Systems and Informatics (ICSAI), 2012 International Conference on, 1774-1778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=257113062035678493,11,2012
A universal phoneme-set based language independent short utterance speaker recognition,"N Fatima, X Wu, TF Zheng, C Zhang, G Wang","11th National Conference on Man-Machine Speech Communication (NCMMSC'11), Xi …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3041104509390452053,11,2011
Dialectal chinese speech recognition: Final report,"R Sproat, F Zheng, L Gu, D Jurafsky, I Shafran, J Li, S Tsakalidis, Y Su, ...","Johns Hopkins University, Baltimore, MD, Tech. Rep",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=886711914203377928,11,2004
A method to build a super small but practically accurate language model for handheld devices,"GQ Wu, F Zheng","Journal of computer science and technology 18 (6), 747-755",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15474925236345375889,11,2003
