Title,Authors,Platform,Cited_url,Cited_count,Year
A review of lithium deposition in lithium-ion and lithium metal secondary batteries,"Z Li, J Huang, BY Liaw, V Metzler, J Zhang","Journal of power sources 254, 168-182",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10164085745123757328,412,2014
A comparative study of commercial lithium ion battery cycle life in electrical vehicle: Aging mechanism identification,"X Han, M Ouyang, L Lu, J Li, Y Zheng, Z Li","Journal of Power Sources 251, 38-54",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17561102827691136249,302,2014
On state-of-charge determination for lithium-ion batteries,"Z Li, J Huang, BY Liaw, J Zhang","Journal of Power Sources 348, 281-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12753623446608550883,92,2017
Modeling the capacity degradation of LiFePO4/graphite batteries based on stress coupling analysis,"Z Li, L Lu, M Ouyang, Y Xiao","Journal of Power Sources 196 (22), 9757-9766",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8362658231444372622,89,2011
Identifying main factors of capacity fading in lithium ion cells using orthogonal design of experiments,"L Su, J Zhang, C Wang, Y Zhang, Z Li, Y Song, T Jin, Z Ma","Applied Energy 163, 201-210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15234229058663870561,81,2016
Internal heating of lithium-ion batteries using alternating current based on the heat generation model in frequency domain,"J Zhang, H Ge, Z Li, Z Ding","Journal of Power Sources 273, 1030-1037",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15765502932536850356,81,2015
Optimal decentralized valley-filling charging strategy for electric vehicles,"K Zhang, L Xu, M Ouyang, H Wang, L Lu, J Li, Z Li","Energy conversion and management 78, 537-550",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8402765572765701672,80,2014
A dynamic capacity degradation model and its applications considering varying load for a large format Li-ion battery,"M Ouyang, X Feng, X Han, L Lu, Z Li, X He","Applied Energy 165, 48-59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11034434296501606364,77,2016
Simultaneous estimation of thermal parameters for large-format laminated lithium-ion batteries,"J Zhang, B Wu, Z Li, J Huang","Journal of Power Sources 259, 106-116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=755412430002489119,72,2014
Graphical analysis of electrochemical impedance spectroscopy data in Bode and Nyquist representations,"J Huang, Z Li, BY Liaw, J Zhang","Journal of Power Sources 309, 82-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15691406879150702608,70,2016
Examining temporal and spatial variations of internal temperature in large-format laminated battery with embedded thermocouples,"Z Li, J Zhang, B Wu, J Huang, Z Nie, Y Sun, F An, N Wu","Journal of Power Sources 241, 536-553",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9716140716712601485,63,2013
The pricing of charging for electric vehicles in China—Dilemma and solution,"Z Li, M Ouyang","Energy 36 (9), 5765-5778",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8601819260867060121,61,2011
Co-estimation of state of charge and state of health for lithium-ion batteries based on fractional-order calculus,"X Hu, H Yuan, C Zou, Z Li, L Zhang","IEEE Transactions on Vehicular Technology 67 (11), 10319-10329",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13638937057918887347,47,2018
Thermal design for the pouch-type large-format lithium-ion batteries I. thermo-electrical modeling and origins of temperature non-uniformity,"B Wu, Z Li, J Zhang","Journal of The Electrochemical Society 162 (1), A181-A191",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18233222260843243865,45,2015
Temperature-adaptive alternating current preheating of lithium-ion batteries with lithium deposition prevention,"H Ge, J Huang, J Zhang, Z Li","Journal of The Electrochemical Society 163 (2), A290-A299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12490943446225987413,37,2016
Comparison of methods for improving SOC estimation accuracy through an ampere-hour integeration approach [J],"Z Li, L Lu, M Ouyang",Journal of Tsinghua University (Science and Technology) 8 (038),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9986884228579943509,37,2010
