Title,Authors,Platform,Cited_url,Cited_count,Year
Comparing innovation systems: a framework and application to China’s transitional context,"X Liu, S White","Research policy 30 (7), 1091-1114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=753001775275008130,936,2001
Distinguishing costs of cooperation and control in alliances,"S White, S Siu‐Yun Lui","Strategic Management Journal 26 (10), 913-932",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16887610061384558238,302,2005
"Competition, capabilities, and the make, buy, or ally decisions of Chinese state-owned firms",S White,"Academy of Management Journal 43 (3), 324-341",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9198953108808060778,211,2000
Rigor and relevance in Asian management research: Where are we and where can we go?,S White,"Asia Pacific Journal of Management 19 (2-3), 287-352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9493809791442729605,175,2002
"Cooperation costs, governance choice and alliance evolution",S White,"Journal of Management Studies 42 (7), 1383-1412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15898917703593514539,129,2005
Financing new ventures in China: System antecedents and institutionalization,"S White, J Gao, W Zhang","Research Policy 34 (6), 894-913",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11166694119006653588,115,2005
An exploration into regional variation in innovative activity in China,"X Liu, S White","International Journal of Technology Management 21 (1-2), 114-129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12376710006533178509,97,2001
From imitation to creation: the critical yet uncertain transition for Chinese firms,"W Xie, S White","Journal of Technology Management in China 1 (3), 229-242",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14513404262732360541,89,2006
Sequential learning in a Chinese spin‐off: the case of Lenovo Group Limited,"W Xie, S White","R&D Management 34 (4), 407-422",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13013520663274028051,77,2004
"Organizational and industrial response to market liberalization: The interaction of pace, incentive and capacity to change","S White, G Linden","Organization Studies 23 (6), 917-948",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17552881601668009106,65,2002
Overcoming the liability of newness: Entrepreneurial action and the emergence of China's private solar photovoltaic firms,"W Zhang, S White","Research Policy 45 (3), 604-617",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15738418945476552748,50,2016
Transition trajectories for market structure and firm strategy in China,"S White, X Liu","Journal of Management Studies 38 (1), 103-124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16682507863219126945,50,2001
Organizational processes to meet new performance criteria: Chinese pharmaceutical firms in transition,"S White, X Liu","Research Policy 27 (4), 369-383",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15356098446374213143,49,1998
Handbook of Asian management,"K Leung, S White",Kluwer Academic,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10467354321354866909,37,2004
Animal law in Australasia: A new dialogue,"PJ Sankoff, S White",Federation Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16789133638206392503,36,2009
"Stakeholders, structure and the failure of corporate governance reform initiatives in post-crisis Thailand",S White,"Asia Pacific Journal of Management 21 (1-2), 103-122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7156673124348987593,36,2004
China's venture capital industry: Institutional trajectories and system structure,"S White, J Gao, W Zhang",Insead,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2057340349805750530,27,2002
Exploring dark corners: An agenda for organizational behavior research in alliance contexts,"K Leung, S White",Handbook of strategic alliances 199218,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1372876224150539408,26,2006
"Windows of opportunity, learning strategies and the rise of China's handset makers","W Xie, S White","International Journal of Technology Management 36 (1), 230-248",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12209674852193773272,26,2006
Animal Law in Australia and New Zealand,D Cao,Thomson Reuters (Professional) Australia,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11208849191458123299,20,2010
Venture capital and the financing of China’s new technology firms,"W Zhang, J Gao, S White, P Vega","China's emergent political economy: Capitalism in the dragon's lair, 60-82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10293299788847856046,19,2008
"A survey of Chinese literature on the management of technology and innovation, 1987-1997","S White, X Liu, W Xie","International Journal of Technology Management 21 (1-2), 130-150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9104355507704773899,16,2001
Legislating for animal welfare: Making the interests of animals count,S White,"Alternative Law Journal 28 (6), 277-281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9151279479469571669,15,2003
"British colonialism, Australian nationalism and the law: Hierarchies of wild animal protection",S White,"Monash UL Rev. 39, 452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14743290156654366147,13,2012
Animal law in Australia,"D Cao, K Sharman, S White",Lawbook Company,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2607835399692673416,12,2015
Exploring different philosophical approaches to animal protection in law,S White,"Animal law in Australasia: A new dialogue, 79-107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1797345343194943320,11,2009
Hong Kong’s venture capital system and the commercialization of new technology,"K Au, S White","Innovation Policy and the Limits of Laissez-faire, 145-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3489805853245534334,10,2010
Into the void: International law and the protection of animal welfare,S White,"Global Policy 4 (4), 391-398",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1853560660745230485,6,2013
Antecedents and institutionalization of China’s venture capital system,"S White, J Gao, W Zhang",Working Paper,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1636250715264725397,6,2004
