Title,Authors,Platform,Cited_url,Cited_count,Year
Blowing Magnetic Skyrmion Bubbles,"W Jiang, P Upadhyaya, W Zhang, G Yu, MB Jungfleisch, FY Fradin, ...","Science 349 (6245), 283-286",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6241518931785632890,716,2015
Magnetization switching through giant spin–orbit torque in a magnetically doped topological insulator heterostructure,"Y Fan, P Upadhyaya, X Kou, M Lang, S Takei, Z Wang, J Tang, L He, ...","Nature materials 13 (7), 699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15222793738642548936,528,2014
Switching of perpendicular magnetization by spin–orbit torques in the absence of external magnetic fields,"G Yu, P Upadhyaya, Y Fan, JG Alzate, W Jiang, KL Wong, S Takei, ...","Nature nanotechnology 9 (7), 548",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1955118343822575543,400,2014
Direct observation of the skyrmion Hall effect,"W Jiang, X Zhang, G Yu, W Zhang, X Wang, MB Jungfleisch, JE Pearson, ...","Nature Physics 13 (2), 162",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14833205030071859156,365,2017
Spin Hall Effects in Metallic Antiferromagnets,"W Zhang, MB Jungfleisch, W Jiang, JE Pearson, A Hoffmann, F Freimuth, ...","Physical review letters 113 (19), 196602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2179352032851488158,236,2014
Skyrmions in magnetic multilayers,"W Jiang, G Chen, K Liu, J Zang, SGE te Velthuis, A Hoffmann","Physics Reports 704, 1-49",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13669347158051283962,146,2017
Surface-dominated conduction in a 6 nm thick Bi2Se3 Thin Film,"L He, F Xiu, X Yu, M Teague, W Jiang, Y Fan, X Kou, M Lang, Y Wang, ...","Nano letters 12 (3), 1486-1490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1187066222917911719,145,2012
Is a griffiths phase a prerequisite for colossal magnetoresistance?,"W Jiang, XZ Zhou, G Williams, Y Mukovskii, K Glazyrin","Physical review letters 99 (17), 177203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15065607563740872397,136,2007
Griffiths phase and critical behavior in single-crystal La 0.7 Ba 0.3 Mn O 3: Phase diagram for La 1− x Ba x Mn O 3 (x⩽ 0.33),"W Jiang, XZ Zhou, G Williams, Y Mukovskii, K Glazyrin","Physical Review B 77 (6), 064424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15671230634181761372,133,2008
Electrical Detection of Spin-Polarized Surface States Conduction in (Bi0. 53Sb0. 47) 2Te3 Topological Insulator,"J Tang, LT Chang, X Kou, K Murata, ES Choi, M Lang, Y Fan, Y Jiang, ...","Nano letters 14 (9), 5423-5429",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15756652469049843683,132,2014
Proximity Induced High-Temperature Magnetic Order in Topological Insulator-Ferrimagnetic Insulator Heterostructure,"M Lang, M Montazeri, MC Onbasli, X Kou, Y Fan, P Upadhyaya, K Yao, ...","Nano letters 14 (6), 3459-3465",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10184880076417162806,127,2014
Direct Imaging of Thermally Driven Domain Wall Motion in Magnetic Insulators,"W Jiang, P Upadhyaya, Y Fan, J Zhao, M Wang, LT Chang, M Lang, ...","Physical review letters 110 (17), 177202",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5514124486388041037,119,2013
Spin pumping and inverse Rashba-Edelstein effect in NiFe/Ag/Bi and NiFe/Ag/Sb,"W Zhang, MB Jungfleisch, W Jiang, JE Pearson, A Hoffmann","Journal of Applied Physics 117 (17), 17C727",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12454519780643336413,113,2015
Competing weak localization and weak antilocalization in ultrathin topological insulators,"M Lang, L He, X Kou, P Upadhyaya, Y Fan, H Chu, Y Jiang, JH Bardarson, ...","Nano letters 13 (1), 48-53",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8402344322659035100,113,2012
Magnetization switching through spin-Hall-effect-induced chiral domain wall propagation,"G Yu, P Upadhyaya, KL Wong, W Jiang, JG Alzate, J Tang, PK Amiri, ...","Physical Review B 89 (10), 104421",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5937608546341246149,101,2014
Interplay between different magnetisms in Cr-doped topological insulators,"X Kou, M Lang, Y Fan, Y Jiang, T Nie, J Zhang, W Jiang, Y Wang, Y Yao, ...","ACS nano 7 (10), 9205-9212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13571320557266351423,92,2013
Room-temperature skyrmion shift device for memory application,"G Yu, P Upadhyaya, Q Shao, H Wu, G Yin, X Li, C He, W Jiang, X Han, ...","Nano letters 17 (1), 261-268",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=391481661186023909,91,2016
All-electrical manipulation of magnetization dynamics in a ferromagnet by antiferromagnets with anisotropic spin Hall effects,"W Zhang, MB Jungfleisch, F Freimuth, W Jiang, J Sklenar, JE Pearson, ...","Physical Review B 92 (14), 144405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10487292461333608350,89,2015
Revelation of topological surface states in Bi2Se3 thin films by in situ Al passivation,"M Lang, L He, F Xiu, X Yu, J Tang, Y Wang, X Kou, W Jiang, AV Fedorov, ...","Acs Nano 6 (1), 295-302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2285600523750503814,87,2011
Magnetically doped semiconducting topological insulators,"XF Kou, WJ Jiang, MR Lang, FX Xiu, L He, Y Wang, Y Wang, XX Yu, ...","Journal of Applied Physics 112 (6), 063912",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12807273845424338863,74,2012
Manipulating surface-related ferromagnetism in modulation-doped topological insulators,"X Kou, L He, M Lang, Y Fan, K Wong, Y Jiang, T Nie, W Jiang, ...","Nano letters 13 (10), 4587-4593",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2829902848998295700,69,2013
Electric-field control of ferromagnetism in Mn-doped ZnO nanowires,"LT Chang, CY Wang, J Tang, T Nie, W Jiang, CP Chu, S Arafin, L He, ...","Nano letters 14 (4), 1823-1829",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=850740348390611929,68,2014
Large Spin-Wave Bullet in a Ferrimagnetic Insulator Driven by the Spin Hall Effect,"MB Jungfleisch, W Zhang, J Sklenar, J Ding, W Jiang, H Chang, FY Fradin, ...","Physical review letters 116 (5), 057601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13717211610127346768,63,2016
Reduced spin-Hall effects from magnetic proximity,"W Zhang, MB Jungfleisch, W Jiang, Y Liu, JE Pearson, SGE te Velthuis, ...","Physical Review B 91 (11), 115316",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14078157173382155901,63,2015
Extreme sensitivity of the Griffiths phase to magnetic field in single crystal La 0.73 Ba 0.27 Mn O 3,"W Jiang, XZ Zhou, G Williams, Y Mukovskii, K Glazyrin","Physical Review B 76 (9), 092404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3041663223071631725,63,2007
Electrical spin injection and detection in Mn5Ge3/Ge/Mn5Ge3 nanowire transistors,"J Tang, CY Wang, LT Chang, Y Fan, T Nie, M Chan, W Jiang, YT Chen, ...","Nano letters 13 (9), 4036-4043",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9988621976499676289,47,2013
Generation of magnetic skyrmion bubbles by inhomogeneous spin Hall currents,"O Heinonen, W Jiang, H Somaily, SGE te Velthuis, A Hoffmann","Phys. Rev. B 93, 094407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15985057554080396245,46,2016
Separation of top and bottom surface conduction in Bi2Te3 thin films,"X Yu, L He, M Lang, W Jiang, F Xiu, Z Liao, Y Wang, X Kou, P Zhang, ...","Nanotechnology 24 (1), 015705",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1185903083492942935,42,2012
Driving and detecting ferromagnetic resonance in insulators with the spin Hall effect,"J Sklenar, W Zhang, MB Jungfleisch, W Jiang, H Chang, JE Pearson, ...","Physical Review B 92 (17), 174406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10771308308398355209,41,2015
Spin waves in micro-structured yttrium iron garnet nanometer-thick films,"MB Jungfleisch, W Zhang, W Jiang, H Chang, J Sklenar, SM Wu, ...","Journal of Applied Physics 117 (17), 17D128",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11345348912624586147,40,2015
Research Update: Spin transfer torques in permalloy on monolayer MoS2,"W Zhang, J Sklenar, B Hsu, W Jiang, MB Jungfleisch, J Xiao, FY Fradin, ...","APL Materials 4 (3), 032302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5110748557082057989,38,2016
"Critical behavior and transport properties of single crystal Pr 1− x Ca x MnO 3 (x= 0.27, and 0.29)","W Jiang, XZ Zhou, G Williams, Y Mukovskii, K Glazyrin","Physical Review B 78 (14), 144409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6160588825854146167,38,2008
Dynamic response of an artificial square spin ice,"MB Jungfleisch, W Zhang, E Iacocca, J Sklenar, J Ding, W Jiang, S Zhang, ...","Physical Review B 93 (10), 100401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4520600853680118212,37,2016
Mobile Néel skyrmions at room temperature: status and future,"W Jiang, W Zhang, G Yu, MB Jungfleisch, P Upadhyaya, H Somaily, ...","AIP Advances 6 (5), 055602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9614184882417336595,35,2016
Evidence of the two surface states of (Bi,"L He, X Kou, M Lang, ES Choi, Y Jiang, T Nie, W Jiang, Y Fan, Y Wang, ...","Scientific reports 3, 3406",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15695100169268346514,35,2013
Correlation between phase competition and the nucleation of a Griffiths-like phase in (La1-yPry) 0.7 Ca0. 3Mn16/18O3,"W Jiang, XZ Zhou, G Williams","EPL (Europhysics Letters) 84 (4), 47009",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2376284737764737806,35,2008
Spin pumping and inverse spin Hall effects—Insights for future spin-orbitronics,"W Zhang, MB Jungfleisch, W Jiang, J Sklenar, FY Fradin, JE Pearson, ...","Journal of Applied Physics 117 (17), 172610",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2172073842999288956,34,2015
Interface-driven spin-torque ferromagnetic resonance by Rashba coupling at the interface between nonmagnetic materials,"MB Jungfleisch, W Zhang, J Sklenar, W Jiang, JE Pearson, JB Ketterson, ...","Physical Review B 93 (22), 224419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15461700587174170329,32,2016
The evolution of Griffiths-phase-like features and colossal magnetoresistance in La1− xCaxMnO3 (0.18≤ x≤ 0.27) across the compositional metal–insulator boundary,"W Jiang, XZ Zhou, G Williams, Y Mukovskii, R Privezentsev","Journal of Physics: Condensed Matter 21 (41), 415603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14779466561223075344,30,2009
Room-temperature skyrmions in an antiferromagnet-based heterostructure,"G Yu, A Jenkins, X Ma, SA Razavi, C He, G Yin, Q Shao, Q He, H Wu, W Li, ...","Nano letters 18 (2), 980-986",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4839862666339966707,28,2018
Effect of heavy metal layer thickness on spin-orbit torque and current-induced switching in Hf| CoFeB| MgO structures,"M Akyol, W Jiang, G Yu, Y Fan, M Gunes, A Ekicibil, P Khalili Amiri, ...","Applied Physics Letters 109 (2), 022403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3914667245074488226,24,2016
Scaling the anomalous Hall effect: A connection between transport and magnetism,"W Jiang, XZ Zhou, G Williams","Physical Review B 82 (14), 144424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16896601082735292546,24,2010
Mechanisms underlying ferromagnetism across the metal-insulator transition in La 1− x Ca x MnO 3,"W Jiang, XZ Zhou, G Williams, R Privezentsev, Y Mukovskii","Physical Review B 79 (21), 214433",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6513287487518145391,23,2009
Perspective: Interface generation of spin-orbit torques,"J Sklenar, W Zhang, MB Jungfleisch, W Jiang, H Saglam, JE Pearson, ...","Journal of Applied Physics 120 (18), 180901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3215567860195505631,21,2016
Electric field-induced creation and directional motion of domain walls and skyrmion bubbles,"C Ma, X Zhang, J Xia, M Ezawa, W Jiang, T Ono, SN Piramanayagam, ...","Nano letters 19 (1), 353-361",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2041758849422189308,19,2018
Spin Hall effects in metallic antiferromagnets–perspectives for future spin-orbitronics,"J Sklenar, W Zhang, MB Jungfleisch, W Jiang, H Saglam, JE Pearson, ...","AIP Advances 6 (5), 055603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=796337104531968165,18,2016
Insulating nanomagnets driven by spin torque,"MB Jungfleisch, J Ding, W Zhang, W Jiang, JE Pearson, V Novosad, ...","Nano letters 17 (1), 8-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2590522181639943529,15,2016
"Coexistence of colossal magnetoresistance, a Griffiths-like phase, and a ferromagnetic insulating ground state in single crystal ","W Jiang, XZ Zhou, G Williams, Y Mukovskii, R Privezentsev","Journal of Applied Physics 107 (9), 09D701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14589110300901107617,14,2010
Entropy changes accompanying the magnetic phase transitions in low Si-doped Ce 2 Fe 17− xSix Alloy,"X Zhou, W Jiang, H Kunkel, G Williams","Journal of Magnetism and Magnetic Materials 320 (6), 930-935",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13452832405688770378,13,2008
New pathways towards efficient metallic spin Hall spintronics,"MB Jungfleisch, W Zhang, W Jiang, A Hoffmann","SPIN 5 (03), 1530005",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14209475452117633320,11,2015
Electrical probing of magnetic phase transition and domain wall motion in single-crystalline Mn5Ge3 nanowire,"J Tang, CY Wang, W Jiang, LT Chang, Y Fan, M Chan, C Wu, MH Hung, ...","Nano letters 12 (12), 6372-6379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10551291075853578762,11,2012
Unidirectional spin-torque driven magnetization dynamics,"J Sklenar, W Zhang, MB Jungfleisch, H Saglam, S Grudichak, W Jiang, ...","Physical Review B 95 (22), 224431",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17921860868278425081,8,2017
