Title,Authors,Platform,Cited_url,Cited_count,Year
Carbon nanotube sponges,"X Gui, J Wei, K Wang, A Cao, H Zhu, Y Jia, Q Shu, D Wu","Advanced materials 22 (5), 617-621",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15011749015976886520,1101,2010
Direct synthesis of long single-walled carbon nanotube strands,"HW Zhu, CL Xu, DH Wu, BQ Wei, R Vajtai, PM Ajayan","Science 296 (5569), 884-886",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=664637776288546429,1084,2002
Hydrothermal synthesis and pseudocapacitance properties of MnO2 nanostructures,"V Subramanian, H Zhu, R Vajtai, PM Ajayan, B Wei","The Journal of Physical Chemistry B 109 (43), 20207-20214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=403054131705535026,945,2005
Graphene‐on‐silicon Schottky junction solar cells,"X Li, H Zhu, K Wang, A Cao, J Wei, C Li, Y Jia, Z Li, X Li, D Wu","Advanced materials 22 (25), 2743-2748",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13646126385532082750,941,2010
Wearable and highly sensitive graphene strain sensors for human motion monitoring,"Y Wang, L Wang, T Yang, X Li, X Zang, M Zhu, K Wang, D Wu, H Zhu","Advanced Functional Materials 24 (29), 4666-4670",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6468759776505271285,571,2014
Adsorption of methylene blue from aqueous solution by graphene,"T Liu, Y Li, Q Du, J Sun, Y Jiao, G Yang, Z Wang, Y Xia, W Zhang, K Wang, ...","Colloids and Surfaces B: Biointerfaces 90, 197-203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6964366222544733908,509,2012
Hydrogen uptake in boron nitride nanotubes at room temperature,"R Ma, Y Bando, H Zhu, T Sato, C Xu, D Wu","Journal of the American Chemical Society 124 (26), 7672-7673",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3856749211991938380,464,2002
Selective ion penetration of graphene oxide membranes,"P Sun, M Zhu, K Wang, M Zhong, J Wei, D Wu, Z Xu, H Zhu","ACS nano 7 (1), 428-437",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8418841110691696447,434,2012
Stretchable and highly sensitive graphene-on-polymer strain sensors,"X Li, R Zhang, W Yu, K Wang, J Wei, D Wu, A Cao, Z Li, Y Cheng, ...","Scientific reports 2, 870",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3585315685596955542,400,2012
Applications of carbon materials in photovoltaic solar cells,"H Zhu, J Wei, K Wang, D Wu","Solar Energy Materials and Solar Cells 93 (9), 1461-1470",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4639698724820942231,374,2009
Nanostructured MnO2: Hydrothermal synthesis and electrochemical properties as a supercapacitor electrode material,"V Subramanian, H Zhu, B Wei","Journal of Power Sources 159 (1), 361-364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15153915694951158978,334,2006
"Ultra-light, compressible and fire-resistant graphene aerogel as a highly efficient and recyclable absorbent for organic liquids","J Li, J Li, H Meng, S Xie, B Zhang, L Li, H Ma, J Zhang, M Yu","Journal of Materials Chemistry A 2 (9), 2934-2941","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14139316173581441056,8361535443031273409",331,2014
Synthesis and electrochemical characterizations of amorphous manganese oxide and single walled carbon nanotube composites as supercapacitor electrode materials,"V Subramanian, H Zhu, B Wei","Electrochemistry Communications 8 (5), 827-832",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9772483573382872788,327,2006
Rice husk-derived hierarchical silicon/nitrogen-doped carbon/carbon nanotube spheres as low-cost and high-capacity anodes for lithium-ion batteries,"YC Zhang, Y You, S Xin, YX Yin, J Zhang, P Wang, X Zheng, FF Cao, ...","Nano Energy 25, 120-127","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6015860440372276018,16920603946215445055",280,2016
Role of interfacial oxide in high-efficiency graphene–silicon Schottky barrier solar cells,"Y Song, X Li, C Mackin, X Zhang, W Fang, T Palacios, H Zhu, J Kong","Nano letters 15 (3), 2104-2110",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3916658965764838768,277,2015
Colloidal antireflection coating improves graphene–silicon solar cells,"E Shi, H Li, L Yang, L Zhang, Z Li, P Li, Y Shang, S Wu, X Li, J Wei, ...","Nano letters 13 (4), 1776-1781",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9260842392490130907,275,2013
