Title,Authors,Platform,Cited_url,Cited_count,Year
A survey of underwater optical wireless communications,"Z Zeng, S Fu, H Zhang, Y Dong, J Cheng","IEEE Communications Surveys & Tutorials 19 (1), 204-238",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15806503394493955265,233,2016
Department of Radiology,"G Lin, MQ Li, XL Wang, ZP Yan, JH Wang","International Journal of Stroke 10, 18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5675242109418666353,13549811321806601282",208,2018
"Department of Medical Oncology, Cancer Institue (Hospital), Chinese Academy of Medical Sciences, Peking Union Medical College, Beijing 100021, China; Randomized phase Ⅱ trial …","L YANG, J WANG, Y SUN, Y ZHU, X LIU, W LI, L DI, P LI, Y WANG, ...",Chinese Journal of Oncology 2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15539570586915389693,172,2006
Impulse response modeling for underwater wireless optical communication links,"S Tang, Y Dong, X Zhang","IEEE transactions on communications 62 (1), 226-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14282412328090171906,117,2013
"Ganoderma lucidum extract induces G1 cell cycle arrest, and apoptosis in human breast cancer cells","G Wu, Z Qian, J Guo, D Hu, J Bao, J Xie, W Xu, J Lu, X Chen, Y Wang","The American journal of Chinese medicine 40 (03), 631-642","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17936541413088674523,14716441946308657507",76,2012
Rhodium‐Catalyzed Asymmetric Arylative Cyclization of ,"ZT He, B Tian, Y Fukui, X Tong, P Tian, GQ Lin","Angewandte Chemie International Edition 52 (20), 5314-5318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9017143353439750607,74,2013
Microstructures and mechanical characteristics of electromagnetic casting and direct-chill casting 2024 aluminum alloys,"C Zhiqiang, J Fei, Z Xingguo, H Hai, J Junze","Materials Science and Engineering: A 327 (2), 133-137",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11661963358365399915,58,2002
On Link Misalignment for Underwater Wireless Optical Communications,"S Tang, Y Dong, X Zhang",IEEE,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15515239312868661808,48,0
Adaptive energy-harvesting aware clustering routing protocol for wireless sensor networks,"J Meng, X Zhang, Y Dong, X Lin","7th International Conference on Communications and Networking in China, 742-747",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4674043046136080670,42,2012
A novel real-time traffic information system based on wireless mesh networks,"X Zhang, J Hong, S Fan, Z Wei, J Cao, Y Ren","2007 IEEE Intelligent Transportation Systems Conference, 618-623",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11443882286800307896,32,2007
Impulse response modeling for general underwater wireless optical MIMO links,"H Zhang, Y Dong","IEEE Communications Magazine 54 (2), 56-61",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16229450474115794931,31,2016
An effective routing protocol for energy harvesting wireless sensor networks,"M Xiao, X Zhang, Y Dong","2013 IEEE wireless communications and networking conference (WCNC), 2080-2084",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6028944080425731183,31,2013
伊通地堑—走滑断陷盆地的构造特征及演化,李献甫， 张春华,"石油实验地质 24 (1), 19-24","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11239652259324969641,5904457463151625036",31,2002
General stochastic channel model and performance evaluation for underwater wireless optical links,"H Zhang, Y Dong","IEEE transactions on wireless communications 15 (2), 1162-1173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13088408460915641296,30,2015
Safe pseudovirus-based assay for neutralization antibodies against influenza A (H7N9) virus,"C Qiu, Y Huang, A Zhang, D Tian, Y Wan, X Zhang, W Zhang, Z Zhang, ...","Emerging infectious diseases 19 (10), 1685",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12262456256936559015,27,2013
CC-TDMA: Coloring-and coding-based multi-channel TDMA scheduling for wireless ad hoc networks,"X Zhang, J Hong, L Zhang, X Shan, VOK Li","2007 IEEE Wireless Communications and Networking Conference, 133-137",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17272708144274078214,27,2007
Temporal statistics of irradiance in moving turbulent ocean,"S Tang, X Zhang, Y Dong","2013 MTS/IEEE OCEANS-Bergen, 1-4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2242115646982715237,26,2013
Zhu,Y Li,"Q., Zhang, Y., Feng, Y., Leng, Y. and Zhang, A, 3875-3884",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5998283746560097177,26,2010
Spatial and temporal analysis of probe vehicle-based sampling for real-time traffic information system,"J Hong, X Zhang, Z Wei, L Li, Y Ren","2007 IEEE Intelligent Vehicles Symposium, 1234-1239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16810486349260706296,26,2007
Materials science and Eng,"L Wang, M Niinomi, S Takahashi, M Hagiwara, S Emura, Y Kawabei, ...","A 263, 319-325",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4124330474976611352,26,1999
