Title,Authors,Platform,Cited_url,Cited_count,Year
Fuzzy sets and systems for a motorway microscopic simulation model,"J Wu, M Brackstone, M McDonald","Fuzzy sets and systems 116 (1), 65-76",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16326718307160901715,151,2000
Bus priority using pre-signals,"J Wu, N Hounsell","Transportation Research Part A: Policy and Practice 32 (8), 563-583",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15250906611790626397,136,1998
The validation of a microscopic simulation model: a methodological case study,"J Wu, M Brackstone, M McDonald","Transportation Research Part C: Emerging Technologies 11 (6), 463-479",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5659473178750974010,101,2003
Development of a fuzzy logic based microscopic motorway simulation model,"M McDonald, J Wu, M Brackstone","Proceedings of Conference on Intelligent Transportation Systems, 82-87",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=336793838925064138,92,1997
"Lane changing on the motorway: Factors affecting its occurrence, and their implications","M Brackstone, M McDonald, J Wu",IET Digital Library,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1328310734011347217,62,1998
A robust scheduling method based on a multi-objective immune algorithm,"X Zuo, H Mo, J Wu","Information Sciences 179 (19), 3359-3369",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3289977744174148485,56,2009
Study of pedestrians' gap acceptance behavior when they jaywalk outside crossing facilities,"T Wang, J Wu, P Zheng, M McDonald",13th International IEEE Conference on Intelligent Transportation Systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6374350018114173740,54,2010
Traffic speed prediction using deep learning method,"Y Jia, J Wu, Y Du",2016 IEEE 19th International Conference on Intelligent Transportation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6021790324755516541,47,2016
A detailed evaluation of ramp metering impacts on driver behaviour,"J Wu, M McDonald, K Chatterjee","Transportation Research Part F: Traffic Psychology and Behaviour 10 (1), 61-75",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8033481773488726395,47,2007
Application of the real-time kinematic global positioning system in bridge safety monitoring,"J Guo, L Xu, L Dai, M Mcdonald, J Wu, Y Li","Journal of Bridge Engineering 10 (2), 163-168",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10767697026541299882,46,2005
A study on cyclist behavior at signalized intersections,"H Ling, J Wu","IEEE Transactions on Intelligent Transportation Systems 5 (4), 293-299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1159974658359436450,45,2004
An algorithm for automatic vehicle speed detection using video camera,"J Wu, Z Liu, J Li, C Gu, M Si, F Tan","2009 4th International Conference on Computer Science & Education, 193-196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10411553668641010714,42,2009
Motion and haar-like features based vehicle detection,"H Bai, J Wu, C Liu","2006 12th International Multi-Media Modelling Conference, 4 pp.",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2203740087350000614,42,2006
An alternative approach to the identification of respiratory central chemoreceptors in the brainstem,"C Jiang, H Xu, N Cui, J Wu","Respiration physiology 129 (1-2), 141-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14944700308259651576,40,2001
Enhanced roadway inventory using a 2‐D sign video image recognition algorithm,"J Wu, Y Tsai","Computer‐Aided Civil and Infrastructure Engineering 21 (5), 369-382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3508861842061886836,37,2006
Leveraging longitudinal driving behaviour data with data mining techniques for driving style analysis,"G Qi, Y Du, J Wu, M Xu","IET intelligent transport systems 9 (8), 792-801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13752944779288418547,34,2015
Study on adaptive GPS/INS integrated navigation system,"W Bin, W Jian, W Jianping, C Baigen",Proceedings of the 2003 IEEE International Conference on Intelligent …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14435690733996707966,32,2003
Real-time speed limit sign recognition based on locally adaptive thresholding and depth-first-search,"J Wu, YJ Tsai","Photogrammetric Engineering & Remote Sensing 71 (4), 405-414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=842008504422851901,29,2005
Shape-and texture-based 1-D image processing algorithm for real-time stop sign road inventory data collection,"Y Tsai, J Wu","ITS Journal 7 (3-4), 213-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10571534048407173676,25,2002
Rainfall-integrated traffic speed prediction using deep learning method,"Y Jia, J Wu, M Ben-Akiva, R Seshadri, Y Du","IET Intelligent Transport Systems 11 (9), 531-536",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2275095287363130271,24,2017
Robust real-time ellipse detection by direct least-square-fitting,J Wu,2008 International Conference on Computer Science and Software Engineering 1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=575213100404059758,23,2008
The research on drivers' route choice behavior in the presence of dynamic traffic information,"Y Zhou, J Wu","2006 IEEE Intelligent Transportation Systems Conference, 1304-1309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10810307761584672743,23,2006
