Title,Authors,Platform,Cited_url,Cited_count,Year
Spin-orbit coupled degenerate Fermi gases,"P Wang, ZQ Yu, Z Fu, J Miao, L Huang, S Chai, H Zhai, J Zhang","Physical review letters 109 (9), 095301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1361736962765823586,837,2012
Functional renormalization-group study of the pairing symmetry and pairing mechanism of the FeAs-based high-temperature superconductor,"F Wang, H Zhai, Y Ran, A Vishwanath, DH Lee","Physical review letters 102 (4), 047005","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1380620286775472086,2569594401861123616",548,2009
Spin-orbit coupled spinor Bose-Einstein condensates,"C Wang, C Gao, CM Jian, H Zhai","Physical review letters 105 (16), 160403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12445778377418437901,513,2010
Collective dipole oscillations of a spin-orbit coupled Bose-Einstein condensate,"JY Zhang, SC Ji, Z Chen, L Zhang, ZD Du, B Yan, GS Pan, B Zhao, ...","Physical review letters 109 (11), 115301","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15193468498858407093,13815767759614692165",501,2012
Degenerate quantum gases with spin–orbit coupling: a review,H Zhai,"Reports on progress in physics 78 (2), 026001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5660111016813592710,354,2015
Nodal spin density wave and band topology of the FeAs-based materials,"Y Ran, F Wang, H Zhai, A Vishwanath, DH Lee","Physical Review B 79 (1), 014505","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=631802628209152522,4114939901276574466",262,2009
Spin-orbit coupled quantum gases,H Zhai,"International Journal of Modern Physics B 26 (01), 1230001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2108553950375389116,239,2012
Spin-orbit coupled Fermi gases across a Feshbach resonance,"ZQ Yu, H Zhai","Physical review letters 107 (19), 195305",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9654542408000551389,214,2011
Experimental determination of the finite-temperature phase diagram of a spin–orbit coupled Bose gas,"SC Ji, JY Zhang, L Zhang, ZD Du, W Zheng, YJ Deng, H Zhai, S Chen, ...","Nature physics 10 (4), 314",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14837998733979381894,161,2014
Measuring out-of-time-order correlators on a nuclear magnetic resonance quantum simulator,"J Li, R Fan, H Wang, B Ye, B Zeng, H Zhai, X Peng, J Du","Physical Review X 7 (3), 031011",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11160741612690088299,154,2017
Out-of-time-order correlation for many-body localization,"R Fan, P Zhang, H Shen, H Zhai","Science bulletin 62 (10), 707-711",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3830373498999802909,152,2017
Antiferromagnetically driven electronic correlations in iron pnictides and cuprates,"H Zhai, F Wang, DH Lee","Physical Review B 80 (6), 064517",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7855580429515707091,139,2009
Production of Feshbach molecules induced by spin–orbit coupling in Fermi gases,"Z Fu, L Huang, Z Meng, P Wang, L Zhang, S Zhang, H Zhai, P Zhang, ...","Nature physics 10 (2), 110","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15351259464020161108,6804335453478707459",117,2014
Orbital Feshbach resonance in alkali-earth atoms,"R Zhang, Y Cheng, H Zhai, P Zhang","Physical review letters 115 (13), 135301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16314894835410074562,112,2015
Floquet topological states in shaking optical lattices,"W Zheng, H Zhai","Physical Review A 89 (6), 061603",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13688824072594378682,109,2014
Trapped Fermi gases in rotating optical lattices: Realization and detection of the topological Hofstadter insulator,"RO Umucalılar, H Zhai, MÖ Oktel","Physical review letters 100 (7), 070402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14412220874876578826,100,2008
"Nodes in the gap function of LaFePO, the gap function of the Fe (Se, Te) systems, and the STM signature of the s±pairing","F Wang, H Zhai, DH Lee","Physical Review B 81 (18), 184512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11916881130740950173,96,2010
Stability of a fully magnetized ferromagnetic state in repulsively interacting ultracold Fermi gases,"X Cui, H Zhai","Physical Review A 81 (4), 041602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4693231437786605740,96,2010
Vortex lattices in planar Bose-Einstein condensates with dipolar interactions,"J Zhang, H Zhai","Physical review letters 95 (20), 200403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9187032142613633694,95,2005
Criterion for bosonic superfluidity in an optical lattice,"RB Diener, Q Zhou, H Zhai, TL Ho","Physical review letters 98 (18), 180404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13589203175192571512,90,2007
Antiferromagnetic correlation and the pairing mechanism of the cuprates and iron pnictides: A view from the functional renormalization group studies,"F Wang, H Zhai, DH Lee","EPL (Europhysics Letters) 85 (3), 37005",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13541375101529003691,88,2009
Machine learning topological invariants with neural networks,"P Zhang, H Shen, H Zhai","Physical review letters 120 (6), 066401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16353559315212871495,81,2018
Scheme to measure the topological number of a Chern insulator from quench dynamics,"C Wang, P Zhang, X Chen, J Yu, H Zhai","Physical review letters 118 (18), 185701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5577390173143602436,79,2017
Properties of Bose gases with the Raman-induced spin–orbit coupling,"W Zheng, ZQ Yu, X Cui, H Zhai","Journal of Physics B: Atomic, Molecular and Optical Physics 46 (13), 134007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3256131387989360582,79,2013
Synthetic gauge field with highly magnetic lanthanide atoms,"X Cui, B Lian, TL Ho, BL Lev, H Zhai","Physical Review A 88 (1), 011601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16283590008563303835,76,2013
Paired superfluidity and fractionalized vortices in systems of spin-orbit coupled bosons,"CM Jian, H Zhai","Physical Review B 84 (6), 060508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18192764651848317407,75,2011
Charge pumping of interacting fermion atoms in the synthetic dimension,"TS Zeng, C Wang, H Zhai","Physical review letters 115 (9), 095302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16772733071819242793,71,2015
Out-of-time-order correlation at a quantum phase transition,"H Shen, P Zhang, R Fan, H Zhai","Physical Review B 96 (5), 054503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1050542447173490185,67,2017
