Title,Authors,Platform,Cited_url,Cited_count,Year
The MicroArray Quality Control (MAQC)-II study of common practices for the development and validation of microarray-based predictive models,"L Shi, G Campbell, WD Jones, F Campagne, Z Wen, SJ Walker, Z Su, ...","Nature biotechnology 28 (8), 827",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6115246226552657824,615,2010
Network‐based global inference of human disease genes,"X Wu, R Jiang, MQ Zhang, S Li",Molecular systems biology 4 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7326433011017725107,612,2008
Clustering 16S rRNA for OTU prediction: a method of unsupervised Bayesian clustering,"X Hao, R Jiang, T Chen","Bioinformatics 27 (5), 611-618",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16775525280960027275,233,2011
A random forest approach to the detection of epistatic interactions in case-control studies,"R Jiang, W Tang, X Wu, W Fu","BMC bioinformatics 10 (1), S65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17881067507846558293,181,2009
Epistatic module detection for case-control studies: a Bayesian model with a Gibbs sampling strategy,"W Tang, X Wu, R Jiang, Y Li","PLoS genetics 5 (5), e1000464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17727950948624417049,120,2009
Align human interactome with phenome to identify causative genes and networks underlying disease families,"X Wu, Q Liu, R Jiang","Bioinformatics 25 (1), 98-104",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13283466385959552530,98,2008
From ontology to semantic similarity: calculation of ontology-based semantic similarity,"M Gan, X Dou, R Jiang",The Scientific World Journal 2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14465617287945320734,85,2013
Uncover disease genes by maximizing information flow in the phenome–interactome network,"Y Chen, T Jiang, R Jiang","Bioinformatics 27 (13), i167-i176",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4418017044895351397,79,2011
Integrating next-generation sequencing and traditional tongue diagnosis to determine tongue coating microbiome,"B Jiang, X Liang, Y Chen, T Ma, L Liu, J Li, R Jiang, T Chen, X Zhang, S Li","Scientific reports 2, 936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=493798242699299395,76,2012
Constructing a gene semantic similarity network for the inference of disease genes,"R Jiang, M Gan, P He","BMC systems biology 5 (2), S2",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2329919149718901789,72,2011
Prediction of deleterious nonsynonymous single-nucleotide polymorphism for human diseases,"J Wu, R Jiang",The Scientific World Journal 2013,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9741714879328670476,57,2013
Network motif identification in stochastic networks,"R Jiang, Z Tu, T Chen, F Sun","Proceedings of the National Academy of Sciences 103 (25), 9404-9409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4240316751704629222,56,2006
Sequence-based prioritization of nonsynonymous single-nucleotide polymorphisms for the study of disease mutations,"R Jiang, H Yang, L Zhou, CCJ Kuo, F Sun, T Chen","The American Journal of Human Genetics 81 (2), 346-360",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11008596055379903095,54,2007
A max-flow-based approach to the identification of protein complexes using protein interaction and microarray data,"J Feng, R Jiang, T Jiang","IEEE/ACM Transactions on Computational Biology and Bioinformatics 8 (3), 621-634",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12021062055439682585,53,2010
Integrating multiple genomic data to predict disease-causing nonsynonymous single nucleotide variants in exome sequencing studies,"J Wu, Y Li, R Jiang","PLoS genetics 10 (3), e1004237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7336317547999860962,49,2014
Improving accuracy and diversity of personalized recommendation through power law adjustments of user similarities,"M Gan, R Jiang","Decision Support Systems 55 (3), 811-821",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3718029496275004716,49,2013
Identifying potential cancer driver genes by genomic data integration,"Y Chen, J Hao, W Jiang, T He, X Zhang, T Jiang, R Jiang","Scientific reports 3, 3538",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12675543020812297748,48,2013
A SWOT analysis for promoting off-site construction under the backdrop of China’s new urbanisation,"R Jiang, C Mao, L Hou, C Wu, J Tan","Journal of cleaner production 173, 225-234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8159815299083648744,47,2018
Modeling gene regulation from paired expression and chromatin accessibility data,"Z Duren, X Chen, R Jiang, Y Wang, WH Wong","Proceedings of the National Academy of Sciences 114 (25), E4914-E4923",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11586094898652708780,46,2017
Research in computational molecular biology,"S Nurk, A Bankevich, D Antipov, A Gurevich, A Korobeynikov, A Lapidus, ...","Proceedings of the 17th Annual International Conference, RECOMB 2013 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6948759674762198325,46,2013
Hydrological process controls on nitrogen export during storm events in an agricultural watershed,"R Jiang, KP Woli, K Kuramochi, A Hayakawa, M Shimizu, R Hatano","Soil Science & Plant Nutrition 56 (1), 72-85",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13712548738350773501,40,2010
Integrating multiple protein-protein interaction networks to prioritize disease genes: a Bayesian regression approach,"W Zhang, F Sun, R Jiang","BMC bioinformatics 12 (1), S11",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=249621194854288436,39,2011
Searching for interpretable rules for disease mutations: a simulated annealing bump hunting strategy,"R Jiang, H Yang, F Sun, T Chen","BMC bioinformatics 7 (1), 417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8491011178789830450,36,2006
Chromatin accessibility prediction via convolutional long short-term memory networks with ,"X Min, W Zeng, N Chen, T Chen, R Jiang","Bioinformatics 33 (14), i92-i101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15653345452125833176,35,2017
Constructing a user similarity network to remove adverse influence of popular objects for personalized recommendation,"M Gan, R Jiang","Expert Systems with Applications 40 (10), 4044-4053",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11969339738358630860,35,2013
Walking on multiple disease-gene networks to prioritize candidate genes,R Jiang,"Journal of molecular cell biology 7 (3), 214-230",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15758014850038343468,34,2015
"Urban traffic simulated from the dual representation: Flow, crisis and congestion","MB Hu, R Jiang, R Wang, QS Wu","Physics Letters A 373 (23-24), 2007-2011",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13258464469620763156,34,2009
A tight upper bound on channel capacity for visible light communications,"R Jiang, Z Wang, Q Wang, L Dai","IEEE Communications Letters 20 (1), 97-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15304919742392778363,32,2015
"Spatial variation of denitrification potential of grassland, windbreak forest, and riparian forest soils in an agricultural catchment in eastern Hokkaido, Japan","A Hayakawa, M Nakata, R Jiang, K Kuramochi, R Hatano","Ecological Engineering 47, 92-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=808888419116861391,31,2012
Reconstructing cell cycle pseudo time-series via single-cell transcriptome data,"Z Liu, H Lou, K Xie, H Wang, N Chen, OM Aparicio, MQ Zhang, R Jiang, ...","Nature communications 8 (1), 22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10600621261210432161,29,2017
Multi-user sum-rate optimization for visible light communications with lighting constraints,"R Jiang, Z Wang, Q Wang, L Dai","Journal of Lightwave Technology 34 (16), 3943-3952",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3147080176688987972,29,2016
Extraction of investment strategies based on moving averages: A genetic algorithm approach,"R Jiang, KY Szeto",2003 IEEE International Conference on Computational Intelligence for …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5158991550348567047,26,2003
Integrating human omics data to prioritize candidate genes,"Y Chen, X Wu, R Jiang","BMC medical genomics 6 (1), 57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14533677017715529620,23,2013
DomainRBF: a Bayesian regression approach to the prioritization of candidate domains for complex diseases,"W Zhang, Y Chen, F Sun, R Jiang","BMC systems biology 5 (1), 55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13467237015151055498,22,2011
Discovering investment strategies in portfolio management: a genetic algorithm approach,"R Jiang, KY Szeto",Proceedings of the 9th International Conference on Neural Information …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=564218179576321624,22,2002
Predicting enhancers with deep convolutional neural networks,"X Min, W Zeng, S Chen, N Chen, T Chen, R Jiang","BMC bioinformatics 18 (13), 478",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8908157182494811052,21,2017
β-Catenin is important for cancer stem cell generation and tumorigenic activity in nasopharyngeal carcinoma,"R Jiang, X Niu, Y Huang, X Wang","Acta Biochim Biophys Sin 48 (3), 229-237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11439787685368639166,21,2016
PyroHMMsnp: an SNP caller for Ion Torrent and 454 sequencing data,"F Zeng, R Jiang, T Chen","Nucleic acids research 41 (13), e136-e136",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2113008890849681568,21,2013
Factors controlling nitrogen and dissolved organic carbon exports across timescales in two watersheds with different land uses,"R Jiang, R Hatano, Y Zhao, K Kuramochi, A Hayakawa, KP Woli, ...","Hydrological processes 28 (19), 5105-5121",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3747509514690480562,20,2014
DeepEnhancer: Predicting enhancers by convolutional neural networks,"X Min, N Chen, T Chen, R Jiang",2016 IEEE International Conference on Bioinformatics and Biomedicine (BIBM …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6153229794417992202,19,2016
Plastic film mulching on soil water and maize (,"R Jiang, X Li, M Zhou, HJ Li, Y Zhao, J Yi, LL Cui, M Li, JG Zhang, D Qu","Soil science and plant nutrition 62 (1), 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10566026979157639009,19,2016
