Title,Authors,Platform,Cited_url,Cited_count,Year
Review of power system load forecasting and its development,"C Kang, Q Xia, B Zhang","Automation of Electric Power Systems 28 (17), 1-11","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4261446620642749,3503032594835920171,6905995717938257722",460,2004
Prospects of low-carbon electricity,"C Kang, Q Chen, Q Xia","Power System Technology 33 (2), 1-7","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6763663066638270504,13948609692647600632,10093594571816503084",445,2009
Impact of large-scale wind farm connecting with power grid on peak load regulation demand,"N Zhang, T Zhou, C Duan, X Tang, J Huang, Z Lu, C Kang","Power System Technology 34 (1), 152-158","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17706088023168090096,14559755429915751946,2117020133715804538",328,2010
Increasing the flexibility of combined heat and power for wind power integration in China: Modeling and implications,"X Chen, C Kang, M O'Malley, Q Xia, J Bai, C Liu, R Sun, W Wang, H Li","IEEE Transactions on Power Systems 30 (4), 1848-1857",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11862741542767262169,227,2014
Unit commitment with volatile node injections by using interval optimization,"Y Wang, Q Xia, C Kang","IEEE Transactions on Power Systems 26 (3), 1705-1713",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5772364817392008730,192,2011
Power generation expansion planning model towards low-carbon economy and its application in China,"Q Chen, C Kang, Q Xia, J Zhong","IEEE Transactions on Power Systems 25 (2), 1117-1125",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=506342523289400264,180,2010
ANALYSIS ON THE UNCERTAINTY OF ELECTRICITY PRICE [J],"LC Bai, CQ Kang, Q Xia, R GE",Proceedings of the Csee 5,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4078284866364890142,13021924900635901852,2456169355981056773,1813043747349008531",177,2002
Optimal bidding strategy of battery storage in power markets considering performance-based regulation and battery cycle life,"G He, Q Chen, C Kang, P Pinson, Q Xia","IEEE Transactions on Smart Grid 7 (5), 2359-2367",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9296198766510272795,167,2015
Modeling conditional forecast error for wind power in generation scheduling,"N Zhang, C Kang, Q Xia, J Liang","IEEE Transactions on Power Systems 29 (3), 1316-1324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4750039486714466649,152,2013
Robust optimization-based resilient distribution network planning against natural disasters,"W Yuan, J Wang, F Qiu, C Chen, C Kang, B Zeng","IEEE Transactions on Smart Grid 7 (6), 2817-2826",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6957895139741610963,148,2016
Mechanism and modelling approach to low-carbon power dispatch,"Q Chen, C Kang, Q Xia, D Kirschen","Dianli Xitong Zidonghua(Automation of Electric Power Systems) 34 (12), 18-23","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4166382959611538043,7623322033042001192",144,2010
Key Low-carbon Factors in the Evolution of Power Decarbonisation and Their Impacts on Generation Expansion Planning [J],"Q Chen, C Kang, Q Xia, Y Zhou, R Yokoyama",Automation of Electric Power Systems 15,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6340694889612793808,4933336579952507743",137,2009
Generation rights trade and its mechanism,"L Canbin, K Chongqing, X Qing, H Yong-hao, S Jin-cheng","Automation of Electric Power Systems 27 (6), 13-18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6443393200782698931,17745022250485325998",136,2003
"Zhang Boming Tsinghua University, Beijing 100084","K Chongqing, X Qing","China, 2004-17",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10175620395618644800,132,0
"XIANG Niande Department of Electrical Engineering, Tsinghua University, Beijing 100084, China; Integrated model of power system load forecasting [J]","C KANG, Q XIA, Y SHEN",JOURNAL OF TSINGHUA UNIVERSITY (SCIENCE AND TECHNOLOGY) 1,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13202915287101977057,11792935790945135561,10017757506141991120",126,1999
"Review of smart meter data analytics: Applications, methodologies, and challenges","Y Wang, Q Chen, T Hong, C Kang","IEEE Transactions on Smart Grid 10 (3), 3125-3148",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5670923503012195898,122,2018
Risk decision-making of generators in electricity market,"CQ Kang, LC Bai, Q Xia, Y HUANG, J SHANG, Y MENG, N HE","PROCEEDINGS-CHINESE SOCIETY OF ELECTRICAL ENGINEERING 24 (8), 1-6","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=823615645063212258,3390479213480841429",122,2004
Load profiling and its application to demand response: A review,"Y Wang, Q Chen, C Kang, M Zhang, K Wang, Y Zhao","Tsinghua Science and Technology 20 (2), 117-129",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1754104277298338455,121,2015
STRATEGIC BIDDING WITH APPLICATION OF GAME THEORY,"W Zhiyong, K Chongqing, X Qing, D Guohua, S Yu, Z Anshi, D Junwei",Automation of Electric Power Systems 9,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7598225478821299293,16904006861380966957,14093406028982816525",117,2002
Clustering of electricity consumption behavior dynamics toward big data applications,"Y Wang, Q Chen, C Kang, Q Xia","IEEE transactions on smart grid 7 (5), 2437-2447",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12551239807385750861,113,2016
Planning pumped storage capacity for wind power integration,"N Zhang, C Kang, DS Kirschen, Q Xia, W Xi, J Huang, Q Zhang","IEEE Transactions on Sustainable Energy 4 (2), 393-401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14563389780987094972,110,2012
Review and prospect of integrated demand response in the multi-energy system,"J Wang, H Zhong, Z Ma, Q Xia, C Kang","Applied Energy 202, 772-782",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6023275689811668719,108,2017
A NEW UNIFIED APPROACH TO SHORT-TERM LOAD FORECASTING CONSIDERING CORRELATED FACTORS [J],"KCCXX Qing⑿, SYTUB China⒕",AUTOMATION OF ELECTRIC POWER SYSTEMS 18,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8639494835527648685,10730361656086144682",104,1999
