Title,Authors,Platform,Cited_url,Cited_count,Year
Analysis of crack coalescence in rock-like materials containing three flaws—part I: experimental approach,"RHC Wong, KT Chau, CA Tang, P Lin","International Journal of Rock Mechanics and Mining Sciences 38 (7), 909-924",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3190867666762896832,382,2001
Analysis of crack coalescence in rock-like materials containing three flaws—part II: numerical approach,"CA Tang, P Lin, RHC Wong, KT Chau","International Journal of Rock Mechanics and Mining Sciences 38 (7), 925-939",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1469347136440780448,266,2001
Experimental study of micro/macro crack development and stress–strain relations of cement-based composite materials at elevated temperatures,"YF Fu, YL Wong, CS Poon, CA Tang, P Lin","Cement and Concrete Research 34 (5), 789-797",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5302235213658983029,115,2004
Splitting failure in brittle rocks containing pre-existing flaws under uniaxial compression,"RHC Wong, CA Tang, KT Chau, P Lin","Engineering Fracture Mechanics 69 (17), 1853-1871",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16626536025971218742,107,2002
Experimental and numerical study on splitting failure of brittle solids containing single pore under uniaxial compression,"RHC Wong, P Lin, CA Tang","Mechanics of Materials 38 (1-2), 142-159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5074201069076871234,86,2006
Modeling of compression-induced splitting failure in heterogeneous brittle porous solids,"CA Tang, RHC Wong, KT Chau, P Lin","Engineering fracture mechanics 72 (4), 597-615",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10546654664559413641,63,2005
双轴加载下断续预置裂纹贯通机制的研究 Mechanisms of crack coalescence of pre-existing flaws under biaxial compression,黄凯珠， 林鹏,"岩石力学与工程学报 21 (6), 808-816","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=137641727389563088,15792826619279435364",63,2002
"Experimental study on cracking, reinforcement and overall stability of the Xiaowan super-high arch dam","P Lin, WY Zhou, HY Liu",Rock mechanics and rock engineering,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14240440245807990451,60,2015
Experimental study on failure behaviour of deep tunnels under high in-situ stresses,"P Lin, H Liu, W Zhou","Tunnelling and Underground Space Technology 46, 28-45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4893616992083453491,57,2015
Experimental study of coalescence mechanisms and failure under uniaxial compression of granite containing multiple holes,"P Lin, RHC Wong, CA Tang","International journal of rock mechanics and mining sciences 77, 313-327",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3677520778288155167,53,2015
"Safety risk management of underground engineering in China: Progress, challenges and strategies","Q Qian, P Lin","Journal of Rock Mechanics and Geotechnical Engineering 8 (4), 423-442",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3644786473378422514,50,2016
复杂地基上高拱坝开裂与稳定研究 Study on cracking and stability problems of high arch dams on complicated foundations,王仁坤， 林鹏， 周维垣,"岩石力学与工程学报 26 (10), 1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=732344886242743455,17421639310088410173",50,2007
锦屏高边坡三维地质力学模型试验研究 Experimental research on stability of Jinping high slope with three-dimensional geomechanical model,"WY Zhou, P Lin, Q Yang, RQ Yang, Z Zhou","Chinese Journal of Rock Mechanics and Engineering 5, 006","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8465278551067108895,13357497270516335887",46,2008
A real time location-based services system using Wi-Fi fingerprinting algorithm for safety risk assessment of workers in tunnels,"P Lin, Q Li, Q Fan, X Gao",Mathematical Problems in Engineering,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3599462077820527984,44,2014
Reinforcement design and stability analysis for large-span tailrace bifurcated tunnels with irregular geometry,"P Lin, Y Zhou, H Liu, C Wang","Tunnelling and Underground Space Technology 38, 189-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1860183432849476542,43,2013
A topic modeling based bibliometric exploration of hydropower research,"H Jiang, M Qiang, P Lin","Renewable and Sustainable Energy Reviews 57, 226-237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13981786899149926764,42,2016
"特高拱坝基础破坏, 加固与稳定关键问题研究 Key problems of foundation failure, reinforcement and stability for super high arch dams",林鹏， 王仁坤， 康绳祖， 张海超， 周维垣,"岩石力学与工程学报 30 (10), 1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4751045232859799692,4046356142205973050",40,2011
两岩体系统破坏全过程的数值模拟和实验研究,"林 鹏, 唐春安, 陈忠辉，黄润秋","地震 19 (4), 413-418","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12662410027686030956,10497723113879814407",39,1999
Failure and overall stability analysis on high arch dam based on DFPA code,"P Lin, TH Ma, ZZ Liang, CA Tang, RK Wang",Engineering Failure Analysis,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17200736912892776949,38,2014
大体积混凝土通水冷却智能温度控制方法与系统Intelligent cooling control method and system for mass concrete,林鹏， 李庆斌， 周绍武， 胡昱,"水利学报 8, 92-99","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16966552199756205841,13270609696596994745",38,2013
论智能大坝 Demonstration on intelligent dam,李庆斌， 林鹏,"水力发电学报 33 (1), 139-146","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8099339802727885114,6571870438992209336",35,2014
Multi-crack coalesence in rock-like material under uniaxial and biaxial loading,"P Lin, RHC Wong, KT Chau, CA Tang","Key engineering materials 183, 809-814",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14622758621259848018,33,2000
中国岩石工程若干进展与挑战  Some developments and challenging issues in rock engineering field in china,佘诗刚林鹏,"岩石力学与工程学报 33 (3), 433-457",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11341066392222319754,31,2014
Public-opinion sentiment analysis for large hydro projects,"H Jiang, P Lin, M Qiang","Journal of Construction Engineering and Management 142 (2), 05015013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9659480074609741211,28,2015
Hybrid finite–discrete element modeling of geomaterials fracture and fragment muck-piling,"HY Liu, YM Kang, P Lin","International Journal of Geotechnical Engineering 9 (2), 115-131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13137322039099000512,28,2015
溪洛渡拱坝施工期岩体质量评价与大坝稳定分析Evaluation of rock mass quality and stability of xiluodu arch dam under construction phase,林鹏， 康绳祖， 李庆斌， 王仁坤， 汪志林,"岩石力学与工程学报 31 (10), 2042-2052","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5767017117186590839,3967795437565731897",28,2012
汶川 8.0 级地震对典型高坝结构安全的影响分析 Effect analysis of structural safety of typical large dams in Wenchuan 8.0 earthquake,"P LIN, R WANG, Q LI, Q YANG, W ZHOU","Chinese Journal of Rock Mechanics and Engineering 28 (6), 1261-1269","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3143478171669148397,1395943540689518094",28,2009
三维无单元伽辽金法及其在拱坝分析中的应用,周维垣， 黄岩松， 林鹏,"水利学报 36 (6), 644-649","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1108419186065392679,1001432028883841076",28,2005
Hazards and seismic reinforcement analysis for typical large dams following the Wenchuan earthquake,"P Lin, B Huang, QB Li, RK Wang",Engineering Geology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10504119834422346885,27,2014
溪洛渡特高拱坝建基面嵌深优化的分析与评价 Analysis and evaluation of optimizing design for foundation excavation of xiluodu super-high arch dam,王仁坤， P Lin),"岩石力学与工程学报 27 (10), 2-010","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4100442624910328767,6071250465109917017",27,2008
"Cracking, stability and slope reinforcement analysis relating to the Jinping dam based on a geomechanical model test","P Lin, XL Liu, WY Zhou, RK Wang, SY Wang",Arabian Journal of Geosciences,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18073569929719610621,26,2014
不同角度单裂纹缺陷试样的裂纹扩展与破坏行为 Crack growth mechanism and failure behavior of specimen containing single flaw with different angle,"P Lin), 黄凯珠, 王仁坤, 周维垣",岩石力学与工程学报 2,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1021882071866853768,4900081258638815913",26,2005
含裂纹与孔洞缺陷介质的脆性破坏行为 Brittle failure behavior of medium containing flaws and pores,P Lin,"岩石力学与工程学报 21 (8), 1","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8430821894635137742,13331156474060009385",26,2002
A labor consumption measurement system based on real-time tracking technology for dam construction site,"H Jiang, P Lin, M Qiang, Q Fan","Automation in Construction 52, 1-15",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8511547790096473885,25,2015
Numerical approach to particle breakage under different loading conditions,"CA Tang, HY Liu, WC Zhu, TH Yang, WH Li, L Song, P Lin","Powder technology 143, 130-143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17153089609920481099,25,2004
Experimental Investigation of Nonlinear Flow Characteristics of Real Rock Joints under Different Contact Conditions,Caichu Xia，Xin Qian， Peng Lin，Weimin Xiao，Yang Gui,Journal of Hydraulic Engineering,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7911436717874583153,24,2017
Finding academic concerns of the Three Gorges Project based on a topic modeling approach,"HC Jiang, MS Qiang, P Lin","Ecological indicators 60, 693-701",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4292654804483739636,24,2016
Real-time monitoring system for workers' behaviour analysis on a large-dam construction site,"P Lin, Q Li, Q Fan, X Gao","International Journal of Distributed Sensor Networks 9 (10), 509423",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9470699204012638789,24,2013
A flexible network structure for temperature monitoring of a super high arch dam,"P Lin, Q Li, H Hu","International Journal of Distributed Sensor Networks 8 (11), 917849",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10101523146213797808,21,2012
Creeping damage around an opening in rock-like material containing non-persistent joints,"RHC Wong, P Lin, CA Tang, KT Chau","Engineering fracture mechanics 69 (17), 2015-2027",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14107546673709629611,21,2002
Assessment of online public opinions on large infrastructure projects: A case study of the Three Gorges Project in China,"H Jiang, M Qiang, P Lin","Environmental Impact Assessment Review 61, 38-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2638684143866730543,20,2016
Numerical study of stress distribution and crack coalescence mechanisms of a solid containing multiple holes,"Robina H.C.Wong, Peng Lin","International Journal of Rock Mechanics and Mining Sciences 79, 41-54",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11923256721374086218,19,2015
高拱坝地质力学模型试验方法与应用,周维垣林鹏 杨若琼 杨强,中国水利水电出版社,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10843514691268874155,19,2008
拱坝基础不对称性影响研究 Study on influences of asymmetry on arch dam foundation,周维垣， 王仁坤， 林鹏,"岩石力学与工程学报 25 (6), 1-081","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16505693623112696760,13491186535513054146",19,2006
颗粒增强复合材料基体破坏过程的数值模拟分析 Numerical approach to failure process in brittle and heterogeneous matrix filled with particles,唐春安， 傅宇方， 林鹏,,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7410607391428280750,713801103422781769",19,1999
Study on Optimal Grouting Timing for Controlling Uplift Deformation of a Super High Arch Dam,"P Lin, X Zhu, Q Li, H Liu, Y Yu","Rock Mechanics and Rock Engineering 49 (1), 115-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3331626106429541414,18,2016
应力与渗流耦合作用下溪洛渡拱坝变形稳定分析 Deformation stability analysis of xiluodu arch dam under stress-seepage coupling condition,"P LIN, X LIU, Y HU, W XU, Q LI","Chinese Journal of Rock Mechanics and Engineering 6, 009","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12907933700351346874,11360680705523993701",18,2013
露天转地下开采中顶柱稳定性分析,马天辉， 唐春安， 杨天鸿， 林鹏,"东北大学学报: 自然科学版 27 (004), 450-453",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10541278308156417668,18,2006
"Large deformation analysis of a high steep slope relating to the Laxiwa Reservoir, China","P Lin, X Liu, S Hu, P Li","Rock Mechanics and Rock Engineering 49 (6), 2253-2276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3892219351814741951,17,2016
Deformation behavior and interface microstructure evolution of Al/Mg/Al multilayer composite sheets during deep drawing,"C Li, C Chi, P Lin, H Zhang, W Liang","Materials & Design 77, 15-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11388154546218956671,17,2015
A Real-Time Temperature Data Transmission Approach for Intelligent Cooling Control of Mass Concrete,"P Lin, Q Li, P Jia",Mathematical Problems in Engineering 2014,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3572773711964963915,17,2014
高拱坝基础大垫座及周边缝设置研究  Research on concrete socket and peripheral joint for high arch dams foundation,周维垣， 林鹏， 周雅能， 杨强,"岩石力学与工程学报 27 (10), 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10670264437014814472,16,2008
"WANG Renkun, LIN Peng, ZHOU Weiyuan. Cracking and stability problems of high arch dams on complicated rock foundations",王仁坤， 林鹏， 周维垣,"Chinese Journal of Rock Mechanics and Engineering 26 (10), 1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16541975550829104777,15,2007
The effects of confining compression on fracture coalesence in rock-like material,"RHC Wong, P Lin, KT Chau, CA Tang","Key Engineering Materials 183, 857-862",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1807050386956664452,15,2000
短纤维增强复合材料破坏过程的数值模拟,唐克安， 傅宇方,"力学学报 32 (3), 373-378",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5675306330738148382,15,2000
特高拱坝悬臂高度个性化控制的分析研究 [J]Study on the individual control for cantilever height of super-high arch dams,管俊峰， 朱晓旭， 林鹏， 李庆斌,"水利学报 44 (1), 97-103","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17247163058361184557,4622217459267296159",14,2013
On failure modes and strength characterization of brittle disordered materials under uniaxial compression and tension,"CA Tang, P Lin, HY Liu, ZZ Liang","Key engineering materials 183, 637-642",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6757931920334960969,14,2000
Real-time safety risk assessment based on a real-time location system for hydropower construction sites,"Hanchen Jiang, Peng Lin, Qixiang Fan, Maoshan Qiang",The Scientific World Journal,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15606118520080659693,12,2014
李家峡拱坝复杂地基处理效果和反馈分析 Reinforcement effects of lijiaxia arch dam on complicated rock foundations and its back analysis,白俊光， 林鹏， 李蒲建， 周维垣,"岩石力学与工程学报 27 (5), 902-912",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2847452801829107092,12,2008
