Title,Authors,Platform,Cited_url,Cited_count,Year
Design of compact and smooth free-form optical system with uniform illuminance for LED source,"Y Luo, Z Feng, Y Han, H Li","Optics express 18 (9), 9055-9063",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4632258237972195190,228,2010
Discontinuous free-form lens design for prescribed irradiance,"L Wang, K Qian, Y Luo","Applied optics 46 (18), 3716-3723",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15664761799736880254,200,2007
"Facet reflection independent, single longitudinal mode oscillation in a GaAlAs/GaAs distributed feedback laser equipped with a gain‐coupling mechanism","Y Nakano, Y Luo, K Tada","Applied physics letters 55 (16), 1606-1608",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16830166409333762929,161,1989
Design of LED freeform optical system for road lighting with high luminance/illuminance ratio,"Z Feng, Y Luo, Y Han","Optics express 18 (21), 22020-22031",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9229530557328576744,125,2010
Purely gain‐coupled distributed feedback semiconductor lasers,"Y Luo, Y Nakano, K Tada, T Inoue, H Hosomatsu, H Iwaoka","Applied Physics Letters 56 (17), 1620-1622",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17900428622631216108,117,1990
Understanding efficiency droop effect in InGaN/GaN multiple-quantum-well blue light-emitting diodes with different degree of carrier localization,"J Wang, L Wang, W Zhao, Z Hao, Y Luo","Applied Physics Letters 97 (20), 201112",,109,2010
Understanding efficiency droop effect in InGaN/GaN multiple-quantum-well blue light-emitting diodes with different degree of carrier localization,"J Wang, L Wang, W Zhao, Z Hao, Y Luo","Applied Physics Letters 97 (20), 201112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16620299637077891014,109,2010
半导体照明中的非成像光学及其应用,罗毅， 张贤鹏， 王霖， 杨毅， 胡飞， 钱可元， 韩彦军， 李旭亮， 张志海， ...,"中国激光 35 (007), 963-971",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14481391703997826537,78,2008
Fabrication and characteristics of gain-coupled distributed feedback semiconductor lasers with a corrugated active layer,"Y Luo, Y Nakano, K Tada, T Inoue, H Hosomatsu, H Iwaoka","IEEE journal of quantum electronics 27 (6), 1724-1731",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12987552834745977697,74,1991
"MYD88 somatic mutation is a genetic feature of primary cutaneous diffuse large B-cell lymphoma, leg type","A Pham-Ledard, D Cappellen, F Martinez, B Vergier, M Beylot-Barry, ...","The Journal of investigative dermatology 132 (8), 2118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14022509894260274573,72,2012
Reduction of excess intensity noise induced by external reflection in a gain-coupled distributed feedback semiconductor laser,"Y Nakano, Y Deguchi, K Ikeda, Y Luo, K Tada","IEEE journal of quantum electronics 27 (6), 1732-1735",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8114835081354911113,71,1991
大功率白光 LED 封装技术的研究,钱可元， 胡飞， 吴慧颖， 罗毅,"半导体光电 26 (2), 118-120",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17783738861784931424,58,2005
An improved carrier rate model to evaluate internal quantum efficiency and analyze efficiency droop origin of InGaN based light-emitting diodes,"J Wang, L Wang, L Wang, Z Hao, Y Luo, A Dempewolf, M Müller, ...","Journal of Applied Physics 112 (2), 023107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11755145184742927995,56,2012
大功率 LED 结温测量及发光特性研究,费翔， 钱可元， 罗毅,"光电子. 激光 19 (3), 289-292",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5717697901486959543,55,2008
GaN 基功率型 LED 芯片散热性能测试与分析,钱可元， 郑代顺， 罗毅,"半导体光电 27 (3), 236-239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9690547556161126400,50,2006
Theoretical study on critical thicknesses of InGaN grown on (0 0 0 1) GaN,"W Zhao, L Wang, J Wang, Z Hao, Y Luo","Journal of Crystal Growth 327 (1), 202-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13337639388005404258,47,2011
Polar-grids based source-target mapping construction method for designing freeform illumination system for a lighting target with arbitrary shape,"X Mao, H Li, Y Han, Y Luo","Optics Express 23 (4), 4313-4328",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15541955740622333994,46,2015
Designer lipid-like peptides: a class of detergents for studying functional olfactory receptors using commercial cell-free systems,"K Corin, P Baaske, DB Ravel, J Song, E Brown, X Wang, CJ Wienken, ...","Plos one 6 (11), e25067",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=837014619425509776,45,2011
种新型的基于非成像光学的 LED 均匀照明系统,杨毅l， 钱可元， 罗毅l,光学技术 33 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4011100214217058404,45,2007
Epidermal inorganic optoelectronics for blood oxygen measurement,"H Li, Y Xu, X Li, Y Chen, Y Jiang, C Zhang, B Lu, J Wang, Y Ma, Y Chen, ...","Advanced healthcare materials 6 (9), 1601013",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6992371002172607733,44,2017
倒装大功率白光 LED 热场分析与测试,吴慧颖， 钱可元， 胡飞， 罗毅,"光電子· 激光 16 (5), 511-514",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15094000411521591232,44,2005
Combined feedback method for designing a free-form optical system with complicated illumination patterns for an extended LED source,"W Situ, Y Han, H Li, Y Luo","Optics express 19 (105), A1022-A1030",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17008462776801036309,43,2011
Ultralow chirping short optical pulse (16 ps) generation in gain‐coupled distributed feedback semiconductor lasers,"Y Luo, R Takahashi, Y Nakano, K Tada, T Kamiya, H Hosomatsu, ...","Applied physics letters 59 (1), 37-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14198423687013054479,43,1991
Fabrication and optical characteristics of phosphor-free InGaN nanopyramid white light emitting diodes by nanospherical-lens photolithography,"K Wu, T Wei, H Zheng, D Lan, X Wei, Q Hu, H Lu, J Wang, Y Luo, J Li","Journal of Applied Physics 115 (12), 123101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1548191842613096594,42,2014
