Title,Authors,Platform,Cited_url,Cited_count,Year
Recent progress in multiferroic magnetoelectric composites: from bulk to thin films,"J Ma, J Hu, Z Li, CW Nan","Advanced Materials 23 (9), 1062-1087",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2980591355365992137,1440,2011
Physical properties of composites near percolation,"CW Nan, Y Shen, J Ma","Annual Review of Materials Research 40, 131-151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2552844320056861926,633,2010
Giant energy density and improved discharge efficiency of solution‐processed polymer nanocomposites for dielectric energy storage,"X Zhang, Y Shen, B Xu, Q Zhang, L Gu, J Jiang, J Ma, Y Lin, CW Nan","Advanced Materials 28 (10), 2055-2061",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11548418258250752678,252,2016
"Magnetoelectric Properties of Composites of Single Pb(Zr,Ti)O","J Ma, Z Shi, CW Nan","Advanced Materials 19 (18), 2571-2573",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1239421283162753764,148,2007
Enhancement in magnetoelectric response in ,"Y Zhang, C Deng, J Ma, Y Lin, CW Nan","Applied Physics Letters 92 (6), 062911",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5210072917123432302,136,2008
Magnetoelectric effect in multiferroic heteroepitaxial BaTiO3–NiFe2O4 composite thin films,"C Deng, Y Zhang, J Ma, Y Lin, CW Nan","Acta Materialia 56 (3), 405-412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9072714793463638090,123,2008
Impacts of niobia loading on active sites and surface acidity in NbOx/CeO2–ZrO2 NH3–SCR catalysts,"Z Ma, X Wu, Z Si, D Weng, J Ma, T Xu","Applied Catalysis B: Environmental 179, 380-394",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10184870264995522142,102,2015
Textures formed in a CoCrMo alloy by selective laser melting,"X Zhou, K Li, D Zhang, X Liu, J Ma, W Liu, Z Shen","Journal of Alloys and Compounds 631, 153-164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14281375925108054376,94,2015
3D-imaging of selective laser melting defects in a Co–Cr–Mo alloy by synchrotron radiation micro-CT,"X Zhou, D Wang, X Liu, DD Zhang, S Qu, J Ma, G London, Z Shen, W Liu","Acta Materialia 98, 1-16",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15224364119965782654,90,2015
Demonstration of magnetoelectric read head of multiferroic heterostructures,"Y Zhang, Z Li, C Deng, J Ma, Y Lin, CW Nan","Applied Physics Letters 92 (15), 152510",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1890334537787612366,88,2008
Magnetic-electric properties of epitaxial multiferroic ,"C Deng, Y Zhang, J Ma, Y Lin, CW Nan","Journal of Applied Physics 102 (7), 074114",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5308354699167016852,84,2007
BiFeO 3–SrTiO 3 thin film as a new lead-free relaxor-ferroelectric capacitor with ultrahigh energy storage performance,"H Pan, Y Zeng, Y Shen, YH Lin, J Ma, L Li, CW Nan","Journal of Materials Chemistry A 5 (12), 5920-5926",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4316571827177908289,83,2017
Modulation of topological structure induces ultrahigh energy density of graphene/Ba0. 6Sr0. 4TiO3 nanofiber/polymer nanocomposites,"Y Shen, Y Hu, W Chen, J Wang, Y Guan, J Du, X Zhang, J Ma, M Li, Y Lin, ...","Nano Energy 18, 176-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11477088032306491361,78,2015
Giant energy density and high efficiency achieved in bismuth ferrite-based film capacitors via domain engineering,"H Pan, J Ma, J Ma, Q Zhang, X Liu, B Guan, L Gu, X Zhang, YJ Zhang, L Li, ...","Nature communications 9 (1), 1813",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15293969309078425354,75,2018
Full 180 magnetization reversal with electric fields,"JJ Wang, JM Hu, J Ma, JX Zhang, LQ Chen, CW Nan","Scientific reports 4, 7507",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12873364695952847940,75,2014
Lattice oxygen mobility and acidity improvements of NiO–CeO2–ZrO2 catalyst by sulfation for NOx reduction by ammonia,"Z Si, D Weng, X Wu, Z Ma, J Ma, R Ran","Catalysis today 201, 122-130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11232990653913447704,72,2013
Thickness-dependent voltage-modulated magnetism in multiferroic heterostructures,"L Shu, Z Li, J Ma, Y Gao, L Gu, Y Shen, Y Lin, CW Nan","Applied Physics Letters 100 (2), 022405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9325572732432737254,71,2012
