Title,Authors,Platform,Cited_url,Cited_count,Year
A study of project selection and feature weighting for analogy based software cost estimation,"YF Li, M Xie, TN Goh","Journal of Systems and Software 82 (2), 241-252",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10679201738083118215,197,2009
An integrated framework of agent-based modelling and robust optimization for microgrid energy management,"E Kuznetsova, YF Li, C Ruiz, E Zio","Applied Energy 129, 70-88",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11851446958630207262,152,2014
A systematic comparison of metamodeling techniques for simulation optimization in Decision Support Systems,"YF Li, SH Ng, M Xie, TN Goh","Applied Soft Computing 10 (4), 1257-1273",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12721953501329109645,145,2010
A multi-state model for the reliability assessment of a distributed generation system via universal generating function,"YF Li, E Zio","Reliability Engineering & System Safety 106, 28–36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7152405550075449727,103,2012
A study of mutual information based feature selection for case based reasoning in software cost estimation,"YF Li, M Xie, TN Goh","Expert Systems with Applications 36 (3), 5921-5931",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5992420157358978003,100,2009
A study of the non-linear adjustment for analogy based software cost estimation,"YF Li, M Xie, TN Goh","Empirical Software Engineering 14 (6), 603-643",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15258118504532220116,88,2009
Uncertainty analysis of the adequacy assessment model of a distributed generation system,"YF Li, E Zio","Renewable Energy 41, 235–244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15070693296024074759,85,2011
Testing effort dependent software reliability model for imperfect debugging process considering both detection and correction,"R Peng, YF Li, WJ Zhang, QP Hu","Reliability Engineering & System Safety 126, 37–43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15777777403298285200,80,2014
A Memetic Evolutionary Multi-Objective Optimization Method for Environmental Power Unit Commitment,"YF Li, N Pedroni, E Zio","IEEE Transacations on Power Systems 28 (3), 2660 - 2669",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5533290699760346868,79,2013
Reliability analysis and optimal version-updating for open source software,"X Li, YF Li, M Xie, SH Ng",Information and Software Technology,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2460664101696902425,79,2011
Reinforcement learning for microgrid energy management,"E Kuznetsova, YF Li, C Ruiz, E Zio, G Ault, K Bell","Energy 59, 133-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3307064233811356517,77,2013
Analysis of robust optimization for decentralized microgrid energy management under uncertainty,"E Kuznetsova, C Ruiz, YF Li, E Zio","International Journal of Electrical Power & Energy Systems 64, 815-832",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9067888950323712345,71,2015
Predicting protein secondary structure by a support vector machine based on a new coding scheme,"LH Wang, J Liu, YF Li, HB Zhou","Genome Informatics 15 (2), 181-190",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13301875805383690341,63,2004
An empirical analysis of data preprocessing for machine learning-based software cost estimation,"J Huang, YF Li, M Xie","Information and software Technology 67, 108-127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13343831245974867774,62,2015
Risk assessment and risk-cost optimization of distributed power generation systems considering extreme weather conditions,"R Rocchetta, Y Li, E Zio","Reliability Engineering & System Safety 136, 47-61",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10671993660708218514,60,2015
A risk-based simulation and multi-objective optimization framework for the integration of distributed renewable generation and storage,"R Mena, M Hennebel, YF Li, C Ruiz, E Zio","Renewable and Sustainable Energy Reviews 37, 778-793",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12267071080522718723,60,2014
NSGA-II-Trained Neural Network Approach to the Estimation of Prediction Intervals of Scale Deposition Rate in Oil & Gas Equipment,"R Ak, YF Li, V Vitelli, E Zio, EL Droguett, CMC Jacinto","Expert Systems with Applications 40 (4), 1205–1212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13518973713521689753,58,2013
Integrating random shocks into multi-state physics models of degradation processes for component reliability assessment,"YH Lin, YF Li, E Zio","IEEE Transactions on Reliability 64 (1), 154-166",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10172064426630777524,56,2014
Smart electricity meter reliability prediction based on accelerated degradation testing and modeling,"Z Yang, YX Chen, YF Li, E Zio, R Kang","International Journal of Electrical Power & Energy Systems 56, 209-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8503845884665977887,49,2014
Non-Dominated Sorting Binary Differential Evolution for the Multi-Objective Optimization of Cascading Failures Protection in Complex Networks,"YF Li, G Sansavini, E Zio","Reliability Engineering and System Safety 111, 195–205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8456354572664427772,46,2012
A Multi-state Physics Model of Component Degradation based on Stochastic Petri Nets and Simulation,"YF Li, E Zio, YH Lin","IEEE Transactions on Reliability 61 (4), 921-931",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6856728729821877388,42,2012
Adaptive ridge regression system for software cost estimating on multi-collinear datasets,"YF Li, M Xie, TN Goh","Journal of Systems and Software 83 (11), 2332-2343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16506404813149283981,41,2010
Availability modeling and optimization of dynamic multi-state series–parallel systems with random reconfiguration,"YF Li, R Peng","Reliability Engineering & System Safety 127, 47-57",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3213857932763704039,34,2014
A SVM framework for fault detection of the braking system in a high speed train,"J Liu, YF Li, E Zio","Mechanical Systems and Signal Processing 87, 401-409",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7849528702563254368,32,2017
Random Fuzzy Extension of the Universal Generating Function Approach for the Reliability Assessment of Multi-State Systems Under Aleatory and Epistemic Uncertainties,"YF Li, Y Ding, E Zio","IEEE Transacations on Reliability 63 (1), 13-25",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2520717353150649819,32,2014
Reliability assessment of generic geared wind turbines by GTST-MLD model and Monte Carlo simulation,"YF Li, SA Valla, E Zio","Renewable energy 83, 222-233",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7018660317314195866,27,2015
A reliability assessment framework for systems with degradation dependency by combining binary decision diagrams and Monte Carlo simulation,"YH Lin, YF Li, E Zio","IEEE Transactions on Systems, Man, and Cybernetics: Systems 46 (11), 1556-1564",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4704542126507004882,26,2015
Fuzzy reliability assessment of systems with multiple-dependent competing degradation processes,"YH Lin, YF Li, E Zio","Ieee Transactions on Fuzzy Systems 23 (5), 1428-1438",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2794569000948381703,25,2014
A study of genetic algorithm for project selection for analogy based software cost estimation,"YF Li, M Xie, TN Goh",2007 IEEE International Conference on Industrial Engineering and Engineering …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15989109838658316364,24,2007
Consequence Oriented Self-Healing and Autonomous Diagnosis for Highly Reliable Systems and Software,"Y Dai, Y Xiang, YF Li, L Xing, G Zhang","Reliability, IEEE Transactions on 60 (2), 369-380",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13836012752472146944,21,2011
Self-adaptable hierarchical clustering analysis and differential evolution for optimal integration of renewable distributed generation,"R Mena, M Hennebel, YF Li, E Zio","Applied energy 133, 388-402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15819470805059872730,19,2014
Adequacy assessment of a wind-integrated system using neural network-based interval predictions of wind power generation and load,"R Ak, YF Li, V Vitelli, E Zio","International Journal of Electrical Power & Energy Systems 95, 213-226",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4288832376416965187,18,2018
Dynamic reliability models for multiple dependent competing degradation processes,"YH Lin, Y Li, E Zio",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14096564386080508937,16,2014
A system-of-systems framework for the reliability analysis of distributed generation systems accounting for the impact of degraded communication networks,"HD Mo, YF Li, E Zio","Applied energy 183, 805-822",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12967611760140955796,15,2016
Reliability assessment of systems subject to dependent degradation processes and random shocks,"YH Lin, YF Li, E Zio","IIE transactions 48 (11), 1072-1085",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4645608600715064329,15,2016
A genetic algorithm and neural network technique for predicting wind power under uncertainty,"R Aka, YF Lia, V Vitellia, E Zio","Chemical Engineering 33, 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8719811695652051967,14,2013
A study of analogy based sampling for interval based cost estimation for software project management,"YF Li, M Xie, TN Goh",2008 4th IEEE International Conference on Management of Innovation and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1855975516854889016,14,2008
