Title,Authors,Platform,Cited_url,Cited_count,Year
生态足迹研究的国内外近期进展,王书华， 毛汉英， 王忠静,"自然资源学报 17 (6), 776-782",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10591819872187233580,377,2002
海河流域洪水资源安全利用--水库汛限水位的确定与运用,胡四一， 高波,"中国水利, 105-108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9546588846130961300,84,2002
"现代水资源规划: 理论, 方法和技术",翁文斌,清华大学出版社有限公司,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13274795700476166464,82,2004
干旱内陆河区绿洲稳定性分析,王忠静， 王海峰， 雷志栋,"水利学报 5, 26-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12883852742847405099,64,2002
GIS 支持下辽河中下游流域不同土地利用的土壤侵蚀变化分析,刘权， 王忠静,"水土保持学报 18 (4), 105-107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17481619045130376268,58,2004
Simulated groundwater interaction with rivers and springs in the Heihe river basin,"LT Hu, CX Chen, JJ Jiao, ZJ Wang","Hydrological Processes: An International Journal 21 (20), 2794-2806",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13222378049359817673,55,2007
水资源复杂适应配置系统的理论与模型,赵建世， 王忠静， 翁文斌,地理学报 57 (6),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2429666607450395215,51,2002
地表水和地下水相互作用及集成模型研究,胡立堂， 王忠静， 赵建世， 马义华,"水利學報 38 (1), 54-59",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1602218714650547211,50,2007
Optimality conditions for a two‐stage reservoir operation problem,"J Zhao, X Cai, Z Wang",Water Resources Research 47 (8),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13564584473738270365,49,2011
基于生态足迹模型的城郊经济协调评估—以河北省新乐市为例,王书华， 张义丰， 王忠静， 毛汉英,"地理与地理信息科学 19 (1), 78-82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15354575935161442480,47,2003
基于生态足迹模型的山区生态经济协调发展定量评估——以贵州镇远县为例,王书华， 王忠静,"山地学报 21 (3), 324-330",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18161605049951654494,45,2003
Quantitative assessment of climate and human impacts on surface water resources in a typical semi‐arid watershed in the middle reaches of the Yellow River from 1985 to 2006,"Z Hu, L Wang, Z Wang, Y Hong, H Zheng","International Journal of Climatology 35 (1), 97-113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1726425257865520047,40,2015
"A harmonious water rights allocation model for Shiyang River Basin, Gansu Province, China","W Zhongjing, Z Hang, W Xuefeng","Water Resources Development 25 (2), 355-371",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9586148089804743743,40,2009
Hydrograph-Based Hydrologic Alteration Assessment and Its Application to the Yellow River.,"ZZ Ma, ZJ Wang, T Xia, CJ Gippel, R Speed",Journal of Environmental Informatics 23 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10794457297554917231,39,2014
Comparing administered and market-based water allocation systems through a consistent agent-based modeling framework,"J Zhao, X Cai, Z Wang","Journal of environmental management 123, 120-130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15664955526614823129,39,2013
气候变化对中国水资源影响的适应性评估与管理框架,夏军， 任国玉， 程晓陶， 王金霞， 王忠静， 严茂超， 刘晓洁,"气候变化研究进展 4 (004), 215-219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7985826304196704976,36,2008
遥感蒸散发模型研究进展综述,冯景泽， 王忠静,"水利学报 43 (8), 914-925",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=527424929065146102,30,2012
海河流域水资源承载能力演变分析,赵建世， 王忠静， 秦韬， 李海红,"水利學報 39 (6), 647-651",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2985559039860105836,30,2008
Theory and model of water resources complex adaptive allocation system,"J Zhao, Z Wang, W Wong","ACTA GEOGRAPHICA SINICA-CHINESE EDITION- 57 (6), 639-647",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16495375673999832175,29,2002
论季节冻土的冻胀沿冻深分布,朱强， 付思宁， 武福学， 王忠静， 黄军兰,"冰川冻土 10 (1), 1-7",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7170526176682577977,28,2012
The assessment of surface water resources for the semi‐arid Yongding River Basin from 1956 to 2000 and the impact of land use change,"L Wang, Z Wang, T Koike, H Yin, D Yang, S He","Hydrological Processes: An International Journal 24 (9), 1123-1132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16537265526648608853,27,2010
Mapping evapotranspiration with high-resolution aircraft imagery over vineyards using one-and two-source modeling schemes,"T Xia, WP Kustas, MC Anderson, JG Alfieri, F Gao, L McKee, JH Prueger, ...","Hydrology and Earth System Sciences 20 (4), 1523",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3666306882169851157,24,2016
"Coupled surface water–groundwater model and its application in the Arid Shiyang River basin, China","LT Hu, ZJ Wang, W Tian, JS Zhao","Hydrological Processes: An International Journal 23 (14), 2033-2044",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10802626952783541316,24,2009
"Eco-compensation in China: Theory, practices and suggestions for the future","W Shang, Y Gong, Z Wang, MJ Stewardson","Journal of environmental management 210, 162-170",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16584027682731373923,21,2018
Adaptive reservoir operation model incorporating nonstationary inflow prediction,"W Xu, J Zhao, T Zhao, Z Wang","Journal of Water Resources Planning and Management 141 (8), 04014099",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=536653554840796811,21,2014
Evaluation of economic and hydrologic impacts of unified water flow regulation in the Yellow River Basin,"J Zhao, Z Wang, D Wang, D Wang","Water resources management 23 (7), 1387-1401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15268181491174005527,20,2009
洪水资源化与湿地恢复研究,赵飞， 王忠静， 刘权,"水利水電科技進展 26 (1), 6-9",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8739255652135052412,20,2006
长江上游水库群多目标优化调度模型及应用研究 Ⅰ: 模型原理及求解,黄草， 王忠静， 李书飞， 陈肃利,"水利学报 45 (9), 1009-1018",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12629289320067554943,19,2014
双要素水资源承载能力计算模型及其应用,赵建世， 王忠静， 甘泓， 李海红,"水力發電學報 28 (3), 176-180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11535864290333326383,18,2009
大同市水资源承载能力分析,王忠静， 廖四辉， 武晓峰， 赵建世， 甘泓,"南水北調與水利科技 5 (3), 47-50",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12127125241782877020,18,2007
基于水联网及智慧水利提高水资源效能,王忠静， 王光谦， 王建华， 王浩,"水利水电技术 44 (001), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9906669996143613268,17,2013
水资源使用权分配模型研究,王学凤， 赵建世， 王忠静， 翁文斌， 李海红,"水科学进展 18 (002), 241-245","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8656996766757624891,8541462106175525142",17,2007
我国西部生态环境建设: 症结与出路,王书华， 王忠静， 石培华,"干旱区资源与环境 17 (6), 19-23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=948741054585031797,17,2003
Improving estimates of water resources in a semi-arid region by assimilating GRACE data into the PCR-GLOBWB hydrological model,"N Tangdamrongsub, SC Steele-Dunne, BC Gunter, PG Ditmar, ...","Hydrology and Earth System Sciences 21 (4), 2053-2074",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6321227269942641064,16,2017
Optimal hedging rules for two-objective reservoir operation: balancing water supply and environmental flow,"C Huang, J Zhao, Z Wang, W Shang","Journal of Water Resources Planning and Management 142 (12), 04016053",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3007457474354652057,16,2016
内陆干旱平原区水资源利用与土地荒漠化,雷志栋， 杨诗秀， 王忠静， 尚松浩,"水利水电技术 34 (1), 36-40",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12095490741800233947,16,2003
浅谈水资源承载能力研究进展与发展方向,袁鹰， 甘泓， 王忠静， 鲍卫锋,"中国水利水电科学研究院学报 4 (001), 62-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3459857107574036160,15,2006
水资源系统整体模型研究,赵建世， 王忠静， 翁文斌,"中国科学: E 辑 34 (A01), 60-73",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12161018517447229446,14,2004
抬高水库汛限水位的洪水资源化利用研究,邵东国， 李玮， 刘丙军， 王忠静,"中国农村水利水电 9, 26-29",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2501483081677273550,14,2004
A comparative study of the performance of public water rights allocation in China,"H Zheng, Z Wang, S Hu, Y Wei","Water resources management 26 (5), 1107-1123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10658794023073860457,13,2012
基于分布式水文模型的水资源评价新方法,王忠静， 杨芬， 赵建世， 何杉,"水利學報 39 (12), 1279-1285",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17847860165077094197,13,2008
干旱内陆区水资源可持续利用规划方法研究,王忠静， 翁文斌， 马宏志,"清华大学学报: 自然科学版 38 (001), 33-36",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18126945712701231419,13,1998
改进的 WEAP 模型在水资源管理中的应用,胡立堂， 王忠静， 梁友,"水利学报 40 (2), 173-179",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9754347641266465032,12,2009
黑河下游水土理化性质变化及生态环境意义,刘蔚， 王忠静， 席海洋,"冰川凍土 30 (4), 688-696",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7524112691540307096,12,2008
干旱内陆河区水资源承载能力与可持续利用研究,王忠静,北京: 北京清华大学,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17040019253319161692,12,1998
"中国西北干旱区自然保护区生态脆弱性评价——以甘肃西湖, 苏干湖自然保护区为例",马真臻， 王忠静， 顾艳玲， 夏婷,"中国沙漠, 253-259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7355435727659855401,11,2015
淮河生态用水多层次分析平台与多目标优化调度模型研究,廖四辉， 程绪水， 施勇， 马真臻， 赵建世， 王忠静,"水力發電學報 29 (4), 14-19+ 27",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4784170219728837552,11,2010
GIS 支持下辽河中下游土壤侵蚀遥感动态分析,刘权， 王忠静， 刘湘南,"水土保持通报 25 (001), 64-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1610973986163671331,11,2005
海河流域洪水资源安全利用关键技术研究,胡四一， 程晓陶， 户作亮， 王忠静， 郭书英， 邹鹰， 王银堂， 向立云， 彭静， ...,"中国水利, 49-51",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12416106666676163276,11,2004
