Title,Authors,Platform,Cited_url,Cited_count,Year
"Joining of Silver Nanomaterials at Low Temperatures: Processes, Properties and Applications","P Peng, A Hu, A Gerlich, G Zou, L Liu, YN Zhou",ACS applied materials & interfaces,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8878377555894402850,148,2015
The mechanisms of resistance spot welding of magnesium to steel,"L Liu, L Xiao, JC Feng, YH Tian, SQ Zhou, Y Zhou","Metallurgical and Materials Transactions A 41 (10), 2651-2661",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14185107759069593879,79,2010
Resistance-spot-welded AZ31 magnesium alloys: Part I. Dependence of fusion zone microstructures on second-phase particles,"L Xiao, L Liu, Y Zhou, S Esmaeili","Metallurgical and Materials Transactions A 41 (6), 1511-1522",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14863314815015016999,63,2010
Microstructure and mechanical properties of weld-bonded and resistance spot welded magnesium-to-steel dissimilar joints,"W Xu, DL Chen, L Liu, H Mori, Y Zhou","Materials Science and Engineering: A 537, 11-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17916452729359496775,55,2012
Highly localized heat generation by femtosecond laser induced plasmon excitation in Ag nanowires,"L Liu, P Peng, A Hu, G Zou, WW Duley, YN Zhou","Applied Physics Letters 102 (7), 073107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5731417842494877749,53,2013
Effects of surface conditions on resistance spot welding of Mg alloy AZ31,"L Liu, SQ Zhou, YH Tian, JC Feng, JP Jung, YN Zhou","Science and Technology of Welding & Joining 14 (4), 356-361",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2594576719044894272,48,2009
Microstructure and fatigue properties of Mg-to-steel dissimilar resistance spot welds,"L Liu, L Xiao, DL Chen, JC Feng, S Kim, Y Zhou","Materials & Design 45, 336-342",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15133973090670081046,45,2013
Self‐Oriented Nanojoining of Silver Nanowires via Surface Selective Activation,"P Peng, L Liu, AP Gerlich, A Hu, YN Zhou","Particle & Particle Systems Characterization 30 (5), 420-426",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16728735077478397460,42,2013
Bonding of immiscible Mg and Fe via a nanoscale Fe 2 Al 5 transition layer,"L Liu, L Xiao, J Feng, L Li, S Esmaeili, Y Zhou","Scripta Materialia 65 (11), 982-985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=550157272016748258,41,2011
Feasibility study of resistance spot welding of dissimilar Al/Mg combinations with Ni based interlayers,"P Penner, L Liu, A Gerlich, Y Zhou","Science and Technology of Welding and Joining 18 (7), 541-550",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=922364117594358397,39,2013
