Title,Authors,Platform,Cited_url,Cited_count,Year
"Atmospheric Science: Timing, Duration, and Transitions of the Last Interglacial Asian Monsoon","D Yuan, H Cheng, RL Edwards, CA Dykoski, MJ Kelly, M Zhang, J Qing, ...","SCIENCE-NEW YORK THEN WASHINGTON-, 575-577",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16842603717580806768,1171,2004
"The dynamical core, physical parameterizations, and basic simulation characteristics of the atmospheric component AM3 of the GFDL global coupled model CM3","LJ Donner, BL Wyman, RS Hemler, LW Horowitz, Y Ming, M Zhao, ...","Journal of Climate 24 (13), 3484-3519",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15021568967247699166,707,2011
Icephobic/Anti‐Icing Properties of Micro/Nanostructured Surfaces,"P Guo, Y Zheng, M Wen, C Song, Y Lin, L Jiang","Advanced Materials 24 (19), 2642-2648",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16679316345410436293,367,2012
A Note on the Lasso and Related Procedures in Model Selection,"L Chenlei, Y Lin, G Wahba",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3098365678114472458,13341331283980675647",305,0
A 3D star-shaped non-fullerene acceptor for solution-processed organic solar cells with a high open-circuit voltage of 1.18 V,"Y Lin, P Cheng, Y Li, X Zhan","Chemical Communications 48 (39), 4773-4775",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9424670679371390997,270,2012
"Improving the dielectric constants and breakdown strength of polymer composites: effects of the shape of the BaTiO 3 nanoinclusions, surface modification and polymer matrix","Y Song, Y Shen, H Liu, Y Lin, M Li, CW Nan","Journal of Materials Chemistry 22 (32), 16491-16498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2609591304312268991,244,2012
"Gain adjustment apparatus, method, and tangible machine-readable medium thereof for a multiple input multiple output wireless communication system","CJ Wu, DW Lin, YT Lee, YT Lin","US Patent 8,126,393",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4610686548087721091,243,2012
The effects of palmitate on hepatic insulin resistance are mediated by NADPH Oxidase 3-derived reactive oxygen species through JNK and p38MAPK pathways,"D Gao, S Nong, X Huang, Y Lu, H Zhao, Y Lin, Y Man, S Wang, J Yang, ...","Journal of Biological Chemistry 285 (39), 29965-29973",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3697585822823780573,237,2010
Remarkable enhancement in thermoelectric performance of BiCuSeO by Cu deficiencies,"Y Liu, LD Zhao, Y Liu, J Lan, W Xu, F Li, BP Zhang, D Berardan, N Dragoe, ...","Journal of the American Chemical Society 133 (50), 20112-20115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4427520952776459179,222,2011
Thiazole‐Based Organic Semiconductors for Organic Electronics,"Y Lin, H Fan, Y Li, X Zhan","Advanced Materials 24 (23), 3087-3106",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10890825086014023420,211,2012
Pharmacological inhibition of the mammalian target of rapamycin pathway suppresses acquired epilepsy,"X Huang, H Zhang, J Yang, J Wu, J McMahon, Y Lin, Z Cao, M Gruenthal, ...","Neurobiology of disease 40 (1), 193-199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1472766555217012710,202,2010
Immunosuppressive CD14+ HLA-DRlow/− monocytes in B-cell non-Hodgkin lymphoma,"Y Lin, MP Gustafson, PA Bulur, DA Gastineau, TE Witzig, AB Dietz","Blood 117 (3), 872-881",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11773248027785142395,194,2011
"Early stimulation and late inhibition of PPAR-γ gene expression by TGFβ in human aortic smooth muscle cells: role of Egr-1, AP1, and Smads","M Fu, J Zhang, Y Lin, X Zhu, L Zhao, M Ahmad, MU Ehrengruber, ...","Biochem J 370, 1019-1025","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2390331165159733325,4667293442777352792",190,2003
"A novel bipartite double-stranded RNA mycovirus from the white root rot fungus Rosellinia necatrix: molecular and biological characterization, taxonomic considerations, and …","S Chiba, L Salaipeth, YH Lin, A Sasaki, S Kanematsu, N Suzuki","Journal of virology 83 (24), 12801-12812",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2268293832568978128,188,2009
"Pediatric Anesthesia Trends in the practice of parental presence during induction of anesthesia and the use of preoperative premedication in the United States, 1995–2002 …","A Kain, A Caldwell-Andrews, D Krivutza, M Weinberg, S Wang, D Gaal","ANESTHESIA AND ANALGESIA 98, 1252-1259","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4516709728606916214,15572928442624737251",180,2004
Normal human monocytes exposed to glioma cells acquire myeloid-derived suppressor cell-like properties,"JC Rodrigues, GC Gonzalez, L Zhang, G Ibrahim, JJ Kelly, MP Gustafson, ...","Neuro-oncology, nop023",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8390815195218116133,179,2009
"0. 2001. The influence of habitat quality on dispersal, demography, and population dynamics of voles","YK Lin, G Batzli","Ecol. Monogr 71, 245-275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12625748210768672458,177,0
