Title,Authors,Platform,Cited_url,Cited_count,Year
Attribution analysis based on the Budyko hypothesis for detecting the dominant cause of runoff decline in Haihe basin,"X Xu, D Yang, H Yang, H Lei","Journal of Hydrology 510, 530-540",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1423448730994435961,140,2014
Interannual and seasonal variability in evapotranspiration and energy partitioning over an irrigated cropland in the North China Plain,"H Lei, D Yang","Agricultural and Forest Meteorology 150 (4), 581-589",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6511014718905976782,121,2010
The north american carbon program multi-scale synthesis and terrestrial model intercomparison project–part 1: Overview and experimental design,"DN Huntzinger, C Schwalm, AM Michalak, K Schaefer, AW King, Y Wei, ...","Geoscientific Model Development 6 (6), 2121-2133",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10097922794334831435,113,2013
Global patterns and controls of soil organic carbon dynamics as simulated by multiple terrestrial biosphere models: Current status and future directions,"H Tian, C Lu, J Yang, K Banger, DN Huntzinger, CR Schwalm, ...","Global Biogeochemical Cycles 29 (6), 775-792",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3957390560447009194,95,2015
Copula based drought frequency analysis considering the spatio-temporal variability in Southwest China,"K Xu, D Yang, X Xu, H Lei","Journal of Hydrology 527, 630-640",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8632568125315466416,76,2015
Modeling the effects of irrigation on land surface fluxes and states over the conterminous United States: Sensitivity to input data and model parameters,"G Leng, M Huang, Q Tang, WJ Sacks, H Lei, LR Leung","Journal of Geophysical Research: Atmospheres 118 (17), 9789-9803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5944544321088487260,76,2013
"Seasonal variations in soil respiration, heterotrophic respiration and autotrophic respiration of a wheat and maize rotation cropland in the North China Plain","Q Zhang, HM Lei, DW Yang","Agricultural and Forest Meteorology 180, 34-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5046229962625518305,67,2013
Disentangling climatic and anthropogenic controls on global terrestrial evapotranspiration trends,"J Mao, W Fu, X Shi, DM Ricciuto, JB Fisher, RE Dickinson, Y Wei, ...","Environmental Research Letters 10 (9), 094008",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6705841451402036911,65,2015
Seasonal and interannual variations in carbon dioxide exchange over a cropland in the North China Plain,"HUIMIN LEI, DAWEN YANG","Global Change Biology 16 (11), 2944-2957",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9184714294294939085,65,2010
Impact of large‐scale climate extremes on biospheric carbon fluxes: An intercomparison based on MsTMIP data,"J Zscheischler, AM Michalak, C Schwalm, MD Mahecha, DN Huntzinger, ...","Global Biogeochemical Cycles 28 (6), 585-600",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4682527243961675448,62,2014
A distributed scheme developed for eco-hydrological modeling in the upper Heihe River,"DW Yang, B Gao, Y Jiao, HM Lei, YL Zhang, HB Yang, ZT Cong","Science China Earth Sciences 58 (1), 36-45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4776368619164836771,51,2015
Impacts of climate change and vegetation dynamics on runoff in the mountainous region of the Haihe River basin in the past five decades,"H Lei, D Yang, M Huang","Journal of Hydrology 511, 786-799",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13140486318559324988,48,2014
Energy/water budgets and productivity of the typical croplands irrigated with groundwater and surface water in the North China Plain,"Y Shen, Y Zhang, BR Scanlon, H Lei, D Yang, F Yang","Agricultural and Forest Meteorology 181, 133-142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15665984980001678686,48,2013
Comparative analysis of drought based on precipitation and soil moisture indices in Haihe basin of North China during the period of 1960–2010,"Y Qin, D Yang, H Lei, K Xu, X Xu","Journal of Hydrology 526, 55-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6790694597949692,40,2015
Uncertainty in the response of terrestrial carbon sink to environmental drivers undermines carbon-climate feedback predictions,"DN Huntzinger, AM Michalak, C Schwalm, P Ciais, AW King, Y Fang, ...","Scientific reports 7 (1), 4765",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6895928207561427233,36,2017
