Title,Authors,Platform,Cited_url,Cited_count,Year
Cellular automaton simulation of pedestrian counter flow with different walk velocities,"WG Weng, T Chen, HY Yuan, WC Fan","Physical Review E 74 (3), 036102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=116300670633015107,196,2006
Comparison study on qualitative and quantitative risk assessment methods for urban natural gas pipeline network,"ZY Han, WG Weng","Journal of hazardous materials 189 (1-2), 509-518",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17427604754751063770,120,2011
An integrated quantitative risk analysis method for natural gas pipeline network,"ZY Han, WG Weng","Journal of Loss Prevention in the Process Industries 23 (3), 428-436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5377860685266036138,97,2010
"重大研究计划 “非常规突发事件应急管理研究” 的科学背景, 目标与组织管理",韩智勇， 翁文国， 张维， 杨列勋,"中国科学基金, 215-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13138257802526848070,77,2009
Small-grid analysis of discrete model for evacuation from a hall,"WG Weng, LL Pan, SF Shen, HY Yuan","Physica A: Statistical Mechanics and its Applications 374 (2), 821-826",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4361169067564905028,61,2007
Impact of travel patterns on epidemic dynamics in heterogeneous spatial metapopulation networks,"S Ni, W Weng","Physical review E 79 (1), 016111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8003393227438061748,57,2009
Critical condition of backdraft in compartment fires: a reduced-scale experimental study,"WG Weng, WC Fan","Journal of Loss Prevention in the Process Industries 16 (1), 19-26",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8925970914804257141,54,2003
Empirical study of a unidirectional dense crowd during a real mass event,"XL Zhang, WG Weng, HY Yuan, JG Chen","Physica A: Statistical Mechanics and its Applications 392 (12), 2781-2791",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12993039340965921530,52,2013
A behavior-based model for pedestrian counter flow,"WG Weng, SF Shen, HY Yuan, WC Fan","Physica A: Statistical Mechanics and its Applications 375 (2), 668-678",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8172214085510572635,50,2007
Experimental study of merged flames from multifire sources in propane and wood crib burners,"D Kamikawa, WG Weng, K Kagiya, Y Fukuda, R Mase, Y Hasemi","Combustion and flame 142 (1-2), 17-23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4066989070107427683,50,2005
Study on flame height of merged flame from multiple fire sources,"WG WENG∗, D Kamikawa, Y Fukuda, Y Hasemi, K Kagiya","Combustion Science and Technology 176 (12), 2105-2123",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4650180430051647565,46,2004
复杂网络上灾害蔓延动力学研究,翁文国， 倪顺江， 申世飞， 袁宏永,"物理学报 56 (004), 1938-1943",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15624574325231708382,38,2007
Subgrid scale laminar flamelet model for partially premixed combustion and its application to backdraft simulation,"R Yang, WG Weng, WC Fan, YS Wang","Fire safety journal 40 (2), 81-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11391409992817473079,37,2005
Predicting the pyrolysis of wood considering char oxidation under different ambient oxygen concentrations,"WG Weng, Y Hasemi, WC Fan","Combustion and Flame 145 (4), 723-729",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5037598805079219217,36,2006
Experimental study of back-draft in a compartment with openings of different geometries,"WG Weng, WC Fan, LZ Yang, H Song, ZH Deng, J Qin, GX Liao","Combustion and Flame 132 (4), 709-714",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10454327654457377652,36,2003
Modeling of heat and moisture transfer within firefighter protective clothing with the moisture absorption of thermal radiation,"M Fu, MQ Yuan, WG Weng","International Journal of Thermal Sciences 96, 201-210",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17658085406629449939,35,2015
非常规突发事件应急管理研究进展,钟永光， 毛中根， 翁文国， 杨列勋,"系统工程理论与实践, 911-918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2772513871714293706,34,2012
Modeling the effects of social impact on epidemic spreading in complex networks,"S Ni, W Weng, H Zhang","Physica A: Statistical Mechanics and its Applications 390 (23-24), 4528-4534",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12458882465134370254,33,2011
Nonlinear analysis of the backdraft phenomenon in room fires,"WG Weng, WC Fan","Fire Safety Journal 39 (6), 447-464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9163802766597268690,33,2004
Wavelet-based image denoising in (digital) particle image velocimetry,"WG Weng, WC Fan, GX Liao, J Qin","Signal Processing 81 (7), 1503-1512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2856182605867431046,33,2001
Quantitative assessment of the relationship between radiant heat exposure and protective performance of multilayer thermal protective clothing during dry and wet conditions,"M Fu, WG Weng, HY Yuan","Journal of hazardous materials 276, 383-392",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13077301343118819050,30,2014
Source identification for unsteady atmospheric dispersion of hazardous materials using Markov Chain Monte Carlo method,"S Guo, R Yang, H Zhang, W Weng, W Fan","International Journal of Heat and Mass Transfer 52 (17-18), 3955-3962",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14457191176660216052,30,2009
基于运动模式和元胞自动机的火灾环境下人员疏散模型,吕春杉， 翁文国， 杨锐， 申世飞， 袁宏永,"清华大学学报: 自然科学版 47 (12), 2163-2167",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3351932562990307289,30,2007
城市火灾案例库辅助决策方法的研究,邵荃， 翁文国， 郑雄， 袁宏永,"中國安全科學學報 19 (1), 113-117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2828236763150845063,29,2009
"Numerical simulation of the effects of blood perfusion, water diffusion, and vaporization on the skin temperature and burn injuries","M Fu, W Weng, H Yuan","Numerical Heat Transfer, Part A: Applications 65 (12), 1187-1203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11584124190515393458,28,2014
中国古建筑防火研究,翁文国， 范维澄,"消防科学与技术, 20-22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11783183498353983343,28,2001
Review on modeling heat transfer and thermoregulatory responses in human body,"M Fu, W Weng, W Chen, N Luo","Journal of thermal biology 62, 189-200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14493839403212544452,27,2016
Data analytics and optimization of an ice-based energy storage system for commercial buildings,"N Luo, T Hong, H Li, R Jia, W Weng","Applied Energy 204, 459-475",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12749471623297610065,26,2017
Effects of multiple air gaps on the thermal performance of firefighter protective clothing under low-level heat exposure,"M Fu, W Weng, H Yuan","Textile Research Journal 84 (9), 968-978",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12829086395477908670,26,2014
"Weng Wenguo~ 2 Yang Liexun~ 1 Zhang Wei~ 1 (1 Department of Management Sciences, National Natural Science Foundation of China, Beijing 100085; 2 Center for Public Safety …",H Zhiyong,Bulletin of National Natural Science Foundation of China 4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7624655406793427089,25,2009
Empirical study of crowd behavior during a real mass event,"XL Zhang, WG Weng, HY Yuan","Journal of Statistical Mechanics: Theory and Experiment 2012 (08), P08012",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1845593213558863052,23,2012
应急避难场所的选址决策支持系统,吴健宏， 翁文国,"清华大学学报: 自然科学版 51 (005), 632-636",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1080344188227901600,23,2011
"Backgrounds, targets, and organization of the major research plan ‘study on unconventional emergencies management’","ZY Han, WG Weng, W Zhang, LX Yang","Bulletin of National Natural Science Foundation of China 23 (4), 215-220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5726718429119880509,22,2009
燃气管网定量风险分析方法综述,韩朱旸， 翁文国,"中国安全科学学报 19 (7), 154-164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=276803391364237150,22,2009
