Title,Authors,Platform,Cited_url,Cited_count,Year
Crossover of the three-dimensional topological insulator Bi,"Y Zhang, K He, CZ Chang, CL Song, LL Wang, X Chen, JF Jia, Z Fang, ...","Nature Physics 6 (8), 584",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5340696570859482392,1162,2010
Interface-induced high-temperature superconductivity in single unit-cell FeSe films on SrTiO3,"W Qing-Yan, L Zhi, Z Wen-Hao, Z Zuo-Cheng, Z Jin-Song, L Wei, D Hao, ...","Chinese Physics Letters 29 (3), 037402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15564587881080084357,959,2012
Landau Quantization of Topological Surface States in ,"P Cheng, C Song, T Zhang, Y Zhang, Y Wang, JF Jia, J Wang, Y Wang, ...","Physical Review Letters 105 (7), 076801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1400230738124012382,404,2010
Direct observation of nodes and twofold symmetry in FeSe superconductor,"CL Song, YL Wang, P Cheng, YP Jiang, W Li, T Zhang, Z Li, K He, ...","Science 332 (6036), 1410-1413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1782341446119682225,361,2011
Phase separation and magnetic order in K-doped iron selenide superconductor,"W Li, H Ding, P Deng, K Chang, C Song, K He, L Wang, X Ma, JP Hu, ...","Nature Physics 8 (2), 126",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5366252271312104365,298,2012
Landau quantization and the thickness limit of topological insulator thin films of Sb 2 Te 3,"Y Jiang, Y Wang, M Chen, Z Li, C Song, K He, L Wang, X Chen, X Ma, ...","Physical review letters 108 (1), 016401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3035081545188740589,173,2012
Topological insulator ,"CL Song, YL Wang, YP Jiang, Y Zhang, CZ Chang, L Wang, K He, ...","Applied Physics Letters 97 (14), 143118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10824975913231576483,157,2010
Fermi-Level Tuning of Epitaxial ,"Y Jiang, YY Sun, M Chen, Y Wang, Z Li, C Song, K He, L Wang, X Chen, ...","Physical review letters 108 (6), 066809",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16709444905631912811,127,2012
Molecular-beam epitaxy and robust superconductivity of stoichiometric FeSe crystalline films on bilayer graphene,"CL Song, YL Wang, YP Jiang, Z Li, L Wang, K He, X Chen, XC Ma, ...","Physical Review B 84 (2), 020503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14472481697546216309,120,2011
Suppression of superconductivity by twin boundaries in FeSe,"CL Song, YL Wang, YP Jiang, L Wang, K He, X Chen, JE Hoffman, XC Ma, ...","Physical review letters 109 (13), 137004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13254085685347259385,94,2012
Structural defects and electronic properties of the Cu-doped topological insulator Bi 2 Se 3,"YL Wang, Y Xu, YP Jiang, JW Liu, CZ Chang, M Chen, Z Li, CL Song, ...","Physical Review B 84 (7), 075335",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2689799902249858101,75,2011
Topological edge states in a high-temperature superconductor FeSe/SrTiO,"ZF Wang, H Zhang, D Liu, C Liu, C Tang, C Song, Y Zhong, J Peng, F Li, ...","Nature materials 15 (9), 968",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14687254086050707129,74,2016
Observation of double-dome superconductivity in potassium-doped FeSe thin films,"CL Song, HM Zhang, Y Zhong, XP Hu, SH Ji, L Wang, K He, XC Ma, ...","Physical Review Letters 116 (15), 157001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15619879303187124130,73,2016
Experimental realization of an intrinsic magnetic topological insulator,"Y Gong, J Guo, J Li, K Zhu, M Liao, X Liu, Q Zhang, L Gu, L Tang, X Feng, ...","Chinese Physics Letters 36 (7), 076801","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=813431360413206255,4104691124590649883",61,2019
Power-law decay of standing waves on the surface of topological insulators,"J Wang, W Li, P Cheng, C Song, T Zhang, P Deng, X Chen, X Ma, K He, ...","Physical Review B 84 (23), 235447",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3612034173704418515,59,2011
Molecular beam epitaxy growth and scanning tunneling microscopy study of TiSe 2 ultrathin films,"JP Peng, JQ Guan, HM Zhang, CL Song, L Wang, K He, QK Xue, XC Ma","Physical Review B 91 (12), 121113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4519388717173082928,58,2015
Interface-enhanced electron-phonon coupling and high-temperature superconductivity in potassium-coated ultrathin FeSe films on SrTiO 3,"C Tang, C Liu, G Zhou, F Li, H Ding, Z Li, D Zhang, Z Li, C Song, S Ji, ...","Physical Review B 93 (2), 020507",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12310658404906717512,57,2016
Quantum size effect directed selective self-assembling of cobalt phthalocyanine on Pb (111) thin films,"P Jiang, X Ma, Y Ning, C Song, X Chen, JF Jia, QK Xue","Journal of the American Chemical Society 130 (25), 7790-7791",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2247314000104308721,55,2008
Detection of a superconducting phase in a two-atom layer of hexagonal Ga film grown on semiconducting GaN (0001),"HM Zhang, Y Sun, W Li, JP Peng, CL Song, Y Xing, Q Zhang, J Guan, Z Li, ...","Physical review letters 114 (10), 107003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4176152500412153649,53,2015
Nodeless pairing in superconducting copper-oxide monolayer films on Bi,"Y Zhong, Y Wang, S Han, YF Lv, WL Wang, D Zhang, H Ding, YM Zhang, ...","Science bulletin 61 (16), 1239-1247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11475809750884648559,51,2016
Enhancing the quantum anomalous Hall effect by magnetic codoping in a topological insulator,"Y Ou, C Liu, G Jiang, Y Feng, D Zhao, W Wu, XX Wang, W Li, C Song, ...","Advanced materials 30 (1), 1703062",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=427241070394693135,50,2018
High-Temperature Superconductivity in Single-Unit-Cell FeSe Films on Anatase ,"H Ding, YF Lv, K Zhao, WL Wang, L Wang, CL Song, X Chen, XC Ma, ...","Physical review letters 117 (6), 067001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1133672890108254632,48,2016
