Title,Authors,Platform,Cited_url,Cited_count,Year
A self-healable and highly stretchable supercapacitor based on a dual crosslinked polyelectrolyte,"Y Huang, M Zhong, Y Huang, M Zhu, Z Pei, Z Wang, Q Xue, X Xie, C Zhi","Nature communications 6, 10310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16784890834999871596,300,2015
Study on styrene-assisted melt free-radical grafting of maleic anhydride onto polypropylene,"Y Li, XM Xie, BH Guo","Polymer 42 (8), 3419-3425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14545848106744306548,274,2001
An intrinsically stretchable and compressible supercapacitor containing a polyacrylamide hydrogel electrolyte,"Y Huang, M Zhong, F Shi, X Liu, Z Tang, Y Wang, Y Huang, H Hou, X Xie, ...","Angewandte Chemie International Edition 56 (31), 9141-9145",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7502346290223921439,145,2017
Smart Hybridization of TiO,"L Pan, XD Zhu, XM Xie, YT Liu","Advanced Functional Materials 25 (22), 3341-3350",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17097324484461631068,143,2015
"Self-healable, super tough graphene oxide–poly (acrylic acid) nanocomposite hydrogels facilitated by dual cross-linking effects through dynamic ionic interactions","M Zhong, YT Liu, XM Xie","Journal of Materials Chemistry B 3 (19), 4001-4008",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12449839900552540527,132,2015
Flexible and robust MoS 2–graphene hybrid paper cross-linked by a polymer ligand: a high-performance anode material for thin film lithium-ion batteries,"YT Liu, XD Zhu, ZQ Duan, XM Xie","Chemical Communications 49 (87), 10305-10307",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1798093926027366844,129,2013
"Syntheses, Characterization, and in Vitro Degradation of Ethyl Cellulose-","W Yuan, J Yuan, F Zhang, X Xie","Biomacromolecules 8 (4), 1101-1108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8882212139905528515,128,2007
"Computational modeling and simulation of nanoparticle self-assembly in polymeric systems: Structures, properties and external field effects","LT Yan, XM Xie","Progress in Polymer Science 38 (2), 369-405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13997693489975944518,126,2013
Compatibilization and morphology development of immiscible ternary polymer blends,"D Wang, Y Li, XM Xie, BH Guo","Polymer 52 (1), 191-200",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17315809732239543283,110,2011
Studies on the properties and formation mechanism of flexible nanocomposite hydrogels from cellulose nanocrystals and poly (acrylic acid),"J Yang, CR Han, JF Duan, MG Ma, XM Zhang, F Xu, RC Sun, XM Xie","Journal of Materials Chemistry 22 (42), 22467-22480",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15802083621247842593,108,2012
"Cellulose-based dual graft molecular brushes as potential drug nanocarriers: stimulus-responsive micelles, self-assembled phase transition behavior, and tunable crystalline …","Q Yan, J Yuan, F Zhang, X Sui, X Xie, Y Yin, S Wang, Y Wei","Biomacromolecules 10 (8), 2033-2042",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1788472927612128789,108,2009
"Synthesis, characterization, crystalline morphologies, and hydrophilicity of brush copolymers with double crystallizable side chains","W Yuan, J Yuan, F Zhang, X Xie, C Pan","Macromolecules 40 (25), 9094-9102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1165988956772650982,106,2007
High-concentration organic solutions of poly (styrene-co-butadiene-co-styrene)-modified graphene sheets exfoliated from graphite,"YT Liu, XM Xie, XY Ye","Carbon 49 (11), 3529-3537",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16978133671714156891,81,2011
Surface stress effects on the bending direction and twisting chirality of lamellar crystals of chiral polymer,"HM Ye, JS Wang, S Tang, J Xu, XQ Feng, BH Guo, XM Xie, JJ Zhou, L Li, ...","Macromolecules 43 (13), 5762-5770",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10185065042376044873,80,2010
Noncovalent surface modification of carbon nanotubes for solubility in organic solvents,"YT Liu, W Zhao, ZY Huang, YF Gao, XM Xie, XH Wang, XY Ye","Carbon 8 (44), 1613-1616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4760227037933800469,72,2006
马来酸酐—苯乙烯多组分单体熔融接枝聚丙烯的机理研究,李颖， 谢续明,"高等学校化学学报 21 (4), 637-642",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11787474707986384707,71,2000
