Title,Authors,Platform,Cited_url,Cited_count,Year
Structural basis for sequence-specific recognition of DNA by TAL effectors,"D Deng, C Yan, X Pan, M Mahfouz, J Wang, JK Zhu, Y Shi, N Yan","Science 335 (6069), 720-723",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2679590748105971198,555,2012
Crystal structure of an orthologue of the NaChBac voltage-gated sodium channel,"X Zhang, W Ren, P DeCaen, C Yan, X Tao, L Tang, J Wang, K Hasegawa, ...","Nature 486 (7401), 130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8473715423519340109,400,2012
Chitin-induced dimerization activates a plant immune receptor,"T Liu, Z Liu, C Song, Y Hu, Z Han, J She, F Fan, J Wang, C Jin, J Chang, ...","Science 336 (6085), 1160-1164",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4773527437326003553,384,2012
Cytokines and sickness behavior,"R Dantzer, RM BLUTHÉ, S Laye, JLUC BRET‐DIBAT, P Parnet, ...","Annals of the New York Academy of Sciences 840 (1), 586-590","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16487769406303062358,16090646236549620581",340,1998
Structural insights into the mechanism of abscisic acid signaling by PYL proteins,"P Yin, H Fan, Q Hao, X Yuan, D Wu, Y Pang, C Yan, W Li, J Wang, N Yan","Nature structural & molecular biology 16 (12), 1230",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11690544371601417409,333,2009
MAGE-RING protein complexes comprise a family of E3 ubiquitin ligases,"JM Doyle, J Gao, J Wang, M Yang, PR Potts","Molecular cell 39 (6), 963-974",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10162982479952607614,319,2010
Structural basis of ultraviolet-B perception by UVR8,"D Wu, Q Hu, Z Yan, W Chen, C Yan, X Huang, J Zhang, P Yang, H Deng, ...","Nature 484 (7393), 214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13467978537090013243,302,2012
Structural insight into brassinosteroid perception by BRI1,"J She, Z Han, TW Kim, J Wang, W Cheng, J Chang, S Shi, J Wang, ...","Nature 474 (7352), 472",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6204991940665175308,287,2011
Structure of a fucose transporter in an outward-open conformation,"S Dang, L Sun, Y Huang, F Lu, Y Liu, H Gong, J Wang, N Yan","Nature 467 (7316), 734",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=164990380042033547,259,2010
Meta-analysis: retinal vessel caliber and risk for coronary heart disease,"K McGeechan, G Liew, P Macaskill, L Irwig, R Klein, BEK Klein, JJ Wang, ...","Annals of internal medicine 151 (6), 404-413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14765713191341018803,237,2009
Crystal structure of NLRC4 reveals its autoinhibition mechanism,"Z Hu, C Yan, P Liu, Z Huang, R Ma, C Zhang, R Wang, Y Zhang, ...","Science 341 (6142), 172-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8653527119228555526,217,2013
