Title,Authors,Platform,Cited_url,Cited_count,Year
A completed modeling of local binary pattern operator for texture classification,"Z Guo, L Zhang, D Zhang","IEEE Transactions on Image Processing 19 (6), 1657-1663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5375533289460649659,1731,2010
Rotation invariant texture classification using LBP variance (LBPV) with global matching,"Z Guo, L Zhang, D Zhang","Pattern Recognition 43 (3), 706-719",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18313003351717701555,822,2010
An online system of multispectral palmprint verification,"D Zhang, Z Guo, G Lu, L Zhang, W Zuo","Instrumentation and Measurement, IEEE Transactions on 59 (2), 480-490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4290808327908892237,343,2010
An online system of multispectral palmprint verification,"D Zhang, Z Guo, G Lu, L Zhang, W Zuo","IEEE transactions on instrumentation and measurement 59 (2), 480-490",,343,2009
Palmprint verification using binary orientation co-occurrence vector,"Z Guo, D Zhang, L Zhang, W Zuo","Pattern Recognition Letters 30 (13), 1219-1227",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6347106366700969522,215,2009
Hierarchical multiscale LBP for face and palmprint recognition,"Z Guo, L Zhang, D Zhang, X Mou","2010 IEEE International Conference on Image Processing, 4521-4524",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9710662151061285782,154,2010
Online joint palmprint and palmvein verification,"D Zhang, Z Guo, G Lu, L Zhang, Y Liu, W Zuo","Expert Systems with Applications 38 (3), 2621-2631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8634214533259364643,136,2011
Phase congruency induced local features for finger-knuckle-print recognition,"L Zhang, L Zhang, D Zhang, Z Guo","Pattern Recognition 45 (7), 2522-2531",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9986210846355553612,120,2012
"Face recognition by sparse discriminant analysis via joint l 2, 1-norm minimization","X Shi, Y Yang, Z Guo, Z Lai","Pattern Recognition 47 (7), 2447-2453",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16463654421369233701,93,2014
Rotation invariant texture classification using adaptive LBP with directional statistical features,"Z Guo, L Zhang, D Zhang, S Zhang","2010 IEEE International Conference on Image Processing, 285-288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1914045037889674035,93,2010
Multispectral palmprint recognition using wavelet-based image fusion,"D Han, Z Guo, D Zhang","Signal Processing, 2008. ICSP 2008. 9th International Conference on, 2074-2077",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1131345499182712408,91,2008
The multiscale competitive code via sparse representation for palmprint verification,"W Zuo, Z Lin, Z Guo, D Zhang","Computer Vision and Pattern Recognition (CVPR), 2010 IEEE Conference on …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1998074430413589356,81,2010
Monogenic-LBP: A new approach for rotation invariant texture classification,"L Zhang, L Zhang, Z Guo, D Zhang","Image Processing (ICIP), 2010 17th IEEE International Conference on, 2677-2680",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10489822099483120639,78,2010
Feature band selection for online multispectral palmprint recognition,"Z Guo, D Zhang, L Zhang, W Liu","IEEE transactions on information forensics and security 7 (3), 1094-1099",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6585335218819253279,75,2012
Robust texture image representation by scale selective local binary patterns,"Z Guo, X Wang, J Zhou, J You","IEEE Transactions on Image Processing 25 (2), 687-699",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15546784657315610252,64,2015
Palmprint verification using complex wavelet transform,"L Zhang, Z Guo, Z Wang, D Zhang","Image Processing, 2007. ICIP 2007. IEEE International Conference on 2, II …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5661212275139666897,53,2007
Local directional derivative pattern for rotation invariant texture classification,"Z Guo, Q Li, J You, D Zhang, W Liu","Neural Computing & Applications, 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1731043112254566230,48,0
A framework of joint graph embedding and sparse regression for dimensionality reduction,"X Shi, Z Guo, Z Lai, Y Yang, Z Bao, D Zhang","IEEE Transactions on Image Processing 24 (4), 1341-1355",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15687943959778065279,45,2015
Multispectral palmprint recognition using a quaternion matrix,"X Xu, Z Guo, C Song, Y Li","Sensors 12 (4), 4633-4647",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8349593453642207079,45,2012
A unified distance measurement for orientation coding in palmprint verification,"Z Guo, W Zuo, L Zhang, D Zhang","Neurocomputing 73 (4-6), 944-950",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11884529705175706310,44,2010
Multispectral Palmprint Recognition Using Quaternion Principal Component Analysis,"X Xu, Z Guo","Emerging Techniques and Challenges for Hand-Based Biometrics (ETCHB), 2010 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13261808133515518725,37,2010
Feature band selection for multispectral palmprint recognition,"Z Guo, L Zhang, D Zhang","2010 20th International Conference on Pattern Recognition, 1136-1139",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11726236544872883005,36,2010
Multispectral biometrics: systems and applications,"D Zhang, Z Guo, Y Gong",Springer,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15082480049171196544,9729733409153286535",31,2015
Method and apparatus for personal identification using palmprint and palm vein,"D Zhang, G Lu, Z Guo, LUO Nan","US Patent 8,229,178",,30,2012
Method and apparatus for personal identification using palmprint and palm vein,"D Zhang, G Lu, Z Guo, LUO Nan","US Patent 8,229,178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11272039630009125414,30,2012
