Title,Authors,Platform,Cited_url,Cited_count,Year
Novel method of corrosion diagnosis for grounding grid,"J Hu, R Zeng, J He, W Sun, J Yao, Q Su",PowerCon 2000. 2000 International Conference on Power System Technology …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5311142882037256182,115,2000
Evaluation of polypropylene/polyolefin elastomer blends for potential recyclable HVDC cable insulation applications,"Y Zhou, J He, J Hu, X Huang, P Jiang","IEEE Transactions on Dielectrics and Electrical Insulation 22 (2), 673-681",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9020497369513503660,109,2015
A current sensor based on the giant magnetoresistance effect: Design and potential smart grid applications,"Y Ouyang, J He, J Hu, S Wang","Sensors 12 (11), 15520-15541",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3161960678795219642,83,2012
Surface charge migration and dc surface flashover of surface-modified epoxy-based insulators,"C Li, J Hu, C Lin, B Zhang, G Zhang, J He","Journal of Physics D: Applied Physics 50 (6), 065301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17384190560520795796,67,2017
Large enhancement in polarization response and energy storage properties of poly (vinylidene fluoride) by improving the interface effect in nanocomposites,"L Gao, J He, J Hu, Y Li","The Journal of Physical Chemistry C 118 (2), 831-838",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11288064896556098140,64,2014
Discussions on nonuniformity of energy absorption capabilities of ZnO varistors,"JL He, J Hu","IEEE Transactions on power delivery 22 (3), 1523-1532",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2001455403359401273,61,2007
Surface‐modified MgO nanoparticle enhances the mechanical and direct‐current electrical characteristics of polypropylene/polyolefin elastomer nanodielectrics,"Y Zhou, J He, J Hu, B Dang",Journal of Applied Polymer Science 133 (1),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1484047853037925774,60,2016
The theory and implementation of corrosion diagnosis for grounding system,"R Zheng, J He, J Hu, G Lu, B Luo",Conference Record of the 2002 IEEE Industry Applications Conference. 37th …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2131885503000710350,58,2002
Effective protection distances of low-voltage SPD with different voltage protection levels,"J He, Z Yuan, S Wang, J Hu, S Chen, R Zeng","IEEE Transactions on Power Delivery 25 (1), 187-195",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16005805709156168368,54,2009
Influence of functionalized MgO nanoparticles on electrical properties of polyethylene nanocomposites,"S Peng, J He, J Hu, X Huang, P Jiang","IEEE Transactions on Dielectrics and Electrical Insulation 22 (3), 1512-1519",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3076570107726227260,53,2015
