Title,Authors,Platform,Cited_url,Cited_count,Year
Approach to group decision making based on interval-valued intuitionistic judgment matrices,"ZS Xu, C Jian","Systems Engineering-Theory & Practice 27 (4), 126-133","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15355203895245182435,14576838462136788026",405,2007
Clustering algorithm for intuitionistic fuzzy sets,"Z Xu, J Chen, J Wu","Information Sciences 178 (19), 3775-3790",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13619033844829972218,329,2008
The construction and management of Virtual enterprise [M],"C Jian, F Weidong","M], Tsinghua University Press, Beijing","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10100079286757728519,13162371782908773429,9033978789685184149,6214198213029781225",306,2002
An interactive method for fuzzy multiple attribute group decision making,"ZS Xu, J Chen","Information Sciences 177 (1), 248-263",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16369215282451007523,303,2007
What leads to post-implementation success of ERP? An empirical study of the Chinese retail industry,"Y Zhu, Y Li, W Wang, J Chen","International Journal of Information Management 30 (3), 265-276",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12587492224984276200,293,2010
K-means clustering versus validation measures: a data-distribution perspective,"H Xiong, J Wu, J Chen","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 39 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=885786438598481759,287,2008
Some models for deriving the priority weights from interval fuzzy preference relations,"Z Xu, J Chen","European journal of operational research 184 (1), 266-280",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7473878720011037630,268,2008
An overview of distance and similarity measures of intuitionistic fuzzy sets,"ZS Xu, J Chen","International Journal of Uncertainty, Fuzziness and Knowledge-Based Systems …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6020754465163749169,261,2008
Coordinating a three level supply chain with flexible return policies,"D Ding, J Chen","Omega 36 (5), 865-876",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2388062293454962061,243,2008
Enhancing collaborative filtering by user interest expansion via personalized ranking,"Q Liu, E Chen, H Xiong, CHQ Ding, J Chen","IEEE Transactions on Systems, Man, and Cybernetics, Part B (Cybernetics) 42 …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7223273609511924642,215,2011
Adapting the right measures for k-means clustering,"J Wu, H Xiong, J Chen",Proceedings of the 15th ACM SIGKDD international conference on Knowledge …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6435128054804527828,215,2009
On geometric aggregation over interval-valued intuitionistic fuzzy information,"Z Xu, J Chen",Fourth international conference on fuzzy systems and knowledge discovery …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2428757048058457099,206,2007
Comparison of the group-buying auction and the fixed pricing mechanism,"J Chen, X Chen, X Song","Decision Support Systems 43 (2), 445-459",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7606962414158615079,196,2007
