Title,Authors,Platform,Cited_url,Cited_count,Year
Enhanced chemical stability of VO 2 nanoparticles by the formation of SiO 2/VO 2 core/shell structures and the application to transparent and flexible VO 2-based composite …,"Y Gao, S Wang, H Luo, L Dai, C Cao, Y Liu, Z Chen, M Kanehira","Energy & Environmental Science 5 (3), 6104-6110","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16081352142140826840,13328684456687170327,18190180566323372321,9261592787366974529,15527568930064984972",403,2012
VO 2–Sb: SnO 2 composite thermochromic smart glass foil,"Y Gao, S Wang, L Kang, Z Chen, J Du, X Liu, H Luo, M Kanehira","Energy & Environmental Science 5 (8), 8234-8237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2506491443102343128,139,2012
A lattice Boltzmann model for simulating gas flow in kerogen pores,"J Ren, P Guo, Z Guo, Z Wang","Transport in Porous Media 106 (2), 285-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1305320044611754852,71,2015
Method and apparatus for navigating a media program via a transcript of media program dialog,"ECH Wei, V Narang, W Zhibing","US Patent App. 12/635,605",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8532947246715862592,63,2011
A new method for estimating population receptive field topography in visual cortex,"S Lee, A Papanikolaou, NK Logothetis, SM Smirnakis, GA Keliris","Neuroimage 81, 144-157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17023434837169332474,51,2013
HVS-based structural similarity for image quality assessment,"B Wang, Z Wang, Y Liao, X Lin","2008 9th International Conference on Signal Processing, 1194-1197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3144624349294215010,39,2008
缙云山森林林隙与非林隙物种多样性比较研究,王周平， 李旭光， 石胜友， 齐代华， 何正明， 许文蔚， 邓先宝,"应用生态学报, 7-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6851007590958826661,38,2003
Molecular Diffusion Coefficients of the Multicomponent Gas− Crude Oil Systems under High Temperature and Pressure,"P Guo, Z Wang, P Shen, J Du","Industrial & Engineering Chemistry Research 48 (19), 9023-9027",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6969580658586141032,30,2009
"CAI Hong-Ru. Mapping System, Magnetic Measurement and Shimming in CRM Cyclotron","JQ ZHONG, YL LÜ, ZG YIN, TJ ZHANG, CJ CHU, C WANG, ZH WANG, ...","Chinese Physics C 32 (S1), 56-58","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5393604725029132410,12420535535452831929",29,2008
System and apparatus for delivering media and method for playing streaming media,"W Zhibing, YAN Zhefeng, J Dui, C Haohua, Y Li, WEI Jiahao, ...","US Patent App. 12/335,798",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5192639161258488072,28,2009
Proton-exchange sulfonated poly (ether ether ketone)(SPEEK)/SiOx-S composite membranes in direct methanol fuel cells,"G Qijun, W Yuxin, XU Li, WEI Guoqiang, W Zhitao","Chinese Journal of Chemical Engineering 17 (2), 207-213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8647477769508904204,27,2009
Intra-A chain disulphide bond forms first during insulin precursor folding,"Y Ying, W Zhao-Hui, T Jian-Guo","Biochemical Journal 343 (1), 139-144",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4516273233650181416,24,1999
An improved ROI-based rate control algorithm for H. 264/AVC,"H Li, Z Wang, H Cui, K Tang",2006 8th international Conference on Signal Processing 2,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12823504498778218915,22,2006
3D graphene-encapsulated Li3V2 (PO4) 3 microspheres as a high-performance cathode material for energy storage,"Y Hu, X Ma, P Guo, F Jaeger, Z Wang","Journal of Alloys and Compounds 723, 873-879",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18044421856361009385,20,2017
Method and apparatus for generating merged media program metadata,"W Zhibing, Y Tang, Q Chang, TH Yang","US Patent 8,185,513","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10752392571813702707,10371019256024625817",19,2012
"Study on the adsorption, diffusion and permeation selectivity of shale gas in organics","Z Wang, Y Li, H Liu, F Zeng, P Guo, W Jiang","Energies 10 (1), 142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16562339674830329871,17,2017
Irreversible change of the pore structure of ZIF-8 in carbon dioxide capture with water coexistence,"H Liu, P Guo, T Regueira, Z Wang, J Du, G Chen","The Journal of Physical Chemistry C 120 (24), 13287-13294",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8119091378281878803,17,2016
不同工艺条件制备的马铃薯膳食纤维的物化性能比较,王卓， 顾正彪， 洪雁,"食品科学 28 (8), 236-240",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17329249239013775148,17,2007
Analyzing the adaption of different adsorption models for describing the shale gas adsorption law,"Z Wang, Y Li, P Guo, W Meng","Chemical Engineering & Technology 39 (10), 1921-1932",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6557760054004329342,16,2016
Gas–liquid flowing process in a horizontal well with premature liquid loading,"Z Wang, X Fu, P Guo, H Tu, H Wang, S Zhong","Journal of Natural Gas Science and Engineering 25, 207-214",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15921574865682216646,15,2015
Effect of microorganism and organic matters on sandstone type uranium mineralizations in interlayer oxidation zone in deposit No. 512,"R Zhao, M Qin, Z Wang","Uranium Geology 14 (6), 338-343, 379",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15913492781681807781,15,1998
"User interface including concurrent display of video program, histogram, and transcript","ECH Wei, V Narang, W Zhibing, Y Liang, X Jin, TH Yang, E Feng, AC Lin","US Patent 8,332,530",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15959653627174956108,14,2012
Inverse scattering series direct depth imaging without the velocity model: First field data examples,"ZW MAYHAN, J MISPEL, L AMUNDSEN, L HONG","Journal of Seismic Exploration 21, 1-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15255794896373487017,14,2012
Analysis and decision methods for the risk in reservoir operation,"H Qiang, M Longde, W Zengfa","Journal of XI’an University of Technology 15 (4), 6-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18027667829410021081,13,1999
The Evidence of Nuclear Transmutation Phenomenon in Pd-H System Using NAA (Neutron Activation Analysis),"DW Mo, QS Cai, LM Wang, SZ Wang, XZ Li",The Seventh International Conference on Cold Fusion,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11371988056481266895,13,1998
乙烯砜型活性染料水解动力学的 HPLC 研究,王正佳， 邵敏， 邵建中,"纺织学报 27 (9), 9-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6351600754167525740,12,2006
"Syntheses, crystal structures and theoretical calculation of two transition metal dinuclear complexes","W Zi-Liang, W Lin-Heng, LI Ming-Xue, W Jing-Ping","CHINESE JOURNAL OF STRUCTURAL CHEMISTRY 27 (11), 1327-1332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2266860133222009961,11,2008
一种基于纹理特征抽取的车牌定位预处理方法,汪志兵， 崔慧娟,"计算机应用研究 21 (1), 255-257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13077857017068297929,11,2004
228 例儿童癫痫停药后复发的相关因素分析,蔡嘉琳， 鲍克容， 许燮萍， 王治平,"中国当代儿科杂志 4 (1), 28-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17827476543315700211,11,2002
Neural network control system of engineering vehicle automatic shift,"W Zhuo, Z Dingxuan","Journal of Xi’an Jiaotong University 36 (3), 274-277","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13051534551616180873,14273385386375551167",11,2002
Song Yuan xue an,Z Huang,,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5967645387838861085,11,1963
Design of NaTi2 (PO4) 3 nanocrystals embedded in N-doped graphene sheets for sodium-ion battery anode with superior electrochemical performance,"Y Hu, X Ma, P Guo, F Jaeger, Z Wang","Ceramics International 43 (15), 12338-12342",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8022609869755355954,10,2017
Fluorodeoxyglucose positron emission tomography/computed tomography and magnetic resonance imaging of uterine leiomyosarcomas: 2 cases report,"Z Hui-juan, Z Feng-hua, LI Ya-jun, SUN Hao-ran, BAI Ren-ju, GAO Shuo","Chinese medical journal 124 (14), 2237-2240","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=114636125713433346,208214592634612916",10,2011
铁路自闭贯通线路故障检测模型,何正友， 王志兵,"西南交通大学学报 39 (4), 451-454",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4788588262819882191,10,2004
求解一类组合优化问题的混沌搜索法,张国平， 王正欧， 袁国林,"系统工程理论与实践 21 (5), 102-105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6874732776764720312,10,2001
"Differences in knowledge, attitude and behavior with respect to hypertension among cardiologists, neurologists and other physicians in internal medicine","Z WANG, L CAO, Y WU, ...","Hypertension Research 24 (4), 459-462",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13241544488191680552,10,2001
Cancer mortality among carbon workers in China: retrospective cohort study,"N Liu, Z Wang, D Dong, K CHEN, L QIN","Journal of Occupational Health 39 (4), 325-330",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8395740827211119980,10,1997
