Title,Authors,Platform,Cited_url,Cited_count,Year
Hyperconcentrated flow,"Z Wan, Z Wang, PY Julien","Journal of Hydraulic Engineering 120 (10), 1234-1234",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11021845593846308843,234,1994
Sediment pollution and its effect on fish through food chain in the Yangtze River,"Y Yi, Z Wang, K Zhang, G Yu, X Duan","International Journal of Sediment Research 23 (4), 338-347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18270158993646724680,177,2008
Impact of the Gezhouba and Three Gorges Dams on habitat suitability of carps in the Yangtze River,"Y Yi, Z Wang, Z Yang","Journal of Hydrology 387 (3-4), 283-291",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13623377006715370968,102,2010
Sediment budget of the Yangtze River,"ZY Wang, Y Li, Y He",Water Resources Research 43 (4),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8179046542053532882,92,2007
Ecological and hydraulic studies of step-pool systems,"Z Wang, CS Melching, X Duan, G Yu","Journal of Hydraulic Engineering 135 (9), 705-717",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3751143939496073112,91,2009
Strategies for managing reservoir sedimentation,"ZY Wang, C Hu","International Journal of Sediment Research 24 (4), 369-384",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3825502264286444682,88,2009
"Sedimentation problems and management strategies of Sanmenxia Reservoir, Yellow River, China","G Wang, B Wu, ZY Wang",Water Resources Research 41 (9),"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17781181754628278126,2363108476037735251",88,2005
Effect of streambed sediment on benthic ecology,"D Xuehua, W Zhaoyin, X Mengzhen, K Zhang","International Journal of Sediment Research 24 (3), 325-338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9456505761906631156,87,2009
Sediment load reduction in Chinese rivers,"L Cheng, S Jueyi, W Zhao-Yin","International Journal of Sediment Research 23 (1), 44-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6595333597986321903,83,2008
Velocity profile of sediment suspensions and comparison of log-law and wake-law,"X Wang, ZY Wang, M Yu, D Li","Journal of Hydraulic Research 39 (2), 211-217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14911275027786049392,82,2001
Interbasin transfer projects and their implications: A China case study,"X Shao, H Wang, Z Wang","International Journal of River Basin Management 1 (1), 5-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1289461502884587014,81,2003
Fluvial processes and morphological response in the Yellow and Weihe Rivers to closure and operation of Sanmenxia Dam,"ZY Wang, B Wu, G Wang","Geomorphology 91 (1-2), 65-79",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14303198745034134415,78,2007
Turbulent structure of water and clay suspensions with bed load,"Z Wang, P Larsen","Journal of Hydraulic Engineering 120 (5), 577-600",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4959750678877141918,76,1994
Two-dimensional habitat modeling of Chinese sturgeon spawning sites,"Y Yi, Z Wang, Z Yang","Ecological Modelling 221 (5), 864-875",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11880497237178837367,75,2010
Effects of pollution on macroinvertebrates and water quality bio-assessment,"M Xu, Z Wang, X Duan, B Pan","Hydrobiologia 729 (1), 247-259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1606916136510050106,70,2014
Influences of spatial distribution of soil thickness on shallow landslide prediction,"JY Ho, KT Lee, TC Chang, ZY Wang, YH Liao","Engineering Geology 124, 38-46",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3509685799717226207,63,2012
River dynamics and integrated river management,"ZY Wang, JHW Lee, CS Melching",Springer,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17458456213646240092,61,2014
Resistance and drag reduction of flows of clay suspensions,"ZY Wang, P Larsen, F Nestmann, A Dittrich","Journal of Hydraulic Engineering 124 (1), 41-49",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12594461387497904085,56,1998
Dynamic characteristics of the Yellow River mouth,"ZY Wang, ZY Liang",Earth Surface Processes and Landforms: The Journal of the British …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=50765439987847401,51,2000
"Quantifying the spatial distribution of soil mass wasting processes after the 2008 earthquake in Wenchuan, China: a case study of the Longmenshan area","B Di, H Zeng, M Zhang, SL Ustin, Y Tang, Z Wang, N Chen, B Zhang","Remote Sensing of Environment 114 (4), 761-771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10358204968990320605,50,2010
Experimental study on scour rate and river bed inertia,ZY Wang,"Journal of Hydraulic Research 37 (1), 17-37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5513305166427333488,48,1999
Effect of incoming sediment on the transport rate of bed load in mountain streams,"GA Yu, ZY Wang, K Zhang, TC Chang, LIU Huaixiang","International Journal of Sediment Research 24 (3), 260-273",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8184939651964916141,46,2009
Rheological properties of sediment suspensions and their implications,"Z Wang, P Larsen, W Xiang","Journal of Hydraulic Research 32 (4), 495-516",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1315829200854637881,46,1994
Modeling of state of vegetation and soil erosion over large areas,"W Zhao-Yin, W Guangqian, G Huang","International Journal of Sediment Research 23 (3), 181-196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15802726325909086456,44,2008
Distribution and species composition of macroinvertebrates in the hyporheic zone of bed sediment,"M Xu, Z Wang, B Pan, Z Na","International Journal of Sediment Research 27 (2), 129-140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11788265817785267763,41,2012
Restoration of an incised mountain stream using artificial step-pool system,"G Yu, ZY Wang, K Zhang, X Duan, TC Chang","Journal of Hydraulic Research 48 (2), 178-187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6752367628305670092,41,2010
"Suspended sediment dynamics and morphodynamics in the Yellow River, China","DS Van Maren, JC Winterwerp, ZY Wang, Q Pu","Sedimentology 56 (3), 785-806",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8958756485645960217,40,2009
Three-dimensional modelling of sediment transport and the effects of dredging in the Haihe Estuary,"Y Bai, Z Wang, H Shen","Estuarine, Coastal and Shelf Science 56 (1), 175-186",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16270259161191191153,40,2003
Acceleration of vegetation succession on eroded land by reforestation in a subtropical zone,"FX Wang, ZY Wang, JHW Lee","Ecological Engineering 31 (4), 232-241",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14427316399576263250,39,2007
Scale effects in wind tunnel modelling,"ZY Wang, EJ Plate, M Rau, R Keiser","Journal of Wind Engineering and Industrial Aerodynamics 61 (2-3), 113-130",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5185906394924623220,38,1996
Development of step-pool sequence and its effects in resistance and stream bed stability,"ZY Wang, J Xu, CZ Li","International Journal of Sediment Research 19 (3), 161-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14668927969482940283,35,2004
Benthic macroinvertebrate and application in the assessment of stream ecology,"XH Duan, ZY Wang, MZ Xu",Beijing: Tsinghua University Press,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=523899307930839078,34,2010
Yellow River Basin management and current issues,"W Baosheng, W Zhaoyin, L Changzhi","Journal of Geographical Sciences 14 (1), 29-37",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6621592674125290554,34,2004
Water pollution in the river mouths around Bohai Bay,"C Liu, ZY Wang, Y He","International Journal of Sediment Research 18 (4), 326-332",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1770591389471402876,31,2003
An environmental gradient of vegetative controls upon channel planform in the source region of the Yangtze and Yellow Rivers,"G Yu, G Brierley, HQ Huang, Z Wang, B Blue, Y Ma","Catena 119, 143-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10465509528137599885,30,2014
Disaster chains initiated by the Wenchuan earthquake,"M Xu, Z Wang, L Qi, L Liu, K Zhang","Environmental Earth Sciences 65 (4), 975-985",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5178734447831225900,29,2012
Mass movements triggered by the Wenchuan Earthquake and management strategies of quake lakes,"Z Wang, P Cui, R Wang","International Journal of River Basin Management 7 (4), 391-402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3615367884821525690,29,2009
A review of ecological restoration techniques in fluvial rivers,"B Pan, J Yuan, X Zhang, Z Wang, J Chen, J Lu, W Yang, Z Li, N Zhao, ...","International Journal of Sediment Research 31 (2), 110-119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2918916105187386492,28,2016
Free surface instability of non-Newtonian laminar flows,ZYN Wang,"Journal of Hydraulic Research 40 (4), 449-460",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16951128740399121164,28,2002
