Title,Authors,Platform,Cited_url,Cited_count,Year
Three-dimensional optical holography using a plasmonic metasurface,"L Huang, X Chen, H Mühlenbernd, H Zhang, S Chen, B Bai, Q Tan, G Jin, ...","Nature communications 4, 2808",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11734380390808363453,754,2013
Elimination of a zero-order beam induced by a pixelated spatial light modulator for holographic projection,"H Zhang, J Xie, J Liu, Y Wang","Applied optics 48 (30), 5834-5841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10841114513945133507,132,2009
Accurate calculation of computer-generated holograms using angular-spectrum layer-oriented method,"Y Zhao, L Cao, H Zhang, D Kong, G Jin","Optics express 23 (20), 25440-25449",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4993828109379085806,96,2015
Fully computed holographic stereogram based algorithm for computer-generated holograms with accurate depth cues,"H Zhang, Y Zhao, L Cao, G Jin","Optics express 23 (4), 3901-3913",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2923652250888818258,80,2015
Optical image encryption based on interference of polarized light,"N Zhu, Y Wang, J Liu, J Xie, H Zhang","Optics Express 17 (16), 13418-13424",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16086740099735144347,69,2009
Full parallax three-dimensional display with occlusion effect using computer generated hologram,"H Zhang, N Collings, J Chen, BA Crossland, D Chu, J Xie","Optical Engineering 50 (7), 074003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18007104569034762090,54,2011
Holographic display system of a three-dimensional image with distortion-free magnification and zero-order elimination,"H Zhang, Q Tan, G Jin","Optical Engineering 51 (7), 075801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5938159961144890225,42,2012
Computer-generated hologram with occlusion effect using layer-based processing,"H Zhang, L Cao, G Jin","Applied optics 56 (13), F138-F143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15963789621631657323,30,2017
Time-division multiplexing holographic display using angular-spectrum layer-oriented method,"Y Zhao, L Cao, H Zhang, W Tan, S Wu, Z Wang, Q Yang, G Jin","Chinese Optics Letters 14 (1), 010005",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13279392326155833490,24,2016
Layered holographic stereogram based on inverse Fresnel diffraction,"H Zhang, Y Zhao, L Cao, G Jin","Applied optics 55 (3), A154-A159",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1777586064249388884,22,2016
Optical reconstruction of 3D images by use of pure-phase computer-generated holograms,"H Zhang, J Xie, J Liu, Y Wang","Chinese Optics Letters 7 (12), 1101-1103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17714888960825382062,21,2009
Three-dimensional display technologies in wave and ray optics: a review,"H Zhang, Y Zhao, L Cao, G Jin","Chinese Optics Letters 12 (6), 060002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6167397822136934517,20,2014
Image magnification in lensless holographic projection using double-sampling Fresnel diffraction,"W Qu, H Gu, H Zhang, Q Tan","Applied optics 54 (34), 10018-10021",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4341648334961735814,18,2015
Twin-image-free holography: a compressive sensing approach,"W Zhang, L Cao, DJ Brady, H Zhang, J Cang, H Zhang, G Jin","Physical review letters 121 (9), 093902",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6224940590063056582,17,2018
Volume holographic printing using unconventional angular multiplexing for three-dimensional display,"L Cao, Z Wang, H Zhang, G Jin, C Gu","Applied optics 55 (22), 6046-6051",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1361018226148068380,15,2016
Holographic display with LED illumination based on phase-only spatial light modulator,"Y Zhao, L Cao, H Zhang, Q He","Information Optics and Optical Data Storage II 8559, 85590B",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7937720574191112094,12,2012
Full parallax three-dimensional computer generated hologram with occlusion effect using ray casting technique,"H Zhang, Q Tan, G Jin","Journal of Physics: Conference Series 415 (1), 012048",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2037717750765076927,11,2013
Image encryption based on interleaved computer-generated holograms,"D Kong, L Cao, X Shen, H Zhang, G Jin","IEEE Transactions on Industrial Informatics 14 (2), 673-678",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17182930069169600178,10,2017
Three-dimensional information hierarchical encryption based on computer-generated holograms,"D Kong, X Shen, L Cao, H Zhang, S Zong, G Jin","Optics Communications 380, 387-393",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14191547169949778089,8,2016
Lighting effects rendering in three-dimensional computer-generated holographic display,"H Zhang, L Cao, G Jin","Optics Communications 370, 192-197",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8027336096016828323,7,2016
用改进的两步模拟退火法进行二元光学元件的设计,康果果， 谢敬辉， 莫晓丽， 王旦福， 张浩,"光子学报 37 (7), 1412-1415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=735447820107578567,7,2008
Quantitative study on a resampling mask method for speckle reduction with amplitude superposition,"W Zhang, L Cao, H Zhang, H Zhang, C Han, G Jin, Y Sheng","Applied optics 56 (13), F205-F212",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16091489996850097515,6,2017
Holographic lensless interference encryption based on single spatial light modulator,"D Kong, L Cao, H Zhang, Q He, G Jin",2016 IEEE 14th International Conference on Industrial Informatics (INDIN …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9163799143739210345,5,2016
Method of lateral image reconstruction in structured illumination microscopy with super resolution,"Q Yang, L Cao, H Zhang, H Zhang, G Jin","Journal of Innovative Optical Health Sciences 9 (03), 1630002",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2752460868854745177,4,2016
