Title,Authors,Platform,Cited_url,Cited_count,Year
Parameter estimation of quantum channels,"Z Ji, G Wang, R Duan, Y Feng, M Ying","IEEE Transactions on Information Theory 54 (11), 5172-5185",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12625353673569448810,92,2008
Entanglement is not necessary for perfect discrimination between unitary operations,"R Duan, Y Feng, M Ying","Physical review letters 98 (10), 100503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8833647496582171746,88,2007
Unambiguous discrimination between mixed quantum states,"Y Feng, R Duan, M Ying","Physical Review A 70 (1), 012308",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7885183682533105618,87,2004
Distinguishability of quantum states by separable operations,"R Duan, Y Feng, Y Xin, M Ying","IEEE Transactions on Information Theory 55 (3), 1320-1330",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2324959907575369629,75,2009
Perfect distinguishability of quantum operations,"R Duan, Y Feng, M Ying","Physical Review Letters 103 (21), 210501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6925255507094890882,70,2009
Icdar2017 robust reading challenge on multi-lingual scene text detection and script identification-rrc-mlt,"N Nayef, F Yin, I Bizid, H Choi, Y Feng, D Karatzas, Z Luo, U Pal, ...",2017 14th IAPR International Conference on Document Analysis and Recognition …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10042724231179103060,60,2017
An algebra of quantum processes,"M Ying, Y Feng, R Duan, Z Ji","ACM Transactions on Computational Logic (TOCL) 10 (3), 19",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11559141710419496634,58,2009
Distinguishing arbitrary multipartite basis unambiguously using local operations and classical communication,"R Duan, Y Feng, Z Ji, M Ying","Physical review letters 98 (23), 230502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15675405531581243659,57,2007
Bisimulation for quantum processes,"Y Feng, R Duan, M Ying","Acm Sigplan Notices 46 (1), 523-534",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=281780331766394570,54,2011
Characterizing locally indistinguishable orthogonal product states,"Y Feng, Y Shi","IEEE Transactions on Information Theory 55 (6), 2799-2806",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15479280985467869054,54,2009
Upper bound for the success probability of unambiguous discrimination among quantum states,"S Zhang, Y Feng, X Sun, M Ying","Physical Review A 64 (6), 062103",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14948898796258003516,53,2001
Objects as Points,"X Zhou, D Wang, P Krähenbühl",arXiv preprint arXiv:1904.07850,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4497917248250067674,51,2019
