Title,Authors,Platform,Cited_url,Cited_count,Year
A weakly informative default prior distribution for logistic and other regression models,"A Gelman, A Jakulin, MG Pittau, YS Su","The Annals of Applied Statistics 2 (4), 1360-1383",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12968536178997142904,1161,2008
"R Package ""R2jags: A Package for Running jags from R""","YS Su, M Yajima","R package version 0.03-08, URL http://CRAN. R-project. org/package= R2jags","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7527440428016336202,5433913433017936777,14678280382137860712,3647662435402041399,4360369484421405199,16969757258182023944,269720902318073485",575,2009
Multiple imputation with diagnostics (mi) in R: Opening windows into the black box,"YS Su, AE Gelman, J Hill, M Yajima",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5314834835460710631,11906844827977974444,15135277576461158662,11604742898659317404",472,2011
"R Package ""arm: data analysis using regression and multilevel/hierarchical models""","A Gelman, YS Su",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6307049117649573701,150756292484560495,9396882861790237952",420,2008
The effect of institutional proximity in non-local university–industry collaborations: An analysis based on Chinese patent data,"W Hong, YS Su","Research Policy 42 (2), 454-464",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6065442098050517101,137,2013
Income inequality and partisan voting in the United States,"A Gelman, L Kenworthy, YS Su","Social Science Quarterly, 1203-1219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7182670327196764950,73,2010
On the stationary distribution of iterative imputations,"J Liu, A Gelman, J Hill, YS Su, J Kropko","Biometrika 101 (1), 155-173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17214630228893875346,72,2013
Assessing lack of common support in causal inference using Bayesian nonparametrics: Implications for evaluating the effect of breastfeeding on children's cognitive outcomes,"J Hill, YS Su","The Annals of Applied Statistics, 1386-1420",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1505173288082461076,42,2013
It’s easy to produce chartjunk using Microsoft Excel 2007 but hard to make good graphs,YS Su,"Computational Statistics & Data Analysis 52 (10), 4594-4601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16740934877125462115,39,2008
Could more civil society involvement increase public support for climate policy-making? Evidence from a survey experiment in China,"T Bernauer, R Gampfer, T Meng, YS Su","Global Environmental Change 40, 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15834242549049443210,23,2016
A default prior distribution for logistic and other regression models,"A Gelman, A Jakulin, MG Pittau, Y Su","Annals of Applied Statistics 2 (4), 1360-1383",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17443923549170801492,10,2008
What do we gain? Combining propensity score methods and multilevel modeling,"YS Su, J Cortina",Combining Propensity Score Methods and Multilevel Modeling,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12853083748977020849,7,2009
Development of data-driven influence model to relate the workplace environment to human error,"PC Liao, H Shi, Y Su, X Luo","Journal of Construction Engineering and Management 144 (3), 04018003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5020979889850433975,5,2018
Causal inference of repeated observations: A synthesis of the propensity score methods and multilevel modeling,YS Su,Available at polmeth. wustl. edu/retrieve. php,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5393072336236654940,3,2008
Estimating the influence of improper workplace environment on human error: Posterior predictive analysis,"PC Liao, M Liu, YS Su, H Shi, X Luo",Advances in Civil Engineering 2018,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17131355430987645749,1,2018
差序政治信任的城乡比较——基于 2015 年中国城乡社会治理调查数据的实证研究,张小劲， 陈波， 苏毓淞,"湘潭大学学报 (哲学社会科学版), 32-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=859031335971893096,1,2017
Adjusting Survey Response Distributions Using Multiple Imputation: A Simulation with External Validation,YSS Frank C.S. Liu,"Survey Research: Method and Application, 7-32",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6818244500497529408,1,2015
美国、欧盟、中国与拉美双边经贸关系的比较研究,苏毓淞,"拉丁美洲研究 36 (3), 26-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2082177228769373641,1,2014
作为可传授知识的拉丁美洲研究: 比较观察,陆楠楠， 苏毓淞,"拉丁美洲研究 34 (2), 15-23",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7354235217804099306,1,2012
Remittances and political liberalization,YS Su,City University of New York,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8700209959558319688,1,2009
Contrive the Future by Tampering the Past: A Deferral Tactic of Chinese Internet Censorship,"Y SU, S Sun, J Liu",SocArXiv,,0,2019
民主解固——西方自由民主制的危机,褚向磊， 苏毓淞,"国外理论动态, 84-91",,0,2018
政治信任的城乡比较——基于 2015 城乡社会治理调查数据的实证研究,陈波， 苏毓淞,"华中科技大学学报: 社会科学版 31 (4), 85-95",,0,2017
"Happy Generations, Depressed Generations: How and Why Chinese People’s Life Satisfactions Vary across Generations","YS Su, Y Yao",,,0,2016
倾向值匹配法的概述与应用——从统计关联到因果推论,苏毓淞,重庆大学出版社,,0,2016
社会组织参与国际气候变化谈判——基于北京市的调查实验,苏毓淞， 孟天广,"清华大学学报: 哲学社会科学版, 67-75",,0,2016
大数据信息采集及其偏差补救方法——以甜党和咸党的口味地盘之争为例,苏毓淞姚雨凌,"清华大学学报（哲学社科版） 30 (3), 43-49",,0,2015
Recent Publications in ,J de Leeuw,"Journal of Computational and Graphical Statistics 21 (2), 558-560",,0,2012
Graphical User Interface of the mi Package,"D Lee, YS Su",,,0,2011
What to Do and Not to Do with Anchoring Vignettes in Cross-Cultural Data Analysis,"YS Su, J Lu, T Shi",APSA 2011 Annual Meeting Paper,,0,2011
Who wants school vouchers?,"YS Su, A Gelman",APSA 2010 Annual Meeting Paper,,0,2010
Voting by Education in 2008,"A Gelman, YS Su","Chance 23 (3), 8-8",,0,2010
