Title,Authors,Platform,Cited_url,Cited_count,Year
Porphyrin-sensitized solar cells with cobalt (II/III)–based redox electrolyte exceed 12 percent efficiency,"A Yella, HW Lee, HN Tsao, C Yi, AK Chandiran, MK Nazeeruddin, ...","science 334 (6056), 629-634","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5181786794389432041,963072964804192479",5872,2011
A vacuum flash–assisted solution process for high-efficiency large-area perovskite solar cells,"X Li, D Bi, C Yi, JD Décoppet, J Luo, SM Zakeeruddin, A Hagfeldt, ...","Science 353 (6294), 58-62",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12408012685983646074,1115,2016
Polymer-templated nucleation and crystal growth of perovskite films for solar cells with efficiency greater than 21%,"D Bi, C Yi, J Luo, JD Décoppet, F Zhang, SM Zakeeruddin, X Li, ...","Nature Energy 1 (10), 16142",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15093058646047754349,835,2016
Improved performance and stability of perovskite solar cells by crystal crosslinking with alkylphosphonic acid ω-ammonium chlorides,"X Li, MI Dar, C Yi, J Luo, M Tschumi, SM Zakeeruddin, MK Nazeeruddin, ...","Nature chemistry 7 (9), 703",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10578425027580730991,655,2015
Tris(2-(1,"J Burschka, A Dualeh, F Kessler, E Baranoff, NL Cevey-Ha, C Yi, ...","Journal of the American Chemical Society 133 (45), 18042-18045",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8911435729947115705,655,2011
Entropic stabilization of mixed A-cation ABX 3 metal halide perovskites for high performance perovskite solar cells,"C Yi, J Luo, S Meloni, A Boziki, N Ashari-Astani, C Grätzel, ...","Energy & Environmental Science 9 (2), 656-662",,575,2016
Entropic stabilization of mixed A-cation ABX 3 metal halide perovskites for high performance perovskite solar cells,"C Yi, J Luo, S Meloni, A Boziki, N Ashari-Astani, C Grätzel, ...","Energy & Environmental Science 9 (2), 656-662",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15400021318207710900,575,2016
A cobalt complex redox shuttle for dye-sensitized solar cells with high open-circuit potentials,"JH Yum, E Baranoff, F Kessler, T Moehl, S Ahmad, T Bessho, A Marchioro, ...","Nature communications 3, 631",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7990594535701305698,537,2012
Influence of the donor size in D− π–A organic dyes for dye-sensitized solar cells,"J Yang, P Ganesan, J Teuscher, T Moehl, YJ Kim, C Yi, P Comte, K Pei, ...","Journal of the American Chemical Society 136 (15), 5722-5730",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16022124966779643654,334,2014
Cyclopentadithiophene Bridged Donor–Acceptor Dyes Achieve High Power Conversion Efficiencies in Dye‐Sensitized Solar Cells Based on the tris‐Cobalt Bipyridine Redox Couple,"HN Tsao, C Yi, T Moehl, JH Yum, SM Zakeeruddin, MK Nazeeruddin, ...","ChemSusChem 4 (5), 591-594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15854321214099578935,300,2011
Influence of the interfacial charge-transfer resistance at the counter electrode in dye-sensitized solar cells employing cobalt redox shuttles,"HN Tsao, J Burschka, C Yi, F Kessler, MK Nazeeruddin, M Grätzel","Energy & Environmental Science 4 (12), 4921-4924",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10845840169807994257,182,2011
Efficient copper-free PdCl2 (PCy3) 2-catalyzed sonogashira coupling of aryl chlorides with terminal alkynes,"C Yi, R Hua","The Journal of organic chemistry 71 (6), 2535-2537",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=361202707768496818,166,2006
Isomer‐Pure Bis‐PCBM‐Assisted Crystal Engineering of Perovskite Solar Cells Showing Excellent Efficiency and Stability,"F Zhang, W Shi, J Luo, N Pellet, C Yi, X Li, X Zhao, TJS Dennis, X Li, ...","Advanced Materials 29 (17), 1606806",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6609455624629158413,165,2017
