Title,Authors,Platform,Cited_url,Cited_count,Year
Directed assembly of cell-laden microgels for fabrication of 3D tissue constructs,"Y Du, E Lo, S Ali, A Khademhosseini","Proceedings of the National Academy of Sciences 105 (28), 9522-9527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16839364847756809304,531,2008
Synthesis and characterization of photocrosslinkable gelatin and silk fibroin interpenetrating polymer network hydrogels,"W Xiao, J He, JW Nichol, L Wang, CB Hutson, B Wang, Y Du, H Fan, ...","Acta biomaterialia 7 (6), 2384-2393",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7984549204806908608,176,2011
DNA-directed self-assembly of shape-controlled hydrogels,"H Qi, M Ghodousi, Y Du, C Grun, H Bae, P Yin, A Khademhosseini","Nature communications 4, 2275",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3794082746044847121,172,2013
Sequential assembly of cell‐laden hydrogel constructs to engineer vascular‐like microchannels,"Y Du, M Ghodousi, H Qi, N Haas, W Xiao, A Khademhosseini","Biotechnology and bioengineering 108 (7), 1693-1703",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4972719503168754303,170,2011
Engineering cell alignment in vitro,"Y Li, G Huang, X Zhang, L Wang, Y Du, TJ Lu, F Xu","Biotechnology advances 32 (2), 347-365",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14002075977631263715,145,2014
3D hepatocyte monolayer on hybrid RGD/galactose substratum,"Y Du, S Chia, R Han, S Chang, H Tang, H Yu","Biomaterials 27 (33), 5669-5680",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9568604022121014968,112,2006
Patterned differentiation of individual embryoid bodies in spatially organized 3D hybrid microgels,"H Qi, Y Du, L Wang, H Kaji, H Bae, A Khademhosseini","Advanced materials 22 (46), 5276-5281",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15669575330351362949,106,2010
Rapid generation of spatially and temporally controllable long-range concentration gradients in a microfluidic device,"Y Du, J Shim, M Vidula, MJ Hancock, E Lo, BG Chung, JT Borenstein, ...","Lab Chip 9 (6), 761-767",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17272037405142384800,97,2008
Rapid Generation of Biologically Relevant Hydrogels Containing Long‐Range Chemical Gradients,"J He, Y Du, JL Villa‐Uribe, C Hwang, D Li, A Khademhosseini","Advanced functional materials 20 (1), 131-137",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9822456337778623587,87,2009
Synthetic sandwich culture of 3D hepatocyte monolayer,"Y Du, R Han, F Wen, SN San San, L Xia, T Wohland, HL Leo, H Yu","Biomaterials 29 (3), 290-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=430921653730786432,80,2008
