Title,Authors,Platform,Cited_url,Cited_count,Year
Face classification using electronic synapses,"P Yao, H Wu, B Gao, SB Eryilmaz, X Huang, W Zhang, Q Zhang, N Deng, ...","Nature communications 8, 15199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9626964476436832783,225,2017
Fully memristive neural networks for pattern classification with unsupervised learning,"Z Wang, S Joshi, S Savel’ev, W Song, R Midya, Y Li, M Rao, P Yan, ...","Nature Electronics 1 (2), 137",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12394465606768104178,170,2018
Synthesis and characterization of vertically standing MoS,"H Li, H Wu, S Yuan, H Qian","Scientific reports 6, 21171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7395148628064740135,107,2016
Scaling-up resistive synaptic arrays for neuro-inspired architecture: Challenges and prospect,"S Yu, PY Chen, Y Cao, L Xia, Y Wang, H Wu","2015 IEEE International Electron Devices Meeting (IEDM), 17.3. 1-17.3. 4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6309574537307726562,102,2015
Binary neural network with 16 Mb RRAM macro chip for classification and online training,"S Yu, Z Li, PY Chen, H Wu, B Gao, D Wang, W Wu, H Qian","2016 IEEE International Electron Devices Meeting (IEDM), 16.2. 1-16.2. 4",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16152104992644677381,83,2016
Fabrication and characterization of pre-aligned gallium nitride nanowire field-effect transistors,"HY Cha, H Wu, M Chandrashekhar, YC Choi, S Chae, G Koley, ...","Nanotechnology 17 (5), 1264",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14914705059209087257,83,2006
Study of conduction and switching mechanisms in Al/AlO,"Y Zhang, H Wu, Y Bai, A Chen, Z Yu, J Zhang, H Qian","Applied Physics Letters 102 (23), 233502",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=475885936337017377,81,2013
"Threshold switching of Ag or Cu in dielectrics: materials, mechanism, and applications","Z Wang, M Rao, R Midya, S Joshi, H Jiang, P Lin, W Song, S Asapu, ...","Advanced Functional Materials 28 (6), 1704862",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6238346360391490080,79,2018
Recommended methods to study resistive switching devices,"M Lanza, HSP Wong, E Pop, D Ielmini, D Strukov, BC Regan, L Larcher, ...","Advanced Electronic Materials 5 (1), 1800143",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5394232910896550608,71,2019
Method of making Group III nitrides,"FJ DiSalvo, MG Spencer, H Wu","US Patent 7,381,391",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13384645322590597880,70,2008
Magnetoelectric coupling induced by interfacial orbital reconstruction,"B Cui, C Song, H Mao, H Wu, F Li, J Peng, G Wang, F Zeng, F Pan","Advanced Materials 27 (42), 6651-6656",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1196629452156372814,65,2015
Study of multi-level characteristics for 3D vertical resistive switching memory,"Y Bai, H Wu, R Wu, Y Zhang, N Deng, Z Yu, H Qian","Scientific reports 4, 5780",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6730688888291889844,65,2014
Experimental characterization of physical unclonable function based on 1 kb resistive random access memory arrays,"R Liu, H Wu, Y Pang, H Qian, S Yu","IEEE Electron Device Letters 36 (12), 1380-1383",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12289194134770547517,64,2015
Improving Analog Switching in HfO,"W Wu, H Wu, B Gao, N Deng, S Yu, H Qian","IEEE Electron Device Letters 38 (8), 1019-1022",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13210159868530290984,56,2017
Metallic to hopping conduction transition in Ta2O5− x/TaOy resistive switching device,"Y Zhang, N Deng, H Wu, Z Yu, J Zhang, H Qian","Applied Physics Letters 105 (6), 063508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7435510035429555286,55,2014
An artificial nociceptor based on a diffusive memristor,"JH Yoon, Z Wang, KM Kim, H Wu, V Ravichandran, Q Xia, CS Hwang, ...","Nature communications 9 (1), 417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9639448230948075536,51,2018
Graphene applications in electronic and optoelectronic devices and circuits,"HQ Wu, CY Linghu, HM Lu, H Qian",Chinese Physics B 22 (9),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5004898798803331719,50,2013
Probing the photovoltage and photocurrent in perovskite solar cells with nanoscale resolution,"Z Zhao, X Chen, H Wu, X Wu, G Cao","Advanced Functional Materials 26 (18), 3048-3058",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16231633500056044632,45,2016
Graphene oxide quantum dots based memristors with progressive conduction tuning for artificial synaptic learning,"X Yan, L Zhang, H Chen, X Li, J Wang, Q Liu, C Lu, J Chen, H Wu, P Zhou","Advanced Functional Materials 28 (40), 1803728",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5108894377428934182,44,2018
Resistive Switching Performance Improvement of Ta₂O₅-x/TaOy Bilayer ReRAM Devices by Inserting AlOδ Barrier Layer,"H Wu, X Li, M Wu, F Huang, Z Yu, H Qian","IEEE Electron Device Letters 35 (99), 39-41",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6109021221421772589,42,2014
Gallium nitride nanowire nonvolatile memory device,"HY Cha, H Wu, S Chae, MG Spencer","Journal of applied physics 100 (2), 024307",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6730886603922385615,42,2006
Low power W:AlO,"Y Bai, H Wu, Y Zhang, M Wu, J Zhang, N Deng, H Qian, Z Yu","Applied Physics Letters 102 (17), 173503",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11572907406848949525,40,2013
Group III nitride compositions,"MG Spencer, FJ DiSalvo, H Wu","US Patent 7,569,206",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=377591467918885598,40,2009
Photoluminescence and cathodoluminescence analyses of GaN powder doped with Eu,"H Wu, CB Poitras, M Lipson, MG Spencer, J Hunting, FJ DiSalvo","Applied physics letters 88 (1), 011921",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10108000703910108985,38,2006
Stable self-compliance resistive switching in AlOδ/Ta2O5− x/TaOy triple layer devices,"H Wu, X Li, F Huang, A Chen, Z Yu, H Qian","Nanotechnology 26 (3), 035203",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=510189876806506041,32,2015
Green emission from Er-doped GaN powder,"H Wu, CB Poitras, M Lipson, MG Spencer, J Hunting, FJ DiSalvo","Applied Physics Letters 86 (19), 191918",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2401677926365067750,32,2005
Distributions of conduction electrons as manifested in MAS NMR of gallium nitride,"JP Yesinowski, AP Purdy, H Wu, MG Spencer, J Hunting, FJ DiSalvo","Journal of the American Chemical Society 128 (15), 4952-4953",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5221483563209433685,31,2006
High-yield GaN nanowire synthesis and field-effect transistor fabrication,"H Wu, HY Cha, M Chandrashekhar, MG Spencer, G Koley","Journal of electronic materials 35 (4), 670-674",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15530312722943598271,31,2006
Competition between Metallic and Vacancy Defect Conductive Filaments in a CH,"Y Sun, M Tai, C Song, Z Wang, J Yin, F Li, H Wu, F Zeng, H Lin, F Pan","The Journal of Physical Chemistry C 122 (11), 6431-6436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2231780298416312428,30,2018
Resistive random access memory for future information processing system,"H Wu, XH Wang, B Gao, N Deng, Z Lu, B Haukness, G Bronner, H Qian","Proceedings of the IEEE 105 (9), 1770-1789",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9737285092181013062,29,2017
Double-balanced graphene integrated mixer with outstanding linearity,"H Lyu, H Wu, J Liu, Q Lu, J Zhang, X Wu, J Li, T Ma, J Niu, W Ren, ...","Nano letters 15 (10), 6677-6682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10526537618364191951,29,2015
The study of the effects of cooling conditions on high quality graphene growth by the APCVD method,"K Xiao, H Wu, H Lv, X Wu, H Qian","Nanoscale 5 (12), 5524-5529",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9120140882232777286,27,2013
Rapid synthesis of gallium nitride powder,"H Wu, J Hunting, K Uheda, L Lepak, P Konkapaka, FJ DiSalvo, ...","Journal of crystal growth 279 (3-4), 303-310",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15607989377506877715,27,2005
