Title,Authors,Platform,Cited_url,Cited_count,Year
Testing and modeling of soil-structure interface,"L Hu, J Pu","Journal of Geotechnical and Geoenvironmental Engineering 130 (8), 851-860",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11291751678469388331,182,2004
土与结构物接触面物理力学特性试验研究,胡黎明， 濮家骝,"岩土工程学报 23 (4), 431-435",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2981637438676027686,133,2001
Micro/nano-pore network analysis of gas flow in shale matrix,"P Zhang, L Hu, JN Meegoda, S Gao","Scientific reports 5, 13501",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=398998853833830253,92,2015
Physical modeling of air flow during air sparging remediation,"L Hu, X Wu, Y Liu, JN Meegoda, S Gao","Environmental science & technology 44 (10), 3883-3888",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=729184032072361795,56,2010
Application of damage model for soil–structure interface,"L Hu, JL Pu","Computers and Geotechnics 30 (2), 165-183",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2350702602969300544,45,2003
Application of ozone micro-nano-bubbles to groundwater remediation,"L Hu, Z Xia","Journal of Hazardous Materials 342, 446-453",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16963300678154572041,44,2018
Two methods for pore network of porous media,"S Gao, JN Meegoda, L Hu",International Journal for Numerical and Analytical Methods in Geomechanics …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1704337398875644400,44,2012
Recent research and applications in the use of electrokinetic geosynthetics,"C Jones, J Lamont-Black, S Glendinning, D Bergado, T Eng, A Fourie, ...","4th European Geosynthetics Conference, Edinburgh, UK, 1-30",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9435377939356056854,42,2008
Numerical model of electro-osmotic consolidation in clay,"LM Hu, WL Wu, H Wu","Géotechnique 62 (6), 537-541",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13041542852299509983,41,2012
Feasibility study on the application of coal gangue as landfill liner material,"H Wu, Q Wen, L Hu, M Gong, Z Tang","Waste Management 63, 161-171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2811098009072440270,36,2017
