Title,Authors,Platform,Cited_url,Cited_count,Year
"Quantum feedback: theory, experiments, and applications","J Zhang, Y Liu, RB Wu, K Jacobs, F Nori","Physics Reports 679, 1-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3760111346393694682,97,2017
Protecting coherence and entanglement by quantum feedback controls,"J Zhang, RB Wu, CW Li, TJ Tarn","IEEE Transactions on Automatic Control 55 (3), 619-633",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10320919648476801676,82,2010
Decoherence suppression via non-Markovian coherent feedback control,"SB Xue, RB Wu, WM Zhang, J Zhang, CW Li, TJ Tarn","Physical Review A 86 (5), 052304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=907113965523573027,71,2012
Control landscapes for observable preparation with open quantum systems,"R Wu, A Pechen, H Rabitz, M Hsieh, B Tsou","Journal of Mathematical Physics 49 (2), 022108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9284640259395182448,66,2008
Exploring the tradeoff between fidelity and time optimal control of quantum unitary transformations,"KWM Tibbetts, C Brif, MD Grace, A Donovan, DL Hocker, TS Ho, RB Wu, ...","Physical Review A 86 (6), 062309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17711476237902601623,65,2012
Smooth controllability of infinite-dimensional quantum-mechanical systems,"RB Wu, TJ Tarn, CW Li","Physical Review A 73 (1), 012719",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16468524866344630051,62,2006
Singularities of quantum control landscapes,"RB Wu, R Long, J Dominy, TS Ho, H Rabitz","Physical Review A 86 (1), 013405",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12004268208351692385,54,2012
Quantum coherent nonlinear feedback with applications to quantum optics on chip,"J Zhang, RB Wu, Y Liu, CW Li, TJ Tarn","IEEE Transactions on Automatic Control 57 (8), 1997-2008",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3738185131140225684,49,2012
Characterization of the critical submanifolds in quantum ensemble control landscapes,"R Wu, H Rabitz, M Hsieh","Journal of Physics A: Mathematical and Theoretical 41 (1), 015006",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3195564286497210206,46,2007
Control landscapes for two-level open quantum systems,"A Pechen, D Prokhorenko, R Wu, H Rabitz","Journal of Physics A: Mathematical and Theoretical 41 (4), 045205",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2694456707998097513,45,2008
Non-Markovian quantum input-output networks,"J Zhang, Y Liu, RB Wu, K Jacobs, F Nori","Physical Review A 87 (3), 032117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6049130429903760248,42,2013
Maximal suppression of decoherence in Markovian quantum systems,"J Zhang, CW Li, RB Wu, TJ Tarn, XS Liu","Journal of Physics A: Mathematical and General 38 (29), 6587",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11164091636212541866,40,2005
Controllable optical response by modifying the gain and loss of a mechanical resonator and cavity mode in an optomechanical system,"YL Liu, R Wu, J Zhang, ŞK Özdemir, L Yang, F Nori, Y Liu","Physical Review A 95 (1), 013843",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12230629454519649157,38,2017
Topology of the quantum control landscape for observables,"M Hsieh, R Wu, H Rabitz","The Journal of chemical physics 130 (10), 104109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=943008648084769307,38,2009
Comment on “are there traps in quantum control landscapes?”,"H Rabitz, TS Ho, R Long, R Wu, C Brif","Physical review letters 108 (19), 198901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12211573515371399918,36,2012
Control of quantum dynamics by optimized measurements,"F Shuang, M Zhou, A Pechen, R Wu, OM Shir, H Rabitz","Physical Review A 78 (6), 063422",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5025169893689665992,33,2008
Searching for quantum optimal control fields in the presence of singular critical points,"G Riviello, C Brif, R Long, RB Wu, KM Tibbetts, TS Ho, H Rabitz","Physical Review A 90 (1), 013404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11751206670989492509,31,2014
Asymptotically noise decoupling for Markovian open quantum systems,"J Zhang, RB Wu, CW Li, TJ Tarn, JW Wu","Physical Review A 75 (2), 022324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5620157464727537046,31,2007
Quantum Pareto optimal control,"R Chakrabarti, R Wu, H Rabitz","Physical Review A 78 (3), 033414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2062142429459521594,29,2008
Quantum internet using code division multiple access,"J Zhang, Y Liu, ŞK Özdemir, RB Wu, F Gao, XB Wang, L Yang, F Nori","Scientific reports 3, 2211",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8242932054783694085,28,2013
Role of controllability in optimizing quantum dynamics,"RB Wu, MA Hsieh, H Rabitz","Physical Review A 83 (6), 062306",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10110349251565303272,25,2011
Transition from weak to strong measurements by nonlinear quantum feedback control,"J Zhang, Y Liu, RB Wu, CW Li, TJ Tarn","Physical Review A 82 (2), 022101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7556995025715371370,24,2010
Quantum operation for a one-qubit system under a non-Markovian environment,"S Xue, J Zhang, R Wu, C Li, TJ Tarn","Journal of Physics B: Atomic, Molecular and Optical Physics 44 (15), 154016",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=839350319308144312,23,2011
Quantum multiobservable control,"R Chakrabarti, R Wu, H Rabitz","Physical Review A 77 (6), 063425",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10510990975198494505,23,2008
Optimal control theory for continuous-variable quantum gates,"R Wu, R Chakrabarti, H Rabitz","Physical Review A 77 (5), 052303",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10330471018338313252,23,2008
Explicitly solvable extremals of time optimal control for 2-level quantum systems,"R Wu, C Li, Y Wang","Physics Letters A 295 (1), 20-24",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10827709678786418750,23,2002
Searching for quantum optimal controls under severe constraints,"G Riviello, KM Tibbetts, C Brif, R Long, RB Wu, TS Ho, H Rabitz","Physical Review A 91 (4), 043401",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16125065891821545525,21,2015
Minimum-time selective control of homonuclear spins,"TM Zhang, RB Wu, FH Zhang, TJ Tarn, GL Long","IEEE Transactions on Control Systems Technology 23 (5), 2018-2025",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2131640318016813273,21,2015
Deterministic chaos can act as a decoherence suppressor,"J Zhang, Y Liu, WM Zhang, LA Wu, RB Wu, TJ Tarn","Physical Review B 84 (21), 214304",,21,2011
Deterministic chaos can act as a decoherence suppressor,"J Zhang, Y Liu, WM Zhang, LA Wu, RB Wu, TJ Tarn","Physical Review B 84 (21), 214304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5744098894275206248,21,2011
Topological and statistical properties of quantum control transition landscapes,"M Hsieh, R Wu, C Rosenthal, H Rabitz","Journal of Physics B: Atomic, Molecular and Optical Physics 41 (7), 074020",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=272606356690260534,21,2008
Experimental exploration over a quantum control landscape through nuclear magnetic resonance,"Q Sun, I Pelczer, G Riviello, RB Wu, H Rabitz","Physical Review A 89 (3), 033413",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=743712600046997431,20,2014
Near-time-optimal control for quantum systems,"QM Chen, RB Wu, TM Zhang, H Rabitz","Physical Review A 92 (6), 063415",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13319651877862893573,19,2015
Characterization of control noise effects in optimal quantum unitary dynamics,"D Hocker, C Brif, MD Grace, A Donovan, TS Ho, KM Tibbetts, R Wu, ...","Physical Review A 90 (6), 062309",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4165605788699197274,19,2014
Two-qubit gate operations in superconducting circuits with strong coupling and weak anharmonicity,"XY Lü, S Ashhab, W Cui, R Wu, F Nori","New Journal of Physics 14 (7), 073041",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3206568101115963584,19,2012
General unifying features of controlled quantum phenomena,"A Pechen, C Brif, R Wu, R Chakrabarti, H Rabitz","Physical Review A 82 (3), 030101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3856609532540969841,19,2010
The modelling of quantum control systems,"W Dong, R Wu, X Yuan, C Li, TJ Tarn","Science Bulletin 60 (17), 1493-1508",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1424572089236052154,18,2015
Hard three-loop corrections to hyperfine splitting in positronium and muonium,"MI Eides, VA Shelyuto","Physical Review D 92 (1), 013010","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3838593485625334114,14328373594437010830",18,2015
Spectral analysis and identification of noises in quantum systems,"RB Wu, TF Li, AG Kofman, J Zhang, YX Liu, YA Pashkin, JS Tsai, F Nori","Physical Review A 87 (2), 022324",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7577962829275069584,18,2013
Optimal control landscape for the generation of unitary transformations with constrained dynamics,"M Hsieh, R Wu, H Rabitz, D Lidar","Physical Review A 81 (6), 062352",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17858382742282686814,18,2010
Control of state localization in a two-level quantum system,"XS Liu, WZ Liu, RB Wu, GL Long","Journal of Optics B: Quantum and Semiclassical Optics 7 (2), 66",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3920632387078505670,18,2005
Experimental observation of saddle points over the quantum control landscape of a two-spin system,"Q Sun, I Pelczer, G Riviello, RB Wu, H Rabitz","Physical Review A 91 (4), 043412",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12506070653221858056,15,2015
Control landscapes are almost always trap free: A geometric assessment,"B Russell, H Rabitz, RB Wu","Journal of Physics A: Mathematical and Theoretical 50 (20), 205302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4427229622776413663,13,2017
Control problems in quantum systems,"RB Wu, J Zhang, CW Li, GL Long, TJ Tarn","Chinese science bulletin 57 (18), 2194-2199",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=914114394836509353,12,2012
Data-driven gradient algorithm for high-precision quantum control,"RB Wu, B Chu, DH Owens, H Rabitz","Physical Review A 97 (4), 042122",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2983171912064722670,11,2018
Phase-modulated photon antibunching in a two-level system coupled to two cavities,"C Wang, YL Liu, R Wu, Y Liu","Physical Review A 96 (1), 013818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9602320423591545122,11,2017
Witnessing the boundary between Markovian and non-Markovian quantum dynamics: a Green’s function approach,"S Xue, R Wu, TJ Tarn, IR Petersen","Quantum Information Processing 14 (7), 2657-2672",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14802570154232308115,11,2015
