Title,Authors,Platform,Cited_url,Cited_count,Year
Trends in extreme learning machines: A review,"G Huang, GB Huang, S Song, K You","Neural Networks 61, 32-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8209712180523251501,924,2015
Measurement of Higgs boson production and properties in the WW decay channel with leptonic final states,"S Chatrchyan, V Khachatryan, AM Sirunyan, A Tumasyan, W Adam, ...","Journal of High Energy Physics 2014 (1), 96","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7754926316451099821,12289628905119957135,5834119786630937715,17280125180252506009,8057356940663735706,9163067338515753138,8402657498057378290,8960893576597071756",888,2014
Semi-supervised and unsupervised extreme learning machines,"G Huang, S Song, JND Gupta, C Wu","IEEE transactions on cybernetics 44 (12), 2405-2417",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13365802263213236968,489,2014
"2, LIU Yansui1 (1. Institute of Geographic Sciences and Natural Resources Research, CAS, Beijing 100101, China; 2. Graduate University of Chinese Academy of Sciences, Beijing …","H LONG, Y LI",Acta Geographica Sinica 10,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3512559569618709606,2621265355757412728",313,2009
Stabilization of delay systems: delay-dependent impulsive control,"X Li, S Song","IEEE Transactions on Automatic Control 62 (1), 406-411",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17769150936271052418,256,2016
Targeted deletion of FATP5 reveals multiple functions in liver metabolism: alterations in hepatic lipid homeostasis,"H Doege, RA Baillie, AM Ortegon, B Tsang, Q Wu, S Punreddy, D Hirsch, ...","Gastroenterology 130 (4), 1245-1258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10083266375015900601,188,2006
Existence and uniqueness of solutions to Cauchy problem of fuzzy differential equations,"S Song, C Wu","Fuzzy sets and Systems 110 (1), 55-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7337527949139505512,180,2000
"Impulsive control for existence, uniqueness, and global stability of periodic solutions of recurrent neural networks with discrete and continuously distributed delays","X Li, S Song","IEEE Transactions on neural networks and learning systems 24 (6), 868-877",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11867465202411296545,174,2013
Sorption of reactive dyes from aqueous solutions by ordered hexagonal and disordered mesoporous carbons,"DD Asouhidou, KS Triantafyllidis, NK Lazaridis, KA Matis, SS Kim, ...","Microporous and Mesoporous Materials 117 (1-2), 257-267","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15264871964711807980,9484339698522501438",141,2009
Existence theorem to the Cauchy problem of fuzzy differential equations under compactness-type conditions,"W Congxin, S Shiji","Information Sciences 108 (1-4), 123-134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7380325512549503066,132,1998
"Approximate solutions, existence, and uniqueness of the Cauchy problem of fuzzy differential equations","C Wu, S Song, ES Lee","Journal of Mathematical Analysis and Applications 202 (2), 629-644",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14330755810199860663,111,1996
Effect of delayed impulses on input-to-state stability of nonlinear systems,"X Li, X Zhang, S Song","Automatica 76, 378-382",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14031165054230122214,106,2017
Carbon-efficient scheduling of flow shops by multi-objective optimization,"JY Ding, S Song, C Wu","European Journal of Operational Research 248 (3), 758-771",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15895149473570331890,95,2016
A hybrid artificial bee colony algorithm for the job shop scheduling problem,"R Zhang, S Song, C Wu","International Journal of Production Economics 141 (1), 167-178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8339837508508430916,95,2013
Independent research of China in science citation index expanded during 1980–2011,"HZ Fu, YS Ho","Journal of Informetrics 7 (1), 210-222","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3609118315052655845,1855945956135798360",79,2013
Global robust exponential stability of interval neural networks with delays,"C Sun, CB Feng","Neural Processing Letters 17 (1), 107-115",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17792407638090811841,79,2003
Triple Ⅰ method of fuzzy reasoning,"S Shiji, F Chunbo, ES Lee","Computers and Mathematics with Applications 44 (1), 567-1",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10794919106616052967,76,2002
An improved iterated greedy algorithm with a Tabu-based reconstruction strategy for the no-wait flowshop scheduling problem,"JY Ding, S Song, JND Gupta, R Zhang, R Chiong, C Wu","Applied Soft Computing 30, 604-613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9204442324796318346,75,2015
Supply chain coordination of loss-averse newsvendor with contract,"L Zhang, S Song, C Wu","Tsinghua Science and Technology 10 (2), 133-140",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14133564539862278516,73,2005
Parallel machine scheduling under time-of-use electricity prices: New models and optimization approaches,"JY Ding, S Song, R Zhang, R Chiong, C Wu","IEEE Transactions on Automation Science and Engineering 13 (2), 1138-1154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8782306798571734168,70,2015
Impact of loss aversion on the newsvendor game with product substitution,"W Liu, S Song, C Wu","International Journal of Production Economics 141 (1), 352-359",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15131294045604844856,69,2013
Global existence of solutions to fuzzy differential equations,"S Song, L Guo, C Feng","Fuzzy Sets and Systems 115 (3), 371-376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6338121526904289281,68,2000
Detecting link spam using temporal information,"G Shen, B Gao, TY Liu, G Feng, S Song, H Li","Sixth International Conference on Data Mining (ICDM'06), 1049-1053",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1372311415181236610,66,2006
"Keyou You, Trends in extreme learning machines","G Huang, GB Huang, S Song","Neural Networks 61, 32-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8368003674169971774,65,0
Research on synchronization of chaotic delayed neural networks with stochastic perturbation using impulsive control method,"X Li, S Song","Communications in Nonlinear Science and Numerical Simulation 19 (10), 3892-3900",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8834089050397616307,63,2014
Improved Realtime State-of-Charge Estimation of LiFePO ,"C Zhang, K Li, J Deng, S Song","IEEE Transactions on Industrial Electronics 64 (1), 654-663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8899049953732581890,50,2016
Reverse triple I method of fuzzy reasoning,"S Song, C Wu","Science in China Series F Information Sciences 45 (5), 344-364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9908281300951721284,50,2002
