Title,Authors,Platform,Cited_url,Cited_count,Year
An improved mass transfer based model for analyzing VOC emissions from building materials,"Y Xu, Y Zhang","Atmospheric Environment 37 (18), 2497-2505",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3650215502359513261,217,2003
Predicting emissions of SVOCs from polymeric materials and their interaction with airborne particles,"Y Xu, JC Little","Environmental science & technology 40 (2), 456-461",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10245776694865256441,182,2006
Predicting residential exposure to phthalate plasticizer emitted from vinyl flooring: a mechanistic analysis,"Y Xu, EA Cohen Hubal, PA Clausen, JC Little","Environmental Science & Technology 43 (7), 2374-2380",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13046091725856267559,153,2009
A general model for analyzing single surface VOC emission characteristics from building materials and its application,"Y Xu, Y Zhang","Atmospheric Environment 38 (1), 113-119",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13512361561719411677,113,2004
"Predicting residential exposure to phthalate plasticizer emitted from vinyl flooring: sensitivity, uncertainty, and implications for biomonitoring","Y Xu, EA Cohen Hubal, JC Little","Environmental Health Perspectives 118 (2), 253-258",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4862275217780426351,105,2009
Measuring and predicting the emission rate of phthalate plasticizer from vinyl flooring in a specially-designed chamber,"Y Xu, Z Liu, J Park, PA Clausen, JL Benning, JC Little","Environmental science & technology 46 (22), 12534-12541",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6004623622508504826,91,2012
Characteristics and correlations of VOC emissions from building materials,"Y Zhang, Y Xu","International Journal of Heat and Mass Transfer 46 (25), 4877-4883",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2024489732531944960,84,2003
"Indoor phthalate concentration and exposure in residential and office buildings in Xi'an, China","X Wang, W Tao, Y Xu, J Feng, F Wang","Atmospheric environment 87, 146-152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9931732460506181055,78,2014
Influence of air flow rate on emission of DEHP from vinyl flooring in the emission cell FLEC: Measurements and CFD simulation,"PA Clausen, Z Liu, Y Xu, V Kofoed-Sørensen, JC Little","Atmospheric Environment 44 (23), 2760-2766",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1937450496561119307,64,2010
The influence of humidity on the emission of di-(2-ethylhexyl) phthalate (DEHP) from vinyl flooring in the emission cell “FLEC”,"PA Clausen, Y Xu, V Kofoed-Sørensen, JC Little, P Wolkoff","Atmospheric Environment 41 (15), 3217-3224",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7416150635897694286,64,2007
Improved method for measuring and characterizing phthalate emissions from building materials and its application to exposure assessment,"Y Liang, Y Xu","Environmental science & technology 48 (8), 4475-4484",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2351193184345295390,62,2014
Fate and transport of phthalates in indoor environments and the influence of temperature: a case study in a test house,"C Bi, Y Liang, Y Xu","Environmental science & technology 49 (16), 9674-9681",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7935482014355608315,59,2015
Emission of phthalates and phthalate alternatives from vinyl flooring and crib mattress covers: the influence of temperature,"Y Liang, Y Xu","Environmental science & technology 48 (24), 14228-14237",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16762144645948416782,55,2014
Infant exposure to emissions of volatile organic compounds from crib mattresses,"BE Boor, H Järnström, A Novoselac, Y Xu","Environmental science & technology 48 (6), 3541-3549",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7637336465420126246,33,2014
Understanding SVOCs,"Y Xu, J Zhang",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=744352949617072311,30,2011
The influence of surface sorption and air flow rate on phthalate emissions from vinyl flooring: measurement and modeling,"Y Liang, Y Xu","Atmospheric Environment 103, 147-155",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4285974043905235402,28,2015
Predicting the migration rate of dialkyl organotins from PVC pipe into water,"WA Adams, Y Xu, JC Little, AF Fristachi, GE Rice, CA Impellitteri","Environmental science & technology 45 (16), 6902-6907",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3824064256643115608,27,2011
Human exposure to indoor air pollutants in sleep microenvironments: A literature review,"BE Boor, MP Spilak, J Laverge, A Novoselac, Y Xu","Building and Environment 125, 528-555",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8150128118050097563,22,2017
A reference method for measuring emissions of SVOCs in small chambers,"Y Wu, SS Cox, Y Xu, Y Liang, D Won, X Liu, PA Clausen, L Rosell, ...","Building and Environment 95, 126-132",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7933861717667292154,22,2016
"Semi‐volatile organic compounds in heating, ventilation, and air‐conditioning filter dust in retail stores","Y Xu, Y Liang, JR Urquidi, JA Siegel","Indoor air 25 (1), 79-92",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8550843717481017581,22,2015
Large-scale chamber investigation and simulation of phthalate emissions from vinyl flooring,"Y Liang, O Caillot, J Zhang, J Zhu, Y Xu","Building and Environment 89, 141-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13819236413990543132,18,2015
"Identification of phthalate and alternative plasticizers, flame retardants, and unreacted isocyanates in infant crib mattress covers and foam","BE Boor, Y Liang, NE Crain, H Järnström, A Novoselac, Y Xu","Environmental Science & Technology Letters 2 (4), 89-94",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2577862013645496271,18,2015
"Phthalates and organophosphates in settled dust and HVAC filter dust of US low-income homes: Association with season, building characteristics, and childhood asthma","C Bi, JP Maestre, H Li, G Zhang, R Givehchi, A Mahdavi, KA Kinney, ...","Environment international 121, 916-930",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7118546257465449470,17,2018
Phthalates and polybrominated diphenyl ethers in retail stores,"Y Xu, Y Liang, JR Urquidi, JA Siegel","Atmospheric environment 87, 53-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4912005586880011106,17,2014
Using probabilistic modeling to evaluate human exposure to organotin in drinking water transported by polyvinyl chloride pipe,"A Fristachi, Y Xu, G Rice, CA Impellitteri, H Carlson‐Lynch, JC Little","Risk Analysis: An International Journal 29 (11), 1615-1628",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7603510181543641865,16,2009
"Phthalates in dust collected from various indoor environments in Beijing, China and resulting non-dietary human exposure","L Wang, M Gong, Y Xu, Y Zhang","Building and Environment 124, 315-322",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18112983732039157475,13,2017
Mathematical model for simulation of VOC emissions and concentrations in buildings,"T Cheng, Y Jiang, Y Xu, Y Zhang","Atmospheric Environment 36 (32), 5025-5030",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14825176227427411420,13,2002
"Levels, occurrence and human exposure to novel brominated flame retardants (NBFRs) and Dechlorane Plus (DP) in dust from different indoor environments in Hangzhou, China","J Sun, Y Xu, H Zhou, A Zhang, H Qi","Science of the Total Environment 631, 1212-1220",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9835331146131628582,10,2018
Transient method for determining indoor chemical concentrations based on SPME: model development and calibration,"J Cao, J Xiong, L Wang, Y Xu, Y Zhang","Environmental science & technology 50 (17), 9452-9459",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14178546377982756564,9,2016
Modeling and analysis of sampling artifacts in measurements of gas-particle partitioning of semivolatile organic contaminants using filter-sorbent samplers,"X Wang, C Bi, Y Xu","Atmospheric Environment 117, 99-109",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8779516641582215291,9,2015
Quantitative filter forensics with residential HVAC filters to assess indoor concentrations,"R Givehchi, JP Maestre, C Bi, D Wylie, Y Xu, KA Kinney, JA Siegel","Indoor air 29 (3), 390-402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13220821896859774321,4,2019
A general mechanistic model for predicting the fate and transport of phthalates in indoor environments,"Y Liang, C Bi, X Wang, Y Xu","Indoor air 29 (1), 55-69",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12459068015409913470,3,2019
Characterizing emissions of di-2-ethylhexyl phthalate from vinyl flooring in a specially-designed chamber,"Z Liu, Y Xu, JC Little",Indoor Air,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1743751264747434303,3,2011
Indoor Residential Fate Model of Phthalate Plasticizers,"Y Xu, Y Liang",Proceedings of the 10th International Conference of Healthy Buildings,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6392732578195388272,3,2011
Characterizing emissions of phthalate plasticizer from vinyl flooring in a specially-designed SVOC emission chamber,"Y Xu, J Park, PA Clausen, V Kofoed-Sørensen, JC Little","Emissions of Phthalate Plasticizer from Polymeric Building Materials, 45",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16479179593034141882,3,2009
Phthalates uptake by settled dust on polyvinyl chloride flooring and the influence of temperature,"C Bi, Y Xu",Proceedings of the 14th International Conference of Indoor Air Quality and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3324222836166632536,2,2016
Emissions of Phthalate Plasticizer from Polymeric Building Materials,Y Xu,Virginia Tech,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7683996954400987984,2,2009
Gas-phase exposure history derived from material-phase concentration profiles,"GC Morrison, JC Little, Y Xu, M Rao, D Enke","Atmospheric Environment 41 (15), 3276-3286",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13533108277732942858,2,2007
"Semi-volatile organic compounds in indoor settled and HVAC filter dust: Association with seasons, childhood asthma and building characteristics","C Bi, J Maestre, K Kinney, J Siegel, S Horner, Y Xu","Healthy Buildings Europe 2017, HB 2017",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5105180743214592605,1,2017
"New and used crib mattresses as a source of volatile organic compounds, phthalate and alternative plasticizers, and other chemical species in the infant sleep microenvironment","BE Boor, Y Liang, NE Crain, H Järnström, A Novoselac, Y Xu","13th International Conference on Indoor Air Quality and Climate, Indoor Air …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4642513788490463687,1,2014
"Non-dietary exposure to phthalates for pre-school children in kindergarten in Beijing, China","L Wang, Z Wu, M Gong, Y Xu, Y Zhang","Building and Environment 167, 106438",,0,2020
Accumulation of di-2-ethylhexyl phthalate from polyvinyl chloride flooring into settled house dust and the effect on the bacterial community,"S Velazquez, C Bi, J Kline, S Nunez, R Corsi, Y Xu, SL Ishaq","PeerJ 7, e8147",,0,2019
From one species to another: A review on the interaction of chemistry and microbiology in relation to cleaning in the built environment,"S Velazquez, W Griffiths, L Dietz, P Horve, S Nunez, J Hu, J Shen, M Fretz, ...",Indoor air,,0,2019
Semi-volatile organic compounds in indoor air and dust in US High Schools,"H Li, C Bi, NE Crain, A Novoselac, K Kinney, RL Corsi, Y Xu","Healthy Buildings Europe 2017, HB 2017",,0,2017
Pollutant exposures and asthma: What can hvac filter dust tell us?,"JP Maestre, S Dedesko, K Royse, Y Xu, S Horner, J Siegel, K Kinney",Healthy Buildings 2015 America Conference: Innovation in a Time of Energy …,,0,2015
