Title,Authors,Platform,Cited_url,Cited_count,Year
Ultrafine jagged platinum nanowires enable ultrahigh mass activity for the oxygen reduction reaction,"M Li, Z Zhao, T Cheng, A Fortunelli, CY Chen, R Yu, Q Zhang, L Gu, ...","Science 354 (6318), 1414-1419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5603957575469413867,524,2016
Ultrahigh Energy Density of Polymer Nanocomposites Containing BaTiO,"X Zhang, Y Shen, Q Zhang, L Gu, Y Hu, J Du, Y Lin, CW Nan","Advanced Materials 27 (5), 819-824",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1451847436273697697,276,2015
Giant energy density and improved discharge efficiency of solution‐processed polymer nanocomposites for dielectric energy storage,"X Zhang, Y Shen, B Xu, Q Zhang, L Gu, J Jiang, J Ma, Y Lin, CW Nan","Advanced Materials 28 (10), 2055-2061",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11548418258250752678,252,2016
Electric-field control of tri-state phase transformation with a selective dual-ion switch,"N Lu, P Zhang, Q Zhang, R Qiao, Q He, HB Li, Y Wang, J Guo, D Zhang, ...","Nature 546 (7656), 124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5423896919363218139,218,2017
Oxide‐modified nickel photocatalysts for the production of hydrocarbons in visible light,"Y Zhao, B Zhao, J Liu, G Chen, R Gao, S Yao, M Li, Q Zhang, L Gu, J Xie, ...","Angewandte Chemie International Edition 55 (13), 4215-4219",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1313765457351285414,132,2016
Direct observation of noble metal nanoparticles transforming to thermally stable single atoms,"S Wei, A Li, JC Liu, Z Li, W Chen, Y Gong, Q Zhang, WC Cheong, Y Wang, ...","Nature nanotechnology 13 (9), 856",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=527952125600977432,103,2018
Notch1 signaling sensitizes tumor necrosis factor-related apoptosis-inducing ligand-induced apoptosis in human hepatocellular carcinoma cells by inhibiting Akt/Hdm2-mediated …,"C Wang, R Qi, N Li, Z Wang, H An, Q Zhang, Y Yu, X Cao","Journal of Biological Chemistry 284 (24), 16183-16190",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5881902290541919496,103,2009
Notch signal suppresses Toll-like receptor-triggered inflammatory responses in macrophages by inhibiting extracellular signal-regulated kinase 1/2-mediated nuclear factor κB …,"Q Zhang, C Wang, Z Liu, X Liu, C Han, X Cao, N Li","Journal of Biological Chemistry 287 (9), 6208-6217",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14364317996801718118,102,2012
A Self‐Forming Composite Electrolyte for Solid‐State Sodium Battery with Ultralong Cycle Life,"Z Zhang, Q Zhang, J Shi, YS Chu, X Yu, K Xu, M Ge, H Yan, W Li, L Gu, ...","Advanced Energy Materials 7 (4), 1601196",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16554544565520388091,82,2017
Systematic design of superaerophobic nanotube-array electrode comprised of transition-metal sulfides for overall water splitting,"H Li, S Chen, Y Zhang, Q Zhang, X Jia, Q Zhang, L Gu, X Sun, L Song, ...","Nature communications 9 (1), 2452",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12029968493636966941,78,2018
Giant energy density and high efficiency achieved in bismuth ferrite-based film capacitors via domain engineering,"H Pan, J Ma, J Ma, Q Zhang, X Liu, B Guan, L Gu, X Zhang, YJ Zhang, L Li, ...","Nature communications 9 (1), 1813",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15293969309078425354,75,2018
Ru Modulation Effects in the Synthesis of Unique Rod-like Ni@Ni,"Y Liu, S Liu, Y Wang, Q Zhang, L Gu, S Zhao, D Xu, Y Li, J Bao, Z Dai","Journal of the American Chemical Society 140 (8), 2731-2734",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12713843395301212519,73,2018
Ruthenium–platinum core–shell nanocatalysts with substantially enhanced activity and durability towards methanol oxidation,"J Xie, Q Zhang, L Gu, S Xu, P Wang, J Liu, Y Ding, YF Yao, C Nan, ...","Nano Energy 21, 247-257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11301647671925007989,71,2016
Five-Fold Twinned Pd,"S Liu, Q Zhang, Y Li, M Han, L Gu, C Nan, J Bao, Z Dai","Journal of the American Chemical Society 137 (8), 2820-2823",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14354185220669077563,63,2015
Experimental realization of an intrinsic magnetic topological insulator,"Y Gong, J Guo, J Li, K Zhu, M Liao, X Liu, Q Zhang, L Gu, L Tang, X Feng, ...","Chinese Physics Letters 36 (7), 076801",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=813431360413206255,61,2019
Phase Modulation of (1T‐2H)‐MoSe2/TiC‐C Shell/Core Arrays via Nitrogen Doping for Highly Efficient Hydrogen Evolution Reaction,"S Deng, F Yang, Q Zhang, Y Zhong, Y Zeng, S Lin, X Wang, X Lu, ...","Advanced Materials 30 (34), 1802223",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14520582951183842663,61,2018
Crystal Phase and Architecture Engineering of Lotus‐Thalamus‐Shaped Pt‐Ni Anisotropic Superstructures for Highly Efficient Electrochemical Hydrogen Evolution,"Z Zhang, G Liu, X Cui, B Chen, Y Zhu, Y Gong, F Saleem, S Xi, Y Du, ...","Advanced Materials 30 (30), 1801741",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12459558805755413562,54,2018
Detection of a superconducting phase in a two-atom layer of hexagonal Ga film grown on semiconducting GaN (0001),"HM Zhang, Y Sun, W Li, JP Peng, CL Song, Y Xing, Q Zhang, J Guan, Z Li, ...","Physical review letters 114 (10), 107003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4176152500412153649,53,2015
Self‐Limited on‐Site Conversion of MoO,"LB Huang, L Zhao, Y Zhang, YY Chen, QH Zhang, H Luo, X Zhang, ...","Advanced Energy Materials 8 (21), 1800734",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1550674669828688769,51,2018
Temporary formation of highly conducting domain walls for non-destructive read-out of ferroelectric domain-wall resistance switching memories,"J Jiang, ZL Bai, ZH Chen, L He, DW Zhang, QH Zhang, JA Shi, MH Park, ...","Nature materials 17 (1), 49",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12195903090299400936,51,2018
Giant linear anomalous Hall effect in the perpendicular CoFeB thin films,"T Zhu, P Chen, QH Zhang, RC Yu, BG Liu","Applied Physics Letters 104 (20), 202404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17398026138911755900,50,2014
Direct observation of interlocked domain walls in hexagonal ,"QH Zhang, LJ Wang, XK Wei, RC Yu, L Gu, A Hirata, MW Chen, CQ Jin, ...","Physical Review B 85 (2), 020102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15291086282954402257,48,2012
In Situ Atomic-Scale Observation of Electrochemical Delithiation Induced Structure Evolution of LiCoO,"Y Gong, J Zhang, L Jiang, JA Shi, Q Zhang, Z Yang, D Zou, J Wang, X Yu, ...","Journal of the American Chemical Society 139 (12), 4274-4277",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15606449712941930699,46,2017
Molecular Beam Epitaxy‐Grown SnSe in the Rock‐Salt Structure: An Artificial Topological Crystalline Insulator Material,"Z Wang, J Wang, Y Zang, Q Zhang, JA Shi, T Jiang, Y Gong, CL Song, ...","Advanced Materials 27 (28), 4150-4154",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8411006397337552679,46,2015
"Structure, electrical and magnetic property investigations on dense Fe-doped hexagonal BaTiO","XK Wei, YT Su, Y Sui, QH Zhang, Y Yao, CQ Jin, RC Yu","Journal of Applied Physics 110 (11), 114112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10380916958236265992,46,2011
Structural evolution induced by acceptor doping into BaTiO3 ceramics,"XK Wei, QH Zhang, FY Li, CQ Jin, RC Yu","Journal of Alloys and Compounds 508 (2), 486-493",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14021520600398540438,43,2010
Electrochemiluminescence tuned by electron–hole recombination from symmetry-breaking in wurtzite ZnSe,"S Liu, Q Zhang, L Zhang, L Gu, G Zou, J Bao, Z Dai","Journal of the American Chemical Society 138 (4), 1154-1157",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2972132153516222647,42,2016
Endogenous human CaMKII inhibitory protein suppresses tumor growth by inducing cell cycle arrest and apoptosis through down-regulation of the phosphatidylinositide 3-kinase/Akt …,"S Ma, Y Yang, C Wang, N Hui, L Gu, H Zhong, Z Cai, Q Wang, Q Zhang, ...","Journal of Biological Chemistry 284 (37), 24773-24782",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4102381788865329455,39,2009
Constructing NiCo/Fe,"X Wang, H Xiao, A Li, Z Li, S Liu, Q Zhang, Y Gong, L Zheng, Y Zhu, ...","Journal of the American Chemical Society 140 (45), 15336-15341",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13947724284086322208,37,2018
Direct Observation of Multiferroic Vortex Domains in YMnO,"Q Zhang, G Tan, L Gu, Y Yao, C Jin, Y Wang, X Duan, R Yu","Scientific reports 3, 2741",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15685865630433670185,36,2013
"Controllable conductive readout in self-assembled, topologically confined ferroelectric domain walls","J Ma, J Ma, Q Zhang, R Peng, J Wang, C Liu, M Wang, N Li, M Chen, ...","Nature nanotechnology 13 (10), 947",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12408609610504277996,35,2018
Polar Solvent Induced Lattice Distortion of Cubic CsPbI,"JK Sun, S Huang, XZ Liu, Q Xu, QH Zhang, WJ Jiang, DJ Xue, JC Xu, ...","Journal of the American Chemical Society 140 (37), 11705-11715",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11375095187541838864,35,2018
Unlocking the energy capabilities of micron-sized LiFePO,"L Guo, Y Zhang, J Wang, L Ma, S Ma, Y Zhang, E Wang, Y Bi, D Wang, ...","Nature communications 6, 7898",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18027561240229134860,35,2015
Improving the electrochemical performances of Li-rich Li1. 20Ni0. 13Co0. 13Mn0. 54O2 through a cooperative doping of Na+ and PO43− with Na3PO4,"Y Liu, D Ning, L Zheng, Q Zhang, L Gu, R Gao, J Zhang, A Franz, ...","Journal of Power Sources 375, 1-10",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11210876763749643509,34,2018
The Origin of Oxygen Vacancies Controlling La,"H Guo, J Wang, X He, Z Yang, Q Zhang, K Jin, C Ge, R Zhao, L Gu, ...","Advanced Materials Interfaces 3 (5), 1500753",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5365893015284225026,33,2016
Arc‐Melting to Narrow the Bandgap of Oxide Semiconductors,"G Ou, D Li, W Pan, Q Zhang, B Xu, L Gu, C Nan, H Wu","Advanced Materials 27 (16), 2589-2594",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9153521937885043747,33,2015
Reductive Transformation of Layered‐Double‐Hydroxide Nanosheets to Fe‐Based Heterostructures for Efficient Visible‐Light Photocatalytic Hydrogenation of CO,"Y Zhao, Z Li, M Li, J Liu, X Liu, GIN Waterhouse, Y Wang, J Zhao, W Gao, ...","Advanced Materials 30 (36), 1803127",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3429074280000371910,32,2018
