Title,Authors,Platform,Cited_url,Cited_count,Year
Radio link quality estimation in wireless sensor networks: A survey,"N Baccour, A Koubâa, L Mottola, MA Zúñiga, H Youssef, CA Boano, ...","ACM Transactions on Sensor Networks (TOSN) 8 (4), 34","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6477025967316192950,12585488211109045252",597,2012
Energy-efficient opportunistic routing in wireless sensor networks,"X Mao, S Tang, X Xu, XY Li, H Ma","IEEE transactions on parallel and distributed systems 22 (11), 1934-1942",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5150758842647135148,276,2011
Incentives for mobile crowd sensing: A survey,"X Zhang, Z Yang, W Sun, Y Liu, S Tang, K Xing, X Mao","IEEE Communications Surveys & Tutorials 18 (1), 54-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2768927323512552979,252,2015
A delay-efficient algorithm for data aggregation in multihop wireless sensor networks,"XH Xu, XY Li, XF Mao, S Tang, SG Wang","IEEE transactions on parallel and distributed systems 22 (1), 163-175",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12147529881682904888,240,2010
CitySee: Urban CO,"X Mao, X Miao, Y He, XY Li, Y Liu","2012 Proceedings IEEE INFOCOM, 1611-1619",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14200428534116686126,226,2012
Privacy-preserving data aggregation without secure channel: Multivariate polynomial evaluation,"T Jung, XF Mao, XY Li, SJ Tang, W Gong, L Zhang","2013 Proceedings IEEE INFOCOM, 2634-2642",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8730091803615640574,121,2013
Exploiting constructive interference for scalable flooding in wireless networks,"Y Wang, Y He, X Mao, Y Liu, XY Li","IEEE/ACM Transactions on Networking 21 (6), 1880-1889",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1130654447167920451,93,2013
Multicast capacity for hybrid wireless networks,"XF Mao, XY Li, SJ Tang",Proceedings of the 9th ACM international symposium on Mobile ad hoc …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3155224226196829679,76,2008
Relationship classification in large scale online social networks and its impact on information propagation,"S Tang, J Yuan, X Mao, XY Li, W Chen, G Dai","2011 Proceedings IEEE INFOCOM, 2291-2299",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17727579989354554703,70,2011
Strong barrier coverage in directional sensor networks,"D Tao, S Tang, H Zhang, X Mao, H Ma","Computer Communications 35 (8), 895-905",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6650445183915432795,67,2012
S2M: A lightweight acoustic fingerprints-based wireless device authentication protocol,"D Chen, N Zhang, Z Qin, X Mao, Z Qin, X Shen, XY Li","IEEE Internet of Things Journal 4 (1), 88-100",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16541097445814614704,65,2016
