Title,Authors,Platform,Cited_url,Cited_count,Year
Dynamic Dissipative Cooling of a Mechanical Resonator in Strong Coupling Optomechanics,"YC Liu, YF Xiao, X Luan, CW Wong","Physical Review Letters 110 (15), 153606",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13049529875839043399,142,2013
Strongly enhanced light-matter interaction in a hybrid photonic-plasmonic resonator,"YF Xiao, YC Liu, BB Li, YL Chen, Y Li, Q Gong","Physical Review A 85 (3), 031805",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9299729434859537657,115,2012
Spin squeezing in a generalized one-axis twisting model,"GR Jin, YC Liu, WM Liu","New Journal of Physics 11, 073049",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15288134719710531665,108,2009
Experimental observation of Fano resonance in a single whispering-gallery microresonator,"BB Li, YF Xiao, CL Zou, YC Liu, XF Jiang, YL Chen, Y Li, Q Gong","Applied Physics Letters 98 (2), 021116",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15815030256442089709,101,2011
Spin Squeezing: Transforming One-Axis Twisting into Two-Axis Twisting,"YC Liu, ZF Xu, GR Jin, L You","Physical Review Letters 107 (1), 13601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13395937660606595645,91,2011
Experimental controlling of Fano resonance in indirectly coupled whispering-gallery microresonators,"BB Li, YF Xiao, CL Zou, XF Jiang, YC Liu, FW Sun, Y Li, Q Gong","Applied Physics Letters 100 (2), 021108",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7165429259784784980,90,2012
Review of cavity optomechanical cooling,"L Yong-Chun, H Yu-Wen, WC Wei, X Yun-Feng","Chinese Physics B 22 (11), 114213-114213",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12217881824716881824,78,2013
Multiple-Rayleigh-scatterer-induced mode splitting in a high-Q whispering-gallery-mode microresonator,"X Yi, YF Xiao, YC Liu, BB Li, YL Chen, Y Li, Q Gong","Physical Review A 83 (2), 023803",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15839460893102037578,68,2011
Asymmetric Fano resonance analysis in indirectly coupled microresonators,"YF Xiao, M Li, YC Liu, Y Li, X Sun, Q Gong","Physical Review A 82 (6), 065804",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3914006365021587624,63,2010
Parametric Down-Conversion and Polariton Pair Generation in Optomechanical Systems,"YC Liu, YF Xiao, YL Chen, XC Yu, Q Gong","Physical review letters 111 (8), 083601",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16341036840776977198,56,2013
Coupled cavities for motional ground-state cooling and strong optomechanical coupling,"YC Liu, YF Xiao, X Luan, Q Gong, CW Wong","Physical Review A 91 (3), 033818",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8397240427412445108,51,2015
Coherent Polariton Dynamics in Coupled Highly Dissipative Cavities,"YC Liu, X Luan, HK Li, Q Gong, CW Wong, YF Xiao","Physical Review Letters 112 (21), 213602",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1968087988549202708,50,2014
Coupling of a single diamond nanocrystal to a whispering-gallery microcavity: Photon transport benefitting from Rayleigh scattering,"YC Liu, YF Xiao, BB Li, XF Jiang, Y Li, Q Gong","Physical Review A 84 (1), 011805",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13400202714146878824,49,2011
Cooling of macroscopic mechanical resonators in hybrid atom-optomechanical systems,"X Chen, YC Liu, P Peng, Y Zhi, YF Xiao","Physical Review A 92 (3), 033841",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6825374276814992779,48,2015
Enhancing coherent light-matter interactions through microcavity-engineered plasmonic resonances,"P Peng, YC Liu, D Xu, QT Cao, G Lu, Q Gong, YF Xiao","Physical review letters 119 (23), 233901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13092510047244707509,43,2017
Optomechanical sensing with on-chip microcavities,"YW Hu, YF Xiao, YC Liu, Q Gong","Frontiers of Physics 8 (5), 475-490",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15509397319569112797,43,2013
Optomechanically-induced-transparency cooling of massive mechanical resonators to the quantum ground state,"YC Liu, YF Xiao, X Luan, CW Wong","Science China Physics, Mechanics & Astronomy 58 (5), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5274123751476616898,41,2015
Electromagnetically induced transparency in optical microcavities,"YC Liu, BB Li, YF Xiao","Nanophotonics 6 (5), 789-811",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7981466571599273936,39,2017
Hybrid Quantum Device Based on ,"PB Li, YC Liu, SY Gao, ZL Xiang, P Rabl, YF Xiao, FL Li","Physical Review Applied 4 (4), 044003",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16310894313615911510,39,2015
Mode broadening induced by nanoparticles in an optical whispering-gallery microcavity,"Y Hu, L Shao, S Arnold, YC Liu, CY Ma, YF Xiao","Physical Review A 90 (4), 043847",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9431404836119638623,38,2014
