Title,Authors,Platform,Cited_url,Cited_count,Year
Integrating environmental impact minimization into conceptual chemical process design—a process systems engineering review,"Y Yang, L Shi","Computers & Chemical Engineering 24 (2-7), 1409-1419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3996046162741975979,79,2000
Sustainable local development and environmental governance: A strategic planning experience,"G Ioppolo, S Cucurachi, R Salomone, G Saija, L Shi","Sustainability 8 (2), 180",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15761240584729423754,76,2016
"Substance flow analysis of aluminium in mainland China for 2001, 2004 and 2007: Exploring its initial sources, eventual sinks and the pathways linking them","W Chen, L Shi, Y Qian","Resources, Conservation and Recycling 54 (9), 557-570","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13121735196932975612,10083850055262110031",76,2010
Study on multi-objective genetic algorithm,"Y Gao, L Shi, P Yao",Proceedings of the 3rd World Congress on Intelligent Control and Automation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9260074110161659180,76,2000
Improving enterprise competitive advantage with industrial symbiosis: case study of a smeltery in China,"Z Yuan, L Shi","Journal of Cleaner Production 17 (14), 1295-1302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=945637806892230445,73,2009
Effects of eco-innovation typology on its performance: Empirical evidence from Chinese enterprises,"Y Dong, X Wang, J Jin, Y Qiao, L Shi","Journal of Engineering and Technology Management 34, 78-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8610388384019467454,69,2014
The eco-efficiency of pulp and paper industry in China: an assessment based on slacks-based measure and Malmquist–Luenberger index,"C Yu, L Shi, Y Wang, Y Chang, B Cheng","Journal of cleaner Production 127, 511-521",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8272715416740570656,64,2016
Future paper based printed circuit boards for green electronics: fabrication and life cycle assessment,"J Liu, C Yang, H Wu, Z Lin, Z Zhang, R Wang, B Li, F Kang, L Shi, ...","Energy & Environmental Science 7 (11), 3674-3682",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10917575780650021973,64,2014
Analysis of aluminum stocks and flows in mainland China from 1950 to 2009: exploring the dynamics driving the rapid increase in China's aluminum production,"WQ Chen, L Shi","Resources, Conservation and Recycling 65, 18-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14763561769944880343,61,2012
Material flow analysis in Guiyang [J],"Y XU, TZ Zhang, L Shi, J CHEN",Journal of Tsinghua University (Science and Technology) 12,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16621982034174232755,46,2004
Estimating carbon emissions from the pulp and paper industry: A case study,"Y Wang, X Yang, M Sun, L Ma, X Li, L Shi","Applied energy 184, 779-789",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13671233884104584811,42,2016
"Low-carbon transition of iron and steel industry in China: carbon intensity, economic growth and policy intervention","B Yu, X Li, Y Qiao, L Shi","Journal of Environmental Sciences 28, 137-147",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9590447219151896089,38,2015
Improving corporate sustainable development by using an interdependent closed-loop hierarchical structure,"L Shi, KJ Wu, ML Tseng","Resources, Conservation and Recycling 119, 24-35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2082012478053748415,35,2017
"Uncovering energy use, carbon emissions and environmental burdens of pulp and paper industry: A systematic review and meta-analysis","M Sun, Y Wang, L Shi, JJ Klemeš","Renewable and Sustainable Energy Reviews 92, 823-833",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14704991475678716497,34,2018
Urban cross-sector actions for carbon mitigation with local health co-benefits in China,"A Ramaswami, K Tong, A Fang, RM Lal, AS Nagpure, Y Li, H Yu, D Jiang, ...","Nature Climate Change 7 (10), 736",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15424110740490045903,34,2017
"Vapor pressure of 1, 1, 1, 2, 3, 3, 3-heptafluoropropane","L Shi, YY Duan, MS Zhu, LZ Han, X Lei","Fluid phase equilibria 163 (1), 109-117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6436715699596870384,34,1999
Quantifying CO2 emission reduction from industrial symbiosis in integrated steel mills in China,"B Yu, X Li, L Shi, Y Qian","Journal of Cleaner Production 103, 801-810",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16621262320412586531,30,2015
Eco-industrial parks from strategic niches to development mainstream: The cases of China,"L Shi, B Yu","Sustainability 6 (9), 6325-6331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8042358998359889417,29,2014
"生态创新的内涵, 分类体系与研究进展",董颖 [1， 石磊,"生态学报 30 (9), 2465-2474",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5920663146120175252,27,2010
Achieving Dewaterization in Industrial Parks,"S Liang, L Shi, T Zhang","Journal of Industrial Ecology 15 (4), 597-613",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2523542819608045733,26,2011
The resilience of interdependent industrial symbiosis networks: a case of Yixing economic and technological development zone,"Y Li, L Shi","Journal of Industrial Ecology 19 (2), 264-273",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10390050088571218068,23,2015
Eco-industrial Parks in China (2000—2010)[J],"L SHI, Z WANG",Journal of China University of Geosciences (Social Sciences Edition) 4,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4386648965343685514,23,2010
Societal metabolism in northeast China: case study of Liaoning province,"M Xu, XP Jia, L Shi, TZ Zhang","Resources, Conservation and Recycling 52 (8-9), 1082-1086",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16266063609098253407,22,2008
Managing the indirect effects of environmental regulation and performance measurement,"KH Tan, L Shi, ML Tseng, WJ Cui","Industrial Engineering & Management Systems 13 (2), 148-153",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15745859636054218466,21,2014
The “APEC blue” endeavor: Causal effects of air pollution regulation on air quality in China,"X Li, Y Qiao, J Zhu, L Shi, Y Wang","Journal of cleaner production 168, 1381-1388",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2258416284538948393,19,2017
"Socio-ecological transitions toward low-carbon port cities: trends, changes and adaptation processes in Asia and Europe","N Mat, J Cerceau, L Shi, HS Park, G Junqua, M Lopez-Ferber","Journal of cleaner production 114, 362-375",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12595823186163186342,18,2016
工业生态学的内涵与发展,石磊,"生态学报 28 (7), 3356-3364",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9475220562077160646,18,2008
Environment as the stage for economic actors,"JE Coulter, S Lei, S Jenkins","Chinese Journal of Population Resources and Environment 5 (1), 3-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7516605167973773472,18,2007
Efforts for a circular economy in China: A comprehensive review of policies,"J Zhu, C Fan, H Shi, L Shi","Journal of Industrial Ecology 23 (1), 110-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14675326741314291900,17,2019
Global warming impact of suburbanization: the case of Sydney,"G Chen, M Hadjikakou, T Wiedmann, L Shi","Journal of cleaner production 172, 287-301",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13290198094996106762,17,2018
Research on effects of eco-innovation types and regulations on firms' ecological performance: empirical evidence from China,"Y Dong, X Wang, J Jin, Y Qiao, L Shi","Journal of Engineering and Technology Management 34, 78-98",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14653225091874626425,17,2013
Aluminum substance flow analysis for mainland China in 2005,"W Chen, L Shi, Y Qian","Resources Science 30 (9), 1320-1326",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5362861684075887386,17,2008
The aggregate effect of air pollution regulation on CO2 mitigation in China's manufacturing industry: an econometric analysis,"X Li, Y Qiao, L Shi","Journal of cleaner production 142, 976-984",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3576380148227601569,16,2017
Multi-objective evolutionary algorithms for MILP and MINLP in process synthesis,石磊， 姚平经,"中国化学工程学报: 英文版 9 (2), 173-178",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13130069197614031991,16,2001
Sustainability of the use of natural capital in a city: Measuring the size and depth of urban ecological and water footprints,"K Fang, Q Zhang, H Yu, Y Wang, L Dong, L Shi","Science of the Total Environment 631, 476-484",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9057056008498107049,15,2018
Environmental performance of straw-based pulp making: A life cycle perspective,"M Sun, Y Wang, L Shi","Science of The Total Environment 616, 753-762",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17892174367000592995,15,2018
Quantifying energy consumption and greenhouse gas emissions of the primary aluminum industry in China,"J Wu, H Wan, W Chen, L Shi","Journal of Tsinghua University Science and Technology 50 (3), 407-410",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15048665588223162006,15,2010
Complexity measurements for Kalundborg and Gongyi industrial symbiosis networks [J],"Y SONG, L SHI",Journal of Tsinghua University (Science and Technology) 9,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10755297602246079040,15,2008
Optimization of multi-product batch plant design under uncertainty with environmental considerations,"Z Wang, XP Jia, L Shi","Clean Technologies and Environmental Policy 12 (3), 273-282",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17393378638909245355,13,2010
THE REVIEW AND PERSPECTIVE OF CLEANER PRODUCTION——The-state-of-the-arts [J],SHILQ Yi,"China Population, Resources and Environment 2, 035","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15571013073888246625,1583880067476946411",12,2002
Greenhouse gas emissions from key infrastructure sectors in larger and smaller Chinese cities: method development and benchmarking,"K Tong, A Fang, D Boyer, Y Hu, S Cui, L Shi, Y Kalmykova, A Ramaswami","Carbon Management 7 (1-2), 27-39",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5401450574189855043,11,2016
Strategy and mechanism study for promotion of circular economy in China,"S Lei, Q Yi",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15081540406942835342,11,2003
Water Meta-cycle model and indicators for industrial processes-the pulp & paper case in China,"L Ma, Z Chen, C Xu, F Li, H Jin, L Shi, HY Hu","Resources, Conservation and Recycling 139, 228-236",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1625403133017010083,10,2018
Industrial metabolism of chlorine in a chemical industrial park: the Chinese case,"L Ma, S Zhao, L Shi","Journal of cleaner production 112, 4367-4376",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4785335931269285662,10,2016
Waste minimization through process integration and multi-objective optimization,高瑛， 石磊， 姚平经,"中国化学工程学报: 英文版 9 (3), 267-272",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16021590025413079294,10,2001
