Title,Authors,Platform,Cited_url,Cited_count,Year
Differential equations on Riemannian manifolds and their geometric applications,"SY Cheng, ST Yau","Communications on Pure and Applied Mathematics 28 (3), 333-354",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12846386211260596608,916,1975
Eigenvalue comparison theorems and its geometric applications,SY Cheng,"Mathematische Zeitschrift 143 (3), 289-297",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15151771328131112152,587,1975
Maximal space-like hypersurfaces in the Lorentz-Minkowski spaces,"SY Cheng, ST Yau","Annals of Mathematics, 407-419",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4184386853985652908,540,1976
Hypersurfaces with constant scalar curvature,"SY Cheng, ST Yau","Mathematische Annalen 225 (3), 195-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4738076380856032697,455,1977
Eigenfunctions and nodal sets,SY Cheng,"Commentarii Mathematici Helvetici 51 (1), 43-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3584551879206367347,450,1976
On the existence of a complete Kähler metric on non‐compact complex manifolds and the regularity of fefferman's equation,"SY Cheng, ST Yau","Communications on Pure and Applied Mathematics 33 (4), 507-544",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1805162565892259301,441,1980
On the regularity of the monge‐ampère equation det (∂,"SY Cheng, ST Yau","Communications on Pure and Applied Mathematics 30 (1), 41-68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9842694571327058083,278,1977
On the regularity of the solution of the ,"SY Cheng, ST Yau","Communications on pure and applied mathematics 29 (5), 495-516",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=277822242534819728,246,1976
Complete affine hypersurfaces. Part I. The completeness of affine metrics,"SY Cheng, ST Yau","Communications on Pure and Applied Mathematics 39 (6), 839-866","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11150406546281503351,12811824142822095481",212,1986
Liouville theorem for harmonic maps,SY Cheng,"Proc. Sympos. Pure Math. 36, 147-151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15744000556704119229,200,1980
The real Monge-Ampere equation and affine flat structures,"SY Cheng, ST Yau",Proceedings of the 1980 Beijing Symposium on Differential Geometry and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2771872988418677252,146,1982
Heat equations on minimal submanifolds and their applications,"SY Cheng, P Li, ST Yau","American Journal of Mathematics 106 (5), 1033-1065",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7440269986974876409,100,1984
Heat kernel estimates and lower bound of eigenvalues,"SY Cheng, P Li","Commentarii Mathematici Helvetici 56 (1), 327-338",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16216355409285598236,95,1981
Eigenfunctions and eigenvalues of Laplacian,SY Cheng,"Proc. Symp. Pure Math 27 (part 2), 185-193",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3435585910958127481,94,1975
"Inequality between Chern numbers of singular Kahler surfaces and characterization of orbit space of discrete group of SU (2, 1)","SY Cheng, ST Yau","Contemporary Math 49, 31-43",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17927070505674197757,49,1986
Protein map: an alignment-free sequence comparison method based on various properties of amino acids,"C Yu, SY Cheng, RL He, SST Yau","Gene 486 (1-2), 110-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9160057164854968746,36,2011
A Comparison Between First-Generation and Second-Generation Transcatheter Aortic Valve Implantation (TAVI) Devices: A Propensity-Matched Single-Center Experience.,"N Ruparelia, A Latib, H Kawamoto, N Buzzatti, F Giannini, F Figini, ...","The Journal of invasive cardiology 28 (5), 210-216","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14172705929588468443,15615845225496274571",35,2016
Protein space: a natural method for realizing the nature of protein universe,"C Yu, M Deng, SY Cheng, SC Yau, RL He, SST Yau","Journal of theoretical biology 318, 197-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16512266984949874477,32,2013
SCHWARZ LEMMA FOR COMPLETE KAHLER MANIFOLDS,"Z Chen, SY Cheng, Q Lu","scientia Sinica 22 (11), 1238-1247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1053748858772031987,32,1979
Isoperimetric inequalities and the gap between the first and second eigenvalues of an Euclidean domain,"SY Cheng, K Oden","The Journal of Geometric Analysis 7 (2), 217-239",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4678119865168210027,21,1997
Harmonic maps with finite total energy,"SY Cheng, LF Tam, T Wan","Proceedings of the American Mathematical Society 124 (1), 275-284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17058380808037668850,21,1996
SCHR ODINGER OPERATORS AND INDEX BOUNDS FOR MINIMAL SUBMANIFOLDS,"SY Cheng, J Tysk",JOURNAL OF MATHEMATICS 24 (3),https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16335963721284349487,17,1994
An index characterization of the catenoid and index bounds for minimal surfaces in R4,"SY Cheng, J Tysk","Pacific Journal of Mathematics 134 (2), 251-260",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6361360834789132963,14,1988
A characterization of the 2-sphere by eigenfunctions,SY Cheng,"Proceedings of the American Mathematical Society, 379-381",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4883838184477188118,14,1976
Occupational risk of acquiring HIV infection through needlestick injuries.,"FK Cheng, WL Ford, SY Cheng, MD Weber, PR Kerndt","Clinical performance and quality health care 3 (3), 147-150",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4040282655389269678,10,1995
A probability-based approach for predicting HIV infection in a low prevalent population of injection drug users,"FK Cheng, WL Ford, MD Weber, SY Cheng, PR Kerndt","Annals of epidemiology 7 (1), 28-34",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8062005283719334163,7,1997
10.1007/BF01425237,"SY Cheng, ST Yau","Math. Ann 225, 195-204",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7250874389368025269,6,1977
The role of mathematicians in K-12 mathematics education,"B Nebres, SY Cheng, K Osterwalder, HH Wu","Proceedings of the International Congress of Mathematicians, 1673-1696",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2099029788045096157,2,2006
10.1002/cpa. 3160280303,"SY Cheng, ST Yau","Commun. Pure. Appl. Math 28 (1975), 333-354",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5070512802634673826,2,1975
Spectrum of the Laplacian and its applications to differential geometry,SY Cheng,"University of California, Berkeley",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3084260952468121866,2,1974
"Mathematician And His Mathematical Work, A: Selected Papers Of SS Chern","C Shiu-yuen, C Shiing-shen, P Li",World Scientific,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8092225430008028879,1,1996
On the real and complex Monge–Ampere equation and its geometric applications,SY Cheng,"Proceedings of the International Congress of Mathematicians, Vols 1 (2), 533-539",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1770833440025752939,1,0
Preface by the guest editors,"SY Cheng, L Ji, H Xu, X Yang",Notices of the International Congress of Chinese Mathematicians 7 (1),,0,2019
Impressions of Shing-Tung Yau and His Mathematical World,"SY Cheng, L Ji, H Xu, X Yang",International Press of Boston,,0,2019
Charter of the International Consortium of Chinese Mathematicians,"R Chan, SY Cheng, CH Lam, J Yu, L Yang, ST Yau","Notices of the International Congress of Chinese Mathematicians 4 (2), 77-83",,0,2016
The International Consortium of Chinese Mathematicians (ICCM),SY Cheng,"Notices of the International Congress of Chinese Mathematicians 4 (2), 75-76",,0,2016
Calabi-Yau Manifolds at the Interface of Math and Physics,"SY Cheng, L Ji, L Wang, H Xu","Notices of the International Congress of Chinese Mathematicians 2 (2), 90-102",,0,2014
"Recent developments in geometry: proceedings of the AMS Special Session in Geometry, November 14-15, 1987","SY Cheng, H Choi, RE Greene",American Mathematical Soc.,,0,1989
"George Pólya: Collected Papers, Vol. 3: Analysis",SY Cheng,"American Scientist 75 (3), 320-320",,0,1987
"ON THE REGULARITY OF THE MONGE-AMPERE EQUATION DET (DELTA 2U/DU/DELTA XIDELTA XI)= F (X, U).","Y SHIU, SY CHENG, ST YAU",,,0,1977
Notices of the International Congress of Chinese Mathematicians,"SY Cheng, MC Kang, K Liu, CW Shu, L Yang, ST Yau",,,0,0
Notices of the International Congress of Chinese Mathematicians,"S Zelditch, C Manolescu, JW Dauben, K Liu, W Li, YK Leong, SY Cheng, ...",,,0,0
ISSN Print 1093-6106 ISSN Online 1945-0036 6 issues per year,"R Chan, ST Yau, W Bao, CL Chai, SY Cheng, JH Coates, K Fukaya, ...",,,0,0
