Title,Authors,Platform,Cited_url,Cited_count,Year
Substrate-induced bandgap opening in epitaxial graphene,"SY Zhou, GH Gweon, AV Fedorov, PN First, WA De Heer, DH Lee, ...","Nature materials 6 (10), 770",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2834962684101913764,2227,2007
First direct observation of Dirac fermions in graphite,"SY Zhou, GH Gweon, J Graf, AV Fedorov, CD Spataru, RD Diehl, ...","Nature physics 2 (9), 595",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12026846397674039819,590,2006
Synthesis and characterization of atomically thin graphite films on a silicon carbide substrate,"E Rollings, GH Gweon, SY Zhou, BS Mun, JL McChesney, BS Hussain, ...","Journal of Physics and Chemistry of Solids 67 (9-10), 2172-2177",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1867331300888865799,477,2006
Experimental observation of topological Fermi arcs in type-II Weyl semimetal MoTe,"K Deng, G Wan, P Deng, K Zhang, S Ding, E Wang, M Yan, H Huang, ...","Nature Physics 12 (12), 1105",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5959404744277130988,386,2016
An unusual isotope effect in a high-transition-temperature superconductor,"GH Gweon, T Sasagawa, SY Zhou, J Graf, H Takagi, DH Lee, A Lanzara","Nature 430 (6996), 187",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11962285707242255389,352,2004
Metal to insulator transition in epitaxial graphene induced by molecular doping,"SY Zhou, DA Siegel, AV Fedorov, A Lanzara","Physical review letters 101 (8), 086402",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9743813491972225111,313,2008
Broadband electromagnetic response and ultrafast dynamics of few-layer epitaxial graphene,"H Choi, F Borondics, DA Siegel, SY Zhou, MC Martin, A Lanzara, ...","Applied Physics Letters 94 (17), 172102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12234038332706736645,259,2009
Monolayer PtSe,"Y Wang, L Li, W Yao, S Song, JT Sun, J Pan, X Ren, C Li, E Okunishi, ...","Nano letters 15 (6), 4013-4018",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1588227292085409043,238,2015
Electric-field control of tri-state phase transformation with a selective dual-ion switch,"N Lu, P Zhang, Q Zhang, R Qiao, Q He, HB Li, Y Wang, J Guo, D Zhang, ...","Nature 546 (7656), 124",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5423896919363218139,218,2017
Universal high energy anomaly in the angle-resolved photoemission spectra of high temperature superconductors: possible evidence of spinon and holon branches,"J Graf, GH Gweon, K McElroy, SY Zhou, C Jozwiak, E Rotenberg, A Bill, ...","Physical review letters 98 (6), 067004",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=526793504939138793,217,2007
Origin of the energy bandgap in epitaxial graphene,"SY Zhou, DA Siegel, AV Fedorov, F El Gabaly, AK Schmid, AHC Neto, ...","Nature Materials 7 (4), 259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6798066552326142846,187,2008
Type-II Dirac fermions in the PtSe 2 class of transition metal dichalcogenides,"H Huang, S Zhou, W Duan","Physical Review B 94 (12), 121117",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14488111793116912296,131,2016
Lorentz-violating type-II Dirac fermions in transition metal dichalcogenide PtTe 2,"M Yan, H Huang, K Zhang, E Wang, W Yao, K Deng, G Wan, H Zhang, ...","Nature communications 8 (1), 257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14960138747964592648,123,2017
Wafer-Scale Growth and Transfer of Highly-Oriented Monolayer MoS,"H Yu, M Liao, W Zhao, G Liu, XJ Zhou, Z Wei, X Xu, K Liu, Z Hu, K Deng, ...","ACS nano 11 (12), 12001-12007",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4531963000683319414,97,2017
Gaps induced by inversion symmetry breaking and second-generation Dirac cones in graphene/hexagonal boron nitride,"E Wang, X Lu, S Ding, W Yao, M Yan, G Wan, K Deng, S Wang, G Chen, ...","Nature Physics 12 (12), 1111",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9393123701773312007,94,2016
Experimental evidence for type-II Dirac semimetal in ,"K Zhang, M Yan, H Zhang, H Huang, M Arita, Z Sun, W Duan, Y Wu, ...","Physical Review B 96 (12), 125102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=584018148603180123,89,2017
Low energy excitations in graphite: the role of dimensionality and lattice defects,"SY Zhou, GH Gweon, A Lanzara","Annals of Physics 321 (7), 1730-1746",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16402106565828192858,86,2006
Phase fluctuations and the absence of topological defects in a photo-excited charge-ordered nickelate,"WS Lee, YD Chuang, RG Moore, Y Zhu, L Patthey, M Trigo, DH Lu, ...","Nature communications 3, 838",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18220699672918993332,75,2012
"Nature Mater. 6, 770 (2007)","SY Zhou, GH Gweon, AV Fedorov, PN First, WA De Heer, DH Lee, ...",CrossRef| PubMed| CAS| Web of Science® Times Cited 175,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15596894884731949768,70,2008
Kohn anomaly and interplay of electron-electron and electron-phonon interactions in epitaxial graphene,"SY Zhou, DA Siegel, AV Fedorov, A Lanzara","Physical Review B 78 (19), 193404",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5017885173437627931,66,2008
Coexistence of sharp quasiparticle dispersions and disorder features in graphite,"SY Zhou, GH Gweon, CD Spataru, J Graf, DH Lee, SG Louie, A Lanzara","Physical Review B 71 (16), 161403",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8316876757716684353,63,2005
Elastic scattering susceptibility of the high temperature superconductor Bi 2 Sr 2 CaCu 2 O 8+ δ: a comparison between real and momentum space photoemission spectroscopies,"K McElroy, GH Gweon, SY Zhou, J Graf, S Uchida, H Eisaki, H Takagi, ...","Physical review letters 96 (6), 067005",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2455920029832461314,56,2006
