Title,Authors,Platform,Cited_url,Cited_count,Year
"3D‐Printed, All‐in‐One Evaporator for High‐Efficiency Solar Steam Generation under 1 Sun Illumination","Y Li, T Gao, Z Yang, C Chen, W Luo, J Song, E Hitz, C Jia, Y Zhou, B Liu, ...","Advanced Materials 29 (26), 1700981",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5553042623445735787,202,2017
Highly flexible and efficient solar steam generation device,"C Chen, Y Li, J Song, Z Yang, Y Kuang, E Hitz, C Jia, A Gong, F Jiang, ...","Advanced Materials 29 (30), 1701756",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6968585574939713962,201,2017
Tree‐inspired design for high‐efficiency water extraction,"M Zhu, Y Li, G Chen, F Jiang, Z Yang, X Luo, Y Wang, SD Lacey, J Dai, ...","Advanced Materials 29 (44), 1704107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5898201892688847994,127,2017
High‐Performance Solar Steam Device with Layered Channels: Artificial Tree with a Reversed Design,"H Liu, C Chen, G Chen, Y Kuang, X Zhao, J Song, C Jia, X Xu, E Hitz, ...","Advanced Energy Materials 8 (8), 1701616",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15873952995687352380,81,2018
"Scalable and Highly Efficient Mesoporous Wood‐Based Solar Steam Generation Device: Localized Heat, Rapid Water Transport","T Li, H Liu, X Zhao, G Chen, J Dai, G Pastel, C Jia, C Chen, E Hitz, ...","Advanced Functional Materials 28 (16), 1707134",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15133537106660398568,80,2018
Graphene oxide-based evaporator with one-dimensional water transport enabling high-efficiency solar desalination,"Y Li, T Gao, Z Yang, C Chen, Y Kuang, J Song, C Jia, EM Hitz, B Yang, ...","Nano Energy 41, 201-209",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4675119125630062,80,2017
Rich Mesostructures Derived from Natural Woods for Solar Steam Generation,"C Jia, Y Li, Z Yang, G Chen, Y Yao, F Jiang, Y Kuang, G Pastel, H Xie, ...","Joule 1 (3), 588-599",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17565771084905407437,78,2017
"Lightweight, Mesoporous, and Highly Absorptive All-Nanofiber Aerogel for Efficient Solar Steam Generation","F Jiang, H Liu, Y Li, Y Kuang, X Xu, C Chen, H Huang, C Jia, X Zhao, ...","ACS applied materials & interfaces 10 (1), 1104-1112",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1753239372862307612,62,2017
"Anisotropic, transparent films with aligned cellulose nanofibers","M Zhu, Y Wang, S Zhu, L Xu, C Jia, J Dai, J Song, Y Yao, Y Wang, Y Li, ...","Advanced Materials 29 (21), 1606284",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2174017061107482650,55,2017
"Muscle‐Inspired Highly Anisotropic, Strong, Ion‐Conductive Hydrogels","W Kong, C Wang, C Jia, Y Kuang, G Pastel, C Chen, G Chen, S He, ...","Advanced Materials 30 (39), 1801934",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10871382963945908460,54,2018
"Anisotropic, lightweight, strong, and super thermally insulating nanowood with naturally aligned nanocellulose","T Li, J Song, X Zhao, Z Yang, G Pastel, S Xu, C Jia, J Dai, C Chen, ...","Science Advances 4 (3), eaar3724",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12073294858106078856,45,2018
Nitrogen and oxygen-codoped carbon nanospheres for excellent specific capacitance and cyclic stability supercapacitor electrodes,"Z Ye, F Wang, C Jia, K Mu, M Yu, Y Lv, Z Shao","Chemical Engineering Journal 330, 1166-1173",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14103558520020421322,39,2017
"Scalable, anisotropic transparent paper directly from wood for light management in solar cells","C Jia, T Li, C Chen, J Dai, IM Kierzewski, J Song, Y Li, C Yang, C Wang, ...","Nano Energy 36, 366-373",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11952043867784988840,37,2017
Using a fully recyclable dicarboxylic acid for producing dispersible and thermally stable cellulose nanomaterials from different cellulosic sources,"C Jia, L Chen, Z Shao, UP Agarwal, L Hu, JY Zhu","Cellulose 24 (6), 2483-2498",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15577482865964989185,30,2017
Highly Anisotropic Conductors,"J Wan, J Song, Z Yang, D Kirsch, C Jia, R Xu, J Dai, M Zhu, L Xu, C Chen, ...","Advanced Materials 29 (41), 1703331",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1184832933004239658,25,2017
From Wood to Textiles: Top‐Down Assembly of Aligned Cellulose Nanofibers,"C Jia, C Chen, Y Kuang, K Fu, Y Wang, Y Yao, S Kronthal, E Hitz, J Song, ...","Advanced Materials, 1801347",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15376616440693635562,23,2018
Thermally Stable Cellulose Nanocrystals toward High-Performance 2D and 3D Nanostructures,"C Jia, H Bian, T Gao, F Jiang, IM Kierzewski, Y Wang, Y Yao, L Chen, ...","ACS applied materials & interfaces 9 (34), 28922-28929",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12155708567169682834,19,2017
