Title,Authors,Platform,Cited_url,Cited_count,Year
Human Generated Power for Mobile Electronics,"T Starner, J Paradiso","Low-Power Electronics, 45:1 - 45:35","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9182213823242450329,11792641842897499549,9850741253004331434,12145558526029870384",3239,2004
Energy scavenging with shoe-mounted piezoelectrics,"NS Shenck, JA Paradiso","IEEE micro, 30-42",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16844217266122760876,1323,2001
Parasitic power harvesting in shoes,"J Kymissis, C Kendall, J Paradiso, N Gershenfeld",Digest of Papers. Second International Symposium on Wearable Computers (Cat …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6038454401750885638,945,1998
ATLAS technical proposal,Atlas Collaboration,CERN/LHCC/94-43,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12050776200501031526,13482609679097374930",736,1994
Gait analysis using a shoe-integrated wireless sensor system,"SJM Bamberg, AY Benbasat, DM Scarborough, DE Krebs, JA Paradiso","IEEE transactions on information technology in biomedicine 12 (4), 413-423","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4543305619285896746,7742707559719661240",720,2008
Discovery of three-jet events and a test of quantum chromodynamics at PETRA,"DP Barber, U Becker, H Benda, A Boehm, JG Branson, J Bron, D Buikman, ...","Physical Review Letters 43 (12), 830",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3150161099496059622,649,1979
Applying electric field sensing to human-computer interfaces,"TG Zimmerman, JR Smith, JA Paradiso, D Allport, N Gershenfeld","CHI 95, 280-287",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11575648583153583064,286,1995
Electronic music: new ways to play,JA Paradiso,"IEEE spectrum 34 (12), 18-30","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2555914537814425806,10367617979389173936,7431462478688246360",260,1997
Shoe-integrated sensor system for wireless gait analysis and real-time feedback,"SJ Morris, JA Paradiso",Proceedings of the Second Joint 24th Annual Conference and the Annual Fall …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11738104194957342602,249,2002
The Brain Opera technology: New instruments and gestural sensors for musical interaction and performance,JA Paradiso,"Journal of New Music Research 28 (2), 130-149",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15405802711084788415,232,1999
Musical applications of electric field sensing,"JA Paradiso, N Gershenfeld","Computer music journal 21 (2), 69-89",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5948226601995355658,215,1997
The magic carpet: physical sensing for immersive environments,"J Paradiso, C Abler, K Hsiao, M Reynolds","CHI'97 Extended Abstracts on Human Factors in Computing Systems, 277-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=18345171597987594952,215,1997
Input device based on frustrated total internal reflection,"H Ma, JA Pardiso","US Patent 7,432,893",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5253822316338667739,202,2008
"A compact, wireless, self-powered pushbutton controller","JA Paradiso, M Feldmeier","International Conference on Ubiquitous Computing, 299-304",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=847519088065164193,198,2001
Steering law design for redundant single-gimbal control moment gyroscopes,"NS Bedrossian, J Paradiso, EV Bergmann, D Rowell","Journal of Guidance, Control, and Dynamics 13 (6), 1083-1089","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2363039893511487567,9053367245436024323",196,1990
"Pushpin computing system overview: A platform for distributed, embedded, ubiquitous sensor networks","J Lifton, D Seetharam, M Broxton, J Paradiso","International Conference on Pervasive Computing, 139-151",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3493337540340695946,193,2002
Apparatus for controlling continuous behavior through hand and arm gestures,"T Marrin, J Paradiso, T Machover, C Verplaetse, M Orth","US Patent 5,875,257",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8874210450351142225,186,1999
Sensor systems for interactive surfaces,"JA Paradiso, K Hsiao, J Strickon, J Lifton, A Adler","IBM Systems Journal 39 (3.4), 892-914",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14109555858370432582,185,2000
Electric field sensing for graphical interfaces,"J Smith, T White, C Dodge, J Paradiso, N Gershenfeld, D Allport","IEEE Computer Graphics and Applications 18 (3), 54-60",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16046833688699662981,173,1998
A platform for ubiquitous sensor deployment in occupational and domestic environments,"J Lifton, M Feldmeier, Y Ono, C Lewis, JA Paradiso",Proceedings of the 6th international conference on Information processing in …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2722589571741558669,167,2007
Energy metering for free: Augmenting switching regulators for real-time monitoring,"P Dutta, M Feldmeier, J Paradiso, D Culler",Proceedings of the 7th international conference on Information processing in …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12609096163187991669,156,2008
Design and implementation of expressive footwear,"JA Paradiso, KY Hsiao, AY Benbasat, Z Teegarden","IBM systems journal 39 (3.4), 511-529",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9647300767835437125,155,2000
WristFlex: low-power gesture input with wrist-worn pressure sensors,"A Dementyev, JA Paradiso",Proceedings of the 27th annual ACM symposium on User interface software and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15852754037713679120,147,2014
The Digital Baton: a Versatile Performance Instrument.,"T Marrin, JA Paradiso",ICMC,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9600299639297485914,146,1997
"Sensemble: a wireless, compact, multi-user sensor system for interactive dance","R Aylward, JA Paradiso",Proceedings of the 2006 conference on New interfaces for musical expression …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16153053296913528395,139,2006
An inertial measurement framework for gesture recognition and applications,"AY Benbasat, JA Paradiso","International Gesture Workshop, 9-20","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3691698246100113744,12176578576866185324",138,2001
Redundant single gimbal control moment gyroscope singularity analysis,"NS Bedrossian, J Paradiso, EV Bergmann, D Rowell","Journal of Guidance, Control, and Dynamics 13 (6), 1096-1101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7554580503070355945,128,1990
Global steering of single gimballed control moment gyroscopes using a directed search,JA Paradiso,"Journal of Guidance, Control, and Dynamics 15 (5), 1236-1244",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8635732967335961016,126,1992
"Z-Tiles: building blocks for modular, pressure-sensing floorspaces","B Richardson, K Leydon, M Fernstrom, JA Paradiso","CHI'04 extended abstracts on Human factors in computing systems, 1529-1532",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9896966998709229446,122,2004
Parasitic mobility in dynamically distributed sensor networks,"JA Paradiso, MJ Laibowitz","US Patent 7,429,936",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6350502105642876200,114,2008
Dual reality: Merging the real and virtual,"J Lifton, JA Paradiso","International Conference on Facets of Virtual Environments, 12-28",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1979813337891505667,106,2009
Wireless roadway monitoring system,"AN Knaian, JA Paradiso","US Patent 6,662,099",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7385398423552527032,105,2003
CargoNet: a low-cost micropower sensor node exploiting quasi-passive wakeup for adaptive asychronous monitoring of exceptional events,"M Malinowski, M Moskwa, M Feldmeier, M Laibowitz, JA Paradiso",Proceedings of the 5th international conference on Embedded networked sensor …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9944684063854624696,101,2007
FreeD: a freehand digital sculpting tool,"A Zoran, JA Paradiso",Proceedings of the SIGCHI Conference on Human Factors in Computing Systems …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17904861247033650110,93,2013
Personalized HVAC control system,"M Feldmeier, JA Paradiso","2010 Internet of Things (IOT), 1-8",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16629599151491658911,90,2010
Parasitic mobility for pervasive sensor networks,"M Laibowitz, JA Paradiso","International Conference on Pervasive Computing, 255-278",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15804665581008258001,90,2005
"A compact, high-speed, wearable sensor network for biomotion capture and interactive media","R Aylward, JA Paradiso",2007 6th International Symposium on Information Processing in Sensor …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17678961852863575102,85,2007
Metaphor and manifestation - cross-reality with ubiquitous sensor/actuator networks,"J Lifton, M Laibowitz, D Harry, NW Gong, M Mittal, JA Paradiso",Institute of Electrical and Electronics Engineers,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10925834645125949453,83,2009
A sensor network for social dynamics,"M Laibowitz, J Gips, R AyIward, A Pentland, JA Paradiso",2006 5th International Conference on Information Processing in Sensor …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1908723825695769461,83,2006
Self-powered wireless switch,"GO Morrison, HW Maue, BP Skarb, MJ Berta, R Meinzer, J Paradiso, ...","US Patent 6,933,655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2713492947263079322,83,2005
The gesture recognition toolkit,"N Gillian, JA Paradiso","The Journal of Machine Learning Research 15 (1), 3483-3487",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5385850054115365936,82,2014
PrintSense: a versatile sensing technique to support multimodal flexible surface interaction,"NW Gong, J Steimle, S Olberding, S Hodges, NE Gillian, Y Kawahara, ...",Proceedings of the 32nd annual ACM conference on Human factors in computing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17981055824026895123,81,2014
Systems for human-powered mobile computing,JA Paradiso,"2006 43rd ACM/IEEE Design Automation Conference, 645-650",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11753052550395248349,80,2006
Intrabody buses for data and power,"ER Post, M Reynolds, M Gray, J Paradiso, N Gershenfeld","Digest of Papers. First International Symposium on Wearable Computers, 52-55",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16706992518261849822,80,1997
Dimuon scaling comparison at 44 and 62 GeV,"D Antreasyan, U Becker, G Bellettini, PL Braccini, JG Branson, JD Burger, ...","Physical Review Letters 48 (5), 302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6887165970540252268,80,1982
A cuttable multi-touch sensor,"S Olberding, NW Gong, J Tiab, JA Paradiso, J Steimle",Proceedings of the 26th annual ACM symposium on User interface software and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16744962927905872790,78,2013
"A distributed wearable, wireless sensor system for evaluating professional baseball pitchers and batters","M Lapinski, E Berkson, T Gill, M Reinold, JA Paradiso","2009 International Symposium on Wearable Computers, 131-138",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1871553369494148645,78,2009
Test of universality of charged leptons,"DP Barber, U Becker, H Benda, A Boehm, JG Branson, J Bron, D Buikman, ...","Physical Review Letters 43 (26), 1915",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7203108910013591778,77,1979
Expressive footwear for computer-augmented dance performance,"JA Paradiso, E Hu","Digest of Papers. First International Symposium on Wearable Computers, 165-166","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14870748900540690056,6816251686378518994",76,1997
Optical tracking for music and dance performance,"J Paradiso, F Sparacino","Optical 3-D Measurement Techniques IV, 11-18",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3992942012453666005,74,1997
Production dynamics of high-mass muon pairs,"D Antreasyan, W Atwood, U Becker, G Bellettini, PL Braccini, JG Branson, ...","Physical Review Letters 47 (1), 12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5182348000300645815,73,1981
A compact modular wireless sensor platform,"AY Benbasat, JA Paradiso",Proceedings of the 4th international symposium on Information processing in …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=69195530898164838,70,2005
Measurement of Dimuon Production at √s = 62 GeV,"D Antreasyan, W Atwood, R Battiston, U Becker, G Bellettini, PL Braccini, ...","Physical Review Letters 45 (11), 863",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14638860407471760581,68,1980
Interactive Music for Instrumented Dancing Shoes.,"JA Paradiso, KY Hsiao, E Hu",ICMC,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13775703961518313022,67,1999
Interactive therapy with instrumented footwear,"JA Paradiso, SJ Morris, AY Benbasat, E Asmussen","CHI'04 Extended Abstracts on Human Factors in Computing Systems, 1341-1343",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15337699041141479923,65,2004
Continuous capacitive slider controller for a smooth surfaced cooktop,"JA Paradiso, LL Bourque","US Patent 8,017,890",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1864474346178242154,63,2011
Platform for ubiquitous sensor deployment in occupational and domestic environments,"J Paradiso, J Lifton, M Feldmeier, Y Ono","US Patent App. 11/874,198",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11014531326728197460,63,2008
An interactive music environment for large groups with giveaway wireless motion sensors,"M Feldmeier, JA Paradiso","Computer Music Journal 31 (1), 50-67",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16522126667090102551,62,2007
Identifying and facilitating social interaction with a wearable wireless sensor network,"JA Paradiso, J Gips, M Laibowitz, S Sadi, D Merrill, R Aylward, P Maes, ...","Personal and Ubiquitous Computing 14 (2), 137-152",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15100257817019808455,61,2010
A framework for the automated generation of power-efficient classifiers for embedded sensor nodes,"AY Benbasat, JA Paradiso",Proceedings of the 5th international conference on Embedded networked sensor …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13500041026622520133,61,2007
The FindIT Flashlight: Responsive tagging based on optically triggered microprocessor wakeup,"H Ma, JA Paradiso","International conference on Ubiquitous Computing, 160-167","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2234248442567212860,2413479453171701257",60,2002
A wireless modular sensor architecture and its application in on-shoe gait analysis,"AY Benbasat, SJ Morris, JA Paradiso","SENSORS, 2003 IEEE 2, 1086-1091",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16634035794231697647,59,2003
Measurement of the relative total hadronic cross section R at PETRA,"D Barber, U Becker, H Benda, A Boehm, JG Branson, J Bron, D Buikman, ...","Physical Review Letters 42 (17), 1113",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13898516441703557468,58,1979
Wireless Hand Gesture Capture,"J Paradiso, R Bainbridge","US Patent App. 13/312,612",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17331743040422232313,57,2012
Passive acoustic sensing for tracking knocks atop large interactive displays,"JA Paradiso, CK Leo, N Checka, K Hsiao","SENSORS, 2002 IEEE 1, 521-527",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16149343452098745987,57,2002
Systems and methods for tracking impacts,"JA Paradiso, CK Leo, N Checka","US Patent 7,643,015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14143468708065336492,56,2010
