Title,Authors,Platform,Cited_url,Cited_count,Year
Charge trapping at the dielectric of organic transistors visualized in real time and space,"SGJ Mathijssen, M Kemerink, A Sharma, M Cölle, PA Bobbert, ...","Advanced Materials 20 (5), 975-979",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16300255496382825033,135,2008
Dynamic routing over secure networks,A Sharma,"US Patent 6,744,774",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10903884768425957245,110,2004
Pharmacological and therapeutic potential of ,"HS Tuli, SS Sandhu, AK Sharma","3 Biotech 4 (1), 1-12",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8592024027814218233,98,2014
Small hydropower for sustainable energy development in India,"H Nautiyal, SK Singal, A Sharma","Renewable and Sustainable Energy Reviews 15 (4), 2021-2027",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3693141805909306240,92,2011
Low frequency pulsed resonant converter for energy harvesting,"S Xu, KDT Ngo, T Nishida, GB Chung, A Sharma","IEEE Transactions on power electronics 22 (1), 63-68",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17232295805731648382,83,2007
Cytomixis in pollen mother cells of an apomictic ornamental Ervatamia divaricata (Linn.) Alston,M De,"Cytologia 48 (1), 201-207",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=226233722178447729,80,1983
Impact of weathering on slope stability in soft rock mass,"P Miščević, G Vlastelica","Journal of Rock Mechanics and Geotechnical Engineering 6 (3), 240-250","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7174552754446857491,38078937178318443,1445950222243280561,8723884152597113148",65,2014
Smart traffic lights switching and traffic density calculation using video processing,"A Kanungo, A Sharma, C Singla","2014 Recent Advances in Engineering and Computational Sciences (RAECS), 1-6",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14200398253506023261,65,2014
Raman spectroscopy study of the transformation of the carbonaceous skeleton of a polymer-based nanoporous carbon along the thermal annealing pathway,"C Hu, S Sedghi, A Silvestre-Albero, GG Andersson, A Sharma, ...","Carbon 85, 147-158",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1695042234885772036,64,2015
Modified high-performance liquid chromatographic method for analysis of drotaverine in human plasma,"JK Lalla, MU Shah, MB Jain, AH Sharma","Journal of pharmaceutical and biomedical analysis 11 (4-5), 385-388",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16464998143673911960,58,1993
A generalized three-stage mechanism of ZnO nanoparticle formation in homogeneous liquid medium,"A Layek, G Mishra, A Sharma, M Spasova, S Dhar, A Chowdhury, ...","The Journal of Physical Chemistry C 116 (46), 24757-24769",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12359746356870500506,57,2012
