Title,Authors,Platform,Cited_url,Cited_count,Year
Physical unclonable functions for device authentication and secret key generation,"GE Suh, S Devadas","2007 44th ACM/IEEE Design Automation Conference, 9-14",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14317001779923340300,1871,2007
Silicon physical random functions,"B Gassend, D Clarke, M Van Dijk, S Devadas",Proceedings of the 9th ACM conference on Computer and communications …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11129566977637088209,12521243977908173217,11299269896899567020",1351,2002
Secure program execution via dynamic information flow tracking,"GE Suh, JW Lee, D Zhang, S Devadas","Acm Sigplan Notices 39 (11), 85-96",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=593250360265040333,851,2004
Extracting secret keys from integrated circuits,"D Lim, JW Lee, B Gassend, GE Suh, M Van Dijk, S Devadas",IEEE Transactions on Very Large Scale Integration (VLSI) Systems 13 (10 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6895380211674490794,825,2005
AEGIS: architecture for tamper-evident and tamper-resistant processing,"GE Suh, D Clarke, B Gassend, M Van Dijk, S Devadas",Proceedings of the 17th annual international conference on Supercomputing …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7389654452992353886,9516366115057153680,3587262503960422975",690,2003
A technique to build a secret key in integrated circuits for identification and authentication applications,"JW Lee, D Lim, B Gassend, GE Suh, M Van Dijk, S Devadas",2004 Symposium on VLSI Circuits. Digest of Technical Papers (IEEE Cat. No …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1218364283844387821,685,2004
Estimation of average switching activity in combinational and sequential circuits,"A Ghosh, S Devadas, K Keutzer, J White","[1992] Proceedings 29th ACM/IEEE Design Automation Conference, 253-259",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14991249233823982545,679,1992
Modeling attacks on physical unclonable functions,"U Rührmair, F Sehnke, J Sölter, G Dror, S Devadas, J Schmidhuber",Proceedings of the 17th ACM conference on Computer and communications …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9639503480771162368,638,2010
Path ORAM: an extremely simple oblivious RAM protocol,"E Stefanov, M Van Dijk, E Shi, C Fletcher, L Ren, X Yu, S Devadas",Proceedings of the 2013 ACM SIGSAC conference on Computer & communications …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7545234996409279088,629,2013
Intel SGX Explained.,"V Costan, S Devadas","IACR Cryptology ePrint Archive 2016 (086), 1-118",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10771426624488129200,624,2016
Physical unclonable functions and applications: A tutorial,"C Herder, MD Yu, F Koushanfar, S Devadas","Proceedings of the IEEE 102 (8), 1126-1141",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1855823565306776581,491,2014
Dynamic partitioning of shared cache memory,"E Suh, L Rudolph, S Devadas",Journal of Supercomputing,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17136293948886738845,7055270022540969451,2621288523635921886",479,2004
Precomputation-based sequential logic optimization for low power,"M Alidina, J Monteiro, S Devadas, A Ghosh, M Papaefthymiou","IEEE Transactions on Very Large Scale Integration (VLSI) Systems 2 (4), 426-436",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15943242306779238552,435,1994
ISDL: An instruction set description language for retargetability,"G Hadjiyiannis, S Hanono, S Devadas","Proceedings of the 34th annual Design Automation Conference, 299-302",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6451935503150306446,405,1997
A survey of optimization techniques targeting low power VLSI circuits,"S Devadas, S Malik","Proceedings of the 32nd annual ACM/IEEE Design Automation Conference, 242-247",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5316011963987962292,382,1995
Controlled physical random functions,"B Gassend, D Clarke, M Van Dijk, S Devadas","18th Annual Computer Security Applications Conference, 2002. Proceedings …",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8372704019693482720,380,2002
A new memory monitoring scheme for memory-aware scheduling and partitioning,"GE Suh, S Devadas, L Rudolph",Proceedings Eighth International Symposium on High Performance Computer …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=517499433864766350,380,2002
MUSTANG: State assignment of finite state machines targeting multilevel logic implementations,"S Devadas, HK Ma, AR Newton, A Sangiovanni-Vincentelli",IEEE Transactions on Computer-Aided Design of Integrated Circuits and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=17771105254217932371,372,1988
Efficient memory integrity verification and encryption for secure processors,"GE Suh, D Clarke, B Gassend, M Dijk, S Devadas",Proceedings of the 36th annual IEEE/ACM International Symposium on …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14224288474479085925,1862505621565389714",346,2003
Caches and hash trees for efficient memory integrity verification,"B Gassend, GE Suh, D Clarke, M Van Dijk, S Devadas",The Ninth International Symposium on High-Performance Computer Architecture …,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16853878600264926502,2553568718826101011",337,2003
Secure and robust error correction for physical unclonable functions,"MD Yu, S Devadas","IEEE Design & Test of Computers 27 (1), 48-65",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10020436143648111725,333,2010
Algorithms for hardware allocation in data path synthesis,"S Devadas, AR Newton",IEEE Transactions on Computer-Aided Design of Integrated Circuits and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1772497262832616331,313,1989
"Design and implementation of PUF-based"" unclonable"" RFID ICs for anti-counterfeiting and security applications","S Devadas, E Suh, S Paral, R Sowell, T Ziola, V Khandelwal","2008 IEEE international conference on RFID, 58-64",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1957770624488822366,311,2008
PUF modeling attacks on simulated and silicon data,"U Rührmair, J Sölter, F Sehnke, X Xu, A Mahmoud, V Stoyanova, G Dror, ...","IEEE Transactions on Information Forensics and Security 8 (11), 1876-1891",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7533349051649166063,301,2013
On average power dissipation and random pattern testability of CMOS combinational logic networks,"A Shen, A Ghosh, S Devadas, K Keutzer","ICCAD, 402-407",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15422762167162844561,284,1992
