Title,Authors,Platform,Cited_url,Cited_count,Year
CHARMM: the biomolecular simulation program,"BR Brooks, CL Brooks III, AD Mackerell Jr, L Nilsson, RJ Petrella, B Roux, ...","Journal of computational chemistry 30 (10), 1545-1614",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14703220236671069613,5245,2009
Do salt bridges stabilize proteins? A continuum electrostatic analysis,"ZS Hendsch, B Tidor","Protein Science 3 (2), 211-226","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11598607312339448277,9703541320796098135",735,1994
Arginine-mediated RNA recognition: the arginine fork,"BJ Calnan, B Tidor, S Biancalana, D Hudson, AD Frankel","Science, 1167-1171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16704829613187222345,719,1991
Structural model for the β-amyloid fibril based on interstrand alignment of an antiparallel-sheet comprising a C-terminal peptide,"PT Lansbury, PR Costa, JM Griffiths, EJ Simon, M Auger, KJ Halverson, ...","Nature structural biology 2 (11), 990",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=64574612701700143,530,1995
High-resolution protein design with backbone freedom,"PB Harbury, JJ Plecs, B Tidor, T Alber, PS Kim","Science 282 (5393), 1462-1467",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2785230909723155445,499,1998
The contribution of vibrational entropy to molecular association: the dimerization of insulin,"B Tidor, M Karplus","Journal of molecular biology 238 (3), 405-414",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10723823467902143273,346,1994
Hidden thermodynamics of mutant proteins: a molecular dynamics analysis,"J Gao, K Kuczera, B Tidor, M Karplus","Science 244 (4908), 1069-1072",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4299337707946600285,305,1989
Combining metabolic and protein engineering of a terpenoid biosynthetic pathway for overproduction and selectivity control,"E Leonard, PK Ajikumar, K Thayer, WH Xiao, JD Mo, B Tidor, ...","Proceedings of the National Academy of Sciences 107 (31), 13654-13659",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9885317002880476665,296,2010
Computational design of antibody-affinity improvement beyond ,"SM Lippow, KD Wittrup, B Tidor","Nature biotechnology 25 (10), 1171",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16252847346667695613,284,2007
De novo determination of peptide structure with solid-state magic-angle spinning NMR spectroscopy,"CM Rienstra, L Tucker-Kellogg, CP Jaroniec, M Hohwy, B Reif, ...","Proceedings of the National Academy of Sciences 99 (16), 10260-10265",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6873845850388196314,275,2002
