Title,Authors,Platform,Cited_url,Cited_count,Year
Chord: A scalable peer-to-peer lookup service for internet applications,"I Stoica, R Morris, D Karger, MF Kaashoek, H Balakrishnan","ACM SIGCOMM Computer Communication Review 31 (4), 149-160","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10556342542444957251,10375899859861590802,238179684953965962,15884632043026089333",17559,2001
Chord: a scalable peer-to-peer lookup protocol for internet applications,"I Stoica, R Morris, D Liben-Nowell, DR Karger, MF Kaashoek, F Dabek, ...","IEEE/ACM Transactions on Networking (TON) 11 (1), 17-32",,4021,2003
Consistent hashing and random trees: Distributed caching protocols for relieving hot spots on the world wide web,"D Karger, E Lehman, T Leighton, M Levine, D Lewin, R Panigrahy","STOC 97, 654-663",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16528719234800868347,2634,1997
A random linear network coding approach to multicast,"T Ho, M Médard, R Koetter, DR Karger, M Effros, J Shi, B Leong","IEEE Transactions on Information Theory 52 (10), 4413-4430",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16732832308205172681,2500,2006
Scatter/gather: A cluster-based approach to browsing large document collections,"DR Cutting, DR Karger, JO Pedersen, JW Tukey",Proceedings of the 15th annual international ACM SIGIR conference on …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12068798114338593914,2397,1992
Wide-area cooperative storage with CFS,"F Dabek, MF Kaashoek, D Karger, R Morris, I Stoica","ACM SIGOPS Operating Systems Review 35 (5), 202-215",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6416535660281520524,2324,2001
A scalable location service for geographic ad hoc routing,"J Li, J Jannotti, DSJ De Couto, DR Karger, R Morris",Proceedings of the 6th annual international conference on Mobile computing …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11481611062456976906,2221,2000
The benefits of coding over routing in a randomized setting,"T Ho, R Koetter, M Medard, DR Karger, M Effros",IEEE,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15633808871091904607,1311,2003
Tackling the poor assumptions of naive bayes text classifiers,"JD Rennie, L Shih, J Teevan, DR Karger",Proceedings of the 20th international conference on machine learning (ICML …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1197073324019480518,1075,2003
Looking up data in P2P systems,"H Balakrishnan, MF Kaashoek, D Karger, D Karger, R Morris, I Stoica","Communications of the ACM 46 (2), 43-48",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12080197062919507760,1022,2003
Soylent: a word processor with a crowd inside,"MS Bernstein, G Little, RC Miller, B Hartmann, MS Ackerman, DR Karger, ...",Proceedings of the 23nd annual ACM symposium on User interface software and …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3572215297221321587,835,2010
Koorde: A simple degree-optimal distributed hash table,"MF Kaashoek, DR Karger","International Workshop on Peer-to-Peer Systems, 98-107",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6819959108645514443,816,2003
Algorithms and theory of computation handbook,MJ Atallah,CRC press,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5114237447021897288,18157545662080805034",811,1998
Content delivery network (CDN) content server request handling mechanism with metadata framework support,"JM Wein, JJ Kloninger, MC Nottingham, DR Karger, PA Lisiecki","US Patent 7,240,100","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16244175263158926503,17913511484687551006,16769394646450913039,7320761535313787648",810,2007
