Title,Authors,Platform,Cited_url,Cited_count,Year
Randomized gossip algorithms,"S Boyd, A Ghosh, B Prabhakar, D Shah","IEEE/ACM Transactions on Networking (TON) 14 (SI), 2508-2530","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2122747614643607167,2569886186846332730",2675,2006
Optimal throughput-delay scaling in wireless networks-part I: The fluid model,"A El Gamal, J Mammen, B Prabhakar, D Shah","IEEE Transactions on Information Theory 52 (6), 2568-2592","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12739463718840560152,7732189510350761112",1078,2006
Gossip algorithms,D Shah,"Foundations and Trends® in Networking 3 (1), 1-125","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4637562110620814376,15619786357755234252,14373349197807985720,13312896399238439710",977,2009
Budget-optimal task allocation for reliable crowdsourcing systems,"DR Karger, S Oh, D Shah","Operations Research 62 (1), 1-24","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14797602227708818853,195618376807041846,13126880587598920817,15472953698060931742",803,2014
Rumors in a network: Who's the culprit?,"D Shah, T Zaman","IEEE Transactions on information theory 57 (8), 5163-5181","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5406041296659017041,2118551140592380772",536,2011
Turbo-charging vertical mining of large databases,"P Shenoy, JR Haritsa, S Sudarshan, G Bhalotia, M Bawa, D Shah","Acm Sigmod Record 29 (2), 22-33",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=164320904475134396,365,2000
Fastpass: A centralized zero-queue datacenter network,"J Perry, A Ousterhout, H Balakrishnan, D Shah, H Fugal","ACM SIGCOMM Computer Communication Review 44 (4), 307-318",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7375000372327109785,311,2014
Randomized scheduling algorithm for queueing networks,"D Shah, J Shin","The Annals of Applied Probability 22 (1), 128-171","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6739135830502932141,13185395665017142474",301,2012
Network coding meets TCP,"JK Sundararajan, D Shah, M Médard, M Mitzenmacher, J Barros","IEEE INFOCOM 2009, 280-288",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1251634089568835158,289,2009
ARQ for network coding,"JK Sundararajan, D Shah, M Médard","2008 IEEE International Symposium on Information Theory, 1651-1655",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4598614666948516250,281,2008
Fast updating algorithms for TCAM,"D Shah, P Gupta","IEEE Micro 21 (1), 36-47",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=989810530489794494,270,2001
Network coding meets TCP: Theory and implementation,"JK Sundararajan, D Shah, M Médard, S Jakubczak, M Mitzenmacher, ...","Proceedings of the IEEE 99 (3), 490-512",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2765569280486149761,265,2011
Rank centrality: Ranking from pairwise comparisons,"S Negahban, S Oh, D Shah","Operations Research 65 (1), 266-287","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13801630835660299136,11103355989988935078",264,2016
A nonparametric approach to modeling choice with limited data,"VF Farias, S Jagabathula, D Shah","Management science 59 (2), 305-322","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12505837104243348620,8011968784320422561",222,2013
"Max-product for maximum weight matching: Convergence, correctness, and LP duality","M Bayati, D Shah, M Sharma","IEEE Transactions on Information Theory 54 (3), 1241-1251",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=16235814477376704675,182,2008
Switched networks with maximum weight policies: Fluid approximation and multiplicative state space collapse,"D Shah, D Wischik","The Annals of Applied Probability 22 (1), 70-127","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5598597454310786916,1959600267338988002",155,2012
