Title,Authors,Platform,Cited_url,Cited_count,Year
Preshaping command inputs to reduce system vibration,"NC Singer, WP Seering","Journal of dynamic systems, measurement, and control 112 (1), 76-82",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12480157247344250145,1961,1990
Residual vibration reduction using vector diagrams to generate shaped inputs,"W Singhose, W Seering, N Singer",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7780529926671409509,3595382451240275113",474,1994
Understanding bandwidth limitations in robot force control,"S Eppinger, W Seering",Proceedings. 1987 IEEE international conference on robotics and automation 4 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=6057604887696322590,400,1987
Three dynamic problems in robot force control,"SD Eppinger, WP Seering","IEEE Transactions on Robotics and Automation 8 (6), 751-758",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13531275475339524584,298,1992
Time-optimal negative input shapers,"WE Singhose, WP Seering, NC Singer",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=378178137386059863,283,1997
On dynamic models of robot force control,"S Eppinger, W Seering",Proceedings. 1986 IEEE International Conference on Robotics and Automation 3 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5617692381934853159,269,1986
Using input command pre-shaping to suppress multiple mode vibration,"JM Hyde, WP Seering",Proceedings. 1991 IEEE International Conference on Robotics and Automation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13310690557742976059,231,1991
Input shaping for vibration reduction with specified insensitivity to modeling errors,"WE Singhose, WP Seering, NC Singer","Japan-USA Sym. on Flexible Automation 1, 307-13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2707871565422569179,215,1996
A nonlinear model of a harmonic drive gear transmission,"TD Tuttle, WP Seering","IEEE Transactions on Robotics and Automation 12 (3), 368-374",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=7227339781731318289,208,1996
Synthesis of schematic descriptions in mechanical design,"KT Ulrich, WP Seering","Research in Engineering Design 1 (1), 3-18","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13118155328964248857,6611362181311922850",202,1989
The function of the primary ligaments of the knee in varus-valgus and axial rotation,"WP Seering, RL Piziali, DA Nagel, DJ Schurman","Journal of biomechanics 13 (9), 785-794",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=3197770394214632036,196,1980
A zero-placement technique for designing shaped inputs to suppress multiple-mode vibration,"TD Tuttle, WP Seering","Proceedings of 1994 American Control Conference-ACC'94 3, 2533-2537",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=642047500390573457,192,1994
The influence of architecture in engineering systems (monograph,"E Crawley, O De Weck, C Magee, J Moses, W Seering, J Schindall, ...",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=13288955660532569321,169,2004
Shaping inputs to reduce vibration: a vector diagram approach,"WE Singhose, WP Seering, NC Singer","Proceedings., IEEE International Conference on Robotics and Automation, 922-927",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15163214214511779483,169,1990
Convolved and simultaneous two-mode input shapers,"W Singhose, E Crain, W Seering","IEE Proceedings-Control Theory and Applications 144 (6), 515-520",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5579522231366709789,164,1997
Slewing flexible spacecraft with deflection-limiting input shaping,"WE Singhose, AK Banerjee, WP Seering","Journal of Guidance, Control, and Dynamics 20 (2), 291-298",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8338555654249309623,164,1997
The function of the primary ligaments of the knee in anterior-posterior and medial-lateral motions,"RL Piziali, WP Seering, DA Nagel, DJ Schurman","Journal of Biomechanics 13 (9), 777-784",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5061257205179103047,155,1980
Input shaped control of a planar gantry crane with hoisting,"WE Singhose, LJ Porter, WP Seering",Proceedings of the 1997 American Control Conference (Cat. No. 97CH36041) 1 …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2631672407440307709,154,1997
Improving repeatability of coordinate measuring machines with shaped command signals,"WE Singhose, WP Searing, NC Singer","Precision Engineering 18 (2-3), 138-146",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=10160337701809520265,149,1996
Introduction to dynamic models for robot force control,"S Eppinger, W Seering","IEEE Control Systems Magazine 7 (2), 48-52",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2607991286767012800,142,1987
On the drive systems for high-performance machines,"KA Pasch, WP Seering",,"https://scholar.google.com/scholar?oi=bibs&hl=en&cites=12758454769837290895,17326844593226456353",132,1984
Minimizing residual vibration for point-to-point motion,"PH Meckl, WP Seering",,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4676136576771795664,131,1985
Comparison of filtering methods for reducing residual vibration,"N Singer, W Singhose, W Seering","European Journal of Control 5 (2-4), 208-218",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4280381731469499721,129,1999
Comparison of command shaping methods for reducing residual vibration,"W Singhose, N Singer, W Seering","Proceedings of European control conference, 1126-1131",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5351114364212207158,123,1995
Shaping command inputs to minimize unwanted dynamics,"NC Singer, WP Seering, KA Pasch","US Patent 4,916,635",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4346032503466748381,115,1990
An extension of command shaping methods for controlling residual vibration using frequency sampling,"NC Singer, WP Seering",Proceedings 1992 IEEE International Conference on Robotics and Automation …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14186210200466199145,114,1992
Function sharing in mechanical design.,"KT Ulrich, WP Seering","AAAI 88 (1), 342",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9125292907139696091,111,1988
