Title,Authors,Platform,Cited_url,Cited_count,Year
Observation of gravitational waves from a binary black hole merger,"BP Abbott, R Abbott, TD Abbott, MR Abernathy, F Acernese, K Ackley, ...","Physical review letters 116 (6), 061102","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9463658171864037215,17759783823519000213,2360022082233053608",6926,2016
GW170817: observation of gravitational waves from a binary neutron star inspiral,"BP Abbott, R Abbott, TD Abbott, F Acernese, K Ackley, C Adams, T Adams, ...","Physical Review Letters 119 (16), 161101","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=8911961040576610247,4240790999946394869",3190,2017
GW151226: Observation of GWs from a 22-Solar-Mass BBH,"BP Abbott, R Abbott, TD Abbott, MR Abernathy, F Acernese, K Ackley, ...","Physical Review Letters 116 (24), 241103","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4892620357485410185,14404929761467761188",2495,2016
GW170104: Observation of a 50-Solar-Mass Binary Black Hole Coalescence at Redshift 0.2,"L Scientific, BP Abbott, R Abbott, TD Abbott, F Acernese, K Ackley, ...","Physical Review Letters 118 (22), 221101","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=11145356755647933208,863793427796915011",1670,2017
LIGO: the laser interferometer gravitational-wave observatory,"BP Abbott, R Abbott, R Adhikari, P Ajith, B Allen, G Allen, RS Amin, ...","Reports on Progress in Physics 72 (7), 076901",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15260516453044638417,1377,2009
Advanced ligo,"J Aasi, BP Abbott, R Abbott, T Abbott, MR Abernathy, K Ackley, C Adams, ...","Classical and quantum gravity 32 (7), 074001","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1439985753632784956,4885217605804444730",1269,2015
GW170814: A three-detector observation of gravitational waves from a binary black hole coalescence,"BP Abbott, R Abbott, TD Abbott, F Acernese, K Ackley, C Adams, T Adams, ...","Physical Review Letters 119 (14), 141101",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15784046604764916277,1225,2017
Predictions for the rates of compact binary coalescences observable by ground-based gravitational-wave detectors,"J Abadie, BP Abbott, R Abbott, M Abernathy, T Accadia, F Acernese, ...","Classical and Quantum Gravity 27 (17), 173001",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=15371119345479681231,1129,2010
Gravitational Waves and Gamma-Rays from a Binary Neutron Star Merger: GW170817 and GRB 170817A,"BP Abbott, R Abbott, TD Abbott, F Acernese, K Ackley, C Adams, T Adams, ...","The Astrophysical Journal Letters 848 (2), L13",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=14630332123708971139,1022,2017
Binary black hole mergers in the first advanced LIGO observing run,"BP Abbott, R Abbott, TD Abbott, MR Abernathy, F Acernese, K Ackley, ...","Physical Review X 6 (4), 041015",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=297092300785447703,921,2016
A gravitational wave observatory operating beyond the quantum shot-noise limit,LIGO Scientific Collaboration,"Nature Physics 7 (12), 962-965",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=5794391353205076492,644,2011
GW170608: Observation of a 19 Solar-mass Binary Black Hole Coalescence,"BP Abbott, R Abbott, TD Abbott, F Acernese, K Ackley, C Adams, T Adams, ...","The Astrophysical Journal Letters 851 (2), L35",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2456595451498149838,637,2017
"Prospects for observing and localizing gravitational-wave transients with Advanced LIGO, Advanced Virgo and KAGRA","BP Abbott, R Abbott, TD Abbott, MR Abernathy, F Acernese, K Ackley, ...","Living Reviews in Relativity 21, 1-57","https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4571329314236241714,8395443213829576532,114066166458357055",635,2018
Enhanced sensitivity of the LIGO gravitational wave detector by using squeezed states of light,"J Aasi, J Abadie, BP Abbott, R Abbott, TD Abbott, MR Abernathy, C Adams, ...","Nature Photonics 7 (8), 613-619",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9437412913506216317,602,2013
Properties of the binary black hole merger GW150914,"BP Abbott, R Abbott, TD Abbott, MR Abernathy, F Acernese, K Ackley, ...","Physical review letters 116 (24), 241102",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=9305167453812495858,537,2016
Astrophysical implications of the binary black hole merger GW150914,"BP Abbott, R Abbott, TD Abbott, MR Abernathy, F Acernese, K Ackley, ...","The Astrophysical Journal Letters 818 (2), L22",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=1400595983830627199,477,2016
An upper limit on the stochastic gravitational-wave background of cosmological origin,"BP Abbott, R Abbott, F Acernese, R Adhikari, P Ajith, B Allen, G Allen, ...","Nature 460 (7258), 990-994",https://scholar.google.com/scholar?oi=bibs&hl=en&cites=2873884731981383072,434,2009
Detector description and performance for the first coincidence observations between LIGO and GEO,"B Abbott, R Abbott, R Adhikari, A Ageev, B Allen, R Amin, SB Anderson, ...",Nuclear Instruments and Methods in Physics Research Section A: Accelerators …,https://scholar.google.com/scholar?oi=bibs&hl=en&cites=4493521023821913766,411,2004
